Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,2,4,Raikkonen,Hamilton,Replay,13
Australia,2,15,Gutierrez,Maldonado,,
Australia,2,16,Bianchi,Maldonado,,
Australia,2,18,Van Der Garde,Chilton,,
Australia,2,20,Pic,Ricciardo,,
Australia,4,13,Vergne,Bottas,,
Australia,4,14,Gutierrez,Bottas,,
Australia,4,16,Maldonado,Bianchi,,
Australia,5,10,Perez,Grosjean,Replay,1
Australia,5,14,Maldonado,Bottas,,
Australia,5,17,Ricciardo,Van Der Garde,Replay,9
Australia,5,18,Ricciardo,Chilton,,
Australia,5,19,Ricciardo,Pic,,
Australia,6,17,Button,Pic,,
Australia,7,16,Webber,Pic,,
Australia,7,17,Grosjean,Pic,,
Australia,8,10,Vettel,Maldonado,Yes,Finish Line
Australia,8,12,Ricciardo,Bianchi,,
Australia,9,9,Massa,Maldonado,,
Australia,10,8,Raikkonen,Maldonado,Yes,2
Australia,11,4,Vettel,Perez,Yes,3
Australia,11,5,Massa,Perez,Yes,13
Australia,12,6,Alonso,Perez,Yes,1
Australia,12,7,Raikkonen,Perez,Yes,11
Australia,13,14,Vergne,Gutierrez,,
Australia,13,19,Pic,Van Der Garde,,
Australia,18,12,Perez,Gutierrez,,
Australia,20,14,Webber,Maldonado,,
Australia,20,15,Webber,Ricciardo,,
Australia,20,15,Ricciardo,Maldonado,,
Australia,21,12,Webber,Bottas,,
Australia,22,5,Alonso,Sutil,Yes,2
Australia,22,10,Webber,Perez,Replay,13
Australia,22,11,Webber,Gutierrez,,
Australia,22,15,Button,Maldonado,,
Australia,22,16,Grosjean,Maldonado,,
Australia,23,6,Vettel,Sutil,Yes,3
Australia,23,13,Ricciardo,Bottas,,
Australia,23,14,Button,Bottas,,
Australia,23,15,Grosjean,Bottas,,
Australia,26,10,Ricciardo,Gutierrez,,
Australia,26,11,Button,Gutierrez,,
Australia,26,15,Perez,Bianchi,,
Australia,27,12,Grosjean,Gutierrez,,
Australia,29,14,Bottas,Gutierrez,,
Australia,31,2,Alonso,Hamilton,Yes,14
Australia,32,16,Bianchi,Pic,,
Australia,40,4,Vettel,Hamilton,Yes,1
Australia,40,5,Massa,Hamilton,Yes,13
Australia,42,8,Webber,Di Resta,Yes,9
Australia,43,1,Raikkonen,Sutil,Yes,14
Australia,44,7,Webber,Vergne,Yes,3
Australia,46,2,Alonso,Sutil,Yes,3
Australia,47,17,Chilton,Van Der Garde,,
Australia,51,5,Hamilton,Sutil,Yes,9
Australia,51,6,Webber,Sutil,Yes,14
Australia,55,10,Vergne,Grosjean,,
Australia,55,10,Grosjean,Vergne,,
Australia,55,11,Perez,Vergne,,
Malaysia,2,5,Rosberg,Massa,Background,1
Malaysia,2,16,Vergne,Pic,,
Malaysia,3,4,Rosberg,Button,Yes,5
Malaysia,3,20,Bottas,Chilton,,
Malaysia,4,8,Hulkenberg,Sutil,,
Malaysia,4,14,Gutierrez,Maldonado,,
Malaysia,5,7,Hulkenberg,Perez,Yes,2
Malaysia,5,10,Grosjean,Ricciardo,Background,2
Malaysia,5,15,Vergne,Maldonado,,
Malaysia,6,6,Perez,Vettel,Yes,3
Malaysia,6,7,Sutil,Vettel,Yes,4
Malaysia,6,8,Grosjean,Vettel,Yes,4
Malaysia,6,8,Vettel,Grosjean,Yes,10
Malaysia,7,6,Vettel,Perez,Yes,11
Malaysia,7,17,Sutil,Bianchi,,
Malaysia,9,9,Grosjean,Ricciardo,Yes,1
Malaysia,9,9,Raikkonen,Ricciardo,Yes,15
Malaysia,9,14,Sutil,Van Der Garde,,
Malaysia,9,15,Di Resta,Van Der Garde,,
Malaysia,9,16,Di Resta,Bianchi,,
Malaysia,9,17,Di Resta,Bottas,,
Malaysia,10,16,Bottas,Van Der Garde,,
Malaysia,10,17,Bottas,Bianchi,,
Malaysia,11,8,Grosjean,Perez,Replay,1
Malaysia,11,14,Di Resta,Sutil,Replay,1
Malaysia,13,19,Vergne,Chilton,,
Malaysia,16,9,Raikkonen,Perez,Yes,1
Malaysia,19,11,Di Resta,Ricciardo,Yes,1
Malaysia,19,19,Bianchi,Van Der Garde,,
Malaysia,22,7,Sutil,Hulkenberg,Yes,1
Malaysia,22,8,Massa,Hulkenberg,Yes,2
Malaysia,22,9,Grosjean,Hulkenberg,Yes,5
Malaysia,24,16,Maldonado,Van Der Garde,,
Malaysia,28,14,Vergne,Bianchi,,
Malaysia,31,17,Pic,Chilton,Yes,1
Malaysia,35,1,Webber,Button,Yes,2
Malaysia,35,2,Hamilton,Button,Yes,15
Malaysia,39,2,Vettel,Hamilton,Yes,1
Malaysia,41,8,Raikkonen,Hulkenberg,Yes,2
Malaysia,44,3,Rosberg,Hamilton,Replay,15
Malaysia,45,3,Hamilton,Rosberg,Yes,1
Malaysia,45,3,Rosberg,Hamilton,Yes,15
Malaysia,45,3,Hamilton,Rosberg,,Finish Line
Malaysia,45,10,Gutierrez,Ricciardo,,
Malaysia,46,1,Vettel,Webber,Yes,5
Malaysia,46,12,Vergne,Bottas,,
Malaysia,48,6,Raikkonen,Perez,Yes,15
Malaysia,48,11,Vergne,Ricciardo,,
Malaysia,49,6,Massa,Raikkonen,Yes,15
Malaysia,49,7,Massa,Perez,Yes,2
Malaysia,49,12,Bottas,Ricciardo,,
Malaysia,50,13,Button,Ricciardo,,
Malaysia,51,10,Vergne,Gutierrez,,
Malaysia,53,5,Massa,Grosjean,Yes,15
Malaysia,54,8,Hulkenberg,Perez,Replay,4
China,2,19,Vergne,Chilton,,
China,3,18,Vergne,Van Der Garde,,
China,3,20,Pic,Chilton,,
China,4,5,Grosjean,Rosberg,,
China,4,7,Hulkenberg,Ricciardo,Yes,14
China,4,8,Vettel,Button,,
China,4,8,Hulkenberg,Vettel,Yes,14
China,4,9,Hulkenberg,Button,,
China,4,17,Vergne,Bianchi,,
China,4,19,Pic,Van Der Garde,,
China,5,1,Alonso,Hamilton,Yes,1
China,5,2,Massa,Hamilton,Yes,1
China,5,6,Hulkenberg,Rosberg,,
China,5,7,Vettel,Rosberg,Yes,14
China,5,7,Button,Rosberg,,
China,6,4,Hulkenberg,Grosjean,,
China,6,5,Vettel,Grosjean,,
China,6,14,Hamilton,Van Der Garde,,
China,6,15,Hamilton,Chilton,,
China,7,3,Button,Grosjean,,
China,7,9,Vergne,Bottas,Yes,14
China,7,14,Webber,Chilton,Yes,1
China,7,15,Rosberg,Chilton,,
China,7,16,Ricciardo,Chilton,,
China,8,7,Alonso,Bottas,Yes,7
China,8,7,Hamilton,Bottas,Yes,9
China,9,6,Alonso,Vergne,Yes,1
China,9,7,Hamilton,Vergne,Yes,6
China,9,9,Raikkonen,Bottas,,
China,9,11,Massa,Webber,Yes,14
China,9,14,Grosjean,Ricciardo,,
China,9,16,Maldonado,Pic,,
China,10,10,Massa,Bottas,Yes,14
China,11,8,Raikkonen,Vergne,Replay,1
China,11,11,Webber,Bottas,,
China,11,12,Rosberg,Bottas,,
China,13,5,Alonso,Di Resta,Yes,1
China,14,4,Alonso,Perez,Yes,1
China,14,9,Massa,Vergne,,
China,15,19,Chilton,Van Der Garde,,
China,16,3,Hamilton,Perez,,
China,16,4,Raikkonen,Perez,Yes,14
China,16,8,Hulkenberg,Rosberg,,
China,19,6,Vettel,Massa,,
China,20,5,Vettel,Perez,Yes,6
China,20,6,Hulkenberg,Perez,,
China,20,17,Pic,Van Der Garde,,
China,20,18,Bianchi,Van Der Garde,,
China,21,1,Alonso,Button,Yes,1
China,23,7,Hamilton,Ricciardo,Yes,13
China,23,8,Hamilton,Di Resta,Yes,9
China,23,9,Raikkonen,Di Resta,Yes,14
China,23,13,Vergne,Bottas,,
China,24,4,Button,Perez,,
China,24,12,Ricciardo,Bottas,,
China,25,9,Grosjean,Perez,,
China,25,11,Ricciardo,Vergne,Replay,14
China,26,2,Alonso,Hulkenberg,Yes,13
China,27,9,Perez,Grosjean,,
China,29,1,Alonso,Vettel,Yes,13
China,29,4,Hamilton,Button,Yes,1
China,30,9,Grosjean,Perez,Replay,14
China,30,10,Ricciardo,Perez,Replay,14
China,31,4,Raikkonen,Button,Yes,14
China,31,7,Hulkenberg,Massa,,
China,32,5,Hulkenberg,Di Resta,Background,3
China,32,6,Vettel,Di Resta,Yes,13
China,32,7,Vettel,Massa,Yes,6
China,32,9,Ricciardo,Grosjean,Replay,14
China,33,5,Vettel,Hulkenberg,Yes,14
China,35,10,Di Resta,Vergne,Yes,6
China,36,3,Vettel,Button,Yes,14
China,37,5,Raikkonen,Ricciardo,Replay,1
China,38,5,Hamilton,Ricciardo,Yes,14
China,41,9,Ricciardo,Perez,,
China,43,1,Alonso,Vettel,Yes,1
China,44,3,Raikkonen,Button,Yes,14
China,44,10,Grosjean,Perez,Replay,6
China,45,4,Hamilton,Button,Yes,4
China,46,8,Ricciardo,Hulkenberg,Replay,14
China,49,12,Vergne,Bottas,,
China,50,6,Button,Massa,Yes,14
China,53,9,Grosjean,Hulkenberg,,
China,55,13,Bottas,Maldonado,,
Bahrain,2,7,Button,Raikkonen,Background,1
Bahrain,2,8,Perez,Raikkonen,,
Bahrain,2,10,Grosjean,Hamilton,,
Bahrain,2,19,Chilton,Pic,,
Bahrain,3,1,Vettel,Rosberg,Yes,6
Bahrain,3,2,Alonso,Rosberg,Yes,Finish Line
Bahrain,3,17,Pic,Chilton,,
Bahrain,4,2,Rosberg,Alonso,Yes,1
Bahrain,4,16,Pic,Bianchi,,
Bahrain,5,2,Alonso,Rosberg,Yes,1
Bahrain,5,13,Maldonado,Ricciardo,,
Bahrain,6,3,Di Resta,Rosberg,Yes,1
Bahrain,7,14,Bottas,Ricciardo,,
Bahrain,8,16,Alonso,Bianchi,Yes,11
Bahrain,9,3,Massa,Rosberg,Yes,1
Bahrain,9,18,Alonso,Gutierrez,,
Bahrain,10,10,Webber,Pic,,
Bahrain,10,14,Grosjean,Chilton,Yes,4
Bahrain,11,7,Rosberg,Pic,Yes,14
Bahrain,11,8,Button,Pic,Yes,14
Bahrain,11,15,Alonso,Ricciardo,,
Bahrain,11,20,Sutil,Van Der Garde,,
Bahrain,12,4,Vettel,Bottas,,
Bahrain,12,7,Button,Rosberg,Yes,1
Bahrain,13,4,Webber,Bottas,,
Bahrain,13,6,Rosberg,Button,Yes,1
Bahrain,14,16,Pic,Gutierrez,,
Bahrain,15,1,Vettel,Raikkonen,Yes,1
Bahrain,15,11,Hulkenberg,Maldonado,,
Bahrain,16,14,Bottas,Ricciardo,,
Bahrain,18,9,Raikkonen,Hulkenberg,,
Bahrain,20,3,Button,Rosberg,Yes,2
Bahrain,20,4,Grosjean,Rosberg,Yes,4
Bahrain,20,14,Massa,Ricciardo,,
Bahrain,21,6,Raikkonen,Hamilton,,
Bahrain,21,11,Rosberg,Bottas,,
Bahrain,21,12,Perez,Bottas,,
Bahrain,22,10,Perez,Rosberg,Yes,4
Bahrain,22,12,Button,Bottas,Yes,6
Bahrain,22,13,Massa,Bottas,Yes,9
Bahrain,23,6,Webber,Maldonado,Yes,8
Bahrain,23,7,Webber,Alonso,Yes,1
Bahrain,23,9,Rosberg,Perez,Yes,4
Bahrain,23,14,Hamilton,Ricciardo,,
Bahrain,24,5,Webber,Hulkenberg,,
Bahrain,24,8,Perez,Rosberg,Yes,1
Bahrain,24,9,Button,Rosberg,Yes,2
Bahrain,25,6,Perez,Hulkenberg,,
Bahrain,25,18,Sutil,Bianchi,,
Bahrain,26,7,Button,Hulkenberg,Yes,1
Bahrain,26,8,Rosberg,Hulkenberg,Yes,8
Bahrain,26,13,Alonso,Maldonado,,
Bahrain,27,2,Di Resta,Grosjean,Yes,1
Bahrain,27,6,Button,Perez,Replay,1
Bahrain,27,10,Hamilton,Bottas,Replay,11
Bahrain,30,17,Sutil,Gutierrez,,
Bahrain,31,12,Massa,Hulkenberg,,
Bahrain,32,7,Grosjean,Rosberg,Yes,4
Bahrain,33,6,Grosjean,Perez,Yes,4
Bahrain,34,2,Raikkonen,Di Resta,Yes,1
Bahrain,34,5,Grosjean,Button,Yes,1
Bahrain,35,9,Massa,Maldonado,Yes,1
Bahrain,35,9,Rosberg,Maldonado,Yes,11
Bahrain,35,11,Button,Maldonado,,
Bahrain,36,5,Hamilton,Perez,Yes,1
Bahrain,37,5,Raikkonen,Perez,Yes,Finish Line
Bahrain,37,18,Gutierrez,Chilton,,
Bahrain,38,3,Raikkonen,Hamilton,Yes,14
Bahrain,38,9,Button,Rosberg,Yes,4
Bahrain,40,14,Massa,Ricciardo,,
