Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,4,5,Nasr,Sainz,Yes,1
Australia,4,6,Ricciardo,Sainz,Yes,3
Australia,5,11,Ericsson,Button,,
Australia,7,7,Raikkonen,Sainz,Replay,9
Australia,24,7,Raikkonen,Ericsson,Yes,13
Australia,26,7,Nasr,Ericsson,,
Australia,27,5,Raikkonen,Verstappen,Yes,1
Australia,28,10,Ericsson,Perez,Yes,1
Australia,38,10,Sainz,Perez,,
Australia,42,10,Perez,Button,Yes,4
Australia,54,8,Ericsson,Sainz,Yes,13
Malaysia,2,9,Grosjean,Verstappen,Yes,Finish Line
Malaysia,2,13,Bottas,Nasr,,
Malaysia,2,15,Perez,Alonso,,
Malaysia,6,10,Verstappen,Kvyat,Yes,Finish Line
Malaysia,6,14,Button,Merhi,Background,Finish Line
Malaysia,6,16,Raikkonen,Nasr,,
Malaysia,7,5,Hamilton,Perez,Yes,9
Malaysia,7,6,Ricciardo,Perez,Yes,11
Malaysia,7,7,Massa,Perez,Yes,Finish Line
Malaysia,7,15,Raikkonen,Merhi,,
Malaysia,8,8,Rosberg,Perez,Yes,1
Malaysia,8,9,Verstappen,Perez,Yes,4
Malaysia,8,10,Kvyat,Perez,Yes,5
Malaysia,8,11,Bottas,Perez,Yes,14
Malaysia,8,16,Nasr,Merhi,,
Malaysia,9,7,Rosberg,Massa,Yes,15
Malaysia,10,2,Hamilton,Hulkenberg,Yes,Finish Line
Malaysia,10,3,Hamilton,Grosjean,Yes,11
Malaysia,10,4,Hamilton,Sainz,Yes,1
Malaysia,10,10,Bottas,Kvyat,,
Malaysia,10,14,Raikkonen,Button,,
Malaysia,11,9,Bottas,Verstappen,Yes,1
Malaysia,11,13,Raikkonen,Alonso,,
Malaysia,11,17,Maldonado,Merhi,,
Malaysia,12,5,Rosberg,Sainz,Yes,15
Malaysia,12,6,Rosberg,Ricciardo,Yes,1
Malaysia,13,4,Rosberg,Grosjean,Yes,11
Malaysia,13,12,Raikkonen,Perez,Yes,1
Malaysia,14,3,Rosberg,Hulkenberg,Yes,1
Malaysia,14,7,Massa,Ricciardo,Yes,1
Malaysia,14,8,Bottas,Ricciardo,Yes,Finish Line
Malaysia,14,13,Alonso,Perez,Background,14
Malaysia,15,5,Massa,Grosjean,Yes,11
Malaysia,15,6,Bottas,Grosjean,Yes,15
Malaysia,15,11,Perez,Alonso,,
Malaysia,15,11,Alonso,Perez,,
Malaysia,16,10,Button,Perez,Yes,14
Malaysia,16,14,Raikkonen,Sainz,Background,Finish Line
Malaysia,17,6,Verstappen,Ricciardo,Replay,12
Malaysia,17,10,Perez,Button,Yes,1
Malaysia,17,10,Button,Perez,Aftermath,3
Malaysia,17,11,Nasr,Perez,Yes,15
Malaysia,17,13,Raikkonen,Maldonado,Yes,1
Malaysia,17,14,Sainz,Maldonado,,
Malaysia,17,15,Grosjean,Maldonado,,
Malaysia,17,16,Grosjean,Hulkenberg,Yes,1
Malaysia,18,7,Kvyat,Ricciardo,Yes,1
Malaysia,18,11,Raikkonen,Nasr,Replay,15
Malaysia,19,9,Raikkonen,Button,Yes,1
Malaysia,20,8,Raikkonen,Alonso,,
Malaysia,20,17,Maldonado,Merhi,,
Malaysia,21,2,Vettel,Rosberg,Yes,15
Malaysia,21,8,Grosjean,Button,,
Malaysia,21,9,Sainz,Button,Yes,4
Malaysia,21,10,Grosjean,Sainz,,
Malaysia,23,10,Verstappen,Ricciardo,Yes,2
Malaysia,24,1,Vettel,Hamilton,Yes,15
Malaysia,24,9,Verstappen,Hulkenberg,Yes,1
Malaysia,26,11,Kvyat,Ricciardo,Yes,1
Malaysia,28,9,Ricciardo,Hulkenberg,Yes,1
Malaysia,29,3,Rosberg,Raikkonen,Yes,1
Malaysia,29,5,Massa,Sainz,Yes,1
Malaysia,29,11,Kvyat,Perez,Yes,2
Malaysia,30,6,Verstappen,Sainz,Yes,1
Malaysia,30,7,Bottas,Sainz,,
Malaysia,30,10,Kvyat,Hulkenberg,Yes,1
Malaysia,34,6,Bottas,Verstappen,Yes,5
Malaysia,34,12,Sainz,Grosjean,,
Malaysia,36,6,Raikkonen,Verstappen,Yes,15
Malaysia,42,12,Grosjean,Nasr,Yes,15
Malaysia,44,11,Grosjean,Hulkenberg,Yes,1
Malaysia,48,7,Verstappen,Sainz,Yes,4
Malaysia,48,12,Nasr,Perez,,
Malaysia,55,5,Bottas,Massa,Yes,5
China,3,9,Maldonado,Ericsson,Yes,1
China,3,15,Ricciardo,Alonso,Yes,9
China,3,19,Sainz,Stevens,,
China,4,13,Perez,Kvyat,Yes,16
China,4,18,Sainz,Merhi,,
China,6,14,Ricciardo,Kvyat,Yes,6
China,8,8,Maldonado,Nasr,Yes,15
China,9,10,Verstappen,Ericsson,Yes,15
China,9,19,Stevens,Merhi,,
China,11,16,Nasr,Sainz,Replay,15
China,12,13,Maldonado,Button,,
China,12,14,Verstappen,Sainz,,
China,13,15,Perez,Sainz,Yes,Finish Line
China,14,9,Maldonado,Kvyat,Replay,15
China,15,8,Grosjean,Kvyat,Yes,1
China,16,12,Ericsson,Sainz,,
China,17,13,Ricciardo,Sainz,Yes,1
China,17,15,Button,Alonso,Replay,15
China,19,9,Verstappen,Nasr,Yes,15
China,27,11,Ricciardo,Ericsson,Yes,1
China,27,11,Ericsson,Ricciardo,Yes,6
China,27,14,Perez,Alonso,Yes,15
China,28,11,Ricciardo,Ericsson,Yes,15
China,31,12,Perez,Button,Replay,15
China,32,14,Ericsson,Alonso,,
China,34,14,Maldonado,Button,Replay,15
China,40,8,Verstappen,Perez,Yes,7
China,40,9,Nasr,Perez,Yes,16
China,43,10,Ricciardo,Ericsson,Yes,6
China,47,13,Maldonado,Button,Yes,6
China,47,13,Button,Maldonado,Yes,15
China,47,13,Maldonado,Button,Yes,15
Bahrain,2,15,Maldonado,Kvyat,Yes,2
Bahrain,2,16,Massa,Kvyat,Yes,4
Bahrain,4,3,Rosberg,Raikkonen,Yes,1
Bahrain,4,15,Massa,Maldonado,,
Bahrain,5,14,Massa,Verstappen,,
Bahrain,6,15,Maldonado,Verstappen,Replay,1
Bahrain,6,18,Stevens,Merhi,,
Bahrain,7,13,Massa,Alonso,Yes,1
Bahrain,9,2,Rosberg,Vettel,Yes,1
Bahrain,9,10,Perez,Sainz,,
Bahrain,11,14,Massa,Nasr,Replay,5
Bahrain,11,17,Maldonado,Merhi,,
Bahrain,12,9,Kvyat,Alonso,,
Bahrain,12,15,Maldonado,Stevens,,
Bahrain,12,18,Verstappen,Merhi,,
Bahrain,13,16,Sainz,Stevens,,
Bahrain,14,9,Grosjean,Hulkenberg,Replay,1
Bahrain,14,17,Verstappen,Stevens,,
Bahrain,15,10,Ericsson,Hulkenberg,Yes,1
Bahrain,16,3,Rosberg,Vettel,Yes,1
Bahrain,16,6,Bottas,Kvyat,,
Bahrain,17,5,Bottas,Perez,,
Bahrain,17,15,Kvyat,Sainz,,
