,0,1,2
0,102,3,1:21.548
1,30,22,1:21.885
2,77,6,1:22.113
3,71,3,1:22.168
4,109,22,1:22.717
5,78,6,1:22.841
6,49,15,1:23.119
7,57,1,1:23.140
8,79,25,1:23.322
9,91,15,1:23.347
10,81,29,1:23.663
11,87,25,1:23.703
12,84,1,1:23.858
13,94,18,1:24.078
14,105,18,1:24.276
15,104,29,1:24.472
16,103,27,1:24.678
17,100,33,1:24.852
18,44,27,1:24.996
19,65,32,1:25.114
20,110,17,1:25.234
21,83,32,1:25.295
22,106,33,1:25.991
23,101,31,1:26.817
24,92,30,1:27.143
25,107,31,1:27.584
26,108,30,1:27.881
27,22,17,3:00.00
