,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,226.0,71.0,damon_hill,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,226.0,30.0,michael_schumacher,12.0,41.0,Broken wing,604.0,830.0,906.0,671.0,795.0,430.0,1040.0,1089.0,1290.0,1786.0,2218.0,2205.0,2218.0,1823.0,2626.0,2659.0,4182.0,5073.0,6119.0,6437.0,5623.0,24593.0,24617.0,24890.0,4271.0,5299.0,5205.0,5005.0,736.0,1932.0,1638.0,480.0,1142.0,948.0,999.0,709.0,1301.0,2781.0,3581.0,4402.0,29582.0,31682.0,34396.0,38283.0,42908.0,54622.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,226.0,55.0,alesi,3.0,1.0,Finished,1509.0,1632.0,1906.0,2416.0,2650.0,2282.0,2845.0,2934.0,2809.0,3152.0,3114.0,4472.0,4523.0,3852.0,4893.0,4643.0,6748.0,7310.0,7387.0,7664.0,6906.0,7548.0,26212.0,26003.0,4867.0,5948.0,6205.0,7397.0,1461.0,1514.0,2866.0,1111.0,1681.0,1608.0,1641.0,1330.0,2066.0,3091.0,4326.0,4952.0,4580.0,4116.0,3987.0,4132.0,43185.0,43606.0,42221.0,41991.0,42035.0,42150.0,42792.0,23096.0,25937.0,28569.0,30932.0,31399.0,30706.0,29888.0,29222.0,27183.0,26628.0,26016.0,25386.0,25875.0,25105.0,23937.0,24340.0,24390.0,22640.0,21072.0,18773.0,14754.0
3,226.0,77.0,berger,11.0,22.0,Suspension,2282.0,2238.0,2924.0,3368.0,4785.0,4054.0,4706.0,4825.0,5137.0,5636.0,5496.0,5533.0,7159.0,6799.0,7928.0,8427.0,8694.0,9728.0,10342.0,10591.0,9928.0,10124.0,10212.0,12636.0,11555.0,11893.0,11970.0,13983.0,2585.0,4051.0,3567.0,1871.0,3072.0,3417.0,3309.0,2982.0,3259.0,4109.0,5030.0,6105.0,6190.0,6745.0,6983.0,7623.0,8531.0,8888.0,9847.0,29885.0,30244.0,30929.0,31087.0,11397.0,12804.0,13246.0,13350.0,19680.0,,,,,,,,,,,,,,,,
4,226.0,14.0,coulthard,7.0,1.0,Finished,5721.0,7593.0,9362.0,11242.0,13378.0,14721.0,17024.0,19603.0,23302.0,25822.0,27218.0,28833.0,30798.0,31829.0,34160.0,35611.0,37409.0,38850.0,40605.0,42259.0,42784.0,44698.0,45597.0,46770.0,26517.0,28949.0,50641.0,56935.0,38884.0,5382.0,5581.0,2919.0,5197.0,8545.0,10611.0,12240.0,14549.0,17014.0,19363.0,21392.0,23156.0,25751.0,28086.0,30232.0,32201.0,33302.0,33712.0,35044.0,36842.0,38785.0,60324.0,45086.0,48145.0,50667.0,54685.0,57513.0,60269.0,61735.0,62758.0,64950.0,66213.0,67782.0,69042.0,70482.0,71827.0,73506.0,74851.0,75411.0,75765.0,75562.0,75316.0,73400.0
5,226.0,22.0,barrichello,4.0,1.0,Finished,6454.0,8863.0,11120.0,14037.0,17338.0,18707.0,21452.0,23837.0,25123.0,26964.0,28671.0,30509.0,31944.0,33305.0,35597.0,37113.0,38535.0,39925.0,41917.0,43854.0,44915.0,46072.0,47846.0,49082.0,28946.0,31599.0,33250.0,47148.0,54430.0,8827.0,9671.0,5033.0,9047.0,13019.0,15485.0,17864.0,21050.0,23777.0,26828.0,29485.0,32669.0,34868.0,37136.0,39634.0,44213.0,47207.0,47651.0,48597.0,49779.0,50922.0,51665.0,33152.0,36606.0,38476.0,39422.0,40630.0,42264.0,43284.0,44345.0,44371.0,45063.0,46050.0,46791.0,48486.0,49645.0,51235.0,52815.0,53903.0,56057.0,56882.0,56118.0,55131.0
6,226.0,50.0,verstappen,6.0,1.0,Finished,7102.0,9571.0,11750.0,15296.0,17776.0,19309.0,21687.0,24528.0,26067.0,27592.0,29162.0,37433.0,39017.0,38957.0,40368.0,40772.0,41822.0,43252.0,45135.0,46938.0,47079.0,72639.0,73602.0,74816.0,54452.0,56165.0,57147.0,64348.0,47963.0,8591.0,7791.0,4417.0,7314.0,8785.0,10973.0,12816.0,15109.0,17361.0,19969.0,22101.0,23738.0,26061.0,28751.0,30811.0,33496.0,56759.0,57634.0,60780.0,64113.0,66184.0,67972.0,49340.0,51696.0,53773.0,56175.0,59006.0,61219.0,62144.0,62968.0,62157.0,62489.0,63625.0,64549.0,65292.0,65309.0,65827.0,66192.0,66437.0,66811.0,66674.0,65374.0,68913.0
7,226.0,57.0,hakkinen,22.0,37.0,Throttle,7942.0,10189.0,13038.0,15821.0,18512.0,20063.0,22235.0,25045.0,26780.0,28893.0,30437.0,31853.0,33153.0,34165.0,36254.0,38017.0,39537.0,41034.0,45832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,226.0,35.0,villeneuve,2.0,1.0,Finished,8438.0,10466.0,12288.0,14772.0,16253.0,16574.0,17633.0,19866.0,20451.0,20647.0,20295.0,21098.0,21827.0,21672.0,22816.0,22655.0,23305.0,23936.0,24732.0,25593.0,25236.0,25413.0,27189.0,27539.0,8170.0,33419.0,34135.0,46560.0,27252.0,4923.0,4246.0,2279.0,3378.0,4187.0,4551.0,4745.0,5545.0,6001.0,6305.0,7196.0,7560.0,7880.0,8879.0,9659.0,11409.0,13031.0,12216.0,11999.0,11992.0,32252.0,32046.0,12207.0,16467.0,17550.0,17353.0,17798.0,18841.0,19372.0,18538.0,17755.0,17388.0,17023.0,17133.0,16534.0,15813.0,17393.0,17772.0,17300.0,16867.0,15683.0,14081.0,12167.0
9,226.0,56.0,irvine,5.0,1.0,Finished,9071.0,10960.0,13653.0,16273.0,18992.0,20679.0,22882.0,25789.0,27567.0,29575.0,31096.0,32722.0,34255.0,34881.0,37011.0,38510.0,40515.0,41892.0,43840.0,44648.0,45649.0,47031.0,48967.0,50166.0,29679.0,32421.0,54494.0,58732.0,40125.0,8157.0,7237.0,3996.0,8273.0,11117.0,12699.0,13982.0,15830.0,18150.0,20746.0,23047.0,24623.0,26522.0,29446.0,31749.0,34026.0,35113.0,35213.0,57774.0,59594.0,61384.0,62865.0,45720.0,48857.0,51564.0,53023.0,54668.0,56376.0,57231.0,57589.0,56754.0,57534.0,59343.0,60246.0,61659.0,61915.0,63192.0,63578.0,63789.0,63809.0,63535.0,62579.0,64991.0
