,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,188130.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,188960.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,8,8,8,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,189762.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,8,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,190368.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,195723.0,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,6,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,6,6,6,6,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
5,196993.0,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,10,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,197701.0,7,7,7,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,10,10,9,11,10,10,10,10,10,10,9,10,10,9,7,7,7,7,7,7,7,7,6,6,6,6,5,11,10,10,10,9,9,9,9,9,9,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
7,198319.0,8,8,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,198596.0,9,9,8,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,8,6,5,5,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,199090.0,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,9,9,8,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,6,5,5,8,8,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,200492.0,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,12,10,9,9,9,9,8,8,7,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,201820.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,13,13,12,11,11,11,11,11,11,11,2,15,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,202362.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,11,10,16,15,15,15,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,203449.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,11,9,16,16,16,15,15,15,13,13,13,12,11,10,10,10,10,10,10,10,10,10,10,10,10,8,8,7,7,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
14,203853.0,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,15,15,15,14,14,13,12,12,12,12,12,12,16,15,5,15,14,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
15,204302.0,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,19,19,19,18,18,17,17,17,17,17,16,16,14,14,14,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,204950.0,17,17,17,17,17,17,19,19,19,19,19,19,19,19,22,22,22,22,22,21,21,21,21,21,19,19,19,19,18,17,17,17,16,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,209265.0,18,20,20,20,20,20,20,21,21,21,22,22,22,22,21,21,21,20,20,19,19,19,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,206937.0,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,16,16,16,15,15,14,13,13,13,13,13,14,12,12,12,11,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,209774.0,20,21,21,22,22,22,22,22,22,22,21,21,21,21,20,20,20,21,21,20,20,20,19,19,18,18,18,18,17,16,16,16,15,14,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0
20,208506.0,21,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,17,17,17,16,16,15,14,14,14,16,17,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,210112.0,22,22,22,21,21,21,21,20,20,20,20,20,20,20,19,19,18,18,18,17,17,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
