,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
16,226.0,71.0,damon_hill,1.0,1.0,Finished,95109.0,188130.0,280532.0,372586.0,464279.0,556580.0,648193.0,739600.0,830990.0,922148.0,1013593.0,1105094.0,1196296.0,1287763.0,1378292.0,1469812.0,1560661.0,1651734.0,1742415.0,1832991.0,1924172.0,2014841.0,2105476.0,2195918.0,2307818.0,2398378.0,2489702.0,2580869.0,2694334.0,2876108.0,3069496.0,3235613.0,3330007.0,3421888.0,3513099.0,3604076.0,3694192.0,3784039.0,3874223.0,3964104.0,4054187.0,4144188.0,4234054.0,4323707.0,4413436.0,4503743.0,4595318.0,4686007.0,4776361.0,4866661.0,4957361.0,5067730.0,5157770.0,5248212.0,5339040.0,5429736.0,5520038.0,5611028.0,5702686.0,5795107.0,5886668.0,5977454.0,6068767.0,6159529.0,6250645.0,6341226.0,6432275.0,6523519.0,6615111.0,6707448.0,6800398.0,6895322.0
3,226.0,30.0,michael_schumacher,12.0,41.0,Broken wing,95713.0,188960.0,281438.0,373257.0,465074.0,557010.0,649233.0,740689.0,832280.0,923934.0,1015811.0,1107299.0,1198514.0,1289586.0,1380918.0,1472471.0,1564843.0,1656807.0,1748534.0,1839428.0,1929795.0,2039434.0,2130093.0,2220808.0,2312089.0,2403677.0,2494907.0,2585874.0,2695070.0,2878040.0,3071134.0,3236093.0,3331149.0,3422836.0,3514098.0,3604785.0,3695493.0,3786820.0,3877804.0,3968506.0,4083769.0,4175870.0,4268450.0,4361990.0,4456344.0,4558365.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,226.0,55.0,alesi,3.0,1.0,Finished,96618.0,189762.0,282438.0,375002.0,466929.0,558862.0,651038.0,742534.0,833799.0,925300.0,1016707.0,1109566.0,1200819.0,1291615.0,1383185.0,1474455.0,1567409.0,1659044.0,1749802.0,1840655.0,1931078.0,2022389.0,2131688.0,2221921.0,2312685.0,2404326.0,2495907.0,2588266.0,2695795.0,2877622.0,3072362.0,3236724.0,3331688.0,3423496.0,3514740.0,3605406.0,3696258.0,3787130.0,3878549.0,3969056.0,4058767.0,4148304.0,4238041.0,4327839.0,4456621.0,4547349.0,4637539.0,4727998.0,4818396.0,4908811.0,5000153.0,5090826.0,5183707.0,5276781.0,5369972.0,5461135.0,5550744.0,5640916.0,5731908.0,5822290.0,5913296.0,6003470.0,6094153.0,6185404.0,6275750.0,6365163.0,6456615.0,6547909.0,6637751.0,6728520.0,6819171.0,6910076.0
18,226.0,77.0,berger,11.0,22.0,Suspension,97391.0,190368.0,283456.0,375954.0,469064.0,560634.0,652899.0,744425.0,836127.0,927784.0,1019089.0,1110627.0,1203455.0,1294562.0,1386220.0,1478239.0,1569355.0,1661462.0,1752757.0,1843582.0,1934100.0,2024965.0,2115688.0,2208554.0,2319373.0,2410271.0,2501672.0,2594852.0,2696919.0,2880159.0,3073063.0,3237484.0,3333079.0,3425305.0,3516408.0,3607058.0,3697451.0,3788148.0,3879253.0,3970209.0,4060377.0,4150933.0,4241037.0,4331330.0,4421967.0,4512631.0,4605165.0,4715892.0,4806605.0,4897590.0,4988448.0,5079127.0,5170574.0,5261458.0,5352390.0,5449416.0,,,,,,,,,,,,,,,,
1,226.0,14.0,coulthard,7.0,1.0,Finished,100830.0,195723.0,289894.0,383828.0,477657.0,571301.0,665217.0,759203.0,854292.0,947970.0,1040811.0,1133927.0,1227094.0,1319592.0,1412452.0,1505423.0,1598070.0,1690584.0,1783020.0,1875250.0,1966956.0,2059539.0,2151073.0,2242688.0,2334335.0,2427327.0,2540343.0,2637804.0,2733218.0,2881490.0,3075077.0,3238532.0,3335204.0,3430433.0,3523710.0,3616316.0,3708741.0,3801053.0,3893586.0,3985496.0,4077343.0,4169939.0,4262140.0,4353939.0,4445637.0,4537045.0,4629030.0,4721051.0,4813203.0,4905446.0,5017685.0,5112816.0,5205915.0,5298879.0,5393725.0,5487249.0,5580307.0,5672763.0,5765444.0,5860057.0,5952881.0,6045236.0,6137809.0,6230011.0,6322472.0,6414732.0,6507126.0,6598930.0,6690876.0,6783010.0,6875714.0,6968722.0
2,226.0,22.0,barrichello,4.0,1.0,Finished,101563.0,196993.0,291652.0,386623.0,481617.0,575287.0,669645.0,763437.0,856113.0,949112.0,1042264.0,1135603.0,1228240.0,1321068.0,1413889.0,1506925.0,1599196.0,1691659.0,1784332.0,1876845.0,1969087.0,2060913.0,2153322.0,2245000.0,2336764.0,2429977.0,2522952.0,2628017.0,2748764.0,2884935.0,3079167.0,3240646.0,3339054.0,3434907.0,3528584.0,3621940.0,3715242.0,3807816.0,3901051.0,3993589.0,4086856.0,4179056.0,4271190.0,4363341.0,4457649.0,4550950.0,4642969.0,4734604.0,4826140.0,4917583.0,5009026.0,5100882.0,5194376.0,5286688.0,5378462.0,5470366.0,5562302.0,5654312.0,5747031.0,5839478.0,5931731.0,6023504.0,6115558.0,6208015.0,6300290.0,6392461.0,6485090.0,6577422.0,6671168.0,6764330.0,6856516.0,6950453.0
7,226.0,50.0,verstappen,6.0,1.0,Finished,102211.0,197701.0,292282.0,387882.0,482055.0,575889.0,669880.0,764128.0,857057.0,949740.0,1042755.0,1142527.0,1235313.0,1326720.0,1418660.0,1510584.0,1602483.0,1694986.0,1787550.0,1879929.0,1971251.0,2087480.0,2179078.0,2270734.0,2362270.0,2454543.0,2546849.0,2645217.0,2742297.0,2884699.0,3077287.0,3240030.0,3337321.0,3430673.0,3524072.0,3616892.0,3709301.0,3801400.0,3894192.0,3986205.0,4077925.0,4170249.0,4262805.0,4354518.0,4446932.0,4560502.0,4652952.0,4746787.0,4840474.0,4932845.0,5025333.0,5117070.0,5209466.0,5301985.0,5395215.0,5488742.0,5581257.0,5673172.0,5765654.0,5857264.0,5949157.0,6041079.0,6133316.0,6224821.0,6315954.0,6407053.0,6498467.0,6589956.0,6681922.0,6774122.0,6865772.0,6964235.0
10,226.0,57.0,hakkinen,22.0,37.0,Throttle,103051.0,198319.0,293570.0,388407.0,482791.0,576643.0,670428.0,764645.0,857770.0,951041.0,1044030.0,1136947.0,1229449.0,1321928.0,1414546.0,1507829.0,1600198.0,1692768.0,1788247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,226.0,35.0,villeneuve,2.0,1.0,Finished,103547.0,198596.0,292820.0,387358.0,480532.0,573154.0,665826.0,759466.0,851441.0,942795.0,1033888.0,1126192.0,1218123.0,1309435.0,1401108.0,1492467.0,1583966.0,1675670.0,1767147.0,1858584.0,1949408.0,2040254.0,2132665.0,2223457.0,2315988.0,2431797.0,2523837.0,2627429.0,2721586.0,2881031.0,3073742.0,3237892.0,3333385.0,3426075.0,3517650.0,3608821.0,3699737.0,3790040.0,3880528.0,3971300.0,4061747.0,4152068.0,4242933.0,4333366.0,4424845.0,4516774.0,4607534.0,4698006.0,4788353.0,4898913.0,4989407.0,5079937.0,5174237.0,5265762.0,5356393.0,5447534.0,5538879.0,5630400.0,5721224.0,5812862.0,5904056.0,5994477.0,6085900.0,6176063.0,6266458.0,6358619.0,6450047.0,6540819.0,6631978.0,6723131.0,6814479.0,6907489.0
9,226.0,56.0,irvine,5.0,1.0,Finished,104180.0,199090.0,294185.0,388859.0,483271.0,577259.0,671075.0,765389.0,858557.0,951723.0,1044689.0,1137816.0,1230551.0,1322644.0,1415303.0,1508322.0,1601176.0,1693626.0,1786255.0,1877639.0,1969821.0,2061872.0,2154443.0,2246084.0,2337497.0,2430799.0,2544196.0,2639601.0,2734459.0,2884265.0,3076733.0,3239609.0,3338280.0,3433005.0,3525798.0,3618058.0,3710022.0,3802189.0,3894969.0,3987151.0,4078810.0,4170710.0,4263500.0,4355456.0,4447462.0,4538856.0,4630531.0,4743781.0,4835955.0,4928045.0,5020226.0,5113450.0,5206627.0,5299776.0,5392063.0,5484404.0,5576414.0,5668259.0,5760275.0,5851861.0,5944202.0,6036797.0,6129013.0,6221188.0,6312560.0,6404418.0,6495853.0,6587308.0,6678920.0,6770983.0,6862977.0,6960313.0
6,226.0,49.0,frentzen,17.0,20.0,Spun off,104791.0,200492.0,294779.0,389418.0,483953.0,578208.0,672144.0,766316.0,859684.0,953059.0,1046079.0,1138787.0,1231482.0,1324169.0,1416709.0,1508910.0,1601932.0,1694120.0,1787144.0,1878763.0,1989711.0,2081324.0,2172329.0,2264461.0,2356037.0,2447842.0,2541745.0,2638706.0,2733779.0,2883250.0,3075624.0,3238868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
