,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
4,233,35,villeneuve,3,1,1,Finished,96632,186231,275615,365037.0,454563.0,544399.0,635244.0,725056.0,814828.0,904757.0,994693.0,1084528.0,1174471.0,1264121.0,1354564.0,1444404.0,1536489.0,1627760.0,1719250.0,1808656.0,1897944.0,1987485.0,2083499.0,2195969.0,2286911.0,2378254.0,2470389.0,2561178.0,2651783.0,2742200.0,2832979.0,2924122.0,3013911.0,3103759.0,3194192.0,3284272.0,3374690.0,3464818.0,3555210.0,3646222.0,3737853.0,3834548.0,3945358.0,4035237.0,4125662.0,4216714.0,4306884.0,4397398.0,4487605.0,4577912.0,4668305.0,4759036.0,4849970.0,4941323.0,5032701.0,5123045.0,5213259.0,5303841.0,5394825.0,5486356.0,5580874.0
8,233,55,alesi,22,12,23,Brakes,98235,189023,279576,370254.0,461009.0,551842.0,642502.0,733403.0,824496.0,915530.0,1006602.0,1097684.0,1188355.0,1279345.0,1371274.0,1462406.0,1553284.0,1644488.0,1735651.0,1826715.0,1918400.0,2009909.0,2100950.0,2192638.0,2283439.0,2375148.0,2466135.0,2556798.0,2648497.0,2739199.0,2837618.0,2952635.0,3044377.0,3136055.0,3227667.0,3319299.0,3410589.0,3502858.0,3594398.0,3685801.0,3778459.0,3870696.0,3961994.0,4068256.0,,,,,,,,,,,,,,,,,
10,233,57,hakkinen,1,3,1,Finished,99295,190224,280818,371726.0,462503.0,553259.0,644035.0,734855.0,826177.0,917033.0,1008045.0,1099273.0,1190476.0,1281647.0,1373314.0,1464534.0,1555851.0,1647252.0,1738387.0,1829524.0,1920478.0,2011778.0,2102979.0,2194301.0,2285318.0,2376626.0,2474869.0,2584816.0,2676045.0,2767379.0,2859026.0,2950642.0,3041805.0,3133007.0,3224228.0,3315427.0,3407145.0,3497973.0,3590202.0,3682416.0,3773519.0,3864050.0,3954838.0,4051993.0,4162190.0,4253803.0,4345703.0,4436776.0,4527706.0,4619132.0,4711009.0,4803739.0,4896036.0,4988150.0,5079478.0,5170272.0,5262622.0,5354373.0,5446214.0,5538305.0,5631704.0
3,233,30,michael_schumacher,6,20,9,Hydraulics,100235,191179,383366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,233,71,damon_hill,3,15,36,Wheel,100894,191880,282144,372638.0,463599.0,554360.0,645160.0,735890.0,827174.0,918343.0,1009587.0,1100303.0,1191305.0,1282747.0,1373998.0,1465259.0,1556552.0,1648020.0,1739575.0,1830262.0,1921176.0,2012495.0,2103973.0,2195136.0,2285968.0,2377188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,233,22,barrichello,17,4,1,Finished,101655,193412,285195,376327.0,467575.0,559027.0,650272.0,741608.0,832977.0,924600.0,1015998.0,1107222.0,1198597.0,1290167.0,1382621.0,1474165.0,1565714.0,1657278.0,1754575.0,1866100.0,1956771.0,2048007.0,2139172.0,2230846.0,2322451.0,2414313.0,2506551.0,2598118.0,2689663.0,2781552.0,2874067.0,2965233.0,3056609.0,3147948.0,3239063.0,3330225.0,3421170.0,3518287.0,3632267.0,3723558.0,3814997.0,3906423.0,3997988.0,4089195.0,4180351.0,4271547.0,4362672.0,4453993.0,4545093.0,4636342.0,4727640.0,4818866.0,4910071.0,5002127.0,5093439.0,5184701.0,5276068.0,5368042.0,5460850.0,5553995.0,5647590.0
9,233,56,irvine,6,19,24,Differential,102242,194248,286011,377501.0,469764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,233,77,berger,22,2,1,Finished,103054,195224,286809,378452.0,470480.0,561906.0,652712.0,743625.0,834587.0,925911.0,1017348.0,1108748.0,1200298.0,1291725.0,1383474.0,1475091.0,1566742.0,1658212.0,1749792.0,1840484.0,1930760.0,2021772.0,2112393.0,2204676.0,2295688.0,2387388.0,2478269.0,2568478.0,2659327.0,2750905.0,2841211.0,2932317.0,3029375.0,3143670.0,3234337.0,3325036.0,3415564.0,3506159.0,3598104.0,3688664.0,3779874.0,3871820.0,3962902.0,4054745.0,4145542.0,4236459.0,4326629.0,4417505.0,4508207.0,4599763.0,4690504.0,4781558.0,4871817.0,4962201.0,5052808.0,5142792.0,5233471.0,5324587.0,5416474.0,5507911.0,5599900.0
19,233,84,brundle,17,6,11,+1 Lap,103745,196287,288197,380034.0,471651.0,563606.0,654954.0,746222.0,837511.0,928930.0,1020322.0,1111582.0,1203116.0,1294663.0,1386329.0,1477523.0,1575942.0,1692549.0,1784208.0,1875920.0,1967866.0,2060567.0,2152669.0,2244597.0,2336470.0,2428403.0,2520672.0,2623299.0,2735419.0,2826499.0,2917291.0,3008117.0,3098669.0,3190102.0,3281046.0,3372028.0,3462924.0,3554167.0,3645282.0,3743698.0,3856757.0,3948421.0,4039773.0,4132237.0,4223736.0,4315414.0,4407942.0,4499606.0,4591135.0,4682603.0,4774033.0,4865547.0,4957026.0,5048652.0,5139993.0,5231291.0,5322635.0,5414065.0,5505970.0,5597786.0,
0,233,14,coulthard,1,5,1,Finished,104314,197076,288977,380990.0,472780.0,564767.0,656450.0,748000.0,839621.0,931244.0,1023131.0,1114794.0,1206239.0,1297942.0,1389791.0,1481652.0,1573659.0,1665098.0,1756738.0,1848260.0,1939770.0,2031262.0,2129310.0,2239395.0,2331078.0,2422525.0,2514134.0,2605743.0,2697294.0,2789109.0,2880657.0,2972231.0,3065258.0,3156979.0,3248887.0,3341250.0,3433949.0,3525496.0,3617023.0,3708581.0,3806627.0,3919745.0,4011697.0,4103153.0,4194615.0,4286014.0,4377549.0,4469173.0,4560455.0,4651813.0,4743365.0,4835046.0,4927000.0,5018945.0,5111562.0,5203499.0,5295176.0,5387047.0,5478886.0,5570727.0,5663381.0
6,233,49,frentzen,15,8,11,+1 Lap,105053,198230,291307,384041.0,476862.0,570181.0,663322.0,756563.0,849707.0,943081.0,1036401.0,1129380.0,1222679.0,1316726.0,1410183.0,1505055.0,1598830.0,1692410.0,1786774.0,1880647.0,1973783.0,2066840.0,2160182.0,2253190.0,2346032.0,2438965.0,2531777.0,2624939.0,2717703.0,2817050.0,2933729.0,3027540.0,3121367.0,3215548.0,3309407.0,3402854.0,3496452.0,3589871.0,3684339.0,3777799.0,3873114.0,3966502.0,4059935.0,4152766.0,4245797.0,4338609.0,4431479.0,4524310.0,4617042.0,4709803.0,4802575.0,4895247.0,4989587.0,5082249.0,5174958.0,5267651.0,5360400.0,5453583.0,5546824.0,5639701.0,
13,233,65,herbert,15,9,11,+1 Lap,105378,198849,292090,384969.0,477645.0,570877.0,663956.0,757162.0,850354.0,943735.0,1037140.0,1130205.0,1223341.0,1317252.0,1410829.0,1504112.0,1597052.0,1689286.0,1781684.0,1874302.0,1966810.0,2065109.0,2176358.0,2268899.0,2361621.0,2455177.0,2550435.0,2643593.0,2737327.0,2831870.0,2926218.0,3019568.0,3112106.0,3204809.0,3297611.0,3390089.0,3482545.0,3574831.0,3667160.0,3759781.0,3858392.0,3969046.0,4061294.0,4153574.0,4246685.0,4339679.0,4432307.0,4525065.0,4617713.0,4710714.0,4803561.0,4898453.0,4991099.0,5083792.0,5176005.0,5268537.0,5361168.0,5454285.0,5547623.0,5640496.0,
7,233,50,verstappen,29,10,11,+1 Lap,105789,199374,292659,385456.0,478258.0,571347.0,664516.0,757915.0,851060.0,944323.0,1038845.0,1132553.0,1226118.0,1319046.0,1412537.0,1505680.0,1599403.0,1693796.0,1787378.0,1881274.0,1974602.0,2067731.0,2160757.0,2253775.0,2347003.0,2439635.0,2532529.0,2627250.0,2727845.0,2847261.0,2940755.0,3033824.0,3127660.0,3221224.0,3314658.0,3409429.0,3504098.0,3598973.0,3692350.0,3786177.0,3879664.0,3973340.0,4066986.0,4160349.0,4253371.0,4347438.0,4440811.0,4533390.0,4625950.0,4718643.0,4811604.0,4904280.0,4996729.0,5088922.0,5181002.0,5273207.0,5365658.0,5458556.0,5551594.0,5645550.0,
17,233,79,katayama,25,18,5,Engine,106514,201793,295339,388332.0,481152.0,574700.0,667878.0,760896.0,858090.0,950789.0,1044509.0,1144183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
