,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,villeneuve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,coulthard,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,barrichello,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
3,michael_schumacher,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,damon_hill,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,11,11,11,10,10,9,10,10,10,10,9,9,9,9,8,8,8,8,8,8,7,8,8,7,7,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
5,hakkinen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,2,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,5,5,5,7,6,6,5,6,6,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8
6,brundle,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,9,9,9,9,9,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,4,3,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,frentzen,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,9,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,10,9,9,8,8,8,8,8,7,7,7,7,7,7,10,11,11,0,0,0,0,0,0,0,0
8,irvine,9,9,9,9,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,herbert,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,11,11,11,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,7,6,10,10,10,10,10,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7
