,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2,235,30,michael_schumacher,6,9,37,Throttle,85450,166543.0,248078.0,329331.0,411066.0,492673.0,574586.0,656029.0,737756.0,819295.0,900854.0,982760.0,1064336.0,1145994.0,1227777.0,1310266.0,1392379.0,1474633.0,1562230.0,1664280.0,1748037.0,1831102.0,1913962.0,1996949.0,2080445.0,2162796.0,2245326.0,2327504.0,2409598.0,2492112.0,2573862.0,2655484.0,2737544.0,2821316.0,2903647.0,2985242.0,3067164.0,3149150.0,3235735.0,3335800.0,3416712.0,3498159.0,3580332.0,3662233.0,3744757.0,3827706.0,3910145.0,3992575.0,4075202.0,4158979.0,4244609.0,4331381.0,4437125.0,4519903.0,4601918.0,4684116.0,4766212.0,4848560.0,4931892.0,5014963.0,5098898.0,5181902.0,5267743.0,5349332.0,5431209.0,5513498.0,5597253.0,5680493.0,5764914.0,5851955.0,,,,,,,
3,235,35,villeneuve,3,1,1,Finished,86622,167859.0,249374.0,330455.0,411725.0,493500.0,575516.0,656747.0,738199.0,819821.0,901610.0,983460.0,1064897.0,1146249.0,1228078.0,1310594.0,1392642.0,1474797.0,1559236.0,1640307.0,1725636.0,1828107.0,1909381.0,1991174.0,2073731.0,2156135.0,2237662.0,2318768.0,2399934.0,2481279.0,2564098.0,2646136.0,2727331.0,2809842.0,2890559.0,2971199.0,3051724.0,3132231.0,3213176.0,3298787.0,3401187.0,3483744.0,3564713.0,3645729.0,3727374.0,3808992.0,3892027.0,3973820.0,4055170.0,4136468.0,4219076.0,4300511.0,4382357.0,4463721.0,4544933.0,4626145.0,4709589.0,4797713.0,4909202.0,4991391.0,5072941.0,5154746.0,5236610.0,5319612.0,5401826.0,5482836.0,5563822.0,5646808.0,5728577.0,5809408.0,5890334.0,5971933.0,6054604.0,6136134.0,6218392.0,6299897.0,6381047.0
7,235,55,alesi,22,3,1,Finished,89088,171222.0,253456.0,335690.0,417622.0,500120.0,583162.0,665746.0,748332.0,831461.0,914357.0,997158.0,1080050.0,1162595.0,1245236.0,1328348.0,1411947.0,1494399.0,1576963.0,1661080.0,1743544.0,1829480.0,1931699.0,2013752.0,2096873.0,2179500.0,2262598.0,2346381.0,2430175.0,2514267.0,2599772.0,2682623.0,2765415.0,2848130.0,2931665.0,3014754.0,3097946.0,3180215.0,3262614.0,3345501.0,3428371.0,3511878.0,3596127.0,3679207.0,3761863.0,3850627.0,3953422.0,4035668.0,4118572.0,4201768.0,4285363.0,4368180.0,4451268.0,4534214.0,4617431.0,4700826.0,4783896.0,4869702.0,4953132.0,5036699.0,5119336.0,5202132.0,5284541.0,5367126.0,5454090.0,5537514.0,5620254.0,5703479.0,5787782.0,5872644.0,5956841.0,6041025.0,6124887.0,6209511.0,6293701.0,6378327.0,6465351.0
12,235,71,damon_hill,3,2,1,Finished,89489,171903.0,254151.0,337009.0,418768.0,500664.0,583833.0,666175.0,748897.0,831894.0,914783.0,997882.0,1080493.0,1163053.0,1245679.0,1328722.0,1412373.0,1494851.0,1577502.0,1661655.0,1744331.0,1827037.0,1907966.0,1990191.0,2077223.0,2180145.0,2263164.0,2346731.0,2430489.0,2514570.0,2595813.0,2676548.0,2758574.0,2839155.0,2919628.0,2999891.0,3081048.0,3161467.0,3242030.0,3323188.0,3408289.0,3509854.0,3590291.0,3671726.0,3752489.0,3833043.0,3913979.0,3996201.0,4077124.0,4159768.0,4245055.0,4328564.0,4409245.0,4490258.0,4571383.0,4651929.0,4732940.0,4813886.0,4894920.0,4975921.0,5058226.0,5139465.0,5225042.0,5326268.0,5406793.0,5488377.0,5568470.0,5649696.0,5730483.0,5810755.0,5891598.0,5972807.0,6056146.0,6137269.0,6219260.0,6300595.0,6381908.0
8,235,56,irvine,6,14,6,Gearbox,90563,173284.0,256582.0,339236.0,421799.0,504652.0,587946.0,670988.0,753511.0,836018.0,918605.0,1001065.0,1083689.0,1165883.0,1255706.0,1339026.0,1421385.0,1503665.0,1585764.0,1668388.0,1751666.0,1835010.0,1917199.0,1999608.0,2086457.0,2195372.0,2277848.0,2361436.0,2443774.0,2526511.0,2609942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,235,77,berger,22,11,5,Engine,91108,174142.0,257477.0,340043.0,422753.0,505812.0,588996.0,671743.0,754412.0,837377.0,920185.0,1003222.0,1085865.0,1168465.0,1250984.0,1333342.0,1415736.0,1498182.0,1580448.0,1663558.0,1747322.0,1830252.0,1912898.0,1999649.0,2106668.0,2189112.0,2272655.0,2355870.0,2438597.0,2521794.0,2605122.0,2687802.0,2772475.0,2855241.0,2938244.0,3020896.0,3104008.0,3187952.0,3270670.0,3352990.0,3435651.0,3518306.0,3600755.0,3683412.0,3765946.0,3848569.0,3930753.0,4013045.0,4099521.0,4205412.0,4287176.0,4368909.0,4451333.0,4534628.0,4617754.0,4700938.0,4784224.0,4868175.0,4951842.0,5034383.0,5116768.0,5199178.0,5281614.0,5364420.0,,,,,,,,,,,,,
9,235,57,hakkinen,1,4,11,+1 Lap,92464,175926.0,259322.0,342434.0,425545.0,508941.0,592069.0,675105.0,758247.0,841411.0,924667.0,1008069.0,1091098.0,1174113.0,1257485.0,1340382.0,1423384.0,1506020.0,1588906.0,1672048.0,1755616.0,1839177.0,1922248.0,2005670.0,2089574.0,2177612.0,2282720.0,2365654.0,2448720.0,2532038.0,2615801.0,2699358.0,2782471.0,2865668.0,2948593.0,3033010.0,3115955.0,3198834.0,3281269.0,3363696.0,3446784.0,3531157.0,3614826.0,3697629.0,3780161.0,3862819.0,3945076.0,4028071.0,4110912.0,4194415.0,4282016.0,4388099.0,4470792.0,4553612.0,4636307.0,4719588.0,4802698.0,4885779.0,4969681.0,5052297.0,5135629.0,5219212.0,5302721.0,5386626.0,5470073.0,5553588.0,5636676.0,5720213.0,5803679.0,5887703.0,5971529.0,6059581.0,6145436.0,6231090.0,6317138.0,6403538.0,
11,235,65,herbert,15,13,5,Engine,92924,176542.0,259952.0,343224.0,426584.0,509744.0,593090.0,675747.0,759034.0,842236.0,925289.0,1008707.0,1091899.0,1174734.0,1257951.0,1341245.0,1428088.0,1530554.0,1612897.0,1695385.0,1778460.0,1861369.0,1944827.0,2029767.0,2113128.0,2197068.0,2280474.0,2363928.0,2447033.0,2530209.0,2613543.0,2696713.0,2779838.0,2863134.0,2946578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,235,14,coulthard,1,16,5,Engine,93405,177476.0,261317.0,345300.0,429218.0,513018.0,596826.0,680354.0,763957.0,847484.0,931082.0,1014465.0,1097870.0,1181458.0,1264648.0,1348291.0,1431174.0,1514215.0,1596975.0,1680039.0,1763132.0,1846322.0,1930542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,235,22,barrichello,17,6,12,+2 Laps,94618,179369.0,263551.0,347610.0,431593.0,515469.0,599728.0,683757.0,768313.0,852456.0,936126.0,1019768.0,1103363.0,1187043.0,1270682.0,1354530.0,1437948.0,1521766.0,1605739.0,1689932.0,1774032.0,1858377.0,1943232.0,2032520.0,2138207.0,2221388.0,2305013.0,2388953.0,2473505.0,2557478.0,2641711.0,2726339.0,2812439.0,2896467.0,2980230.0,3064425.0,3147939.0,3232308.0,3316103.0,3399534.0,3484600.0,3568697.0,3652600.0,3736121.0,3819807.0,3903645.0,3988064.0,4073198.0,4157440.0,4247491.0,4352577.0,4435920.0,4519544.0,4604312.0,4689372.0,4773504.0,4857321.0,4941919.0,5026286.0,5110544.0,5194604.0,5279252.0,5364352.0,5455330.0,5539846.0,5623638.0,5708060.0,5793355.0,5878040.0,5963690.0,6048973.0,6133895.0,6222653.0,6308683.0,6394472.0,,
5,235,49,frentzen,15,12,10,Electrical,95118,179718.0,263820.0,348024.0,432117.0,515830.0,600037.0,684071.0,768654.0,852879.0,936680.0,1020218.0,1103836.0,1191027.0,1293632.0,1375514.0,1457807.0,1541597.0,1625811.0,1710078.0,1794670.0,1878779.0,1963663.0,2049300.0,2134324.0,2217041.0,2300042.0,2383016.0,2465698.0,2548413.0,2631181.0,2718206.0,2824377.0,2907478.0,2990177.0,3073079.0,3155822.0,3238581.0,3322628.0,3409042.0,3492876.0,3576397.0,3659974.0,3743943.0,3828186.0,3912109.0,3998324.0,4084903.0,4175881.0,4288992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,235,84,brundle,17,18,20,Spun off,96323,181220.0,265109.0,350255.0,434543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,235,79,katayama,25,7,13,+3 Laps,97231,182209.0,266407.0,350889.0,435305.0,520348.0,604467.0,688808.0,773163.0,857772.0,941980.0,1026301.0,1110525.0,1194969.0,1280044.0,1365640.0,1450578.0,1535535.0,1620013.0,1704481.0,1788899.0,1879080.0,1987792.0,2073244.0,2161675.0,2249616.0,2335114.0,2420446.0,2505613.0,2590292.0,2674844.0,2761197.0,2846088.0,2931225.0,3018084.0,3103277.0,3189824.0,3274734.0,3359982.0,3445060.0,3530900.0,3617329.0,3701919.0,3786563.0,3871361.0,3957189.0,4041721.0,4130242.0,4243542.0,4330119.0,4414159.0,4499029.0,4583997.0,4668953.0,4753804.0,4838296.0,4923458.0,5008878.0,5094710.0,5180190.0,5269744.0,5356025.0,5442063.0,5528261.0,5614044.0,5699396.0,5787523.0,5876432.0,5967153.0,6057661.0,6147302.0,6235313.0,6322404.0,6409857.0,,,
4,235,44,panis,27,5,11,+1 Lap,97727,182865.0,267081.0,351719.0,436051.0,520990.0,605275.0,689838.0,773871.0,858496.0,943647.0,1027354.0,1111455.0,1195570.0,1280420.0,1366165.0,1451182.0,1536075.0,1620859.0,1705091.0,1789608.0,1874775.0,1958579.0,2042189.0,2125637.0,2209446.0,2293358.0,2376827.0,2463926.0,2569358.0,2652266.0,2736547.0,2820190.0,2905061.0,2988245.0,3071052.0,3153933.0,3236790.0,3319335.0,3403069.0,3486215.0,3569355.0,3653102.0,3740500.0,3846659.0,3928221.0,4011138.0,4094494.0,4177910.0,4261573.0,4345067.0,4428409.0,4512378.0,4596288.0,4679536.0,4762778.0,4845972.0,4929929.0,5013416.0,5096814.0,5180955.0,5268385.0,5352283.0,5435977.0,5520361.0,5604886.0,5689313.0,5773831.0,5858683.0,5944413.0,6030123.0,6115719.0,6201607.0,6287443.0,6373209.0,6460393.0,
6,235,50,verstappen,29,17,20,Spun off,98328,183659.0,267960.0,352368.0,436940.0,522199.0,606217.0,690581.0,774774.0,859120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,235,73,rosset,29,8,13,+3 Laps,99137,185136.0,270199.0,355269.0,440210.0,525897.0,610613.0,695269.0,779733.0,863928.0,948426.0,1033033.0,1117868.0,1202758.0,1287506.0,1372186.0,1456976.0,1541002.0,1625287.0,1709517.0,1793961.0,1878413.0,1963340.0,2048691.0,2144954.0,2259908.0,2344298.0,2428448.0,2514191.0,2601414.0,2686691.0,2774247.0,2860395.0,2945907.0,3033830.0,3120261.0,3206331.0,3293116.0,3378854.0,3465409.0,3551569.0,3636677.0,3721849.0,3806682.0,3892131.0,3978239.0,4063721.0,4149162.0,4234706.0,4324200.0,4435711.0,4523833.0,4609731.0,4695824.0,4782175.0,4868146.0,4957111.0,5043230.0,5129247.0,5215041.0,5300875.0,5389152.0,5475675.0,5562231.0,5649694.0,5736216.0,5823134.0,5908740.0,5994428.0,6080867.0,6166985.0,6254033.0,6340650.0,6427368.0,,,
18,235,86,lavaggi,18,10,20,Spun off,99624,185940.0,273958.0,360522.0,447879.0,534539.0,621534.0,707918.0,794816.0,880442.0,966925.0,1053654.0,1139742.0,1226616.0,1315252.0,1402694.0,1489423.0,1575791.0,1663460.0,1751315.0,1838683.0,1925415.0,2012128.0,2099844.0,2186534.0,2274318.0,2365855.0,2477253.0,2563876.0,2650045.0,2736233.0,2829552.0,2944877.0,3031981.0,3119495.0,3205754.0,3291792.0,3378225.0,3464822.0,3552823.0,3639787.0,3727122.0,3813973.0,3900397.0,3987173.0,4074287.0,4163639.0,4251000.0,4338020.0,4424442.0,4514664.0,4623325.0,4710972.0,4797404.0,4883999.0,4971891.0,5058909.0,5145655.0,5233103.0,5319507.0,5406160.0,5493381.0,5580080.0,5666649.0,5752895.0,5839303.0,5926215.0,6012659.0,6098930.0,,,,,,,,
16,235,83,lamy,18,15,22,Suspension,100027,186605.0,272939.0,358129.0,443135.0,528647.0,614153.0,699719.0,785412.0,871083.0,957426.0,1043581.0,1129172.0,1214898.0,1300266.0,1386835.0,1472572.0,1560776.0,1647106.0,1732353.0,1817969.0,1903686.0,1989911.0,2092351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
