,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
12,229.0,71.0,damon_hill,11.0,5.0,Engine,116036.0,226282.0,335890.0,445493.0,554923.0,665343.0,774095.0,883131.0,991508.0,1100823.0,1208982.0,1317572.0,1426257.0,1535915.0,1643987.0,1751994.0,1858766.0,1965890.0,2071679.0,2177465.0,2282761.0,2387351.0,2491881.0,2595506.0,2697190.0,2798726.0,2901234.0,3025893.0,3125773.0,3219728.0,3312531.0,3407469.0,3499030.0,3590848.0,3681005.0,3769835.0,3859493.0,3948064.0,4036688.0,4125211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,229.0,55.0,alesi,9.0,22.0,Suspension,120359.0,232390.0,345426.0,457095.0,568267.0,678219.0,788125.0,897992.0,1007454.0,1116733.0,1226166.0,1335464.0,1444758.0,1553639.0,1662594.0,1771372.0,1879472.0,1986261.0,2092835.0,2200772.0,2306922.0,2411540.0,2514684.0,2617360.0,2719466.0,2822015.0,2923481.0,3025145.0,3125558.0,3245956.0,3343524.0,3437566.0,3527928.0,3617370.0,3706459.0,3794719.0,3888054.0,3976766.0,4064396.0,4151514.0,4239368.0,4326397.0,4413190.0,4499856.0,4587073.0,4673383.0,4760818.0,4849936.0,4936711.0,5022770.0,5108188.0,5193677.0,5279043.0,5385034.0,5475018.0,5561115.0,5647521.0,5732826.0,5818031.0,5949794.0,,,,,,,,,,,,,,,
14,229.0,77.0,berger,13.0,6.0,Gearbox,122527.0,235059.0,347157.0,458445.0,570084.0,681102.0,791527.0,901493.0,1016315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,229.0,56.0,irvine,7.0,4.0,Collision,123471.0,239802.0,353985.0,467761.0,581415.0,695402.0,807856.0,919585.0,1031099.0,1143018.0,1253564.0,1363997.0,1474340.0,1583956.0,1694642.0,1804306.0,1913900.0,2023228.0,2130954.0,2238255.0,2343488.0,2448753.0,2552842.0,2656061.0,2758762.0,2862193.0,2963487.0,3083768.0,3181862.0,3274834.0,3367125.0,3459949.0,3552120.0,3643243.0,3733358.0,3994266.0,4089421.0,4178314.0,4267134.0,4354623.0,4442451.0,4530816.0,4620895.0,4708156.0,4794985.0,4881536.0,4968050.0,5054170.0,5140438.0,5228311.0,5315174.0,5402367.0,5489365.0,5576789.0,5664587.0,5751030.0,5837703.0,5924899.0,6014650.0,6103594.0,6190875.0,6277954.0,6364404.0,6450952.0,6537224.0,6623763.0,6728696.0,6819376.0,,,,,,,
4,229.0,49.0,frentzen,4.0,54.0,Withdrew,126123.0,239976.0,354306.0,468176.0,581653.0,695773.0,808464.0,920205.0,1031560.0,1143530.0,1254159.0,1364448.0,1474935.0,1584669.0,1695244.0,1804735.0,1914085.0,2064652.0,2173625.0,2278487.0,2383786.0,2487657.0,2591380.0,2693880.0,2798323.0,2923002.0,3023569.0,3115258.0,3206714.0,3300706.0,3391852.0,3483015.0,3573882.0,3664821.0,3754396.0,3842961.0,3931653.0,4020231.0,4107877.0,4194684.0,4282515.0,4371477.0,4458548.0,4545352.0,4632848.0,4721733.0,4809771.0,4897898.0,4985446.0,5073105.0,5161286.0,5248660.0,5336078.0,5425177.0,5532803.0,5625568.0,5713285.0,5801184.0,5888472.0,5977170.0,6065491.0,6152415.0,6239009.0,6325502.0,6412210.0,6497818.0,6586085.0,6673739.0,6761251.0,6849600.0,6943582.0,7035225.0,7126548.0,7221273.0,
1,229.0,14.0,coulthard,2.0,1.0,Finished,127317.0,241103.0,355338.0,469132.0,582304.0,696562.0,809425.0,920901.0,1032572.0,1144284.0,1255006.0,1365342.0,1475949.0,1585768.0,1695879.0,1805444.0,1915354.0,2025240.0,2132400.0,2239972.0,2346138.0,2451517.0,2555732.0,2658684.0,2762042.0,2864965.0,2966011.0,3066531.0,3166820.0,3287029.0,3382830.0,3472956.0,3563319.0,3652481.0,3741975.0,3830352.0,3918266.0,4006406.0,4094358.0,4181608.0,4271611.0,4359986.0,4446886.0,4534677.0,4622382.0,4709450.0,4796712.0,4883647.0,4970358.0,5056930.0,5143604.0,5232017.0,5319150.0,5406224.0,5493042.0,5580010.0,5667278.0,5754221.0,5840956.0,5928136.0,6016958.0,6105260.0,6191861.0,6278818.0,6365726.0,6452247.0,6538521.0,6624759.0,6711470.0,6798931.0,6889423.0,6980394.0,7068903.0,7159251.0,7250457.0
2,229.0,35.0,villeneuve,8.0,4.0,Collision,127787.0,242062.0,356067.0,470036.0,583431.0,697125.0,810474.0,922483.0,1034632.0,1146041.0,1257105.0,1368210.0,1478652.0,1588659.0,1698854.0,1807890.0,1916943.0,2026793.0,2134289.0,2240670.0,2347248.0,2452961.0,2557257.0,2661232.0,2764588.0,2867400.0,2968713.0,3069191.0,3194268.0,3294599.0,3389420.0,3481401.0,3572019.0,3661743.0,3750251.0,3839311.0,3927360.0,4015384.0,4103847.0,4191853.0,4280514.0,4367956.0,4455475.0,4542850.0,4630966.0,4719171.0,4807651.0,4895033.0,4982412.0,5070757.0,5157579.0,5244408.0,5332001.0,5420489.0,5507971.0,5595817.0,5683744.0,5770929.0,5858983.0,5946920.0,6036495.0,6124477.0,6211223.0,6298307.0,6384989.0,6472231.0,,,,,,,,,
8,229.0,63.0,salo,5.0,4.0,Collision,128621.0,243296.0,357140.0,470943.0,584158.0,698202.0,811454.0,923657.0,1035845.0,1146688.0,1258280.0,1369402.0,1480406.0,1589972.0,1699806.0,1809174.0,1918165.0,2027810.0,2135141.0,2241300.0,2347952.0,2453580.0,2557538.0,2661541.0,2764808.0,2867644.0,2969306.0,3069401.0,3198545.0,3295263.0,3389779.0,3481807.0,3572320.0,3662372.0,3751413.0,3840281.0,3928581.0,4016449.0,4104356.0,4192546.0,4281050.0,4368734.0,4456456.0,4543638.0,4631463.0,4719548.0,4808095.0,4895728.0,4983410.0,5071119.0,5158150.0,5245053.0,5332449.0,5421128.0,5508834.0,5596467.0,5684444.0,5771520.0,5859453.0,5948363.0,6039142.0,6126564.0,6213712.0,6300360.0,6386987.0,6474158.0,6565192.0,6651653.0,6738257.0,6826846.0,,,,,
10,229.0,65.0,herbert,3.0,1.0,Finished,129079.0,243976.0,357828.0,471754.0,585025.0,698815.0,812120.0,924236.0,1036400.0,1147567.0,1259259.0,1369944.0,1480899.0,1590650.0,1700967.0,1809913.0,1918848.0,2028745.0,2135983.0,2242462.0,2348523.0,2454325.0,2558803.0,2662493.0,2767169.0,2869118.0,2970725.0,3073112.0,3171881.0,3292005.0,3388756.0,3480607.0,3570936.0,3660362.0,3749403.0,3838478.0,3926587.0,4014615.0,4103071.0,4191443.0,4279803.0,4367400.0,4454596.0,4542249.0,4629957.0,4718623.0,4806355.0,4893246.0,4980630.0,5067849.0,5155330.0,5242561.0,5330500.0,5418501.0,5505818.0,5593839.0,5681572.0,5768811.0,5856136.0,5944425.0,6034856.0,6123286.0,6210575.0,6297593.0,6384563.0,6471856.0,6559278.0,6646130.0,6733838.0,6822790.0,6914602.0,7005836.0,7097070.0,7191083.0,7283132.0
7,229.0,57.0,hakkinen,6.0,4.0,Collision,129943.0,244826.0,358598.0,472295.0,585815.0,699359.0,812868.0,925337.0,1037186.0,1148875.0,1260375.0,1371644.0,1482175.0,1592791.0,1702615.0,1813055.0,1922032.0,2031404.0,2139088.0,2246126.0,2352078.0,2457382.0,2561712.0,2665450.0,2769615.0,2872811.0,2975799.0,3078171.0,3202172.0,3300330.0,3391090.0,3482362.0,3572859.0,3663043.0,3752025.0,3840978.0,3929297.0,4017161.0,4105044.0,4193127.0,4281655.0,4369327.0,4456814.0,4544387.0,4631967.0,4719983.0,4808620.0,4896299.0,4984063.0,5071645.0,5158864.0,5245690.0,5332971.0,5421672.0,5509547.0,5598075.0,5684968.0,5772073.0,5860063.0,5948905.0,6038379.0,6125193.0,6211838.0,6298868.0,6385561.0,6472681.0,6565755.0,6652510.0,6738992.0,6827447.0,,,,,
