,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
14,238.0,71.0,damon_hill,2.0,1.0,Finished,90560.0,174628.0,259153.0,343020.0,427206.0,511358.0,595711.0,680352.0,764783.0,849353.0,933942.0,1018370.0,1102859.0,1187381.0,1272474.0,1357074.0,1447961.0,1552998.0,1637578.0,1722522.0,1807550.0,1896687.0,1982216.0,2067098.0,2151320.0,2235832.0,2319974.0,2404279.0,2488482.0,2573129.0,2657637.0,2742290.0,2827956.0,2920176.0,3023489.0,3107539.0,3191301.0,3275337.0,3360025.0,3445517.0,3530184.0,3614362.0,3699786.0,3784266.0,3869700.0,3953524.0,4039262.0,4123687.0,4214513.0,4319374.0,4405089.0,4490870.0,4575315.0,4659758.0,4744440.0,4829899.0,4914253.0,4998836.0,5084477.0,5171786.0,5257902.0,5344235.0,5429992.0,5518080.0,5605388.0,5692480.0,5778941.0,5865559.0,5953609.0,6042881.0
8,238.0,55.0,alesi,4.0,1.0,Finished,91708.0,176512.0,261734.0,346424.0,430755.0,515338.0,600158.0,685655.0,771400.0,856367.0,941830.0,1027401.0,1112842.0,1198268.0,1283855.0,1370586.0,1456785.0,1543534.0,1630881.0,1717522.0,1803767.0,1898550.0,2003723.0,2088860.0,2174212.0,2260051.0,2346737.0,2433359.0,2519257.0,2604846.0,2690973.0,2776182.0,2861823.0,2947758.0,3034231.0,3120131.0,3205789.0,3291840.0,3377909.0,3464262.0,3552056.0,3639117.0,3725447.0,3821104.0,3925756.0,4010544.0,4095654.0,4181955.0,4267772.0,4353101.0,4438664.0,4524227.0,4609760.0,4697208.0,4783650.0,4869435.0,4955227.0,5041324.0,5127450.0,5213931.0,5299774.0,5385882.0,5471824.0,5558479.0,5644654.0,5731800.0,5817971.0,5904305.0,5990980.0,6078024.0
3,238.0,30.0,michael_schumacher,3.0,1.0,Finished,92530.0,177189.0,262291.0,347237.0,432070.0,517028.0,601941.0,686920.0,772206.0,857422.0,942847.0,1028210.0,1113926.0,1199513.0,1285237.0,1372787.0,1459798.0,1553280.0,1655953.0,1740100.0,1824394.0,1908781.0,1993413.0,2078341.0,2163501.0,2248967.0,2334377.0,2419266.0,2504474.0,2590376.0,2675419.0,2760629.0,2846176.0,2931868.0,3024123.0,3126278.0,3210455.0,3294514.0,3378802.0,3464637.0,3552362.0,3639608.0,3725781.0,3821421.0,3923277.0,4007613.0,4093064.0,4178466.0,4263756.0,4349150.0,4434268.0,4520264.0,4606387.0,4692885.0,4778886.0,4864786.0,4950955.0,5036889.0,5122698.0,5208869.0,5294902.0,5381416.0,5467383.0,5553755.0,5640378.0,5727077.0,5813602.0,5901143.0,5988372.0,6076680.0
4,238.0,35.0,villeneuve,1.0,1.0,Finished,93116.0,177559.0,262642.0,347820.0,432459.0,517334.0,602280.0,687171.0,772554.0,857782.0,943186.0,1028697.0,1114437.0,1200068.0,1285585.0,1372700.0,1457662.0,1550864.0,1653466.0,1737368.0,1822383.0,1905780.0,1989371.0,2075435.0,2160556.0,2244799.0,2329188.0,2414162.0,2498066.0,2581746.0,2665714.0,2749240.0,2833025.0,2917868.0,3008360.0,3110565.0,3193438.0,3276816.0,3360827.0,3445881.0,3530934.0,3615827.0,3700935.0,3785398.0,3870451.0,3954674.0,4041767.0,4125661.0,4210010.0,4300764.0,4403582.0,4489517.0,4573459.0,4657381.0,4741203.0,4825262.0,4909501.0,4993807.0,5078506.0,5163681.0,5248595.0,5333672.0,5418856.0,5504703.0,5590295.0,5675826.0,5762734.0,5849302.0,5935619.0,6022915.0
16,238.0,77.0,berger,6.0,1.0,Finished,94336.0,179907.0,266060.0,351497.0,436755.0,522064.0,607733.0,693208.0,778498.0,864287.0,949812.0,1035656.0,1122271.0,1208548.0,1294753.0,1380876.0,1467645.0,1555207.0,1650928.0,1757277.0,1843937.0,1930046.0,2015837.0,2101555.0,2187286.0,2273263.0,2359804.0,2446256.0,2532765.0,2619660.0,2707964.0,2794184.0,2880564.0,2966976.0,3053048.0,3139917.0,3226876.0,3313132.0,3399038.0,3484521.0,3570822.0,3657322.0,3743874.0,3830254.0,3923707.0,4029305.0,4113952.0,4200960.0,4287221.0,4372509.0,4458430.0,4543855.0,4629454.0,4714894.0,4800588.0,4886839.0,4972393.0,5058347.0,5145597.0,5232230.0,5318615.0,5405931.0,5493006.0,5581450.0,5668850.0,5755393.0,5841550.0,5928856.0,6015670.0,6116056.0
9,238.0,56.0,irvine,5.0,1.0,Finished,95470.0,181143.0,266837.0,352849.0,438369.0,523696.0,609399.0,695716.0,781430.0,866776.0,952415.0,1038122.0,1123780.0,1209876.0,1296392.0,1382799.0,1469361.0,1556717.0,1644039.0,1737662.0,1843101.0,1929013.0,2014317.0,2099571.0,2184777.0,2270869.0,2356713.0,2442709.0,2529136.0,2616970.0,2703319.0,2789367.0,2875431.0,2961588.0,3048101.0,3134055.0,3219710.0,3305548.0,3391389.0,3477404.0,3563937.0,3650597.0,3744256.0,3848879.0,3934087.0,4019431.0,4105099.0,4191462.0,4278167.0,4364631.0,4450450.0,4536658.0,4623169.0,4709511.0,4796880.0,4883350.0,4970272.0,5057191.0,5145001.0,5231606.0,5317997.0,5404955.0,5492136.0,5581010.0,5667624.0,5754543.0,5840799.0,5927923.0,6015009.0,6110304.0
1,238.0,14.0,coulthard,13.0,12.0,+2 Laps,96150.0,181694.0,267596.0,353664.0,439918.0,525424.0,610887.0,696640.0,782697.0,868209.0,954212.0,1040245.0,1126274.0,1212778.0,1299013.0,1385512.0,1471663.0,1558655.0,1645957.0,1739312.0,1847018.0,1933338.0,2019229.0,2105132.0,2191889.0,2278022.0,2364299.0,2450889.0,2537282.0,2623886.0,2710981.0,2799779.0,2886998.0,2974025.0,3059634.0,3145518.0,3231602.0,3318268.0,3404256.0,3490255.0,3576319.0,3662774.0,3749081.0,3835544.0,3929061.0,4053352.0,4224388.0,4331434.0,4416796.0,4502177.0,4587586.0,4673679.0,4766799.0,4874898.0,4961443.0,5047704.0,5133908.0,5219919.0,5307062.0,5392754.0,5478388.0,5564440.0,5651008.0,5737185.0,5824454.0,5911152.0,5997630.0,6084157.0,,
10,238.0,57.0,hakkinen,17.0,4.0,Collision,96630.0,182584.0,267975.0,354846.0,440633.0,526456.0,612091.0,697915.0,783690.0,869448.0,955625.0,1041772.0,1127976.0,1214562.0,1300868.0,1387037.0,1473470.0,1560759.0,1648207.0,1735313.0,1828901.0,1938806.0,2024315.0,2109062.0,2194101.0,2279725.0,2365677.0,2451709.0,2537852.0,2624411.0,2711365.0,2800336.0,2887351.0,2974751.0,3060842.0,3147053.0,3233229.0,3319547.0,3405464.0,3491423.0,3577780.0,3664556.0,3751211.0,3844426.0,3947805.0,4049920.0,4162007.0,4247553.0,4333715.0,4419340.0,4505313.0,4598418.0,,,,,,,,,,,,,,,,,,
2,238.0,22.0,barrichello,20.0,20.0,Spun off,97492.0,183293.0,269140.0,355844.0,442048.0,528225.0,614491.0,700581.0,786400.0,872467.0,958776.0,1045289.0,1131782.0,1218363.0,1305088.0,1397946.0,1503065.0,1588019.0,1673604.0,1759720.0,1845885.0,1932237.0,2018313.0,2104151.0,2190286.0,2276803.0,2363273.0,2449577.0,2535967.0,2622981.0,2710206.0,2805210.0,2910467.0,2996239.0,3083351.0,3171108.0,3257938.0,3344743.0,3431838.0,3518966.0,3605914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,238.0,84.0,brundle,9.0,11.0,+1 Lap,98010.0,184382.0,270357.0,357081.0,443315.0,529460.0,615996.0,702430.0,788573.0,874715.0,961427.0,1049955.0,1137092.0,1223911.0,1311587.0,1398749.0,1493422.0,1598834.0,1684259.0,1769677.0,1855477.0,1942336.0,2029440.0,2116931.0,2203362.0,2289752.0,2376914.0,2463682.0,2550384.0,2637196.0,2724560.0,2811779.0,2898741.0,2994386.0,3098284.0,3183312.0,3269063.0,3355329.0,3441434.0,3527255.0,3613455.0,3702746.0,3789478.0,3876687.0,3963900.0,4052600.0,4139467.0,4226443.0,4314060.0,4401735.0,4492213.0,4587809.0,4695474.0,4781544.0,4867359.0,4953542.0,5039555.0,5126381.0,5212971.0,5298579.0,5384598.0,5470706.0,5556872.0,5643873.0,5732487.0,5819461.0,5906221.0,5993239.0,6081217.0,
