,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,228,14,coulthard,1,14,9,Hydraulics,98384,190535,282129,372971,463603,554111,644432,734756,824802,914857,1005171,1095196,1185064,1275104,1365175,1455123,1544743,1635352,1725215,1832589,1925915,2017478,2108171,2198810.0,2289886.0,2380408.0,2471013.0,2561629.0,2652301.0,2744286.0,2836220.0,2926654.0,3017055.0,3107579.0,3198328.0,3288276.0,3378444.0,3468551.0,3558425.0,3647905.0,3770296.0,3864522.0,3954776.0,4048028.0,,,,,,,,,,,,,,,,,,,
15,228,71,damon_hill,3,1,1,Finished,99144,192942,284429,375349,466232,557339,648051,738501,828767,918778,1009037,1099197,1189012,1278964,1368959,1458669,1548410,1638310,1728644,1818161,1907895,1997830,2088962,2179178.0,2268377.0,2357554.0,2446532.0,2535623.0,2625934.0,2732530.0,2826211.0,2915819.0,3005392.0,3094801.0,3183996.0,3273223.0,3362368.0,3451606.0,3540746.0,3629973.0,3719106.0,3808153.0,3898179.0,3987483.0,4076484.0,4165554.0,4254811.0,4344451.0,4433382.0,4540145.0,4633359.0,4723853.0,4814389.0,4905253.0,4995541.0,5085682.0,5176540.0,5267349.0,5357983.0,5448385.0,5539371.0,5630816.0,5726156.0
3,228,30,michael_schumacher,6,2,1,Finished,99284,190981,282624,373627,464182,554630,645171,735281,825611,915834,1005731,1095855,1185823,1275740,1365737,1455771,1545417,1635827,1725929,1815444,1923329,2016595,2106452,2197051.0,2286958.0,2377174.0,2467164.0,2557818.0,2648214.0,2737551.0,2827034.0,2916786.0,3006792.0,3096110.0,3185366.0,3274332.0,3363317.0,3452599.0,3541856.0,3652167.0,3744724.0,3834235.0,3924019.0,4016165.0,4107458.0,4199624.0,4292742.0,4383436.0,4474235.0,4564402.0,4655082.0,4746064.0,4836301.0,4927465.0,5017339.0,5106723.0,5196426.0,5285801.0,5375305.0,5465531.0,5555010.0,5644425.0,5742616.0
11,228,63,salo,25,21,5,Engine,101931,196676,288876,380448,471776,562962,653915,744932,835909,926803,1017548,1108076,1198846,1289451,1379955,1470381,1560378,1650467,1740566,1830701,1920854,2011046,2117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,228,77,berger,22,3,1,Finished,102081,194467,285836,376721,467729,558512,649327,739935,830394,920913,1011238,1101669,1191830,1282204,1372558,1462476,1552467,1642473,1732469,1823417,1913351,2003776,2093577,2185277.0,2294626.0,2389661.0,2479656.0,2570191.0,2660431.0,2750429.0,2841237.0,2933705.0,3025837.0,3115896.0,3205892.0,3296055.0,3385975.0,3476260.0,3565976.0,3655833.0,3746213.0,3836076.0,3926046.0,4043677.0,4139332.0,4229028.0,4318695.0,4408787.0,4498934.0,4589208.0,4679813.0,4772097.0,4862506.0,4952780.0,5043929.0,5134927.0,5225134.0,5315689.0,5407332.0,5498597.0,5589949.0,5681462.0,5773047.0
2,228,22,barrichello,17,5,1,Finished,103987,196957,289317,381233,472761,564055,655500,746667,837747,928551,1019506,1110157,1200693,1290984,1381264,1471636,1561796,1652047,1741955,1832236,1922533,2035081,2129161,2219342.0,2309839.0,2399832.0,2489720.0,2579870.0,2670617.0,2760731.0,2851262.0,2944078.0,3034491.0,3126188.0,3216586.0,3307371.0,3397265.0,3487542.0,3577434.0,3667597.0,3757501.0,3872983.0,3968795.0,4059681.0,4150505.0,4241259.0,4332174.0,4422909.0,4513677.0,4604731.0,4696601.0,4788572.0,4880364.0,4972420.0,5063902.0,5157557.0,5248805.0,5339983.0,5432041.0,5524198.0,5616949.0,5709530.0,5804646.0
8,228,55,alesi,22,6,11,+1 Lap,104868,197837,289900,381829,473194,564651,655864,747620,839304,930484,1021241,1111722,1202230,1292875,1384253,1476221,1567647,1658547,1778629,1875220,1965946,2057251,2148827,2240557.0,2331768.0,2422693.0,2534937.0,2629700.0,2720995.0,2811294.0,2901307.0,2991272.0,3081234.0,3171870.0,3262200.0,3352901.0,3443963.0,3533505.0,3623162.0,3731899.0,3825813.0,3917830.0,4009077.0,4100433.0,4191617.0,4283015.0,4382403.0,4472533.0,4562540.0,4654022.0,4744934.0,4835261.0,4929000.0,5019713.0,5109692.0,5199710.0,5289681.0,5379495.0,5470084.0,5561069.0,5652274.0,5743597.0,
9,228,56,irvine,6,4,1,Finished,105343,198860,291121,383851,475334,566743,658308,749394,840285,931460,1022384,1113208,1204138,1294846,1385708,1476659,1569012,1659681,1750831,1841800,1931829,2021906,2112059,2202469.0,2293388.0,2383506.0,2492180.0,2586033.0,2675980.0,2766800.0,2856581.0,2948386.0,3038006.0,3128015.0,3218172.0,3309361.0,3399164.0,3489317.0,3578820.0,3668570.0,3779816.0,3874162.0,3965260.0,4056117.0,4147044.0,4237715.0,4328253.0,4418873.0,4509436.0,4599950.0,4690638.0,4781337.0,4872474.0,4965590.0,5057986.0,5149437.0,5241169.0,5331423.0,5421855.0,5512092.0,5602420.0,5693596.0,5787739.0
20,228,84,brundle,17,17,20,Spun off,105971,199532,291941,384374,476366,568000,659498,750838,842108,933188,1024095,1115226,1206249,1297325,1388227,1478948,1569754,1660769,1751810,1842866,1958437,2054211,2165134,2258577.0,2348577.0,2438668.0,2529920.0,2621605.0,2713931.0,2806362.0,2897977.0,2989322.0,3080001.0,3170875.0,3261297.0,3352088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,228,50,verstappen,29,16,9,Hydraulics,106403,200056,292544,385030,476935,568576,660464,751906,843473,934548,1025489,1116323,1207410,1298354,1389558,1480374,1571418,1692171,1788153,1879943,1971281,2062915,2155042,2246793.0,2338638.0,2432038.0,2523564.0,2615115.0,2706535.0,2798303.0,2889487.0,2980642.0,3071788.0,3163224.0,3254578.0,3345955.0,3437166.0,3527645.0,,,,,,,,,,,,,,,,,,,,,,,,,
