,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
6,208,35,villeneuve,3,1,1,Finished,85333,165221,244221,323286,402400,481240,560095,639112,717761,796565,875580,954628,1034047,1114197,1193188,1272361.0,1351422.0,1430358.0,1509342.0,1588141.0,1666852.0,1745977.0,1824823.0,1903879.0,1983065.0,2071470.0,2169748.0,2248145.0,2326771.0,2405359.0,2484960.0,2563581.0,2642273.0,2720881.0,2799527.0,2878179.0,2956721.0,3035490.0,3114060.0,3192696.0,3271181.0,3351597.0,3431625.0,3511446.0,3600314.0,3698903.0,3777399.0,3856140.0,3935050.0,4014327.0,4093276.0,4172588.0,4252560.0,4332002.0,4411163.0,4490265.0,4570605.0,4650137.0,4729118.0,4808016.0,4887179.0,4966839.0,5046911.0,5126604.0,5206773.0,5287208.0,5366524.0,5445703.0,5525960.0,5605618.0,5685667.0,5766990.0
5,208,30,michael_schumacher,6,5,1,Finished,85334,166377,246489,326650,406138,485830,565439,646881,726554,806171,885891,967047,1047062,1126888,1207194,1287342.0,1367131.0,1446790.0,1526312.0,1606041.0,1685807.0,1766181.0,1846412.0,1926738.0,2006869.0,2093532.0,2191352.0,2271126.0,2351010.0,2430616.0,2510398.0,2591427.0,2671693.0,2751995.0,2831976.0,2912159.0,2993197.0,3073198.0,3152370.0,3231619.0,3310932.0,3389939.0,3468803.0,3547576.0,3633207.0,3731482.0,3810601.0,3889600.0,3968736.0,4047999.0,4127979.0,4207185.0,4286482.0,4366027.0,4445375.0,4525148.0,4604557.0,4684251.0,4763877.0,4843433.0,4923079.0,5002439.0,5081880.0,5161544.0,5241019.0,5320505.0,5400050.0,5479828.0,5559698.0,5639624.0,5720291.0,5800721.0
12,208,57,hakkinen,1,4,1,Finished,87334,167868,248143,329312,409488,489317,569135,649193,729023,808916,888731,968582,1048423,1128391,1208166,1288126.0,1368218.0,1448153.0,1527839.0,1607531.0,1687284.0,1767224.0,1847624.0,1936071.0,2031366.0,2110745.0,2190641.0,2270649.0,2349653.0,2429459.0,2509599.0,2588594.0,2667505.0,2746154.0,2825929.0,2904983.0,2983691.0,3062547.0,3149951.0,3248759.0,3328042.0,3407822.0,3487338.0,3566907.0,3646657.0,3726024.0,3805444.0,3885220.0,3964310.0,4043444.0,4122799.0,4202102.0,4281423.0,4360632.0,4439833.0,4519246.0,4598851.0,4678554.0,4758400.0,4838148.0,4918160.0,4998652.0,5078756.0,5158499.0,5238290.0,5317981.0,5397905.0,5477781.0,5558638.0,5639066.0,5719393.0,5800023.0
18,208,77,berger,22,2,1,Finished,87757,168161,248385,328053,407268,486432,565620,647155,726922,806670,886063,965541,1044658,1123480,1202317,1281215.0,1360226.0,1438981.0,1518176.0,1597150.0,1675883.0,1763762.0,1863363.0,1941996.0,2020505.0,2099229.0,2178523.0,2257616.0,2337465.0,2416839.0,2495894.0,2575115.0,2654069.0,2733022.0,2812787.0,2891703.0,2970680.0,3049582.0,3128594.0,3207386.0,3286226.0,3365071.0,3443947.0,3523006.0,3601825.0,3680780.0,3759884.0,3847928.0,3947347.0,4025985.0,4104747.0,4183308.0,4261944.0,4340635.0,4419376.0,4498328.0,4577335.0,4656207.0,4735452.0,4814736.0,4894057.0,4973700.0,5052721.0,5132005.0,5211046.0,5291347.0,5370926.0,5451398.0,5531310.0,5610951.0,5690380.0,5771180.0
10,208,55,alesi,22,6,1,Finished,88343,168946,249347,329770,410033,489852,569691,649625,729540,809341,889259,969236,1048909,1128892,1208841,1288599.0,1368681.0,1448588.0,1528455.0,1608249.0,1687801.0,1768265.0,1857319.0,1954965.0,2033719.0,2112530.0,2192100.0,2273005.0,2352675.0,2432167.0,2511620.0,2591999.0,2672148.0,2752481.0,2832384.0,2912553.0,2993434.0,3073894.0,3153296.0,3232474.0,3311980.0,3391199.0,3470195.0,3549274.0,3628333.0,3716212.0,3815897.0,3895212.0,3974250.0,4053395.0,4132586.0,4211595.0,4290707.0,4369802.0,4449081.0,4528332.0,4607503.0,4686564.0,4765775.0,4845126.0,4924568.0,5003910.0,5083069.0,5162762.0,5242482.0,5321712.0,5400959.0,5481001.0,5560742.0,5640437.0,5720631.0,5801010.0
7,208,44,panis,20,3,1,Finished,88715,169498,250029,330323,410731,490850,570919,651162,730846,810964,891222,971360,1051221,1131156,1210898,1290777.0,1370954.0,1450902.0,1530518.0,1610201.0,1689756.0,1769744.0,1850383.0,1930266.0,2010745.0,2091006.0,2171085.0,2250638.0,2330685.0,2410190.0,2489618.0,2569005.0,2648821.0,2727921.0,2816392.0,2917593.0,2996839.0,3076305.0,3155553.0,3234891.0,3314511.0,3395017.0,3474790.0,3554009.0,3633263.0,3712635.0,3792114.0,3871837.0,3951424.0,4030591.0,4110191.0,4189685.0,4269668.0,4350169.0,4429560.0,4508907.0,4588001.0,4667264.0,4746539.0,4825661.0,4905025.0,4984229.0,5063404.0,5142647.0,5221904.0,5301222.0,5380472.0,5460470.0,5540984.0,5621437.0,5702068.0,5782860.0
16,208,71,damon_hill,21,17,5,Engine,89662,171056,251967,333065,414035,494979,575851,656556,737391,817814,898541,979304,1059978,1140945,1221483,1301959.0,1382499.0,1463071.0,1543645.0,1624214.0,1704650.0,1785094.0,1865798.0,1946511.0,2027069.0,2107388.0,2187579.0,2268103.0,2348651.0,2429052.0,2509412.0,2590755.0,2671118.0,2751330.0,2831359.0,2911758.0,2993012.0,3085141.0,3189115.0,3269450.0,3349360.0,3430036.0,3510603.0,3591403.0,3671784.0,3751987.0,3832410.0,3912959.0,3994540.0,4076458.0,4157028.0,4237610.0,4318051.0,4399196.0,4482271.0,4563104.0,4643674.0,4724254.0,4804845.0,4885593.0,4966590.0,5048775.0,5129262.0,5209795.0,5290887.0,5372497.0,5454055.0,5555466.0,,,,
0,208,14,coulthard,1,10,11,+1 Lap,90288,171463,252477,333390,414536,495444,576275,656948,737798,818609,899290,979868,1060360,1141636,1222094,1302883.0,1383602.0,1464029.0,1544920.0,1626708.0,1715881.0,1811873.0,1891110.0,1970172.0,2050459.0,2130991.0,2210770.0,2290332.0,2370139.0,2449559.0,2529029.0,2608298.0,2687537.0,2766821.0,2845746.0,2924828.0,3003894.0,3082958.0,3162200.0,3249276.0,3350570.0,3430491.0,3511096.0,3592821.0,3672547.0,3752747.0,3833040.0,3915191.0,3995707.0,4076971.0,4157834.0,4238363.0,4319195.0,4399512.0,4480219.0,4560561.0,4641045.0,4721293.0,4801355.0,4881987.0,4961722.0,5041449.0,5121563.0,5202369.0,5284113.0,5364531.0,5445024.0,5526881.0,5608678.0,5689457.0,5770800.0,
2,208,21,fisichella,17,8,1,Finished,90555,171549,252963,333494,414836,495751,576648,657461,738227,818979,899590,979983,1060785,1141787,1222193,1303081.0,1383744.0,1464056.0,1544939.0,1627112.0,1708177.0,1787831.0,1867423.0,1946865.0,2038853.0,2139893.0,2219041.0,2298566.0,2379526.0,2460079.0,2539817.0,2619057.0,2698213.0,2777240.0,2856043.0,2935099.0,3013886.0,3092567.0,3171178.0,3250090.0,3328927.0,3408186.0,3487673.0,3575408.0,3675755.0,3754438.0,3833495.0,3913750.0,3994574.0,4074178.0,4154188.0,4234548.0,4314528.0,4394620.0,4474268.0,4553648.0,4633077.0,4712195.0,4791326.0,4870741.0,4950636.0,5030357.0,5110097.0,5190611.0,5270328.0,5350448.0,5429791.0,5509385.0,5589134.0,5668760.0,5748101.0,5827629.0
4,208,23,ralf_schumacher,17,19,10,Electrical,91083,172242,253355,334229,415410,496452,577186,657875,738843,819479,900076,980768,1061388,1142512,1223160,1303853.0,1384465.0,1464948.0,1545878.0,1627705.0,1708461.0,1788977.0,1869102.0,1949052.0,2029280.0,2116957.0,2214762.0,2295875.0,2374316.0,2453114.0,2531761.0,2610452.0,2689315.0,2768653.0,2848119.0,2927469.0,3006964.0,3086564.0,3177508.0,3292834.0,3371610.0,3450809.0,3531271.0,3610532.0,3689582.0,3768785.0,3848237.0,3927476.0,4007047.0,4086788.0,4166274.0,4245935.0,,,,,,,,,,,,,,,,,,,,
