,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,villeneuve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,6,6,5,5,5,5,4,4,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
1,michael_schumacher,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,coulthard,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,6,10,10,10,10,10,10,10,9,8,8,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
3,hakkinen,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,8,8,8,7,6,4,4,4,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,herbert,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,14,12,12,12,11,8,8,8,8,8,7,7,7,6,6,6,5,5,4,4,4,10,10,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ralf_schumacher,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,8,11,10,10,10,10,9,9,9,8,8,8,7,7,7,6,5,3,3,3,4,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5
6,irvine,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,9,10,9,9,9,9,8,8,8,7,7,7,6,6,5,5,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,alesi,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,8,6,5,5,5,5,4,4,4,3,3,3,3,2,2,6,8,7,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
8,wurz,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,6,6,6,6,5,5,5,4,4,4,4,3,3,2,2,3,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
9,fisichella,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,5,4,4,4,4,6,10,11,11,11,11,11,11,11,11,11,10,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,7,0
10,nakano,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,12,12,11,11,11,11,11,10,10,9,9,9,9,9,9,9,8,7,7,8,9,9,9,8,8,8,8,8,8,8,8,6,6,6,6,6,0,0
11,damon_hill,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,17,17,15,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,11,11,11,10,10,10,9,9,9,9,9,9,9,9,8,7,7,7,7,6,6
12,trulli,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,13,18,17,17,16,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,12,12,14,13,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,8,0
13,magnussen,14,14,14,14,14,14,14,14,14,14,14,14,14,17,19,19,18,18,17,16,16,15,14,14,14,14,14,14,13,16,17,17,17,17,17,17,17,16,15,13,12,11,11,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
14,diniz,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,13,13,11,11,11,11,10,9,13,13,13,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,salo,16,16,16,16,16,17,17,18,18,18,18,18,18,18,17,16,15,15,14,13,13,19,19,19,19,19,19,19,19,17,16,16,16,16,16,16,16,15,14,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,barrichello,17,17,17,17,17,16,16,16,16,16,16,16,16,15,15,15,19,19,19,19,19,18,18,17,17,17,17,17,17,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,marques,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,16,16,16,15,15,14,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,16,15,15,15,13,13,13,13,13,13,12,12,11,11,11,11,11,10,0
18,fontana,19,18,18,18,18,18,18,17,17,17,17,17,17,16,16,14,14,12,13,18,18,17,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,13,12,14,13,13,13,11,11,11,11,11,11,11,11,10,10,10,10,10,9,0
