,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
7,215,35,villeneuve,3,1,1,Finished,93076,184347,299926,451120,538095,624530,710845,797015,883355,969324,1054989,1141423,1227605,1313596,1399492,1485191,1571294,1657404,1743234,1828965,1915370,2007122,2139018,2224690,2310012,2395513,2481171,2566785,2654450,2744264.0,2832525.0,2919585.0,3006161.0,3092883.0,3180277.0,3269248.0,3355811.0,3442599.0,3528434.0,3614505.0,3699611.0,3784693.0,3870053.0,3960994.0,4068237.0,4153522.0,4239264.0,4324687.0,4410360.0,4496543.0,4582944.0,4669765.0,4756627.0,4845403.0,4932835.0,5019728.0,5106357.0,5193361.0,5281665.0
6,215,30,michael_schumacher,6,18,36,Wheel,93861,185205,300656,451381,538751,625462,711524,798668,884553,970412,1055985,1142950,1228647,1314875,1400737,1486451,1572438,1658644,1744744,1830353,1920378,2024124,2109986,2196111,2281640,2367287,2452867,2539881,2626060,2711833.0,2798935.0,2887330.0,2972943.0,3057418.0,3142092.0,3226699.0,3319161.0,3477856.0,,,,,,,,,,,,,,,,,,,,,
0,215,14,coulthard,1,4,1,Finished,94973,185494,301757,451824,540365,627974,716245,804483,892443,980119,1067985,1155892,1243565,1331432,1419261,1506769,1595285,1683119,1770999,1858899,1946750,2034593,2122464,2210217,2298278,2386233,2474232,2564036,2652756,2747618.0,2855627.0,2943326.0,3030681.0,3118256.0,3206588.0,3296058.0,3384259.0,3472364.0,3561780.0,3650738.0,3738328.0,3826107.0,3914036.0,4001121.0,4088345.0,4176320.0,4263926.0,4351797.0,4439405.0,4527133.0,4614497.0,4702354.0,4789694.0,4876958.0,4965385.0,5052401.0,5138876.0,5225541.0,5312894.0
11,215,57,hakkinen,1,12,5,Engine,95712,186848,302815,452453,541351,629010,717030,805218,893322,980972,1068579,1156572,1244253,1332025,1419890,1507397,1596029,1683904,1771689,1859577,1947339,2035262,2123090,2210886,2298680,2386849,2474838,2562073,2648857,2735652.0,2822193.0,2909207.0,3001444.0,3109245.0,3196220.0,3282797.0,3368972.0,3454960.0,3541802.0,3628322.0,3715087.0,3801991.0,3888277.0,3974933.0,4062729.0,4150226.0,4236494.0,4322779.0,4409327.0,4495761.0,4582152.0,4669002.0,,,,,,,
15,215,65,herbert,15,17,10,Electrical,96656,187447,303345,452852,541825,629661,717728,805761,893932,981565,1069174,1157044,1244769,1332582,1420327,1508056,1601160,1706531,1793202,1880248,1967787,2055581,2143600,2230768,2317690,2404501,2491415,2578061,2664801,2751336.0,2837729.0,2923975.0,3010469.0,3096701.0,3182972.0,3269905.0,3356867.0,3448453.0,3563659.0,3667163.0,3766461.0,3941317.0,,,,,,,,,,,,,,,,,
4,215,23,ralf_schumacher,17,5,1,Finished,97859,188211,304129,453265,542945,630671,719131,806885,894658,982502,1070180,1158078,1245725,1333961,1421282,1508855,1597670,1684901,1772698,1860783,1948311,2041694,2151560,2238079,2324789,2411056,2497705,2584187,2671060,2757450.0,2844577.0,2931672.0,3019134.0,3106327.0,3192199.0,3278259.0,3364543.0,3451094.0,3538693.0,3624973.0,3712763.0,3805584.0,3914549.0,4001593.0,4089025.0,4177060.0,4264784.0,4353247.0,4441539.0,4529938.0,4617019.0,4703912.0,4790885.0,4878727.0,4966119.0,5053109.0,5139791.0,5226641.0,5313545.0
10,215,56,irvine,6,15,86,Halfshaft,98583,189727,305258,453791,543105,630995,719460,807147,895096,983895,1070643,1158271,1246001,1334106,1421640,1509288,1597910,1686260,1772980,1861227,1948797,2042041,2148406,2234376,2320578,2406953,2493381,2579862,2666171,2752589.0,2838782.0,2925205.0,3011331.0,3097625.0,3184025.0,3270722.0,3357556.0,3445284.0,3532642.0,3618852.0,3705775.0,3791159.0,3876395.0,3966894.0,,,,,,,,,,,,,,,
9,215,55,alesi,22,2,1,Finished,98972,191241,306128,454783,543806,632095,720280,808477,896297,984465,1073284,1161010,1248611,1336430,1424130,1511563,1599448,1687540,1775239,1863191,1950928,2038330,2126219,2213567,2300740,2388275,2476328,2564466,2653264,2743249.0,2830268.0,2917291.0,3004557.0,3091762.0,3179049.0,3271334.0,3379866.0,3467637.0,3554729.0,3641188.0,3728095.0,3814593.0,3901148.0,3987502.0,4073813.0,4160997.0,4247595.0,4335588.0,4422013.0,4508273.0,4594661.0,4682796.0,4770756.0,4857806.0,4944362.0,5030899.0,5117616.0,5204207.0,5291870.0
5,215,25,wurz,22,3,1,Finished,99646,192171,306575,455211,545510,634223,722184,810445,898338,986135,1074166,1161907,1249693,1337387,1424917,1512374,1600941,1688424,1776162,1864209,1951999,2039386,2126806,2214483,2301583,2389311,2476943,2564916,2653759,2743681.0,2831430.0,2918270.0,3005258.0,3092167.0,3179639.0,3268335.0,3354847.0,3446311.0,3555496.0,3642127.0,3729026.0,3815998.0,3902924.0,3989653.0,4076508.0,4163005.0,4249532.0,4337103.0,4423658.0,4510236.0,4596665.0,4683619.0,4771093.0,4858648.0,4945354.0,5032186.0,5118938.0,5205539.0,5292961.0
2,215,21,fisichella,17,7,11,+1 Lap,100099,192616,307136,455504,544448,633120,720878,808945,897019,984943,1072317,1159756,1247002,1335002,1422600,1510035,1598329,1686794,1773683,1862119,1949218,2037207,2123740,2211630,2299059,2387242,2479957,2590985,2681294,2768767.0,2856761.0,2944279.0,3031571.0,3119048.0,3207232.0,3296676.0,3384938.0,3473190.0,3562288.0,3651946.0,3739136.0,3826609.0,3931939.0,4019657.0,4107900.0,4196421.0,4284764.0,4373956.0,4462925.0,4551340.0,4640970.0,4731218.0,4823737.0,4921070.0,5026785.0,5112955.0,5199074.0,5285716.0,
17,215,75,nakano,20,11,5,Engine,100727,194777,307771,456379,546284,634808,723215,811320,900605,988128,1075906,1163342,1250802,1338489,1426003,1513730,1601465,1689432,1777320,1864935,1958232,2070384,2157215,2243993,2331207,2418477,2505608,2592977,2680223,2767384.0,2854421.0,2941615.0,3028530.0,3116209.0,3206075.0,3294704.0,3381826.0,3470329.0,3559419.0,3646494.0,3738549.0,3847653.0,3935040.0,4022683.0,4109774.0,4197194.0,4285333.0,4374466.0,4464374.0,4553600.0,4641500.0,4731580.0,4821236.0,4911181.0,4998713.0,5086032.0,5173219.0,,
16,215,71,damon_hill,21,6,1,Finished,102416,195315,308710,456785,546579,635170,723656,811720,900991,988693,1076275,1164059,1251517,1339090,1431482,1545947,1634059,1723077,1812651,1900732,1988649,2076489,2164390,2252581,2340682,2428688,2516355,2604101,2691826,2779566.0,2867128.0,2954529.0,3041848.0,3128674.0,3215350.0,3302745.0,3394812.0,3505782.0,3593646.0,3681323.0,3769089.0,3856876.0,3944525.0,4032201.0,4119689.0,4207397.0,4294703.0,4381993.0,4469622.0,4557478.0,4646130.0,4735227.0,4825128.0,4915988.0,5003334.0,5090388.0,5176859.0,5264871.0,5355217.0
1,215,15,trulli,20,8,11,+1 Lap,102570,195970,309618,457380,547091,635933,724510,813329,902236,990609,1079165,1168281,1257096,1345727,1434269,1522659,1610915,1704871,1817986,1907386,1996780,2086050,2175920,2265039,2353634,2442514,2531029,2619717,2708605,2797672.0,2885922.0,2975475.0,3063558.0,3151562.0,3239670.0,3327773.0,3416009.0,3504557.0,3597753.0,3711976.0,3799313.0,3886399.0,3974301.0,4062409.0,4149899.0,4240465.0,4329301.0,4417665.0,4506564.0,4594020.0,4682383.0,4770301.0,4860481.0,4947590.0,5034409.0,5121021.0,5207631.0,5294818.0,
18,215,76,magnussen,24,13,5,Engine,102948,196516,310266,457995,547547,636282,725179,813879,902646,991138,1079742,1169439,1257838,1351664,1459910,1548258,1638229,1726992,1816840,1905606,1995353,2085228,2174757,2263229,2352486,2441298,2530059,2618666,2707566,2801067.0,2910962.0,2998548.0,3086469.0,3174303.0,3262817.0,3350570.0,3438497.0,3527657.0,3617230.0,3707650.0,3795875.0,3883673.0,3972748.0,4065810.0,4175285.0,4263324.0,4352718.0,4440852.0,4529379.0,4618617.0,,,,,,,,,
14,215,64,diniz,21,20,5,Engine,103505,197107,310845,458451,547992,636746,725640,814335,903050,991584,1080112,1169648,1258442,1347313,1435494,1523473,1611740,1700174,1789352,1877797,1966675,2054324,2147181,2258298,2345409,2432728,2520158,2607750,2708474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,215,63,salo,25,16,5,Engine,104573,197654,311521,458977,549363,639819,729649,819835,909036,997957,1087006,1176423,1265428,1354617,1443680,1532263,1621609,1710607,1799434,1888147,1981473,2093684,2183034,2272523,2362232,2451169,2541856,2631374,2721120,2809956.0,2898701.0,2987048.0,3075448.0,3163599.0,3251652.0,3340112.0,3428956.0,3517847.0,3611344.0,3719966.0,3808285.0,3896474.0,3984600.0,4072714.0,,,,,,,,,,,,,,,
3,215,22,barrichello,24,19,5,Engine,104856,198460,312168,459094,549839,638517,727086,815951,904208,992363,1081021,1170042,1259380,1347977,1436745,1528998,1638909,1728048,1818648,1909328,1998546,2087831,2178078,2267967,2356320,2444787,2533380,2621947,2710391,2799851.0,2888154.0,2977183.0,3065347.0,3153343.0,3241220.0,3329680.0,3418489.0,,,,,,,,,,,,,,,,,,,,,,
12,215,58,marques,18,10,11,+1 Lap,105951,199443,313416,460488,551222,641389,731359,821522,911384,1001780,1091697,1182030,1271993,1361847,1451909,1542175,1632460,1722734,1814275,1904533,1994700,2084827,2177578,2268963,2359095,2449036,2539287,2629465,2718863,2814422.0,2928996.0,3018096.0,3108233.0,3198518.0,3288468.0,3378761.0,3470076.0,3561529.0,3653434.0,3743801.0,3834468.0,3924979.0,4014562.0,4104200.0,4193626.0,4283030.0,4373214.0,4464038.0,4555454.0,4645259.0,4734932.0,4824844.0,4916796.0,5006634.0,5096814.0,5186849.0,5277485.0,5368078.0,
19,215,82,fontana,15,9,11,+1 Lap,106460,198830,312870,459637,550266,640324,730050,818832,907094,995322,1083794,1172479,1261252,1349768,1438017,1526465,1614248,1703425,1797792,1908510,1997077,2086620,2176701,2265414,2354002,2442807,2531925,2620272,2709053,2797978.0,2887887.0,2976259.0,3064256.0,3152112.0,3240239.0,3329093.0,3417935.0,3508381.0,3597917.0,3693112.0,3803613.0,3891997.0,3979959.0,4069005.0,4156994.0,4247079.0,4339117.0,4428057.0,4517463.0,4606441.0,4695557.0,4787068.0,4876521.0,4969208.0,5059199.0,5148775.0,5238393.0,5329184.0,
