,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1
1,villeneuve,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,fisichella,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,3,3
3,alesi,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2
4,coulthard,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,7,7,7
5,frentzen,6,5,5,5,5,6,6,6,6,16,16,16,16,16,15,15,14,14,13,12,11,10,9,9,9,7,7,7,7,6,6,8,8,8,8,6,6,6,6,6,6,6,5,5,4,4,4,3,3,3,5,4,4,4
6,ralf_schumacher,7,6,6,6,6,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,barrichello,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,7,9,9,9,9,9,9,10,15,15,15,15,15,15,15,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,wurz,9,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,6,6,6,6,7,7,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,verstappen,10,9,9,9,9,9,9,9,9,8,8,7,7,7,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
10,salo,11,10,10,10,10,10,10,10,10,9,9,9,9,9,8,7,7,7,7,7,7,7,7,6,6,9,9,9,9,9,9,9,9,9,9,8,8,9,9,8,8,8,7,7,7,7,0,0,0,0,0,0,0,0
11,herbert,12,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,8,8,8,8,8,8,8,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5
12,diniz,13,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,10,10,10,9,9,9,9,8,8,8,8,8,8,8,0
13,trulli,14,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,damon_hill,15,14,14,17,17,16,16,16,16,15,15,15,15,15,14,14,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,12,12,12,10,9,8,8,12,12,12,10,10,10,10,9,9,9,9,9,9,9,0
15,katayama,16,16,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,morbidelli,17,15,15,14,14,14,14,14,14,12,12,12,12,12,11,11,11,11,11,11,12,12,12,11,11,11,11,11,11,11,11,11,13,13,13,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,0
17,nakano,18,17,16,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,13,13,11,11,11,9,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,6,6,6
