,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,223,30,michael_schumacher,6,18,4,Collision,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12997.0,1875.0,999.0,1239.0,1035.0,1945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16629.0,398.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,223,49,frentzen,3,6,1,Finished,1982,2266,2113,2139,1994,1995,2031,5261,7142,8650,10470,12191.0,13032.0,13330.0,13575.0,13812.0,14363.0,16432.0,16821.0,16561.0,16145.0,11003.0,0.0,0.0,0.0,0.0,0.0,14796.0,17361.0,14833.0,14835.0,15375.0,16871.0,17896.0,19308.0,20286.0,20687.0,20735.0,19839.0,19510.0,20303.0,22328.0,20197.0,3189.0,3328.0,2348.0,1345.0,24924.0,24200.0,23337.0,21160.0,19895.0,18359.0,16761.0,15007.0,13953.0,12497.0,11451.0,11077.0,11743.0,11639.0,11274.0,10652.0,10158.0,7275.0,6080.0,5584.0,5340.0,4538.0
2,223,35,villeneuve,3,3,1,Finished,3221,3258,3344,3252,3295,3180,3394,4309,4256,4045,4085,4779.0,4889.0,4561.0,4756.0,5242.0,5050.0,5144.0,5584.0,5237.0,5237.0,0.0,4833.0,5603.0,3058.0,1407.0,2430.0,1056.0,949.0,822.0,3186.0,3239.0,2840.0,2343.0,2094.0,1967.0,1502.0,1469.0,1041.0,1723.0,2165.0,2379.0,0.0,0.0,2590.0,1026.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.0
3,223,57,hakkinen,1,1,1,Finished,3849,4411,4834,5065,5469,5835,5963,6593,7724,9322,10867,12802.0,13559.0,14073.0,15178.0,16093.0,16512.0,17156.0,17804.0,17863.0,17820.0,12910.0,500.0,292.0,361.0,17296.0,18457.0,15253.0,14918.0,13573.0,13814.0,14998.0,15987.0,17312.0,18640.0,19540.0,19718.0,19651.0,18967.0,18518.0,19769.0,21139.0,19163.0,20619.0,20857.0,21408.0,20360.0,16232.0,12299.0,10712.0,9902.0,9821.0,8771.0,7994.0,7495.0,7179.0,6508.0,5875.0,5064.0,5334.0,5770.0,6255.0,5872.0,5448.0,2727.0,2604.0,1794.0,1238.0,0.0
4,223,14,coulthard,1,2,1,Finished,4516,5229,5999,6639,7150,8037,8703,9392,9949,10468,11886,13681.0,14718.0,15086.0,16534.0,17721.0,18379.0,18956.0,19619.0,19592.0,19738.0,14863.0,3307.0,2431.0,18783.0,17968.0,17256.0,14361.0,13928.0,12796.0,13019.0,14698.0,15208.0,16733.0,17985.0,18759.0,18810.0,18622.0,17965.0,17448.0,19090.0,20193.0,18571.0,2022.0,19255.0,20891.0,19764.0,15442.0,11484.0,10077.0,9097.0,8934.0,7934.0,6955.0,6414.0,6229.0,5511.0,5136.0,4730.0,4641.0,4911.0,5503.0,5135.0,4745.0,1891.0,2592.0,3095.0,3080.0,1655.0
5,223,71,damon_hill,21,19,6,Gearbox,5087,6117,6844,7544,8118,8995,10052,11043,11959,12744,13206,14749.0,16099.0,16445.0,17606.0,18712.0,19941.0,21179.0,22410.0,23557.0,24503.0,39308.0,27611.0,26050.0,25806.0,24154.0,24854.0,22999.0,23321.0,22519.0,22724.0,23365.0,24137.0,24582.0,25641.0,27759.0,29925.0,32799.0,33225.0,32457.0,34059.0,35052.0,33707.0,16988.0,35344.0,38113.0,41023.0,,,,,,,,,,,,,,,,,,,,,,
6,223,56,irvine,6,5,1,Finished,6086,7604,8742,9779,10321,10844,11725,12329,13131,14060,15778,17157.0,17598.0,17990.0,19081.0,20212.0,21304.0,22454.0,23205.0,24117.0,25115.0,21001.0,8376.0,24334.0,23945.0,21392.0,21090.0,18365.0,18457.0,17654.0,17962.0,18478.0,18516.0,19328.0,21784.0,23073.0,22848.0,22749.0,22355.0,21827.0,22443.0,25063.0,23128.0,23824.0,24239.0,23367.0,22437.0,19001.0,15315.0,13879.0,12911.0,13468.0,12954.0,12412.0,11603.0,11114.0,10502.0,10319.0,10284.0,10280.0,10401.0,9914.0,9475.0,8819.0,5825.0,4891.0,4377.0,4690.0,3790.0
7,223,76,magnussen,24,9,1,Finished,6579,8105,9411,10602,12093,13512,14613,15796,17314,18232,19161,20535.0,21621.0,22680.0,23920.0,25532.0,26730.0,28242.0,50069.0,54353.0,55625.0,52015.0,40511.0,40535.0,41108.0,41105.0,43998.0,44523.0,48250.0,48694.0,49490.0,50786.0,52095.0,54175.0,56789.0,58869.0,60179.0,61573.0,62144.0,63204.0,65219.0,68466.0,68949.0,53200.0,74197.0,76870.0,77363.0,74223.0,70973.0,70383.0,70413.0,70959.0,71051.0,71452.0,71346.0,71523.0,71373.0,71270.0,71357.0,72035.0,73558.0,74639.0,75687.0,76390.0,75260.0,75859.0,76461.0,77075.0,77487.0
8,223,77,berger,22,4,1,Finished,7811,8781,10084,11365,12793,14372,15694,16971,18323,19290,20398,21723.0,22709.0,23497.0,24961.0,26565.0,28005.0,29666.0,31282.0,31520.0,31631.0,26504.0,13943.0,12620.0,11316.0,9605.0,9689.0,7397.0,26489.0,27413.0,26200.0,25839.0,25480.0,25394.0,26814.0,28093.0,30074.0,31325.0,30079.0,29067.0,29327.0,29939.0,28140.0,9838.0,8009.0,6727.0,27837.0,24570.0,19483.0,16768.0,14938.0,14285.0,13381.0,12958.0,12348.0,11898.0,10976.0,10897.0,10592.0,10858.0,11065.0,10524.0,9945.0,9368.0,6520.0,5445.0,4868.0,4840.0,1919.0
9,223,22,barrichello,24,21,6,Gearbox,8387,11028,12698,14760,17429,20053,22131,24236,26746,28894,30719,32752.0,34105.0,35463.0,38148.0,40260.0,42377.0,44916.0,47270.0,49671.0,51962.0,49089.0,37856.0,38354.0,39240.0,40055.0,43115.0,44270.0,47939.0,56876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
