,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
5,223.0,30.0,michael_schumacher,18.0,4.0,Collision,88764.0,173575.0,258299.0,342937.0,427702.0,512241.0,596768.0,681191.0,765471.0,849992.0,934506.0,1018762.0,1103578.0,1188621.0,1272926.0,1357057.0,1441363.0,1525492.0,1609707.0,1694746.0,1779519.0,1882540.0,1969294.0,2054873.0,2141630.0,2228306.0,2313934.0,2399265.0,2483966.0,2569629.0,2654203.0,2738556.0,2823134.0,2907909.0,2992269.0,3076551.0,3161042.0,3245477.0,3330664.0,3415706.0,3499686.0,3583378.0,3686571.0,3773018.0,3858463.0,3944120.0,4030086.0,,,,,,,,,,,,,,,,,,,,,,
8,223.0,49.0,frentzen,6.0,1.0,Finished,90746.0,175841.0,260412.0,345076.0,429696.0,514236.0,598799.0,686452.0,772613.0,858642.0,944976.0,1030953.0,1116610.0,1201951.0,1286501.0,1370869.0,1455726.0,1541924.0,1626528.0,1711307.0,1795664.0,1880546.0,1967419.0,2053874.0,2140391.0,2227271.0,2311989.0,2414061.0,2501327.0,2584462.0,2669038.0,2753931.0,2840005.0,2925805.0,3011577.0,3096837.0,3181729.0,3266212.0,3350503.0,3435216.0,3519989.0,3605706.0,3690139.0,3775809.0,3861791.0,3946468.0,4031431.0,4144328.0,4233077.0,4319448.0,4403755.0,4488188.0,4573344.0,4657984.0,4742479.0,4827141.0,4911772.0,4996848.0,5083064.0,5169611.0,5254767.0,5340175.0,5425530.0,5511048.0,5596702.0,5682054.0,5767892.0,5854287.0,5942309.0
6,223.0,35.0,villeneuve,3.0,1.0,Finished,91985.0,176833.0,261643.0,346189.0,430997.0,515421.0,600162.0,685500.0,769727.0,854037.0,938591.0,1023541.0,1108467.0,1193182.0,1277682.0,1362299.0,1446413.0,1530636.0,1615291.0,1699983.0,1784756.0,1869543.0,1972252.0,2059477.0,2143449.0,2228678.0,2314419.0,2400321.0,2484915.0,2570451.0,2657389.0,2741795.0,2825974.0,2910252.0,2994363.0,3078518.0,3162544.0,3246946.0,3331705.0,3417429.0,3501851.0,3585757.0,3669942.0,3772620.0,3861053.0,3945146.0,4030471.0,4119404.0,4208877.0,4296111.0,4382595.0,4468293.0,4554985.0,4641223.0,4727472.0,4813188.0,4899275.0,4985397.0,5071987.0,5157868.0,5243128.0,5328901.0,5414878.0,5500890.0,5589427.0,5675974.0,5762308.0,5848947.0,5939573.0
12,223.0,57.0,hakkinen,1.0,1.0,Finished,92613.0,177986.0,263133.0,348002.0,433171.0,518076.0,602731.0,687784.0,773195.0,859314.0,945373.0,1031564.0,1117137.0,1202694.0,1288104.0,1373150.0,1457875.0,1542648.0,1627511.0,1712609.0,1797339.0,1882453.0,1967919.0,2054166.0,2140752.0,2244567.0,2330446.0,2414518.0,2498884.0,2583202.0,2668017.0,2753554.0,2839121.0,2925221.0,3010909.0,3096091.0,3180760.0,3265128.0,3349631.0,3434224.0,3519455.0,3604517.0,3689105.0,3793239.0,3879320.0,3965528.0,4050446.0,4135636.0,4221176.0,4306823.0,4392497.0,4478114.0,4563756.0,4649217.0,4734967.0,4820367.0,4905783.0,4991272.0,5077051.0,5163202.0,5248898.0,5335156.0,5420750.0,5506338.0,5592154.0,5678578.0,5764102.0,5850185.0,5937771.0
1,223.0,14.0,coulthard,2.0,1.0,Finished,93280.0,178804.0,264298.0,349576.0,434852.0,520278.0,605471.0,690583.0,775420.0,860460.0,946392.0,1032443.0,1118296.0,1203707.0,1289460.0,1374778.0,1459742.0,1544448.0,1629326.0,1714338.0,1799257.0,1884406.0,1970726.0,2056305.0,2159174.0,2245239.0,2329245.0,2413626.0,2497894.0,2582425.0,2667222.0,2753254.0,2838342.0,2924642.0,3010254.0,3095310.0,3179852.0,3264099.0,3348629.0,3433154.0,3518776.0,3603571.0,3688513.0,3774642.0,3877718.0,3965011.0,4049850.0,4134846.0,4220361.0,4306188.0,4391692.0,4477227.0,4562919.0,4648178.0,4733886.0,4819417.0,4904786.0,4990533.0,5076717.0,5162509.0,5248039.0,5334404.0,5420013.0,5505635.0,5591318.0,5678566.0,5765403.0,5852027.0,5939426.0
17,223.0,71.0,damon_hill,19.0,6.0,Gearbox,93851.0,179692.0,265143.0,350481.0,435820.0,521236.0,606820.0,692234.0,777430.0,862736.0,947712.0,1033511.0,1119677.0,1205066.0,1290532.0,1375769.0,1461304.0,1546671.0,1632117.0,1718303.0,1804022.0,1908851.0,1995030.0,2079924.0,2166197.0,2251425.0,2336843.0,2422264.0,2507287.0,2592148.0,2676927.0,2761921.0,2847271.0,2932491.0,3017910.0,3104310.0,3190967.0,3278276.0,3363889.0,3448163.0,3533745.0,3618430.0,3703649.0,3789608.0,3893807.0,3982233.0,4071109.0,,,,,,,,,,,,,,,,,,,,,,
11,223.0,56.0,irvine,5.0,1.0,Finished,94850.0,181179.0,267041.0,352716.0,438023.0,523085.0,608493.0,693520.0,778602.0,864052.0,950284.0,1035919.0,1121176.0,1206611.0,1292007.0,1377269.0,1462667.0,1547946.0,1632912.0,1718863.0,1804634.0,1890544.0,1975795.0,2078208.0,2164336.0,2248663.0,2333079.0,2417630.0,2502423.0,2587283.0,2672165.0,2757034.0,2841650.0,2927237.0,3014053.0,3099624.0,3183890.0,3268226.0,3353019.0,3437533.0,3522129.0,3608441.0,3693070.0,3796444.0,3882702.0,3967487.0,4052523.0,4138405.0,4224192.0,4309990.0,4395506.0,4481761.0,4567939.0,4653635.0,4739075.0,4824302.0,4909777.0,4995716.0,5082271.0,5168148.0,5253529.0,5338815.0,5424353.0,5509709.0,5595252.0,5680865.0,5766685.0,5853637.0,5941561.0
19,223.0,76.0,magnussen,9.0,1.0,Finished,95343.0,181680.0,267710.0,353539.0,439795.0,525753.0,611381.0,696987.0,782785.0,868224.0,953667.0,1039297.0,1125199.0,1211301.0,1296846.0,1382589.0,1468093.0,1553734.0,1659776.0,1749099.0,1835144.0,1921558.0,2007930.0,2094409.0,2181499.0,2268376.0,2355987.0,2443788.0,2532216.0,2618323.0,2703693.0,2789342.0,2875229.0,2962084.0,3049058.0,3135420.0,3221221.0,3307050.0,3392808.0,3478910.0,3564905.0,3651844.0,3738891.0,3825820.0,3932660.0,4020990.0,4107449.0,4193627.0,4279850.0,4366494.0,4453008.0,4539252.0,4626036.0,4712675.0,4798818.0,4884711.0,4970648.0,5056667.0,5143344.0,5229903.0,5316686.0,5403540.0,5490565.0,5577280.0,5664687.0,5751833.0,5838769.0,5926022.0,6015258.0
20,223.0,77.0,berger,4.0,1.0,Finished,96575.0,182356.0,268383.0,354302.0,440495.0,526613.0,612462.0,698162.0,783794.0,869282.0,954904.0,1040485.0,1126287.0,1212118.0,1297887.0,1383622.0,1469368.0,1555158.0,1640989.0,1726266.0,1811150.0,1896047.0,1981362.0,2066494.0,2151707.0,2236876.0,2321678.0,2406662.0,2510455.0,2597042.0,2680403.0,2764395.0,2848614.0,2933303.0,3019083.0,3104644.0,3191116.0,3276802.0,3360743.0,3444773.0,3529013.0,3613317.0,3698082.0,3782458.0,3866472.0,3950847.0,4057923.0,4143974.0,4228360.0,4312879.0,4397533.0,4482578.0,4568366.0,4654181.0,4739820.0,4825086.0,4910251.0,4996294.0,5082579.0,5168726.0,5254193.0,5339425.0,5424823.0,5510258.0,5595947.0,5681419.0,5767176.0,5853787.0,5939690.0
3,223.0,22.0,barrichello,21.0,6.0,Gearbox,97151.0,184603.0,270997.0,357697.0,445131.0,532294.0,618899.0,705427.0,792217.0,878886.0,965225.0,1051514.0,1137683.0,1224084.0,1311074.0,1397317.0,1483740.0,1570408.0,1656977.0,1744417.0,1831481.0,1918632.0,2005275.0,2092228.0,2179631.0,2267326.0,2355104.0,2443535.0,2531905.0,2626505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
