,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,165155.0,1,1,1,1,1,1,1,1,1,1,2,2,2,6,12,12,12,12,12,12,12,12,11,11,10,8,6,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
1,166623.0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,168197.0,3,3,3,3,3,3,9,20,20,20,20,19,17,16,15,14,14,13,13,13,13,13,13,13,12,10,9,8,7,6,6,6,6,6,7,10,10,10,10,10,10,10,8,8,8,8,8,7,7,7,6,4,4,4,4,4,8,8,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,0
3,168851.0,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,169812.0,5,5,5,5,5,5,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
5,171072.0,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,171545.0,7,7,7,7,7,7,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
7,172860.0,8,8,8,8,8,8,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,3,3,8,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
8,173283.0,9,9,9,9,9,9,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,9,12,12,13,14,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,9,9,10,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,0
9,174817.0,10,10,10,10,10,10,10,9,14,14,14,14,13,13,13,13,13,14,14,14,14,14,14,14,14,13,18,18,18,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,12,12,12,11,11,11,13,12,12,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8
