,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
10,221.0,57.0,hakkinen,12.0,5.0,Engine,86895.0,168885.0,250291.0,331313.0,411965.0,492402.0,572647.0,652966.0,733014.0,813092.0,893071.0,973140.0,1052964.0,1132996.0,1212840.0,1292835.0,1372759.0,1452961.0,1533241.0,1613762.0,1693755.0,1773674.0,1854219.0,1934411.0,2016230.0,2096174.0,2175750.0,2257672.0,2358667.0,2438912.0,2519236.0,2599419.0,2679906.0,2760549.0,2840754.0,2920897.0,3000883.0,3081127.0,3161052.0,3241712.0,3323211.0,3405171.0,3486901.0,,,,,,,,,,,,,,,,,,,,,,,,
1,221.0,14.0,coulthard,14.0,5.0,Engine,88214.0,170588.0,252331.0,333337.0,414259.0,495236.0,576040.0,657344.0,738444.0,819322.0,900643.0,981256.0,1061816.0,1142014.0,1222324.0,1302729.0,1383274.0,1464055.0,1544835.0,1625528.0,1706000.0,1786423.0,1866343.0,1946439.0,2026815.0,2107371.0,2187785.0,2268396.0,2349546.0,2429994.0,2512529.0,2611275.0,2691966.0,2772271.0,2852569.0,2932907.0,3013738.0,3094279.0,3174502.0,3254791.0,3335821.0,3417476.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,221.0,35.0,villeneuve,1.0,1.0,Finished,90217.0,172112.0,253861.0,335287.0,416276.0,497150.0,578196.0,659393.0,740491.0,821150.0,902194.0,983013.0,1063417.0,1143681.0,1224208.0,1304762.0,1385117.0,1466345.0,1546577.0,1627103.0,1707671.0,1787793.0,1868191.0,1949390.0,2029521.0,2109502.0,2189774.0,2272380.0,2374795.0,2455091.0,2534929.0,2615391.0,2696379.0,2776541.0,2857963.0,2938256.0,3018647.0,3099664.0,3180782.0,3261295.0,3342164.0,3423164.0,3504591.0,3586276.0,3668882.0,3749494.0,3830024.0,3910544.0,3993696.0,4097342.0,4178944.0,4261513.0,4344229.0,4425729.0,4506943.0,4588648.0,4670230.0,4751638.0,4833705.0,4916110.0,4996998.0,5077899.0,5158985.0,5239525.0,5319718.0,5400113.0,5487843.0
2,221.0,22.0,barrichello,13.0,6.0,Gearbox,91043.0,173984.0,256357.0,338180.0,420061.0,501904.0,583738.0,665772.0,747820.0,830044.0,911990.0,993738.0,1075144.0,1156846.0,1238322.0,1319590.0,1400717.0,1482482.0,1563805.0,1644978.0,1726205.0,1807125.0,1888799.0,1970209.0,2050946.0,2131876.0,2212828.0,2293895.0,2375696.0,2456971.0,2538150.0,2619093.0,2700339.0,2782695.0,2864210.0,2945390.0,3028788.0,3133284.0,3214839.0,3295933.0,3377144.0,3458463.0,3540058.0,,,,,,,,,,,,,,,,,,,,,,,,
8,221.0,55.0,alesi,2.0,1.0,Finished,91681.0,174584.0,256935.0,339015.0,420597.0,502411.0,584403.0,666338.0,748207.0,830540.0,912492.0,994277.0,1075545.0,1157264.0,1238849.0,1320152.0,1401320.0,1482987.0,1564454.0,1647446.0,1750003.0,1830115.0,1910618.0,1991961.0,2073122.0,2154427.0,2235904.0,2317352.0,2398637.0,2480271.0,2561871.0,2643457.0,2724891.0,2806429.0,2888262.0,2970051.0,3051956.0,3134975.0,3217255.0,3297871.0,3378736.0,3459563.0,3540603.0,3623261.0,3725312.0,3805899.0,3886889.0,3969169.0,4050150.0,4130729.0,4211562.0,4292439.0,4373430.0,4455042.0,4535704.0,4616203.0,4696827.0,4777354.0,4857863.0,4937964.0,5018206.0,5098734.0,5179476.0,5259721.0,5339437.0,5419369.0,5499613.0
17,221.0,76.0,magnussen,15.0,86.0,Halfshaft,92755.0,175879.0,258867.0,341461.0,424003.0,506783.0,589403.0,671855.0,754398.0,836658.0,919051.0,1001490.0,1083541.0,1165621.0,1247512.0,1329774.0,1411761.0,1493944.0,1575898.0,1657636.0,1739431.0,1821073.0,1902658.0,1984375.0,2066002.0,2147738.0,2229539.0,2311162.0,2392792.0,2474442.0,2557218.0,2638666.0,2720130.0,2802038.0,2884462.0,2966794.0,3048763.0,3131012.0,3215451.0,3354353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,221.0,71.0,damon_hill,8.0,1.0,Finished,93320.0,176383.0,259213.0,341776.0,424583.0,507095.0,589743.0,672404.0,754890.0,837157.0,919512.0,1001973.0,1084161.0,1166155.0,1248126.0,1330369.0,1412406.0,1494759.0,1577296.0,1658926.0,1740546.0,1822097.0,1904073.0,1985718.0,2066923.0,2148268.0,2229822.0,2311700.0,2393810.0,2475077.0,2557460.0,2639162.0,2720526.0,2802279.0,2884696.0,2968983.0,3098150.0,3178753.0,3259657.0,3341261.0,3422390.0,3504020.0,3585666.0,3669344.0,3751443.0,3832939.0,3914688.0,3995871.0,4076690.0,4157277.0,4238266.0,4319557.0,4400435.0,4481422.0,4562512.0,4643279.0,4724016.0,4804557.0,4885247.0,4965759.0,5046260.0,5127311.0,5209289.0,5289696.0,5371351.0,5452004.0,5532620.0
13,221.0,64.0,diniz,5.0,1.0,Finished,94050.0,177304.0,260220.0,342854.0,425281.0,507696.0,590377.0,672850.0,755460.0,838070.0,920176.0,1002498.0,1084695.0,1166938.0,1249088.0,1332548.0,1415802.0,1498181.0,1580054.0,1661852.0,1745117.0,1827123.0,1909146.0,1990893.0,2072155.0,2153454.0,2235011.0,2316549.0,2397820.0,2479395.0,2561057.0,2642700.0,2724008.0,2805647.0,2887439.0,2969437.0,3051111.0,3134373.0,3218147.0,3322573.0,3404374.0,3487361.0,3569659.0,3651631.0,3733335.0,3815396.0,3896897.0,3978592.0,4060388.0,4142031.0,4224186.0,4305668.0,4387324.0,4468743.0,4550253.0,4632244.0,4713861.0,4795281.0,4876861.0,4958329.0,5040368.0,5122201.0,5203791.0,5285841.0,5367711.0,5449397.0,5530990.0
14,221.0,65.0,herbert,7.0,1.0,Finished,94390.0,177722.0,260740.0,343274.0,425744.0,508096.0,590720.0,673229.0,756192.0,838748.0,920837.0,1003030.0,1085233.0,1167462.0,1249625.0,1334039.0,1436317.0,1518916.0,1602073.0,1684875.0,1767610.0,1850108.0,1932710.0,2016932.0,2098696.0,2180180.0,2261399.0,2342185.0,2422915.0,2503781.0,2584614.0,2665395.0,2745913.0,2826689.0,2907529.0,2988465.0,3069603.0,3150543.0,3231550.0,3312268.0,3393396.0,3476884.0,3578331.0,3659050.0,3739731.0,3820631.0,3901419.0,3983495.0,4064752.0,4145951.0,4227342.0,4308945.0,4390157.0,4471591.0,4552567.0,4634087.0,4715569.0,4797004.0,4878193.0,4959810.0,5041610.0,5123284.0,5205104.0,5286951.0,5369165.0,5450718.0,5532197.0
3,221.0,30.0,michael_schumacher,18.0,22.0,Suspension,94829.0,184143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,221.0,44.0,panis,6.0,1.0,Finished,95167.0,179581.0,261454.0,343929.0,426459.0,508916.0,591580.0,674073.0,756609.0,841419.0,924335.0,1006471.0,1088311.0,1170161.0,1252092.0,1334446.0,1416997.0,1499300.0,1581399.0,1663372.0,1745400.0,1827720.0,1909701.0,1991681.0,2074392.0,2155861.0,2237018.0,2318173.0,2399259.0,2480819.0,2562433.0,2643893.0,2725493.0,2807012.0,2888768.0,2970683.0,3052635.0,3135368.0,3217859.0,3301168.0,3405623.0,3487560.0,3570223.0,3652096.0,3733897.0,3815898.0,3897389.0,3979369.0,4060950.0,4142793.0,4224594.0,4306314.0,4387787.0,4469367.0,4550692.0,4632689.0,4714335.0,4795730.0,4877170.0,4959033.0,5040907.0,5122674.0,5204280.0,5286271.0,5368285.0,5449907.0,5531593.0
9,221.0,56.0,irvine,16.0,5.0,Engine,95470.0,180079.0,262458.0,344870.0,426990.0,509416.0,592420.0,677244.0,760659.0,842687.0,925132.0,1007028.0,1088821.0,1170821.0,1252947.0,1335186.0,1417635.0,1500053.0,1582041.0,1664222.0,1746185.0,1828592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,221.0,49.0,frentzen,3.0,1.0,Finished,96476.0,181198.0,263723.0,346129.0,428807.0,511557.0,593434.0,677072.0,758894.0,841048.0,922768.0,1004417.0,1086190.0,1168438.0,1251267.0,1333284.0,1416306.0,1498762.0,1580747.0,1662556.0,1744525.0,1824531.0,1904658.0,1986293.0,2067650.0,2148749.0,2230508.0,2312261.0,2394544.0,2477798.0,2577299.0,2656104.0,2735682.0,2815401.0,2895303.0,2975894.0,3056757.0,3137972.0,3219673.0,3300846.0,3381685.0,3462559.0,3543542.0,3625999.0,3707343.0,3786901.0,3868233.0,3970482.0,4050891.0,4131342.0,4212173.0,4293346.0,4374125.0,4455652.0,4537169.0,4617996.0,4698589.0,4778960.0,4859047.0,4939047.0,5019147.0,5099339.0,5180051.0,5260380.0,5340452.0,5420503.0,5501323.0
11,221.0,58.0,marques,19.0,5.0,Engine,96826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,221.0,77.0,berger,4.0,1.0,Finished,97260.0,181975.0,264204.0,346484.0,429141.0,511853.0,593849.0,676691.0,757604.0,840125.0,921220.0,1003413.0,1085654.0,1168216.0,1250408.0,1332647.0,1413515.0,1495076.0,1577686.0,1659377.0,1743299.0,1845567.0,1925993.0,2006435.0,2087420.0,2168447.0,2249274.0,2329782.0,2410465.0,2491280.0,2571565.0,2652061.0,2732768.0,2813671.0,2894287.0,2975207.0,3056058.0,3137240.0,3218768.0,3300171.0,3380862.0,3461661.0,3542884.0,3625237.0,3708480.0,3809698.0,3889822.0,3971170.0,4052965.0,4133484.0,4214082.0,4294598.0,4375386.0,4456356.0,4538083.0,4619024.0,4699689.0,4780329.0,4861180.0,4941466.0,5021462.0,5101461.0,5182527.0,5263416.0,5343545.0,5423888.0,5504259.0
16,221.0,75.0,nakano,17.0,5.0,Engine,98700.0,183512.0,266191.0,348562.0,430661.0,513207.0,596006.0,678706.0,761739.0,844168.0,926537.0,1008921.0,1091040.0,1173009.0,1255038.0,1337177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,221.0,63.0,salo,10.0,11.0,+1 Lap,99003.0,184185.0,267549.0,350641.0,433768.0,516840.0,600019.0,683389.0,766168.0,848887.0,931440.0,1016918.0,1100172.0,1182696.0,1265191.0,1347891.0,1430919.0,1513587.0,1596407.0,1678887.0,1761447.0,1846368.0,1952349.0,2034506.0,2116588.0,2198584.0,2280694.0,2362796.0,2444937.0,2527409.0,2609551.0,2692860.0,2775334.0,2859073.0,2941956.0,3024412.0,3106874.0,3189359.0,3271431.0,3354010.0,3436827.0,3520857.0,3626604.0,3709460.0,3792230.0,3875533.0,3959666.0,4041870.0,4124090.0,4206135.0,4288581.0,4371211.0,4454848.0,4540180.0,4622919.0,4705992.0,4788843.0,4871571.0,4954156.0,5036475.0,5118797.0,5201876.0,5285311.0,5372106.0,5455522.0,5538927.0,
7,221.0,50.0,verstappen,11.0,20.0,Spun off,99746.0,186047.0,269732.0,352964.0,436111.0,519633.0,603253.0,686592.0,770091.0,853437.0,936660.0,1019867.0,1102542.0,1185575.0,1269266.0,1352516.0,1435608.0,1518528.0,1601508.0,1684207.0,1766997.0,1849533.0,1932045.0,2016639.0,2119298.0,2201848.0,2284532.0,2367177.0,2449761.0,2532216.0,2614982.0,2699267.0,2782419.0,2866330.0,2949338.0,3032209.0,3116121.0,3199106.0,3281872.0,3366133.0,3472289.0,3554891.0,3637819.0,3720642.0,3803382.0,3885964.0,3970273.0,4055084.0,4137820.0,4220569.0,,,,,,,,,,,,,,,,,
20,221.0,81.0,morbidelli,9.0,11.0,+1 Lap,99911.0,184751.0,267991.0,351077.0,434243.0,517561.0,600538.0,683750.0,766920.0,849451.0,931940.0,1016522.0,1098356.0,1179831.0,1261308.0,1342971.0,1424855.0,1506746.0,1588389.0,1670261.0,1752131.0,1833844.0,1918386.0,2021840.0,2102764.0,2183757.0,2264875.0,2346100.0,2427152.0,2508280.0,2589145.0,2670219.0,2751431.0,2832608.0,2914323.0,2995877.0,3077289.0,3158462.0,3240085.0,3327334.0,3455383.0,3537391.0,3619581.0,3701699.0,3783942.0,3866302.0,3948594.0,4030621.0,4112784.0,4194986.0,4277259.0,4359344.0,4441580.0,4523519.0,4605459.0,4687760.0,4769802.0,4852027.0,4933964.0,5015801.0,5097592.0,5182152.0,5265700.0,5347724.0,5429610.0,5511462.0,
19,221.0,79.0,katayama,20.0,4.0,Collision,180630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
