,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
5,211,30,michael_schumacher,6,1,1,Finished,118788,233535.0,348991.0,466031.0,580339.0,693685.0,807859.0,921767.0,1035588.0,1149376.0,1263940.0,1378581.0,1494172.0,1609506.0,1725298.0,1843163.0,1958315.0,2075220.0,2190952.0,2306717.0,2421047.0,2535565.0,2648927.0,2762418.0,2875759.0,2989074.0,3105112.0,3221078.0,3336728.0,3451013.0,3566418.0,3700467.0,3821162.0,3936188.0,4051482.0,4170722.0,4287266.0,4402103.0,4517216.0,4634269.0,4748690.0,4864223.0,4978067.0,5092898.0,5207927.0,5322488.0,5437928.0,5554032.0,5669816.0,5785006.0,5900123.0,6014448.0,6139220.0,6254640.0,6369682.0,6484947.0,6602346.0,6719854.0,6837440.0,6956849.0,7077156.0,7205654.0
2,211,21,fisichella,17,6,11,+1 Lap,125442,245055.0,364709.0,482779.0,602460.0,723263.0,841318.0,957128.0,1071934.0,1188981.0,1306147.0,1423381.0,1539646.0,1656885.0,1773288.0,1890934.0,2007688.0,2124646.0,2242366.0,2359209.0,2475078.0,2592299.0,2708244.0,2823984.0,2940018.0,3056140.0,3171346.0,3288132.0,3404034.0,3520431.0,3638194.0,3757089.0,3874920.0,3995790.0,4135256.0,4265491.0,4387913.0,4510159.0,4632613.0,4752537.0,4870468.0,4989103.0,5105260.0,5222996.0,5339528.0,5456626.0,5574758.0,5693018.0,5810525.0,5927621.0,6044963.0,6161594.0,6278256.0,6395429.0,6512755.0,6630910.0,6749819.0,6868975.0,6986755.0,7105513.0,7225206.0,
4,211,23,ralf_schumacher,17,16,20,Spun off,127300,246644.0,365639.0,484285.0,603932.0,722365.0,838689.0,953781.0,1067326.0,1180756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,211,49,frentzen,3,11,20,Spun off,127505,256951.0,382254.0,509265.0,653143.0,774931.0,893485.0,1010318.0,1127680.0,1247332.0,1363267.0,1478805.0,1598769.0,1715454.0,1846018.0,1962540.0,2080435.0,2198837.0,2313211.0,2428883.0,2544058.0,2657562.0,2772010.0,2887711.0,3005538.0,3121523.0,3236608.0,3352318.0,3468226.0,3583726.0,3701344.0,3816748.0,3933369.0,4049784.0,4172266.0,4304864.0,4441834.0,4565651.0,4685457.0,,,,,,,,,,,,,,,,,,,,,,,
3,211,22,barrichello,24,2,1,Finished,128726,247015.0,365956.0,484574.0,602683.0,720776.0,835435.0,949828.0,1064053.0,1177548.0,1292151.0,1409210.0,1525109.0,1640619.0,1755734.0,1871664.0,1987609.0,2103573.0,2221717.0,2337502.0,2452174.0,2566181.0,2681619.0,2799316.0,2915205.0,3030786.0,3146243.0,3262558.0,3377341.0,3492521.0,3607907.0,3723841.0,3839807.0,3955936.0,4073646.0,4191651.0,4311890.0,4430800.0,4568573.0,4692164.0,4809924.0,4927070.0,5044888.0,5162197.0,5277883.0,5394024.0,5509138.0,5627313.0,5743658.0,5858765.0,5974243.0,6090240.0,6207542.0,6323250.0,6440083.0,6556465.0,6672540.0,6789265.0,6906014.0,7023770.0,7140468.0,7258960.0
14,211,65,herbert,15,17,20,Spun off,129683,249608.0,367605.0,486464.0,604684.0,723667.0,842033.0,957873.0,1073876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,211,14,coulthard,1,19,20,Spun off,131201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,211,44,panis,20,4,1,Finished,133020,255175.0,373680.0,493593.0,611564.0,731960.0,848553.0,965048.0,1081489.0,1197750.0,1314999.0,1431603.0,1547273.0,1663397.0,1779393.0,1896509.0,2012801.0,2128110.0,2244272.0,2360413.0,2477121.0,2593092.0,2708963.0,2825111.0,2940698.0,3057251.0,3173015.0,3289433.0,3405194.0,3521962.0,3639346.0,3758032.0,3876343.0,3994409.0,4110565.0,4229117.0,4365329.0,4491489.0,4611818.0,4730009.0,4846876.0,4963346.0,5079347.0,5195326.0,5311860.0,5430826.0,5548042.0,5663664.0,5779216.0,5895172.0,6011275.0,6127411.0,6244609.0,6362429.0,6479528.0,6596881.0,6714288.0,6831656.0,6948986.0,7067604.0,7186317.0,7310056.0
6,211,35,villeneuve,3,15,20,Spun off,135043,264617.0,417644.0,543606.0,664542.0,783646.0,902038.0,1019580.0,1136500.0,1256159.0,1374890.0,1492795.0,1608690.0,1723908.0,1847760.0,1965509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,211,57,hakkinen,1,20,4,Collision,135786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
