,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,villeneuve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,michael_schumacher,2,2,2,2,2,2,2,2,2,2,2,2,2,5,11,10,9,8,7,6,6,6,6,6,6,5,4,4,4,3,7,6,6,5,5,5,5,5,5,4,4,4,4,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,coulthard,3,3,3,3,3,3,3,3,3,3,3,3,3,2,8,6,4,4,3,3,3,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
3,alesi,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,1,5,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,hakkinen,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,9,8,7,5,5,5,4,4,4,4,3,5,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
5,frentzen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,11,10,9,8,8,8,8,9,9,9,11,11,10,9,9,9,8,8,8,8,8,8,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8
6,herbert,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,11,10,9,8,7,7,7,7,7,7,6,6,5,5,5,4,4,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
7,berger,8,8,8,8,8,8,8,8,8,8,8,8,9,9,15,15,15,14,14,13,11,11,10,10,10,10,9,8,9,11,11,11,10,10,10,10,10,10,10,9,14,13,12,12,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
8,fisichella,9,9,9,9,9,9,9,9,9,9,9,9,8,8,6,4,3,3,11,10,10,9,9,8,8,7,7,7,7,7,6,7,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9
9,salo,10,10,10,10,10,10,10,10,10,10,11,13,16,20,20,20,20,19,19,19,19,18,17,17,18,18,18,18,18,18,18,18,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
