,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
7,212.0,35.0,villeneuve,1.0,1.0,Finished,89234.0,173522.0,256941.0,339905.0,422970.0,506020.0,588637.0,671394.0,753928.0,836775.0,920217.0,1004160.0,1087354.0,1170892.0,1255614.0,1339920.0,1422887.0,1505651.0,1588256.0,1674889.0,1781215.0,1865453.0,1951102.0,2034824.0,2118643.0,2202193.0,2286338.0,2370952.0,2456308.0,2541717.0,2625927.0,2709260.0,2793737.0,2877846.0,2961857.0,3045756.0,3129479.0,3213429.0,3298672.0,3383858.0,3468698.0,3552431.0,3635438.0,3719450.0,3806560.0,3911459.0,3994564.0,4079843.0,4164531.0,4248866.0,4333236.0,4417077.0,4500945.0,4585305.0,4670161.0,4755010.0,4840661.0,4926165.0,5011327.0,5096601.0,5181245.0,5264568.0,5348580.0,5435896.0
6,212.0,30.0,michael_schumacher,4.0,1.0,Finished,89761.0,174000.0,257679.0,341212.0,424470.0,507711.0,592097.0,677177.0,762720.0,848394.0,934419.0,1020533.0,1106657.0,1194702.0,1297234.0,1381154.0,1465649.0,1549679.0,1633620.0,1716893.0,1800238.0,1885055.0,1968782.0,2052846.0,2137018.0,2222532.0,2307253.0,2391081.0,2474769.0,2560829.0,2660127.0,2743301.0,2826093.0,2909357.0,2992701.0,3075873.0,3159311.0,3242935.0,3327056.0,3410030.0,3492783.0,3575456.0,3657912.0,3740207.0,3823047.0,3907841.0,4011287.0,4095598.0,4179796.0,4265472.0,4349527.0,4434931.0,4519000.0,4603026.0,4687262.0,4772999.0,4858794.0,4944436.0,5030324.0,5115286.0,5200386.0,5284982.0,5369819.0,5453875.0
1,212.0,14.0,coulthard,6.0,1.0,Finished,90678.0,174676.0,258203.0,341670.0,425030.0,508170.0,592476.0,677518.0,763080.0,848715.0,934755.0,1020954.0,1106885.0,1192677.0,1292682.0,1375416.0,1458790.0,1541948.0,1624643.0,1707187.0,1789840.0,1872180.0,1954554.0,2038497.0,2122380.0,2205229.0,2289341.0,2372933.0,2458103.0,2561186.0,2645917.0,2729496.0,2812686.0,2896352.0,2980661.0,3065493.0,3150224.0,3236450.0,3322430.0,3410272.0,3512469.0,3597753.0,3682077.0,3766230.0,3850657.0,3935109.0,4020449.0,4105075.0,4189255.0,4273111.0,4357588.0,4442116.0,4526157.0,4610376.0,4695256.0,4780369.0,4865428.0,4951276.0,5036734.0,5121940.0,5206890.0,5292230.0,5378050.0,5465640.0
11,212.0,55.0,alesi,3.0,1.0,Finished,91572.0,175793.0,259210.0,342841.0,426497.0,509993.0,593766.0,678137.0,763693.0,849317.0,935372.0,1021403.0,1107225.0,1193835.0,1277208.0,1360574.0,1443866.0,1527426.0,1610695.0,1693791.0,1779544.0,1884219.0,1967663.0,2051668.0,2136301.0,2221750.0,2306695.0,2390250.0,2473859.0,2558431.0,2642895.0,2726746.0,2810265.0,2893855.0,2978809.0,3062841.0,3146823.0,3230745.0,3315040.0,3399046.0,3482855.0,3566282.0,3653252.0,3758074.0,3842133.0,3925964.0,4010539.0,4095001.0,4179193.0,4264241.0,4348508.0,4434228.0,4518167.0,4602070.0,4686364.0,4772199.0,4857937.0,4943226.0,5027918.0,5112081.0,5195872.0,5279368.0,5364086.0,5448430.0
13,212.0,57.0,hakkinen,7.0,1.0,Finished,92146.0,176254.0,259798.0,343397.0,427331.0,510624.0,594475.0,678728.0,764162.0,849792.0,935952.0,1021634.0,1107814.0,1194353.0,1279316.0,1380562.0,1464939.0,1548989.0,1632572.0,1715872.0,1799356.0,1882801.0,1967034.0,2051174.0,2135972.0,2221256.0,2309784.0,2415889.0,2501476.0,2584717.0,2668204.0,2752083.0,2836856.0,2921621.0,3006505.0,3091483.0,3176166.0,3260643.0,3345521.0,3430350.0,3515293.0,3599974.0,3684800.0,3771229.0,3874490.0,3958831.0,4042391.0,4125979.0,4209610.0,4293163.0,4376626.0,4461053.0,4545610.0,4630566.0,4715521.0,4800260.0,4885803.0,4971368.0,5056539.0,5142079.0,5227715.0,5313105.0,5398403.0,5484681.0
9,212.0,49.0,frentzen,8.0,1.0,Finished,92796.0,176975.0,261173.0,345015.0,428909.0,512711.0,596594.0,680790.0,766113.0,851623.0,937546.0,1022903.0,1108899.0,1195538.0,1280939.0,1368069.0,1471492.0,1554625.0,1637825.0,1721564.0,1805883.0,1890233.0,1976778.0,2064825.0,2151744.0,2240048.0,2344782.0,2428029.0,2511604.0,2595141.0,2678749.0,2762543.0,2847289.0,2932068.0,3017500.0,3102680.0,3188844.0,3274320.0,3363672.0,3469877.0,3554936.0,3640203.0,3725510.0,3810596.0,3895819.0,3980567.0,4066413.0,4151536.0,4236849.0,4320835.0,4406407.0,4490844.0,4574394.0,4657235.0,4740616.0,4824243.0,4907826.0,4992224.0,5075808.0,5159715.0,5242772.0,5326999.0,5413480.0,5500035.0
16,212.0,65.0,herbert,5.0,1.0,Finished,93455.0,178076.0,262222.0,346228.0,430221.0,514067.0,597998.0,682345.0,767011.0,852366.0,938113.0,1023791.0,1109583.0,1196039.0,1283385.0,1385975.0,1469420.0,1552802.0,1636917.0,1720789.0,1804856.0,1888979.0,1972876.0,2057161.0,2141345.0,2225885.0,2310412.0,2394633.0,2478946.0,2562995.0,2647257.0,2732658.0,2818883.0,2919655.0,3003838.0,3088740.0,3172798.0,3256982.0,3341123.0,3425188.0,3509350.0,3593864.0,3677689.0,3761928.0,3846124.0,3930619.0,4014894.0,4099095.0,4185126.0,4286997.0,4370391.0,4454064.0,4537721.0,4620899.0,4704681.0,4788323.0,4872864.0,4956968.0,5040872.0,5124965.0,5208836.0,5292891.0,5378598.0,5463882.0
20,212.0,77.0,berger,10.0,1.0,Finished,94859.0,179422.0,263187.0,346903.0,430850.0,514867.0,598740.0,683170.0,768090.0,854065.0,940344.0,1027631.0,1115530.0,1204302.0,1312191.0,1396689.0,1481590.0,1566375.0,1652068.0,1737495.0,1823127.0,1906808.0,1990905.0,2074917.0,2159255.0,2243885.0,2329081.0,2415115.0,2503639.0,2607388.0,2690553.0,2774218.0,2859928.0,2944895.0,3030620.0,3115624.0,3201679.0,3288507.0,3375677.0,3465574.0,3569464.0,3652570.0,3736394.0,3820364.0,3905267.0,3989565.0,4073656.0,4157794.0,4241693.0,4326060.0,4410198.0,4494184.0,4578061.0,4661419.0,4745352.0,4828782.0,4912597.0,4996447.0,5080007.0,5163395.0,5247913.0,5332172.0,5416614.0,5501566.0
3,212.0,21.0,fisichella,9.0,1.0,Finished,95296.0,179779.0,263706.0,347832.0,432304.0,516649.0,601084.0,685994.0,771216.0,855880.0,941117.0,1027810.0,1113860.0,1199504.0,1285018.0,1370403.0,1455327.0,1541828.0,1643854.0,1726096.0,1808735.0,1892086.0,1977136.0,2061798.0,2146024.0,2230471.0,2315833.0,2402377.0,2487571.0,2573645.0,2659472.0,2747754.0,2851269.0,2934549.0,3018312.0,3103089.0,3189202.0,3274572.0,3360023.0,3444587.0,3528791.0,3613094.0,3698160.0,3782662.0,3866906.0,3951122.0,4035331.0,4119262.0,4203164.0,4287994.0,4371784.0,4456972.0,4565265.0,4648854.0,4731898.0,4815137.0,4898504.0,4982344.0,5066959.0,5152781.0,5239352.0,5326616.0,5413039.0,5500663.0
14,212.0,63.0,salo,19.0,29.0,Puncture,95982.0,181129.0,265997.0,350772.0,436254.0,521548.0,608003.0,694615.0,781163.0,868467.0,957166.0,1046611.0,1141419.0,1255139.0,1342185.0,1428120.0,1514347.0,1601270.0,1688010.0,1774756.0,1861032.0,1947372.0,2034381.0,2121925.0,2211166.0,2297972.0,2384380.0,2471190.0,2558199.0,2645598.0,2737263.0,2824725.0,2913680.0,3002529.0,3093456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
