,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
11,191,57,hakkinen,1,1,1,Finished,99905,194251.0,288377.0,382908.0,477547.0,572100.0,666255.0,760020.0,853688.0,947744.0,1041437.0,1134700.0,1227820.0,1321617.0,1414783.0,1507739.0,1601044.0,1694597.0,1787190.0,1880049.0,1972693.0,2065181.0,2157706.0,2273783.0,2371522.0,2466467.0,2560891.0,2654575.0,2748423.0,2842679.0,2937474.0,3033358.0,3127554.0,3225956.0,3318911.0,3421958.0,3517680.0,3609445.0,3701094.0,3820405.0,3915053.0,4007859.0,4102200.0,4198433.0,4293521.0,4387289.0,4480791.0,4573755.0,4666791.0,4759445.0,4851916.0,4945048.0,5038702.0,5131601.0,5225097.0,5318285.0,5412840.0,5505996.0
0,191,14,coulthard,1,2,1,Finished,101422,195958.0,290347.0,384829.0,479058.0,573594.0,667744.0,761982.0,855671.0,949011.0,1042938.0,1136682.0,1230032.0,1323845.0,1417226.0,1510310.0,1603146.0,1697226.0,1790725.0,1883424.0,1976261.0,2068815.0,2161171.0,2254865.0,2373236.0,2469397.0,2564388.0,2659526.0,2753091.0,2846479.0,2940488.0,3035103.0,3130841.0,3226478.0,3320471.0,3414134.0,3507496.0,3601830.0,3695127.0,3789001.0,3881477.0,3994869.0,4091929.0,4185888.0,4280211.0,4375166.0,4469708.0,4564027.0,4658136.0,4753592.0,4848169.0,4943485.0,5036742.0,5130076.0,5222832.0,5318433.0,5413414.0,5506698.0
5,191,30,michael_schumacher,6,17,5,Engine,102770,198544.0,294759.0,392202.0,491356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,191,35,villeneuve,3,5,11,+1 Lap,104170,201430.0,298536.0,396146.0,493480.0,591441.0,688849.0,786177.0,883125.0,979808.0,1076313.0,1172929.0,1269251.0,1366280.0,1463486.0,1559798.0,1655862.0,1751894.0,1848237.0,1944468.0,2041189.0,2137599.0,2233564.0,2329881.0,2426453.0,2522698.0,2618773.0,2739034.0,2839167.0,2935134.0,3030995.0,3127062.0,3227694.0,3327819.0,3424703.0,3521418.0,3617816.0,3714101.0,3811629.0,3907778.0,4004337.0,4100774.0,4197745.0,4295435.0,4392101.0,4488941.0,4585498.0,4681844.0,4778629.0,4874508.0,4970202.0,5066389.0,5162050.0,5258535.0,5356783.0,5454110.0,5550546.0,
2,191,21,fisichella,22,10,41,Broken wing,105011,202425.0,299455.0,396653.0,494392.0,592086.0,689490.0,786695.0,883596.0,980398.0,1076860.0,1173365.0,1269517.0,1366861.0,1463725.0,1560218.0,1656317.0,1752768.0,1848737.0,1944932.0,2041356.0,2158677.0,2257530.0,2354341.0,2449668.0,2545595.0,2641315.0,2737129.0,2832688.0,2928615.0,3024199.0,3119184.0,3214765.0,3309992.0,3405514.0,3502160.0,3598536.0,3694860.0,3793112.0,3887431.0,4003902.0,4103516.0,4199474.0,,,,,,,,,,,,,,,
14,191,65,herbert,15,6,11,+1 Lap,105688,203142.0,300646.0,398265.0,495788.0,593439.0,690487.0,787883.0,884532.0,981464.0,1078010.0,1174779.0,1270851.0,1367272.0,1464427.0,1561192.0,1657092.0,1753323.0,1849386.0,1945655.0,2041889.0,2138521.0,2234145.0,2330321.0,2426980.0,2523359.0,2645408.0,2744310.0,2840478.0,2936813.0,3033282.0,3132069.0,3230297.0,3329554.0,3426186.0,3522896.0,3618764.0,3715026.0,3812283.0,3908536.0,4005031.0,4101635.0,4198293.0,4295797.0,4392697.0,4489596.0,4586137.0,4682337.0,4779110.0,4875223.0,4971039.0,5066976.0,5162648.0,5259286.0,5357129.0,5454508.0,5550970.0,
8,191,49,frentzen,3,3,11,+1 Lap,106629,205016.0,302779.0,400839.0,498571.0,596883.0,694982.0,792655.0,889876.0,986824.0,1084115.0,1181041.0,1277881.0,1374730.0,1471193.0,1567663.0,1664225.0,1761133.0,1857515.0,1954325.0,2050161.0,2146547.0,2242305.0,2337524.0,2432784.0,2528045.0,2622969.0,2717661.0,2811964.0,2906046.0,3000369.0,3093923.0,3210312.0,3308770.0,3404878.0,3501740.0,3598185.0,3694490.0,3794510.0,3890632.0,3986914.0,4083113.0,4179399.0,4275494.0,4370988.0,4466440.0,4561518.0,4656485.0,4752206.0,4847572.0,4944641.0,5041466.0,5136497.0,5231016.0,5325618.0,5420331.0,5514664.0,
10,191,56,irvine,6,4,11,+1 Lap,107216,205606.0,303433.0,401514.0,499467.0,597827.0,695923.0,793886.0,890798.0,987699.0,1084766.0,1181624.0,1278434.0,1375231.0,1471898.0,1568544.0,1664711.0,1761586.0,1858149.0,1954866.0,2050925.0,2147005.0,2242860.0,2338247.0,2434183.0,2528920.0,2623807.0,2718720.0,2812989.0,2907035.0,3001057.0,3094847.0,3216915.0,3315177.0,3410208.0,3505586.0,3601457.0,3698173.0,3796727.0,3892725.0,3988489.0,4084224.0,4179998.0,4276070.0,4371588.0,4467012.0,4562262.0,4657147.0,4753437.0,4849650.0,4945958.0,5042017.0,5137291.0,5232212.0,5326316.0,5421013.0,5515743.0,
16,191,71,damon_hill,17,8,11,+1 Lap,107584,205987.0,304181.0,402042.0,500098.0,598206.0,696405.0,794407.0,891511.0,988258.0,1085282.0,1182240.0,1278907.0,1375583.0,1472559.0,1568876.0,1665496.0,1762016.0,1884754.0,1983362.0,2079609.0,2176440.0,2273583.0,2370322.0,2466098.0,2563421.0,2660757.0,2756680.0,2852519.0,2948773.0,3044532.0,3140193.0,3235818.0,3331917.0,3427650.0,3523889.0,3619531.0,3715437.0,3835770.0,3933540.0,4028557.0,4123934.0,4219864.0,4316239.0,4411954.0,4510848.0,4607102.0,4702589.0,4798118.0,4893114.0,4987781.0,5082535.0,5177292.0,5272049.0,5366339.0,5460535.0,5554894.0,
4,191,25,wurz,22,7,11,+1 Lap,108646,206685.0,305132.0,403098.0,501044.0,599026.0,697194.0,795192.0,892416.0,989226.0,1086273.0,1183174.0,1279911.0,1376423.0,1473242.0,1569859.0,1666149.0,1762745.0,1859376.0,1976009.0,2073879.0,2168668.0,2264165.0,2360236.0,2457536.0,2552982.0,2648322.0,2745099.0,2841182.0,2937283.0,3034483.0,3132279.0,3229008.0,3328179.0,3424966.0,3545511.0,3643238.0,3738250.0,3833918.0,3929968.0,4025692.0,4122146.0,4217704.0,4314076.0,4409979.0,4505701.0,4601255.0,4696518.0,4791864.0,4887090.0,4982740.0,5078285.0,5173541.0,5268987.0,5363725.0,5458702.0,5553611.0,
