,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,197,14,coulthard,1,15,37,Throttle,87511,219070,352463,485419,611993,694142,775951,857781,939066,1020130,1100982,1182395,1263590,1345275,1428809,1572107,1699630,1780663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,197,30,michael_schumacher,6,1,1,Finished,88796,220364,353868,486777,612429,694759,776284,858120,939467,1020437,1101488,1183148,1264075,1345972,1429677,1574249,1699980,1781574,1861978.0,1959948.0,2078267.0,2203420.0,2287641.0,2369128.0,2450268.0,2531207.0,2612310.0,2693520.0,2775170.0,2856540.0,2937553.0,3018716.0,3099890.0,3181092.0,3281308.0,3364343.0,3445616.0,3528083.0,3609492.0,3689843.0,3770574.0,3850912.0,3931069.0,4011330.0,4091307.0,4171456.0,4251266.0,4330645.0,4411083.0,4507874.0,4591015.0,4671757.0,4752945.0,4834093.0,4915740.0,4997852.0,5079326.0,5160243.0,5241098.0,5321940.0,5403379.0,5484962.0,5566700.0,5648610.0,5730663.0,5812423.0,5894196.0,5975435.0,6057356.0
1,197,21,fisichella,22,2,1,Finished,89833,221070,354601,487447,613070,697123,779834,862733,946186,1028924,1112035,1194884,1278159,1361584,1446292,1575679,1701246,1785644,1868134.0,1953830.0,2075452.0,2202225.0,2285004.0,2366419.0,2447852.0,2529216.0,2610900.0,2692710.0,2774177.0,2855450.0,2936885.0,3017976.0,3099391.0,3180333.0,3261572.0,3343104.0,3424716.0,3505777.0,3587069.0,3668223.0,3750074.0,3831923.0,3913780.0,4014254.0,4098574.0,4180495.0,4262791.0,4344801.0,4427748.0,4509995.0,4592865.0,4674904.0,4758112.0,4840560.0,4922691.0,5004667.0,5086875.0,5168805.0,5251579.0,5334786.0,5417707.0,5500700.0,5582972.0,5664267.0,5746619.0,5828234.0,5909728.0,5991290.0,6074018.0
5,197,35,villeneuve,3,10,16,+6 Laps,91565,222541,355328,488511,613532,698149,781413,865241,948862,1031987,1115163,1197521,1279929,1362592,1447955,1576935,1701772,1786593,1870839.0,1956696.0,2076376.0,2202313.0,2748351.0,2839096.0,2924919.0,3008706.0,3092184.0,3175609.0,3258973.0,3342143.0,3427022.0,3510124.0,3593164.0,3676582.0,3760750.0,3844848.0,3928055.0,4013462.0,4097316.0,4179885.0,4266119.0,4349472.0,4431888.0,4515432.0,4598213.0,4680652.0,4762747.0,4844868.0,4926876.0,5008729.0,5090510.0,5172820.0,5254792.0,5336642.0,5419103.0,5501922.0,5585010.0,5666646.0,5748210.0,5829668.0,5910901.0,5992172.0,6074604.0,,,,,,
7,197,49,frentzen,3,14,20,Spun off,93616,223398,355739,489332,614327,699798,783167,865774,949189,1032384,1115658,1198088,1280523,1363535,1449029,1578713,1702290,1787165,1871880.0,1961493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,197,22,barrichello,24,5,1,Finished,95694,225113,356482,491263,614620,699372,782086,864767,947422,1030092,1117924,1201555,1284640,1368277,1454114,1580499,1703195,1788343,1872103.0,1962752.0,2095961.0,2209555.0,2295903.0,2379562.0,2462874.0,2546765.0,2630273.0,2713548.0,2797256.0,2881445.0,2965454.0,3049082.0,3132740.0,3215728.0,3298628.0,3381574.0,3464587.0,3547912.0,3631174.0,3714253.0,3797020.0,3879614.0,3962213.0,4044452.0,4126793.0,4209536.0,4291884.0,4391399.0,4477313.0,4560123.0,4642927.0,4726126.0,4809157.0,4892352.0,4975866.0,5058925.0,5141858.0,5224770.0,5307869.0,5390819.0,5474021.0,5556982.0,5639850.0,5722726.0,5805768.0,5888442.0,5971301.0,6054656.0,6138868.0
12,197,71,damon_hill,17,12,10,Electrical,96759,225900,357438,492267,615706,701008,785033,867970,950899,1033931,1116957,1199940,1283745,1367533,1453216,1579670,1702974,1788085,1872587.0,1964043.0,2079033.0,2204458.0,2288767.0,2371576.0,2453509.0,2535875.0,2618037.0,2700032.0,2782185.0,2864743.0,2948263.0,3031568.0,3114455.0,3197137.0,3279706.0,3362345.0,3445123.0,3528218.0,3631572.0,3717806.0,3871480.0,4162007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,197,76,magnussen,24,6,11,+1 Lap,98200,226769,358155,492901,616196,702158,787128,871613,956319,1041014,1125907,1210671,1295398,1381131,1469160,1581757,1704489,1790013,1874684.0,1964780.0,2079899.0,2205039.0,2290707.0,2375301.0,2459236.0,2542645.0,2625789.0,2708939.0,2791894.0,2874847.0,2957768.0,3040635.0,3123527.0,3206665.0,3308922.0,3395222.0,3478977.0,3563252.0,3647930.0,3732812.0,3817535.0,3901932.0,3987372.0,4072578.0,4157348.0,4241679.0,4325573.0,4409758.0,4495269.0,4579066.0,4662655.0,4746332.0,4830589.0,4914366.0,4999208.0,5082778.0,5166310.0,5249760.0,5333322.0,5416771.0,5501149.0,5586476.0,5669650.0,5753217.0,5836537.0,5919435.0,6002788.0,6086708.0,
10,197,64,diniz,21,9,11,+1 Lap,99218,227206,358940,493319,616682,703480,787990,872576,956888,1041621,1126362,1211445,1318062,1435081,1574942,1700881,1786352,1871478,1958528.0,2077111.0,2203327.0,2290090.0,2373399.0,2456666.0,2539627.0,2622222.0,2704514.0,2786670.0,2868854.0,2951031.0,3033700.0,3115961.0,3197990.0,3280429.0,3363040.0,3446305.0,3552650.0,3639581.0,3724901.0,3810271.0,3894149.0,3978124.0,4062005.0,4145689.0,4229023.0,4312797.0,4396594.0,4480719.0,4563751.0,4646606.0,4729363.0,4812290.0,4895331.0,4978627.0,5062098.0,5145191.0,5228288.0,5311425.0,5394351.0,5477311.0,5559803.0,5642733.0,5726465.0,5809501.0,5892409.0,5974578.0,6056392.0,6139362.0,
13,197,73,rosset,25,8,11,+1 Lap,101972,228135,360279,494674,617254,704052,788866,873413,957656,1042254,1127202,1212537,1297467,1382107,1494204,1590713,1709804,1795572,1882333.0,1972065.0,2107477.0,2210252.0,2297910.0,2383051.0,2468135.0,2554152.0,2639098.0,2724082.0,2809497.0,2894472.0,2979283.0,3064501.0,3149111.0,3234387.0,3319523.0,3404449.0,3489224.0,3574194.0,3659638.0,3745580.0,3831796.0,3918378.0,4003836.0,4088464.0,4173625.0,4258675.0,4343630.0,4430204.0,4515818.0,4601349.0,4686262.0,4770730.0,4854936.0,4939669.0,5024181.0,5108238.0,5192335.0,5276478.0,5360034.0,5443452.0,5527496.0,5629327.0,5717273.0,5801304.0,5885583.0,5969568.0,6053569.0,6137371.0,
15,197,75,nakano,18,7,11,+1 Lap,103267,228813,360982,495266,617902,704729,789796,874442,960000,1044789,1128990,1213661,1298452,1383723,1472652,1584247,1705731,1791369,1875644.0,1965980.0,2080637.0,2205816.0,2291422.0,2376314.0,2460313.0,2543956.0,2627337.0,2710487.0,2796935.0,2880856.0,2964352.0,3047705.0,3130813.0,3213724.0,3296751.0,3380071.0,3463697.0,3547093.0,3651070.0,3738357.0,3822472.0,3906388.0,3990389.0,4074560.0,4158633.0,4242865.0,4327092.0,4411188.0,4495990.0,4579921.0,4663814.0,4747652.0,4831366.0,4915479.0,5000271.0,5084265.0,5167552.0,5250826.0,5334090.0,5418282.0,5502679.0,5587111.0,5670708.0,5753956.0,5837585.0,5920628.0,6003535.0,6087937.0,
11,197,65,herbert,15,16,20,Spun off,109676,229519,361594,496029,618124,705164,790367,874659,959621,1043087,1127664,1212143,1295957,1381305,1469565,1583102,1704924,1790600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,197,44,panis,20,13,20,Spun off,112551,230298,362291,496664,618662,705709,790722,875200,960296,1045174,1129508,1213988,1298717,1383899,1473561,1584757,1705976,1791708,1875917.0,1966680.0,2081338.0,2206060.0,2291611.0,2375427.0,2459552.0,2543100.0,2626149.0,2709478.0,2792280.0,2876420.0,2958337.0,3041275.0,3123903.0,3206995.0,3289904.0,3372128.0,3454149.0,3536028.0,3617697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,197,63,salo,21,17,3,Accident,114886,232395,363569,497612,619295,706183,791260,875711,960540,1045980,1131237,1216015,1300484,1385028,1476265,1585573,1706614,1792095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,197,74,tuero,18,11,10,Electrical,115859,233325,364273,497976,620395,707127,792107,877042,961713,1046289,1131670,1216699,1301209,1385528,1477256,1586159,1707142,1793021,1878328.0,1968743.0,2081868.0,2206899.0,2350514.0,2438834.0,2523302.0,2607512.0,2691895.0,2778557.0,2863001.0,2948171.0,3034407.0,3118644.0,3202794.0,3287261.0,3372037.0,3459272.0,3543441.0,3627718.0,3711732.0,3796159.0,3881603.0,3965824.0,4049121.0,4132611.0,4217692.0,4301285.0,4384774.0,4468409.0,4551451.0,4634416.0,4718801.0,4801995.0,4884934.0,,,,,,,,,,,,,,,,
3,197,25,wurz,22,4,1,Finished,118496,235522,365268,498417,621225,708091,792793,877443,962036,1046925,1132117,1217097,1302122,1386471,1478442,1586982,1707961,1793623,1878778.0,1970126.0,2082556.0,2207438.0,2294950.0,2377878.0,2460878.0,2544373.0,2627683.0,2710786.0,2795552.0,2877803.0,2960083.0,3042423.0,3124965.0,3207595.0,3290798.0,3373190.0,3456015.0,3537903.0,3620509.0,3722436.0,3809118.0,3892516.0,3976015.0,4059421.0,4142911.0,4226380.0,4309398.0,4392537.0,4475464.0,4558420.0,4640778.0,4723199.0,4805447.0,4887858.0,4970075.0,5052519.0,5134596.0,5217120.0,5299598.0,5382000.0,5464132.0,5546280.0,5628431.0,5710637.0,5792611.0,5874305.0,5956703.0,6038397.0,6120588.0
