,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,198,30,michael_schumacher,6,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,198,56,irvine,6,2,1,Finished,1506,2705,3972,5279,6435,7399,8153,8520,10006,11060,11837,12468,13362,13441,13226,13522,12879.0,12714.0,13979.0,15574.0,16893.0,15673.0,0.0,18712.0,18008.0,17764.0,18026.0,18253.0,18860.0,20055.0,22001.0,22313.0,22624.0,23131.0,22670.0,23202.0,24132.0,24406.0,24952.0,25220.0,24922.0,24743.0,27916.0,48628.0,45751.0,26359.0,26086.0,25315.0,25168.0,25677.0,26023.0,26277.0,26272.0,27523.0,28555.0,29326.0,30052.0,30168.0,30749.0,31151.0,30768.0,30316.0,29746.0,28103.0,27187.0,25119.0,23520.0,22326.0,21366.0,20344.0,19575.0
2,198,57,hakkinen,1,3,1,Finished,2004,3355,4572,5984,7090,8259,8860,9583,10495,11573,12457,13013,13847,14143,13833,14042,13351.0,13286.0,14384.0,22571.0,26346.0,41278.0,22550.0,23395.0,22665.0,22354.0,22815.0,23008.0,23237.0,25638.0,27331.0,28799.0,30056.0,30680.0,30090.0,31383.0,32723.0,33176.0,33715.0,33803.0,33956.0,33940.0,33715.0,33701.0,30014.0,9158.0,8980.0,7991.0,7350.0,8126.0,8247.0,7110.0,7162.0,11110.0,30465.0,31016.0,30513.0,30584.0,31236.0,31678.0,31271.0,30769.0,30229.0,28377.0,27700.0,25721.0,24075.0,22958.0,22040.0,20962.0,19747.0
3,198,14,coulthard,1,6,11,+1 Lap,2687,3915,5249,6614,8103,9396,9989,10607,11646,12549,13298,14048,14920,15166,14994,15096,14278.0,14014.0,14930.0,16158.0,17289.0,18784.0,26776.0,27779.0,27585.0,27541.0,27818.0,28409.0,28914.0,30257.0,31698.0,32805.0,34122.0,36535.0,36256.0,36676.0,37317.0,37544.0,38728.0,39009.0,38633.0,38302.0,39180.0,40562.0,37735.0,17024.0,16524.0,15218.0,14415.0,14296.0,15560.0,14607.0,13973.0,13417.0,16690.0,66813.0,89802.0,88284.0,86226.0,85444.0,83959.0,82346.0,87458.0,103755.0,100162.0,96806.0,94989.0,92813.0,91036.0,88649.0,
4,198,35,villeneuve,3,4,1,Finished,4152,6336,8244,10169,11728,13390,15016,16424,18041,19564,20734,22320,23605,24974,25496,26375,26128.0,27014.0,29126.0,30787.0,32599.0,29911.0,11155.0,16217.0,36763.0,36994.0,37379.0,38042.0,37929.0,38361.0,39348.0,40340.0,41278.0,42252.0,42892.0,45132.0,47011.0,47769.0,48880.0,49967.0,49892.0,48961.0,48903.0,49899.0,47327.0,28643.0,29427.0,33683.0,54316.0,55149.0,55745.0,56952.0,57529.0,58269.0,58921.0,61339.0,62809.0,64160.0,64762.0,64788.0,63996.0,63340.0,64884.0,64514.0,63573.0,62385.0,61703.0,63500.0,64275.0,65094.0,66965.0
5,198,23,ralf_schumacher,17,16,13,+3 Laps,5033,7178,8936,10861,12631,14146,15881,17345,18953,20422,21538,23013,24623,25792,26244,31124,50772.0,116264.0,250569.0,252764.0,254578.0,254074.0,236920.0,240442.0,243852.0,245900.0,249414.0,251905.0,254423.0,257252.0,261575.0,264121.0,266667.0,269194.0,273394.0,277605.0,279919.0,280704.0,282732.0,284277.0,284614.0,284883.0,287721.0,289718.0,288087.0,270308.0,271286.0,271346.0,271931.0,272996.0,274791.0,275961.0,280555.0,302864.0,304318.0,304400.0,304895.0,304487.0,304142.0,307390.0,309218.0,309860.0,310337.0,307972.0,305926.0,303302.0,301310.0,301032.0,,,
6,198,71,damon_hill,17,21,9,Hydraulics,5684,8091,10283,12003,13556,15078,16714,18152,20678,22179,23287,24424,25316,27338,36369,44968,58077.0,80292.0,87933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,198,25,wurz,22,5,11,+1 Lap,6230,8772,11132,13509,15087,16875,18452,20115,21993,23777,24961,26323,27716,28879,29285,30164,32659.0,52088.0,52350.0,53743.0,55577.0,53257.0,34981.0,36946.0,38335.0,39978.0,40655.0,41518.0,42098.0,43322.0,44318.0,45065.0,46036.0,50434.0,67596.0,68017.0,69082.0,69546.0,70693.0,71902.0,72816.0,73348.0,74399.0,75816.0,73654.0,54663.0,54885.0,54376.0,55120.0,59622.0,78751.0,78966.0,80270.0,81048.0,81982.0,83109.0,83782.0,84469.0,84873.0,84985.0,85870.0,86631.0,88483.0,87055.0,86450.0,84935.0,84270.0,83929.0,83564.0,83748.0,
8,198,55,alesi,15,7,11,+1 Lap,7001,9787,12256,14992,17109,19103,20956,22949,24813,27109,29164,30808,32457,33750,35573,37355,36855.0,37597.0,38688.0,40006.0,41235.0,39239.0,24392.0,44611.0,45205.0,46358.0,47906.0,49907.0,50767.0,52620.0,54480.0,57843.0,59676.0,61642.0,62458.0,64342.0,66893.0,67868.0,69487.0,71342.0,72203.0,72789.0,73678.0,75059.0,73044.0,57512.0,77457.0,76977.0,77331.0,81026.0,82400.0,83337.0,83619.0,84649.0,85801.0,87362.0,88913.0,90660.0,91776.0,92556.0,92861.0,93297.0,94144.0,92044.0,90563.0,90950.0,91157.0,90935.0,90462.0,90563.0,
9,198,21,fisichella,22,9,11,+1 Lap,7423,10372,13099,15798,18113,20554,22206,24188,26182,29040,30861,32335,34392,35794,36989,39219,39032.0,43397.0,62002.0,64253.0,66802.0,63860.0,44315.0,45489.0,46277.0,47555.0,48783.0,50698.0,51952.0,53651.0,55405.0,58630.0,70775.0,83012.0,108494.0,110751.0,113802.0,114098.0,115445.0,116505.0,117126.0,118158.0,121221.0,123269.0,121776.0,102098.0,103560.0,102727.0,102890.0,103460.0,103708.0,107686.0,127201.0,127620.0,128182.0,130655.0,131727.0,132847.0,133687.0,134888.0,135033.0,146033.0,147843.0,147276.0,147472.0,146320.0,146073.0,147227.0,147777.0,149322.0,
10,198,15,trulli,20,19,20,Spun off,8003,17600,96464,98638,104411,106158,108064,110028,112043,114336,116572,119043,121376,123458,124788,126647,126976.0,128049.0,129595.0,131386.0,132966.0,130993.0,112805.0,115715.0,122564.0,144298.0,145530.0,147325.0,148820.0,151019.0,153190.0,155704.0,160297.0,162766.0,164300.0,166554.0,168766.0,170258.0,172527.0,175054.0,177833.0,179783.0,182576.0,184538.0,182591.0,167981.0,192846.0,197009.0,198120.0,199773.0,201315.0,202494.0,203511.0,205383.0,211490.0,,,,,,,,,,,,,,,,
11,198,49,frentzen,3,15,22,Suspension,8552,11947,14579,17001,19601,22580,24882,27052,29696,32050,34123,36476,38762,40212,41447,43286,43121.0,43965.0,45235.0,50555.0,72155.0,69541.0,51864.0,52855.0,53219.0,54304.0,55459.0,56663.0,57821.0,60152.0,61795.0,63083.0,65134.0,67639.0,69902.0,70844.0,72560.0,73526.0,76350.0,78787.0,80816.0,82034.0,83778.0,85628.0,83744.0,63877.0,64105.0,63194.0,63317.0,64668.0,68472.0,89654.0,89930.0,90962.0,91949.0,92643.0,93235.0,93334.0,93410.0,93651.0,93674.0,93843.0,95127.0,93195.0,91667.0,91130.0,95655.0,105088.0,,,
12,198,22,barrichello,24,10,12,+2 Laps,9516,13555,16899,21126,24687,29485,32900,35883,39087,42248,44888,47880,50464,52845,54650,56878,57739.0,59355.0,61384.0,63860.0,66500.0,65899.0,52203.0,74109.0,75189.0,76601.0,78427.0,81839.0,84197.0,86444.0,89082.0,91164.0,93626.0,96121.0,98704.0,101314.0,105518.0,107444.0,109991.0,112176.0,115072.0,116316.0,117548.0,120988.0,119613.0,100884.0,106627.0,126076.0,127304.0,129643.0,131853.0,133557.0,135059.0,137421.0,141353.0,145721.0,149113.0,151405.0,154091.0,156596.0,158197.0,160106.0,161985.0,160876.0,160432.0,160101.0,160376.0,162795.0,164333.0,,
