,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
7,198.0,30.0,michael_schumacher,1.0,1.0,Finished,79094.0,157045.0,234864.0,312634.0,390710.0,468832.0,547255.0,625922.0,704468.0,782903.0,861624.0,940202.0,1019032.0,1098313.0,1178098.0,1257399.0,1338118.0,1417811.0,1496958.0,1575790.0,1654729.0,1737600.0,1836850.0,1916043.0,1995703.0,2074960.0,2153944.0,2232995.0,2312248.0,2390999.0,2469623.0,2548452.0,2627202.0,2706028.0,2785871.0,2864770.0,2943395.0,3022813.0,3101310.0,3180260.0,3259741.0,3339585.0,3419004.0,3497762.0,3580157.0,3679706.0,3759010.0,3839150.0,3918597.0,3997418.0,4076480.0,4156110.0,4235922.0,4315070.0,4394231.0,4473201.0,4552531.0,4632223.0,4711804.0,4791313.0,4871439.0,4951680.0,5032088.0,5115078.0,5197262.0,5279312.0,5360673.0,5441655.0,5522552.0,5603768.0,5685027.0
13,198.0,56.0,irvine,2.0,1.0,Finished,80600.0,159750.0,238836.0,317913.0,397145.0,476231.0,555408.0,634442.0,714474.0,793963.0,873461.0,952670.0,1032394.0,1111754.0,1191324.0,1270921.0,1350997.0,1430525.0,1510937.0,1591364.0,1671622.0,1753273.0,1836828.0,1934755.0,2013711.0,2092724.0,2171970.0,2251248.0,2331108.0,2411054.0,2491624.0,2570765.0,2649826.0,2729159.0,2808541.0,2887972.0,2967527.0,3047219.0,3126262.0,3205480.0,3284663.0,3364328.0,3446920.0,3546390.0,3625908.0,3706065.0,3785096.0,3864465.0,3943765.0,4023095.0,4102503.0,4182387.0,4262194.0,4342593.0,4422786.0,4502527.0,4582583.0,4662391.0,4742553.0,4822464.0,4902207.0,4981996.0,5061834.0,5143181.0,5224449.0,5304431.0,5384193.0,5463981.0,5543918.0,5624112.0,5704602.0
14,198.0,57.0,hakkinen,3.0,1.0,Finished,81098.0,160400.0,239436.0,318618.0,397800.0,477091.0,556115.0,635505.0,714963.0,794476.0,874081.0,953215.0,1032879.0,1112456.0,1191931.0,1271441.0,1351469.0,1431097.0,1511342.0,1598361.0,1681075.0,1778878.0,1859378.0,1939438.0,2018368.0,2097314.0,2176759.0,2256003.0,2335485.0,2416637.0,2496954.0,2577251.0,2657258.0,2736708.0,2815961.0,2896153.0,2976118.0,3055989.0,3135025.0,3214063.0,3293697.0,3373525.0,3452719.0,3531463.0,3610171.0,3688864.0,3767990.0,3847141.0,3925947.0,4005544.0,4084727.0,4163220.0,4243084.0,4326180.0,4424696.0,4504217.0,4583044.0,4662807.0,4743040.0,4822991.0,4902710.0,4982449.0,5062317.0,5143455.0,5224962.0,5305033.0,5384748.0,5464613.0,5544592.0,5624730.0,5704774.0
1,198.0,14.0,coulthard,6.0,11.0,+1 Lap,81781.0,160960.0,240113.0,319248.0,398813.0,478228.0,557244.0,636529.0,716114.0,795452.0,874922.0,954250.0,1033952.0,1113479.0,1193092.0,1272495.0,1352396.0,1431825.0,1511888.0,1591948.0,1672018.0,1756384.0,1863604.0,1943822.0,2023288.0,2102501.0,2181762.0,2261404.0,2341162.0,2421256.0,2501321.0,2581257.0,2661324.0,2742563.0,2822127.0,2901446.0,2980712.0,3060357.0,3140038.0,3219269.0,3298374.0,3377887.0,3458184.0,3538324.0,3617892.0,3696730.0,3775534.0,3854368.0,3933012.0,4011714.0,4092040.0,4170717.0,4249895.0,4328487.0,4410921.0,4540014.0,4642333.0,4720507.0,4798030.0,4876757.0,4955398.0,5034026.0,5119546.0,5218833.0,5297424.0,5376118.0,5455662.0,5534468.0,5613588.0,5692417.0,
8,198.0,35.0,villeneuve,4.0,1.0,Finished,83246.0,163381.0,243108.0,322803.0,402438.0,482222.0,562271.0,642346.0,722509.0,802467.0,882358.0,962522.0,1042637.0,1123287.0,1203594.0,1283774.0,1364246.0,1444825.0,1526084.0,1606577.0,1687328.0,1767511.0,1847983.0,1932260.0,2032466.0,2111954.0,2191323.0,2271037.0,2350177.0,2429360.0,2508971.0,2588792.0,2668480.0,2748280.0,2828763.0,2909902.0,2990406.0,3070582.0,3150190.0,3230227.0,3309633.0,3388546.0,3467907.0,3547661.0,3627484.0,3708349.0,3788437.0,3872833.0,3972913.0,4052567.0,4132225.0,4213062.0,4293451.0,4373339.0,4453152.0,4534540.0,4615340.0,4696383.0,4776566.0,4856101.0,4935435.0,5015020.0,5096972.0,5179592.0,5260835.0,5341697.0,5422376.0,5505155.0,5586827.0,5668862.0,5751992.0
5,198.0,23.0,ralf_schumacher,16.0,13.0,+3 Laps,84127.0,164223.0,243800.0,323495.0,403341.0,482978.0,563136.0,643267.0,723421.0,803325.0,883162.0,963215.0,1043655.0,1124105.0,1204342.0,1288523.0,1388890.0,1534075.0,1747527.0,1828554.0,1909307.0,1991674.0,2073748.0,2156485.0,2239555.0,2320860.0,2403358.0,2484900.0,2566671.0,2648251.0,2731198.0,2812573.0,2893869.0,2975222.0,3059265.0,3142375.0,3223314.0,3303517.0,3384042.0,3464537.0,3544355.0,3624468.0,3706725.0,3787480.0,3868244.0,3950014.0,4030296.0,4110496.0,4190528.0,4270414.0,4351271.0,4432071.0,4516477.0,4617934.0,4698549.0,4777601.0,4857426.0,4936710.0,5015946.0,5098703.0,5180657.0,5261540.0,5342425.0,5423050.0,5503188.0,5582614.0,5661983.0,5742687.0,,,
19,198.0,71.0,damon_hill,21.0,9.0,Hydraulics,84778.0,165136.0,245147.0,324637.0,404266.0,483910.0,563969.0,644074.0,725146.0,805082.0,884911.0,964626.0,1044348.0,1125651.0,1214467.0,1302367.0,1396195.0,1498103.0,1584891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,198.0,25.0,wurz,5.0,11.0,+1 Lap,85324.0,165817.0,245996.0,326143.0,405797.0,485707.0,565707.0,646037.0,726461.0,806680.0,886585.0,966525.0,1046748.0,1127192.0,1207383.0,1287563.0,1370777.0,1469899.0,1549308.0,1629533.0,1710306.0,1790857.0,1871809.0,1952989.0,2034038.0,2114938.0,2194599.0,2274513.0,2354346.0,2434321.0,2513941.0,2593517.0,2673238.0,2756462.0,2853467.0,2932787.0,3012477.0,3092359.0,3172003.0,3252162.0,3332557.0,3412933.0,3493403.0,3573578.0,3653811.0,3734369.0,3813895.0,3893526.0,3973717.0,4057040.0,4155231.0,4235076.0,4316192.0,4396118.0,4476213.0,4556310.0,4636313.0,4716692.0,4796677.0,4876298.0,4957309.0,5038311.0,5120571.0,5202133.0,5283712.0,5364247.0,5444943.0,5525584.0,5606116.0,5687516.0,
12,198.0,55.0,alesi,7.0,11.0,+1 Lap,86095.0,166832.0,247120.0,327626.0,407819.0,487935.0,568211.0,648871.0,729281.0,810012.0,890788.0,971010.0,1051489.0,1132063.0,1213671.0,1294754.0,1374973.0,1455408.0,1535646.0,1615796.0,1695964.0,1776839.0,1861220.0,1960654.0,2040908.0,2121318.0,2201850.0,2282902.0,2363015.0,2443619.0,2524103.0,2606295.0,2686878.0,2767670.0,2848329.0,2929112.0,3010288.0,3090681.0,3170797.0,3251602.0,3331944.0,3412374.0,3492682.0,3572821.0,3653201.0,3737218.0,3836467.0,3916127.0,3995928.0,4078444.0,4158880.0,4239447.0,4319541.0,4399719.0,4480032.0,4560563.0,4641444.0,4722883.0,4803580.0,4883869.0,4964300.0,5044977.0,5126232.0,5207122.0,5287825.0,5370262.0,5451830.0,5532590.0,5613014.0,5694331.0,
3,198.0,21.0,fisichella,9.0,11.0,+1 Lap,86517.0,167417.0,247963.0,328432.0,408823.0,489386.0,569461.0,650110.0,730650.0,811943.0,892485.0,972537.0,1053424.0,1134107.0,1215087.0,1296618.0,1377150.0,1461208.0,1558960.0,1640043.0,1721531.0,1801460.0,1881143.0,1961532.0,2041980.0,2122515.0,2202727.0,2283693.0,2364200.0,2444650.0,2525028.0,2607082.0,2697977.0,2789040.0,2894365.0,2975521.0,3057197.0,3136911.0,3216755.0,3296765.0,3376867.0,3457743.0,3540225.0,3621031.0,3701933.0,3781804.0,3862570.0,3941877.0,4021487.0,4100878.0,4180188.0,4263796.0,4363123.0,4442690.0,4522413.0,4603856.0,4684258.0,4765070.0,4845491.0,4926201.0,5006472.0,5097713.0,5179931.0,5262354.0,5344734.0,5425632.0,5506746.0,5588882.0,5670329.0,5753090.0,
