,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
14,202.0,57.0,hakkinen,6.0,11.0,+1 Lap,85850.0,167491.0,249457.0,330730.0,411886.0,493082.0,574215.0,654879.0,735818.0,816846.0,898060.0,979424.0,1060868.0,1142088.0,1223629.0,1305078.0,1386091.0,1467480.0,1550065.0,1630682.0,1711296.0,1792438.0,1873235.0,1954801.0,2036749.0,2118156.0,2199381.0,2285442.0,2386400.0,2466945.0,2547544.0,2628731.0,2710243.0,2791088.0,2872301.0,2953757.0,3035431.0,3116740.0,3199308.0,3280391.0,3361985.0,3443000.0,3523924.0,3605550.0,3687066.0,3773490.0,3875909.0,3958194.0,4040470.0,4122685.0,4205536.0,4291129.0,4375508.0,4458623.0,4541584.0,4624807.0,4707831.0,4792096.0,4876577.0,4960677.0,5045399.0,5131124.0,5214899.0,5299667.0,5383845.0,5469389.0,5555393.0,5640854.0,5724506.0,5807730.0,5895049.0,5981285.0,6067281.0,6153524.0,6240152.0,6329933.0,
1,202.0,14.0,coulthard,2.0,1.0,Finished,86678.0,168345.0,250464.0,332088.0,413673.0,495181.0,576526.0,657502.0,738643.0,819858.0,900900.0,981993.0,1063222.0,1144514.0,1225564.0,1307108.0,1388152.0,1469181.0,1552110.0,1633164.0,1715047.0,1796158.0,1877321.0,1958020.0,2039899.0,2126956.0,2228304.0,2308850.0,2389568.0,2470593.0,2551449.0,2632633.0,2713485.0,2794189.0,2875364.0,2956517.0,3037935.0,3119711.0,3202093.0,3284425.0,3365115.0,3446500.0,3527140.0,3612782.0,3715362.0,3796185.0,3877437.0,3959024.0,4041276.0,4123491.0,4206229.0,4289784.0,4373454.0,4455331.0,4536581.0,4618056.0,4699433.0,4781595.0,4863253.0,4944466.0,5025893.0,5107494.0,5189566.0,5271087.0,5353304.0,5436629.0,5518399.0,5600423.0,5682360.0,5764158.0,5845538.0,5926473.0,6008271.0,6090005.0,6171214.0,6252845.0,6334984.0
7,202.0,30.0,michael_schumacher,1.0,1.0,Finished,87782.0,169675.0,251403.0,333029.0,414474.0,495867.0,577331.0,658483.0,739996.0,821174.0,902199.0,983378.0,1064454.0,1145737.0,1226788.0,1308085.0,1389089.0,1470405.0,1552734.0,1634288.0,1715608.0,1796843.0,1878284.0,1959219.0,2044757.0,2147579.0,2230440.0,2311799.0,2392952.0,2474092.0,2554957.0,2634909.0,2715096.0,2795456.0,2875936.0,2957126.0,3038375.0,3120105.0,3202314.0,3285193.0,3365671.0,3447219.0,3532081.0,3630736.0,3710654.0,3790248.0,3870942.0,3950747.0,4031387.0,4112673.0,4192975.0,4278797.0,4359469.0,4439326.0,4520334.0,4600497.0,4680603.0,4760228.0,4840194.0,4919480.0,4998990.0,5083207.0,5184533.0,5265539.0,5346188.0,5426561.0,5507229.0,5588018.0,5668607.0,5750164.0,5830790.0,5912058.0,5993837.0,6076011.0,6158477.0,6241549.0,6325551.0
13,202.0,56.0,irvine,20.0,6.0,Gearbox,89620.0,172000.0,254404.0,336296.0,417886.0,499406.0,580535.0,661769.0,742973.0,824133.0,905117.0,986244.0,1080643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,202.0,71.0,damon_hill,4.0,1.0,Finished,90855.0,174304.0,256829.0,339501.0,421987.0,504087.0,586208.0,668243.0,750263.0,832319.0,914250.0,996337.0,1078780.0,1160574.0,1242546.0,1324339.0,1406088.0,1487683.0,1569524.0,1651670.0,1733732.0,1816160.0,1899331.0,1986045.0,2090282.0,2172390.0,2254198.0,2336151.0,2418480.0,2500719.0,2582587.0,2664707.0,2748069.0,2830008.0,2912078.0,2994264.0,3076137.0,3157800.0,3239018.0,3322112.0,3404248.0,3486336.0,3568246.0,3650121.0,3732010.0,3814129.0,3896307.0,3978443.0,4060844.0,4142578.0,4228674.0,4329537.0,4410800.0,4491940.0,4573103.0,4656142.0,4738053.0,4819937.0,4901829.0,4984421.0,5067014.0,5150832.0,5232791.0,5314005.0,5395919.0,5479237.0,5561879.0,5643973.0,5725608.0,5807918.0,5889749.0,5971247.0,6053461.0,6134191.0,6214871.0,6296108.0,6380626.0
8,202.0,35.0,villeneuve,3.0,1.0,Finished,91827.0,175251.0,258047.0,340691.0,423146.0,505390.0,587610.0,669774.0,752174.0,834267.0,917085.0,999129.0,1082586.0,1165158.0,1248226.0,1330270.0,1411635.0,1492937.0,1574376.0,1655798.0,1737396.0,1818619.0,1900154.0,1982495.0,2063746.0,2146785.0,2230037.0,2311272.0,2392351.0,2473331.0,2559688.0,2665803.0,2748719.0,2830364.0,2912738.0,2994881.0,3077504.0,3158556.0,3239947.0,3322572.0,3404666.0,3486880.0,3568827.0,3650579.0,3732635.0,3814736.0,3896805.0,3978982.0,4061252.0,4143044.0,4225006.0,4305133.0,4386103.0,4466300.0,4551707.0,4652244.0,4732322.0,4812690.0,4895527.0,4977306.0,5058722.0,5140871.0,5224081.0,5304999.0,5385595.0,5469401.0,5551271.0,5632793.0,5713706.0,5795327.0,5876209.0,5957262.0,6038897.0,6120529.0,6201749.0,6282993.0,6369995.0
10,202.0,49.0,frentzen,5.0,1.0,Finished,92529.0,176139.0,259494.0,342063.0,424812.0,507298.0,589436.0,671711.0,754252.0,836654.0,919243.0,1001814.0,1084338.0,1167076.0,1249216.0,1331752.0,1413678.0,1495680.0,1578671.0,1661246.0,1744011.0,1826062.0,1908051.0,1990081.0,2071957.0,2153960.0,2236319.0,2319025.0,2406409.0,2516715.0,2599271.0,2680869.0,2762221.0,2843887.0,2927493.0,3009341.0,3090638.0,3172668.0,3254763.0,3337032.0,3419533.0,3501404.0,3582420.0,3663863.0,3745064.0,3826622.0,3907853.0,3989194.0,4069911.0,4150668.0,4231645.0,4312739.0,4393541.0,4479705.0,4581252.0,4662057.0,4742413.0,4823118.0,4904203.0,4985885.0,5068208.0,5151479.0,5234403.0,5317374.0,5400007.0,5481856.0,5564140.0,5645741.0,5726973.0,5809404.0,5892607.0,5973159.0,6054370.0,6134998.0,6215892.0,6297021.0,6382061.0
6,202.0,25.0,wurz,16.0,6.0,Gearbox,93208.0,177218.0,260403.0,343413.0,426326.0,509485.0,592443.0,675329.0,758065.0,840734.0,923604.0,1006445.0,1089354.0,1171967.0,1255039.0,1337902.0,1420180.0,1502573.0,1584660.0,1667763.0,1750950.0,1834533.0,1916711.0,1999006.0,2081217.0,2163719.0,2245975.0,2332979.0,2435780.0,2517791.0,2601814.0,2684664.0,2766759.0,2848418.0,2930737.0,3014347.0,3097417.0,3179463.0,3261967.0,3343665.0,3425810.0,3507637.0,3589969.0,3672551.0,3754624.0,3836292.0,3917934.0,3999413.0,4085620.0,4189819.0,4271763.0,4354804.0,4437282.0,4519790.0,4603434.0,4685732.0,4768169.0,4850878.0,4933853.0,5016307.0,5098930.0,5181795.0,5265124.0,5349967.0,5433366.0,5515316.0,5597126.0,5679300.0,5762909.0,,,,,,,,
12,202.0,55.0,alesi,7.0,11.0,+1 Lap,94231.0,178414.0,262169.0,345703.0,429228.0,512030.0,594456.0,677232.0,759869.0,842554.0,925093.0,1007802.0,1090729.0,1173413.0,1256073.0,1338844.0,1421578.0,1504010.0,1586351.0,1669113.0,1755347.0,1838035.0,1921851.0,2004916.0,2087452.0,2169444.0,2251730.0,2333935.0,2416526.0,2503215.0,2605527.0,2689660.0,2771506.0,2854065.0,2935504.0,3017351.0,3099608.0,3181716.0,3265033.0,3346626.0,3428421.0,3510738.0,3592882.0,3675748.0,3759050.0,3841257.0,3923383.0,4005150.0,4087139.0,4174250.0,4259851.0,4363601.0,4445163.0,4526811.0,4608859.0,4690880.0,4772472.0,4854046.0,4935890.0,5017810.0,5099735.0,5182088.0,5266956.0,5350399.0,5434035.0,5516493.0,5599014.0,5681364.0,5765672.0,5848135.0,5929979.0,6012210.0,6094822.0,6177353.0,6259226.0,6341962.0,
3,202.0,21.0,fisichella,8.0,11.0,+1 Lap,94885.0,179107.0,262928.0,346463.0,430038.0,513080.0,596253.0,678964.0,762403.0,845195.0,927944.0,1010546.0,1093355.0,1175749.0,1258353.0,1340400.0,1422569.0,1505053.0,1587772.0,1670393.0,1753122.0,1836070.0,1918431.0,2000485.0,2082478.0,2164662.0,2246953.0,2329418.0,2415536.0,2518716.0,2602273.0,2684956.0,2767357.0,2849365.0,2931499.0,3014738.0,3098208.0,3180737.0,3263186.0,3345340.0,3427443.0,3509341.0,3592395.0,3674609.0,3758381.0,3839951.0,3921888.0,4002948.0,4086843.0,4175606.0,4280152.0,4364395.0,4447274.0,4529876.0,4612518.0,4695013.0,4778077.0,4859913.0,4941568.0,5024289.0,5106559.0,5190522.0,5273020.0,5355512.0,5438935.0,5522992.0,5606255.0,5688025.0,5769947.0,5852522.0,5935222.0,6018057.0,6101607.0,6185701.0,6269487.0,6356358.0,
