,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,irvine,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,frentzen,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,coulthard,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,villeneuve,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,damon_hill,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
6,ralf_schumacher,7,7,7,7,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,wurz,8,8,8,9,9,9,9,9,9,9,9,9,9,8,11,10,9,9,10,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
8,fisichella,9,9,10,10,10,10,10,10,10,10,10,10,10,9,7,11,11,10,9,8,8,8,8,8,8,8,8,8,8,10,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
9,alesi,10,11,11,11,11,11,11,11,11,11,11,11,11,10,8,7,7,7,6,10,10,10,10,10,10,10,10,10,10,8,8,7,7,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7
10,panis,11,12,12,12,12,12,12,12,12,12,12,12,12,11,10,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
11,michael_schumacher,12,10,9,8,7,7,7,7,7,7,7,7,7,6,5,5,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,barrichello,13,13,13,13,13,13,13,13,13,17,17,17,17,16,15,15,14,13,12,12,12,12,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,salo,14,14,14,14,14,14,14,14,14,13,13,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,diniz,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,takagi,16,16,16,16,16,16,16,16,16,15,15,15,15,14,13,12,13,15,15,15,14,14,13,13,13,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,verstappen,17,17,15,15,15,15,15,15,15,14,14,14,14,13,12,14,16,14,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,trulli,18,18,17,17,17,17,17,17,17,16,16,16,16,15,14,13,12,12,14,14,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0
18,nakano,19,19,18,18,18,18,18,18,18,18,18,18,18,17,16,16,17,17,16,16,15,15,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
19,tuero,20,20,19,19,19,19,19,19,19,19,19,19,19,18,17,17,15,16,17,17,17,16,16,16,16,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
