,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
6,205,30,michael_schumacher,6,2,1,Finished,89140,171290,253474,335578,417684,499829,581992.0,664097.0,746273.0,828430.0,910699.0,992840.0,1074832.0,1156755.0,1238984.0,1320628.0,1401965.0,1483273.0,1564540.0,1646133.0,1728181.0,1810061.0,1891859.0,1974906.0,2075276.0,2156544.0,2239508.0,2321471.0,2404999.0,2487011.0,2569078.0,2650971.0,2732963.0,2815030.0,2897181.0,2979494.0,3061393.0,3142891.0,3225220.0,3307297.0,3389291.0,3470911.0,3552991.0,3634439.0,3716233.0,3797695.0,3881155.0,3979415.0,4061074.0,4143236.0,4225658.0,4308972.0,4391458.0,4473793.0,4556703.0,4638655.0,4720783.0,4802373.0,4883770.0,4965434.0,5047317.0,5128878.0,5211344.0,5293688.0,5374689.0,5455782.0,5537001.0
12,205,56,irvine,6,4,1,Finished,89391,172599,255497,338263,420594,503036,585317.0,667811.0,750178.0,832290.0,915457.0,998641.0,1081742.0,1165921.0,1249308.0,1331974.0,1414662.0,1497192.0,1579367.0,1661798.0,1745570.0,1829557.0,1913217.0,1996074.0,2080515.0,2183045.0,2265407.0,2347998.0,2430747.0,2513730.0,2596833.0,2679854.0,2763419.0,2846553.0,2929789.0,3012908.0,3095840.0,3179284.0,3263023.0,3346449.0,3429972.0,3513000.0,3596500.0,3680554.0,3763792.0,3846315.0,3928341.0,4010273.0,4094263.0,4194016.0,4276205.0,4358638.0,4441245.0,4523838.0,4606100.0,4688494.0,4770713.0,4853196.0,4935627.0,5017649.0,5099534.0,5181201.0,5262949.0,5344735.0,5427236.0,5509114.0,5592972.0
13,205,57,hakkinen,1,1,1,Finished,89649,173331,256373,339522,422237,504669,587142.0,669507.0,751685.0,833612.0,915854.0,999073.0,1082052.0,1165321.0,1246755.0,1328056.0,1410354.0,1491466.0,1572636.0,1653826.0,1735037.0,1815827.0,1897066.0,1978428.0,2058878.0,2139507.0,2220139.0,2303235.0,2404237.0,2486044.0,2568144.0,2650121.0,2732275.0,2814466.0,2896510.0,2978994.0,3060673.0,3142012.0,3224207.0,3306290.0,3388158.0,3469608.0,3551097.0,3632590.0,3713964.0,3795367.0,3876852.0,3960882.0,4058143.0,4139695.0,4221578.0,4304039.0,4386292.0,4469403.0,4552094.0,4633995.0,4715507.0,4796942.0,4878621.0,4961021.0,5043073.0,5124170.0,5206017.0,5287232.0,5368946.0,5451071.0,5534789.0
0,205,14,coulthard,1,3,1,Finished,90258,174019,257343,340413,423550,506602,589549.0,672416.0,755297.0,837881.0,920396.0,1003007.0,1085302.0,1167589.0,1249943.0,1332592.0,1415386.0,1498004.0,1580245.0,1662386.0,1746069.0,1829967.0,1913700.0,1996737.0,2079317.0,2161358.0,2242681.0,2325553.0,2409621.0,2510382.0,2593418.0,2675819.0,2759278.0,2842063.0,2924904.0,3007442.0,3090260.0,3172854.0,3256064.0,3340269.0,3424221.0,3508330.0,3590752.0,3672679.0,3754525.0,3836295.0,3917963.0,3999668.0,4081023.0,4162805.0,4244488.0,4328462.0,4426578.0,4507707.0,4589247.0,4670888.0,4752638.0,4834064.0,4914972.0,4995909.0,5076624.0,5157780.0,5239664.0,5322307.0,5404329.0,5487393.0,5568953.0
2,205,21,fisichella,22,6,1,Finished,90724,174952,258570,341718,424746,507732,590574.0,673392.0,756299.0,838814.0,921424.0,1004063.0,1086330.0,1168751.0,1250988.0,1333196.0,1416155.0,1498732.0,1581059.0,1663199.0,1746555.0,1830194.0,1915612.0,2019033.0,2102094.0,2185466.0,2269600.0,2351712.0,2433517.0,2515657.0,2598343.0,2681199.0,2764432.0,2847578.0,2930647.0,3013930.0,3098279.0,3181481.0,3267464.0,3350560.0,3432957.0,3517017.0,3618788.0,3702402.0,3785897.0,3869229.0,3952722.0,4035165.0,4117348.0,4199497.0,4282105.0,4364605.0,4447162.0,4529955.0,4613125.0,4695413.0,4778069.0,4860062.0,4942018.0,5024159.0,5105983.0,5187601.0,5269415.0,5350994.0,5432500.0,5514163.0,5596149.0
5,205,25,wurz,22,7,1,Finished,91753,175858,259529,343705,427334,510528,593656.0,676814.0,759859.0,842673.0,925252.0,1008112.0,1090931.0,1173171.0,1255438.0,1337613.0,1419993.0,1502442.0,1584748.0,1666680.0,1748740.0,1831277.0,1914550.0,1998814.0,2103559.0,2186651.0,2270688.0,2353493.0,2435949.0,2518253.0,2600648.0,2683209.0,2765622.0,2848390.0,2931361.0,3014505.0,3098471.0,3183710.0,3267005.0,3350042.0,3432353.0,3514740.0,3599361.0,3702808.0,3787427.0,3870628.0,3953843.0,4036707.0,4119616.0,4202205.0,4284611.0,4367152.0,4449600.0,4532414.0,4614865.0,4697543.0,4779688.0,4861629.0,4943607.0,5025711.0,5107489.0,5189271.0,5271151.0,5353195.0,5435386.0,5517288.0,5599579.0
9,205,49,frentzen,3,5,1,Finished,92419,176869,260895,344864,428890,512481,595866.0,679112.0,762425.0,845699.0,929066.0,1011977.0,1095387.0,1178206.0,1261175.0,1343717.0,1426334.0,1508732.0,1590709.0,1672815.0,1754770.0,1836600.0,1918823.0,2000782.0,2082542.0,2166292.0,2267401.0,2349618.0,2432261.0,2514826.0,2597764.0,2680659.0,2764014.0,2847037.0,2930359.0,3013458.0,3098203.0,3183106.0,3266247.0,3349293.0,3431714.0,3514076.0,3598833.0,3700523.0,3783172.0,3865983.0,3948606.0,4031393.0,4115005.0,4198012.0,4280895.0,4363669.0,4446440.0,4529234.0,4612475.0,4694916.0,4777083.0,4859258.0,4940960.0,5022736.0,5104733.0,5186641.0,5268470.0,5350123.0,5431517.0,5513171.0,5595037.0
4,205,23,ralf_schumacher,17,18,23,Brakes,92966,177259,261506,345606,429532,513079,596554.0,680041.0,763817.0,846948.0,929930.0,1012887.0,1096209.0,1179048.0,1262019.0,1344606.0,1427163.0,1509665.0,1591975.0,1674259.0,1756140.0,1840420.0,1943321.0,2025607.0,2108418.0,2191215.0,2274562.0,2357973.0,2440970.0,2523536.0,2606125.0,2688402.0,2770965.0,2854033.0,2936750.0,3019301.0,3101974.0,3185043.0,3269458.0,3353040.0,3436167.0,3518655.0,3600572.0,3682645.0,3764907.0,3847162.0,3929181.0,4012909.0,4113407.0,4196185.0,4279104.0,4361813.0,4558956.0,,,,,,,,,,,,,,
7,205,35,villeneuve,3,8,11,+1 Lap,93709,178119,262641,346950,430968,514977,598903.0,682875.0,766685.0,850320.0,934126.0,1017581.0,1101075.0,1184866.0,1268707.0,1351715.0,1434728.0,1517521.0,1600266.0,1682918.0,1765505.0,1847933.0,1930494.0,2013546.0,2096793.0,2178972.0,2261214.0,2343456.0,2425250.0,2507039.0,2590962.0,2695787.0,2777488.0,2859535.0,2942006.0,3024673.0,3107259.0,3189886.0,3273122.0,3356065.0,3439129.0,3521466.0,3603659.0,3686308.0,3770760.0,3874208.0,3958317.0,4041465.0,4124637.0,4209139.0,4292508.0,4376442.0,4459797.0,4543006.0,4626237.0,4709533.0,4793628.0,4876417.0,4958751.0,5041446.0,5123661.0,5208564.0,5291126.0,5373700.0,5457608.0,5540753.0,
18,205,71,damon_hill,17,9,11,+1 Lap,94536,178785,263187,347511,431682,515826,599998.0,685780.0,770272.0,854489.0,938680.0,1022612.0,1105791.0,1188889.0,1272180.0,1355565.0,1438460.0,1520897.0,1603614.0,1686138.0,1768409.0,1851092.0,1933270.0,2015352.0,2098417.0,2182339.0,2283713.0,2366266.0,2449745.0,2533032.0,2617064.0,2701075.0,2785054.0,2868479.0,2951216.0,3034326.0,3117038.0,3199456.0,3282349.0,3365354.0,3448192.0,3531161.0,3613830.0,3696114.0,3778912.0,3862490.0,3945237.0,4027460.0,4109430.0,4191490.0,4275829.0,4376787.0,4460179.0,4543708.0,4626963.0,4710307.0,4794656.0,4877630.0,4961692.0,5044691.0,5127742.0,5212252.0,5295209.0,5379403.0,5461250.0,5542991.0,
3,205,22,barrichello,24,11,12,+2 Laps,95429,181376,266676,351672,438544,524278,609439.0,694450.0,779232.0,863962.0,948555.0,1032851.0,1117336.0,1201796.0,1286297.0,1370738.0,1454976.0,1539381.0,1623974.0,1708302.0,1792830.0,1876967.0,1961330.0,2045340.0,2129651.0,2213829.0,2298199.0,2382378.0,2466260.0,2550326.0,2634053.0,2717742.0,2801154.0,2886908.0,2994208.0,3079244.0,3164444.0,3250861.0,3336644.0,3422448.0,3508115.0,3593720.0,3678626.0,3764569.0,3850688.0,3935381.0,4019903.0,4104594.0,4188949.0,4273800.0,4359477.0,4444003.0,4528540.0,4614326.0,4700410.0,4785036.0,4869438.0,4953712.0,5037805.0,5122310.0,5209223.0,5294803.0,5380231.0,5464894.0,5548610.0,,
