,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,186.0,14.0,coulthard,1.0,1.0,Finished,120185.0,235377.0,351012.0,466295.0,581353.0,696135.0,811025.0,926103.0,1041623.0,1157591.0,1273657.0,1389538.0,1505071.0,1620875.0,1736505.0,1852367.0,1968264.0,2085542.0,2209886.0,2339722.0,2455563.0,2570963.0,2687089.0,2801753.0,2916058.0,3030577.0,3144875.0,3258963.0,3373726.0,3489975.0,3604615.0,3727896.0,3857544.0,3972438.0,4087759.0,4203341.0,4318844.0,4434932.0,4551973.0,4668400.0,4785039.0,4903801.0,5022589.0,5143057.0
15,186.0,57.0,hakkinen,2.0,1.0,Finished,121611.0,237529.0,353348.0,469075.0,584384.0,699540.0,815743.0,931957.0,1047896.0,1164006.0,1280171.0,1396398.0,1512418.0,1629090.0,1745828.0,1862193.0,1978481.0,2102795.0,2234653.0,2350431.0,2466895.0,2581256.0,2695211.0,2810107.0,2925417.0,3039665.0,3154031.0,3268117.0,3383010.0,3498344.0,3621114.0,3753739.0,3869515.0,3985894.0,4101633.0,4217879.0,4334079.0,4450503.0,4567139.0,4684088.0,4800864.0,4918187.0,5036079.0,5153526.0
12,186.0,49.0,frentzen,3.0,1.0,Finished,122537.0,239030.0,355559.0,472507.0,588562.0,704806.0,820944.0,937535.0,1054392.0,1171492.0,1288610.0,1405553.0,1522615.0,1639480.0,1756075.0,1873042.0,1997172.0,2128646.0,2245168.0,2361059.0,2478136.0,2593563.0,2709443.0,2824855.0,2940441.0,3055972.0,3171659.0,3287720.0,3405394.0,3520914.0,3636986.0,3760993.0,3891260.0,4006939.0,4123119.0,4238902.0,4355651.0,4472313.0,4588880.0,4705756.0,4822977.0,4940095.0,5058144.0,5176490.0
14,186.0,56.0,irvine,4.0,1.0,Finished,123726.0,241281.0,358457.0,476146.0,593422.0,709838.0,826873.0,943613.0,1060363.0,1177476.0,1294792.0,1411696.0,1528897.0,1645664.0,1762629.0,1879273.0,1995849.0,2119615.0,2250583.0,2367068.0,2486499.0,2602707.0,2718620.0,2834602.0,2950367.0,3066477.0,3182059.0,3297818.0,3413982.0,3529925.0,3646500.0,3769753.0,3901471.0,4017386.0,4133883.0,4250472.0,4367096.0,4484138.0,4600700.0,4716886.0,4833607.0,4950867.0,5068488.0,5188005.0
5,186.0,23.0,ralf_schumacher,5.0,1.0,Finished,124534.0,242117.0,359264.0,476570.0,594112.0,710696.0,827987.0,944815.0,1061689.0,1178756.0,1296013.0,1413167.0,1530356.0,1647685.0,1765198.0,1882682.0,1999461.0,2116629.0,2234215.0,2352270.0,2470256.0,2595874.0,2733400.0,2849970.0,2966117.0,3082297.0,3198261.0,3314852.0,3433135.0,3551307.0,3669143.0,3786147.0,3904088.0,4021172.0,4138474.0,4255261.0,4371598.0,4488070.0,4604871.0,4721393.0,4838240.0,4955315.0,5072662.0,5191124.0
20,186.0,70.0,zanardi,8.0,1.0,Finished,125878.0,243452.0,361020.0,478595.0,597062.0,713729.0,830808.0,948443.0,1065846.0,1183643.0,1301813.0,1419354.0,1536654.0,1653958.0,1771542.0,1889070.0,2006527.0,2123832.0,2241189.0,2358296.0,2485127.0,2619300.0,2736453.0,2853484.0,2970832.0,3087443.0,3203344.0,3319602.0,3436229.0,3553443.0,3679392.0,3810417.0,3926203.0,4042155.0,4158485.0,4275356.0,4392475.0,4509018.0,4625315.0,4741974.0,4858966.0,4975651.0,5092473.0,5210079.0
21,186.0,71.0,damon_hill,6.0,1.0,Finished,126367.0,244066.0,361553.0,479230.0,597255.0,714708.0,831585.0,949025.0,1066394.0,1184505.0,1302047.0,1420142.0,1537728.0,1655335.0,1772638.0,1897889.0,2028878.0,2145944.0,2262008.0,2377372.0,2494397.0,2609970.0,2725618.0,2840640.0,2955594.0,3071057.0,3186941.0,3310552.0,3442753.0,3558847.0,3675503.0,3792604.0,3909356.0,4025853.0,4144126.0,4261203.0,4377431.0,4493806.0,4610260.0,4727005.0,4844539.0,4962391.0,5079847.0,5197973.0
16,186.0,63.0,salo,7.0,1.0,Finished,126805.0,244829.0,362236.0,480015.0,598005.0,715390.0,832566.0,949948.0,1067610.0,1185168.0,1302851.0,1420863.0,1538605.0,1655988.0,1773468.0,1890329.0,2015274.0,2147078.0,2264762.0,2382351.0,2499575.0,2615602.0,2732209.0,2847917.0,2963867.0,3079750.0,3195690.0,3314003.0,3432557.0,3550626.0,3668656.0,3784471.0,3903066.0,4026791.0,4156934.0,4273003.0,4389076.0,4505022.0,4621089.0,4736862.0,4852736.0,4968244.0,5083543.0,5199306.0
4,186.0,22.0,barrichello,10.0,1.0,Finished,127291.0,245687.0,363952.0,481537.0,599353.0,717547.0,835174.0,952950.0,1070433.0,1188455.0,1306097.0,1423890.0,1541547.0,1659286.0,1776994.0,1894267.0,2018964.0,2155926.0,2273647.0,2391400.0,2511404.0,2629336.0,2746398.0,2863199.0,2980039.0,3096251.0,3212392.0,3328983.0,3446224.0,3563199.0,3680160.0,3805242.0,3937217.0,4053348.0,4170412.0,4287596.0,4404263.0,4520928.0,4638030.0,4755220.0,4872665.0,4989651.0,5106652.0,5223799.0
18,186.0,65.0,herbert,20.0,23.0,Brakes,127871.0,246923.0,365700.0,484345.0,603029.0,721638.0,841405.0,960333.0,1078978.0,1197773.0,1316938.0,1436076.0,1555286.0,1676481.0,1803220.0,1939723.0,2057318.0,2174412.0,2291850.0,2409102.0,2526878.0,2644654.0,2762299.0,2879971.0,2997643.0,3114973.0,3232572.0,,,,,,,,,,,,,,,,,
