,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,11,11,17,18,18,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,irvine,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,coulthard,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,frentzen,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,ralf_schumacher,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,damon_hill,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,7,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,3,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,barrichello,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,4,8,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,6,6,6,6,9,13,13,12,12,12,12,11,11,10,10,9,8,8
7,alesi,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,15,13,11,9,9,8,8,7,7,7,8,13,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
8,diniz,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,7,13,11,10,10,9,9,9,9,8,8,8,8,8,8,8,7,7,9,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6
9,herbert,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,14,11,10,9,9,8,8,8,7,7,7,7,7,7,7,7,8,10,8,7,7,7,7,6,6,7,13,13,13,13,13,13,13,13,13,12,12
10,villeneuve,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,8,7,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,zanardi,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,16,16,15,14,13,13,12,11,11,11,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,11,11,10,10,10,10,10,10,11,11,11,11,11
12,trulli,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,12,16,15,14,14,13,12,13,14,14,13,13,13,13,13,12,11,11,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,9,9
13,fisichella,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,16,15,15,14,13,12,12,11,10,10,10,9,9,9,9,9,9,9,9,6,6,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7
14,wurz,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,17,17,17,17,16,15,15,14,13,12,12,11,11,11,11,11,11,10,10,8,11,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,10,10,10
15,zonta,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,12,12,10,12,17,16,16,15,14,15,15,15,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,panis,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,13,14,13,10,12,17,17,16,15,14,13,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,12,12,11,11,11,11,12,12,12,12,12,13,13
17,takagi,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
18,gene,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,18,18,18,18,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
