,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
14,182.0,57.0,hakkinen,18.0,36.0,Wheel,96793.0,242478.0,331658.0,420531.0,509445.0,598429.0,687706.0,777459.0,867390.0,957400.0,1046365.0,1135255.0,1224455.0,1313849.0,1403407.0,1492736.0,1581877.0,1670992.0,1760106.0,1849534.0,1939270.0,2028982.0,2118549.0,2208341.0,2304001.0,2437156.0,2565119.0,2653428.0,2770130.0,2900619.0,3030195.0,3121772.0,3210494.0,3299906.0,3399055.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,182.0,56.0,irvine,2.0,1.0,Finished,97957.0,242972.0,333249.0,422704.0,511848.0,601976.0,691607.0,781502.0,871279.0,960911.0,1050546.0,1139919.0,1229236.0,1318821.0,1408579.0,1498357.0,1587659.0,1676866.0,1766229.0,1855729.0,1945351.0,2035254.0,2124931.0,2214420.0,2303657.0,2398550.0,2510430.0,2599628.0,2689339.0,2778999.0,2868959.0,3027219.0,3117677.0,3206928.0,3296175.0,3385526.0,3474866.0,3564470.0,3653886.0,3743489.0,3837385.0,3944494.0,4033380.0,4123796.0,4213057.0,4302399.0,4391385.0,4480492.0,4569806.0,4659373.0,4748937.0,4838014.0,4927234.0,5016016.0,5104802.0,5194096.0,5283167.0,5373164.0,5462433.0,5551973.0
1,182.0,14.0,coulthard,1.0,1.0,Finished,98428.0,243040.0,333954.0,423526.0,513206.0,602778.0,692479.0,782415.0,872331.0,962112.0,1051840.0,1141560.0,1230990.0,1320627.0,1410186.0,1499814.0,1589398.0,1678509.0,1767933.0,1857973.0,1948018.0,2038182.0,2128055.0,2223715.0,2330464.0,2420282.0,2509571.0,2598908.0,2688481.0,2777779.0,2867368.0,3026767.0,3117026.0,3206300.0,3295388.0,3384974.0,3474398.0,3563752.0,3653067.0,3742335.0,3831402.0,3926386.0,4032344.0,4121312.0,4210604.0,4299781.0,4388627.0,4477494.0,4566624.0,4655829.0,4745114.0,4834674.0,4923687.0,5012746.0,5101605.0,5191184.0,5280713.0,5370445.0,5459971.0,5550144.0
11,182.0,49.0,frentzen,4.0,1.0,Finished,99045.0,243923.0,334938.0,425357.0,515331.0,605481.0,696384.0,787307.0,878350.0,969399.0,1060002.0,1150482.0,1241040.0,1331616.0,1422166.0,1512578.0,1602755.0,1692789.0,1783010.0,1873644.0,1964508.0,2055752.0,2146970.0,2243750.0,2354761.0,2445104.0,2535053.0,2625302.0,2715922.0,2806977.0,2899294.0,3029902.0,3123275.0,3214533.0,3304354.0,3394403.0,3484933.0,3575446.0,3665759.0,3756185.0,3845930.0,3935530.0,4025472.0,4115225.0,4210506.0,4317665.0,4406995.0,4496675.0,4586990.0,4677511.0,4767718.0,4857663.0,4947586.0,5037435.0,5127471.0,5217859.0,5308519.0,5398496.0,5488167.0,5577933.0
5,182.0,23.0,ralf_schumacher,3.0,1.0,Finished,100122.0,244436.0,335896.0,426610.0,517373.0,607546.0,698352.0,789270.0,880071.0,970491.0,1060905.0,1152085.0,1242746.0,1333307.0,1424045.0,1514298.0,1604645.0,1694509.0,1784704.0,1875170.0,1965910.0,2056832.0,2147780.0,2244510.0,2352138.0,2441552.0,2531128.0,2620828.0,2710901.0,2801416.0,2893099.0,3029560.0,3120352.0,3210016.0,3299509.0,3389258.0,3478896.0,3568753.0,3658635.0,3754218.0,3864990.0,3955135.0,4044926.0,4135063.0,4224933.0,4315073.0,4405643.0,4496221.0,4586540.0,4676612.0,4767044.0,4857315.0,4947126.0,5036913.0,5127000.0,5216977.0,5307124.0,5397367.0,5487476.0,5577555.0
20,182.0,71.0,damon_hill,5.0,1.0,Finished,101649.0,244972.0,336537.0,427433.0,518193.0,608868.0,699599.0,790717.0,881442.0,972092.0,1062667.0,1153135.0,1243859.0,1334682.0,1425428.0,1515790.0,1605984.0,1696197.0,1786689.0,1877563.0,1968406.0,2059109.0,2154974.0,2265079.0,2356221.0,2446902.0,2537256.0,2627518.0,2717989.0,2809107.0,2904559.0,3031185.0,3124657.0,3216587.0,3306712.0,3397431.0,3487583.0,3578165.0,3668558.0,3759296.0,3849279.0,3939201.0,4029166.0,4119246.0,4209109.0,4304266.0,4412067.0,4501319.0,4591099.0,4680654.0,4770538.0,4859980.0,4949763.0,5039359.0,5129603.0,5220397.0,5311173.0,5401601.0,5493378.0,5588750.0
4,182.0,22.0,barrichello,8.0,1.0,Finished,102070.0,245218.0,337382.0,428436.0,519415.0,610450.0,702016.0,794069.0,885668.0,976776.0,1067662.0,1158523.0,1249590.0,1340341.0,1431306.0,1522030.0,1612410.0,1702665.0,1792871.0,1883465.0,1974319.0,2064706.0,2154774.0,2244466.0,2339795.0,2451330.0,2541560.0,2631739.0,2721446.0,2812283.0,2904885.0,3031256.0,3123545.0,3215211.0,3305356.0,3395563.0,3485566.0,3576169.0,3666328.0,3756672.0,3846739.0,3941520.0,4050376.0,4140295.0,4229905.0,4320241.0,4427200.0,4535656.0,4625149.0,4715158.0,4805176.0,4895056.0,4985568.0,5075717.0,5167398.0,5257490.0,5347264.0,5438339.0,5529177.0,5618734.0
12,182.0,55.0,alesi,14.0,11.0,+1 Lap,102869.0,245884.0,337920.0,429024.0,519991.0,611030.0,702526.0,794586.0,886182.0,977308.0,1068155.0,1159083.0,1250148.0,1341020.0,1431921.0,1522530.0,1613021.0,1703672.0,1794106.0,1884619.0,1981515.0,2091985.0,2184144.0,2274490.0,2364844.0,2455368.0,2545837.0,2636586.0,2727543.0,2820520.0,2915637.0,3032316.0,3138232.0,3266315.0,3392219.0,3482860.0,3573194.0,3669607.0,3763981.0,3854606.0,3946824.0,4038108.0,4128962.0,4219609.0,4310176.0,4400755.0,4491515.0,4582532.0,4673617.0,4765428.0,4856451.0,4951766.0,5043117.0,5134827.0,5225893.0,5317117.0,5408758.0,5500268.0,5592794.0,
15,182.0,64.0,diniz,6.0,1.0,Finished,103358.0,246753.0,339468.0,431737.0,523096.0,614336.0,706007.0,797459.0,889281.0,980590.0,1071440.0,1162901.0,1254046.0,1345379.0,1436454.0,1527580.0,1618665.0,1709787.0,1800708.0,1891979.0,1983543.0,2074485.0,2165267.0,2261671.0,2371177.0,2461355.0,2551174.0,2641000.0,2731899.0,2825399.0,2919216.0,3032926.0,3125697.0,3218896.0,3309071.0,3399387.0,3490033.0,3580874.0,3671716.0,3762886.0,3857821.0,3968659.0,4059159.0,4149737.0,4240823.0,4331514.0,4422773.0,4513938.0,4605256.0,4696942.0,4788639.0,4879280.0,4969753.0,5060353.0,5150734.0,5241302.0,5331988.0,5422532.0,5512905.0,5603787.0
16,182.0,65.0,herbert,12.0,1.0,Finished,104041.0,246901.0,338425.0,431008.0,522356.0,613745.0,705357.0,796858.0,888651.0,979916.0,1070801.0,1162236.0,1253439.0,1344608.0,1435753.0,1526672.0,1617244.0,1707909.0,1798724.0,1889731.0,1981508.0,2072730.0,2169048.0,2277157.0,2368028.0,2459575.0,2550042.0,2640454.0,2731211.0,2824563.0,2918730.0,3032274.0,3124946.0,3217415.0,3307992.0,3398632.0,3489372.0,3579648.0,3669885.0,3766079.0,3875436.0,3965957.0,4056450.0,4146863.0,4237223.0,4327810.0,4418426.0,4509205.0,4606571.0,4720469.0,4811471.0,4901736.0,4991839.0,5082250.0,5172802.0,5263264.0,5353717.0,5445520.0,5536986.0,5627853.0
7,182.0,35.0,villeneuve,19.0,86.0,Halfshaft,104781.0,247446.0,340419.0,432650.0,524324.0,615876.0,707751.0,799761.0,892008.0,983736.0,1075592.0,1167507.0,1259577.0,1351464.0,1443063.0,1534435.0,1625878.0,1717220.0,1808563.0,1900099.0,1991834.0,2083897.0,2175998.0,2267620.0,2359404.0,2450966.0,2543305.0,2634787.0,2733631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,182.0,70.0,zanardi,11.0,1.0,Finished,105278.0,247855.0,341195.0,433313.0,525168.0,617135.0,708767.0,800698.0,892569.0,984823.0,1076809.0,1168557.0,1260777.0,1353039.0,1444761.0,1536502.0,1627781.0,1718902.0,1810075.0,1901474.0,1993187.0,2091981.0,2202034.0,2293068.0,2384096.0,2475316.0,2567655.0,2659133.0,2750659.0,2842251.0,2934809.0,3034488.0,3127507.0,3220106.0,3311648.0,3402693.0,3493967.0,3585147.0,3682208.0,3793404.0,3883926.0,3976194.0,4067773.0,4159732.0,4251103.0,4342703.0,4434982.0,4526699.0,4618536.0,4710404.0,4801963.0,4892964.0,4984036.0,5075226.0,5167306.0,5260118.0,5352193.0,5444647.0,5536340.0,5627268.0
2,182.0,15.0,trulli,9.0,1.0,Finished,106098.0,248496.0,341900.0,434141.0,525932.0,618008.0,709864.0,801606.0,893674.0,985569.0,1077654.0,1169522.0,1261554.0,1353602.0,1445502.0,1537410.0,1628956.0,1720367.0,1811839.0,1903461.0,1995581.0,2087401.0,2178714.0,2275958.0,2385028.0,2476018.0,2568056.0,2659889.0,2751643.0,2844384.0,2942191.0,3054766.0,3147142.0,3239045.0,3330901.0,3422628.0,3514538.0,3606443.0,3698347.0,3790185.0,3881621.0,3973228.0,4065414.0,4157354.0,4248783.0,4340443.0,4432170.0,4523586.0,4615022.0,4706676.0,4798097.0,4889061.0,4980887.0,5071863.0,5163298.0,5254845.0,5346310.0,5437997.0,5530612.0,5622189.0
