,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,188.0,49.0,frentzen,18.0,10.0,Electrical,91066.0,224023.0,360274.0,494958.0,628479.0,756735.0,839874.0,922861.0,1006683.0,1090302.0,1174270.0,1258417.0,1342442.0,1426323.0,1510127.0,1593723.0,1677427.0,1762743.0,1850614.0,1943141.0,2033446.0,2121643.0,2208482.0,2294949.0,2380159.0,2464980.0,2548285.0,2630992.0,2713074.0,2795769.0,2878035.0,2962232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,188.0,57.0,hakkinen,5.0,1.0,Finished,94573.0,225745.0,361607.0,496045.0,630012.0,757329.0,840632.0,923343.0,1007323.0,1090869.0,1174719.0,1258962.0,1342961.0,1426791.0,1510595.0,1594066.0,1677853.0,1763221.0,1853555.0,1949719.0,2067104.0,2163081.0,2266244.0,2370432.0,2477069.0,2560957.0,2645042.0,2729190.0,2814417.0,2898523.0,2982563.0,3066836.0,3151390.0,3242779.0,3344525.0,3448886.0,3554732.0,3659319.0,3766145.0,3873453.0,3981287.0,4085454.0,4187042.0,4285676.0,4382349.0,4476250.0,4567553.0,4657949.0,4747378.0,4834490.0,4922077.0,5007013.0,5090817.0,5174659.0,5258428.0,5341916.0,5428522.0,5512598.0,5596958.0,5681515.0,5765234.0,5848711.0,5929994.0,6011276.0,6093920.0,6177264.0
1,188.0,14.0,coulthard,16.0,20.0,Spun off,95512.0,226556.0,362549.0,497120.0,631120.0,757603.0,841216.0,924055.0,1007783.0,1091435.0,1175277.0,1259517.0,1343557.0,1427382.0,1511247.0,1594753.0,1678315.0,1764325.0,1853985.0,1947445.0,2037382.0,2125758.0,2211844.0,2297111.0,2381916.0,2466347.0,2549912.0,2632156.0,2713991.0,2796149.0,2878548.0,2963301.0,3063114.0,3145790.0,3233483.0,3330919.0,3429682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,188.0,23.0,ralf_schumacher,4.0,1.0,Finished,96428.0,227352.0,363384.0,497694.0,631802.0,758047.0,841882.0,924956.0,1008244.0,1091986.0,1175711.0,1260062.0,1344103.0,1427951.0,1511724.0,1595240.0,1678814.0,1764379.0,1854106.0,1946968.0,2036975.0,2124443.0,2210292.0,2295731.0,2380638.0,2465313.0,2550462.0,2653324.0,2737187.0,2819559.0,2903386.0,2985874.0,3069564.0,3152269.0,3240393.0,3340054.0,3439729.0,3540773.0,3639134.0,3740821.0,3843453.0,3945453.0,4044865.0,4146116.0,4262967.0,4357617.0,4451080.0,4542992.0,4639030.0,4779347.0,4890186.0,4976910.0,5061964.0,5147378.0,5232386.0,5317348.0,5401782.0,5485542.0,5569433.0,5654314.0,5738252.0,5821635.0,5904453.0,5986690.0,6069091.0,6153822.0
3,188.0,21.0,fisichella,13.0,20.0,Spun off,97153.0,228021.0,363941.0,498422.0,632263.0,758676.0,843764.0,928074.0,1012708.0,1098145.0,1182566.0,1266622.0,1350753.0,1435556.0,1519032.0,1602506.0,1687979.0,1773357.0,1865413.0,1956959.0,2046526.0,2134764.0,2221331.0,2307012.0,2391645.0,2477300.0,2561561.0,2645518.0,2729348.0,2812692.0,2894936.0,2979029.0,3082084.0,3166692.0,3258962.0,3358186.0,3458466.0,3559969.0,3658044.0,3757911.0,3859553.0,3970555.0,4069123.0,4164719.0,4257707.0,4349433.0,4440994.0,4530379.0,,,,,,,,,,,,,,,,,,
9,188.0,44.0,panis,9.0,11.0,+1 Lap,98059.0,229382.0,365006.0,499447.0,633079.0,758913.0,845666.0,929677.0,1014127.0,1099417.0,1183995.0,1268237.0,1352738.0,1437269.0,1521383.0,1605288.0,1689360.0,1775528.0,1868224.0,1984112.0,2082555.0,2180994.0,2283784.0,2395706.0,2482277.0,2567556.0,2652508.0,2737735.0,2822426.0,2906699.0,2990941.0,3075501.0,3160443.0,3252116.0,3352726.0,3457845.0,3561714.0,3664123.0,3768292.0,3874506.0,3981971.0,4086621.0,4187726.0,4289060.0,4405907.0,4497808.0,4587429.0,4676442.0,4766418.0,4853287.0,4940291.0,5027245.0,5114587.0,5201312.0,5287619.0,5373190.0,5459482.0,5546561.0,5631738.0,5716487.0,5800919.0,5885227.0,5969678.0,6053945.0,6138099.0,
13,188.0,56.0,irvine,7.0,1.0,Finished,99966.0,230596.0,366162.0,501252.0,634370.0,760326.0,845279.0,928530.0,1012933.0,1098572.0,1182945.0,1267162.0,1350973.0,1436060.0,1519466.0,1602894.0,1687011.0,1771349.0,1859733.0,1953881.0,2047512.0,2178326.0,2266550.0,2353994.0,2439838.0,2525020.0,2609648.0,2694047.0,2778013.0,2861790.0,2945437.0,3029493.0,3115231.0,3200701.0,3298837.0,3403761.0,3509660.0,3617224.0,3724788.0,3836239.0,3954030.0,4052203.0,4150114.0,4248401.0,4343176.0,4435836.0,4529623.0,4623980.0,4719324.0,4825698.0,4912648.0,4999470.0,5086067.0,5171432.0,5255766.0,5341119.0,5427259.0,5512276.0,5596629.0,5681157.0,5764741.0,5849954.0,5933185.0,6015675.0,6098007.0,6180997.0
6,188.0,35.0,villeneuve,10.0,8.0,Clutch,101593.0,231802.0,367178.0,502196.0,635387.0,761833.0,846814.0,931027.0,1015202.0,1099940.0,1184723.0,1269420.0,1353891.0,1438325.0,1522534.0,1606440.0,1690490.0,1776855.0,1868161.0,1969401.0,2064358.0,2156109.0,2245103.0,2332004.0,2417086.0,2501624.0,2585645.0,2670097.0,2753080.0,2835774.0,2918929.0,3001493.0,3087365.0,3197468.0,3296683.0,3402093.0,3507848.0,3614005.0,3720059.0,3827933.0,3937265.0,4044359.0,4148521.0,4249570.0,4347035.0,4440681.0,4533328.0,4624009.0,4714290.0,4804092.0,4892783.0,4980366.0,5067388.0,5154070.0,5239685.0,5325133.0,5410838.0,5495573.0,5580134.0,5664408.0,5755300.0,,,,,
15,188.0,63.0,salo,14.0,23.0,Brakes,102389.0,232572.0,367845.0,502976.0,636066.0,762253.0,847364.0,931481.0,1015768.0,1100555.0,1185086.0,1269833.0,1354174.0,1438781.0,1522920.0,1606965.0,1691149.0,1777286.0,1869591.0,1966669.0,2108687.0,2201108.0,2297853.0,2403696.0,2489263.0,2574446.0,2658849.0,2742456.0,2826598.0,2911876.0,2995280.0,3079628.0,3163661.0,3285404.0,3392096.0,3499469.0,3606060.0,3713138.0,3823670.0,3933902.0,4041002.0,4146598.0,4251796.0,4363287.0,,,,,,,,,,,,,,,,,,,,,,
12,188.0,55.0,alesi,17.0,86.0,Halfshaft,103104.0,233286.0,369517.0,504141.0,636796.0,762551.0,847702.0,932263.0,1016376.0,1101927.0,1197038.0,1280839.0,1364044.0,1447197.0,1530294.0,1613518.0,1697470.0,1782970.0,1874437.0,1967724.0,2058802.0,2148678.0,2236818.0,2324386.0,2410722.0,2496952.0,2580893.0,2666445.0,2775015.0,2860051.0,2944863.0,3029087.0,3114571.0,3200105.0,3299537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
