,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,163953.0,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3
1,166201.0,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,164579.0,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,166805.0,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1
4,167230.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5
5,168686.0,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,8,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,5,4,4,4,7,7,6,6,7,8,8,8,8,8,8,8,8,8,8
6,169341.0,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,7,7,8,8,8,8,8,8,7,7,6,6,5,5,5,4,4,8,8,8,7,7,7,7,7,7,7,7,7,7
7,170505.0,8,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,169665.0,9,8,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,8,8,8,7,7,7,7,7,6,5,4,4,4,3,3,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2
9,171589.0,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,11,11,11,11,11,11,14,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,178318.0,11,16,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,172852.0,12,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,175386.0,13,13,13,13,13,13,12,12,12,11,11,11,12,12,12,12,12,12,12,12,13,12,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,173599.0,14,12,12,12,12,12,11,11,10,9,9,9,9,9,9,9,8,8,8,8,7,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,6,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,6,4,4,4
14,177872.0,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,9,12,12,11,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
15,177258.0,16,14,14,14,14,14,13,13,13,12,13,13,13,13,13,14,14,14,14,14,14,11,14,14,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,178710.0,17,17,16,16,16,16,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,18,15,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,179254.0,18,18,17,17,17,17,16,16,15,13,12,12,11,11,11,10,10,10,10,9,9,13,11,11,10,9,9,9,9,9,9,9,9,9,13,10,10,9,9,8,8,7,6,6,6,6,6,6,6,7,9,8,8,9,9,8,8,8,8,7,7,6,6,6,6,6,6,6,5,6,6,6
18,179621.0,19,19,19,18,18,18,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,14,12,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,0
