,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,salo,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,coulthard,3,3,3,3,3,3,3,3,3,4,10,10,9,9,9,8,8,8,8,7,7,7,6,6,5,4,6,6,6,6,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5
3,frentzen,4,4,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,barrichello,5,5,4,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,irvine,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,ralf_schumacher,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,3,2,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,wurz,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,7,8,8,8,8,9,9,8,8,8,8,8,7,7,7,7,8,8,8,8,8,8,7,7,7,7,7
8,fisichella,9,9,18,19,19,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,damon_hill,10,10,9,9,9,8,8,8,8,8,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,trulli,11,11,10,10,11,10,10,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,herbert,12,12,11,11,10,9,9,9,9,9,8,8,7,7,7,7,7,7,6,6,6,6,7,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0
12,panis,13,13,12,12,12,11,11,10,10,10,9,9,8,8,8,9,9,9,9,9,9,9,9,7,7,6,5,5,5,5,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6
13,zanardi,14,14,13,13,13,12,12,12,13,13,12,12,12,11,11,10,10,10,10,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,gene,15,15,17,17,17,16,16,16,16,16,16,16,16,15,15,14,13,13,13,14,14,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9
15,zonta,16,16,14,14,14,13,13,13,12,12,11,11,10,10,10,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,rosa,17,17,15,15,15,14,14,14,14,14,13,13,14,13,13,12,11,11,11,10,11,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
17,badoer,18,18,16,16,16,15,15,15,15,15,15,15,15,14,14,13,12,12,12,11,10,11,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,10,10,10,10,0
18,alesi,19,19,19,18,18,17,17,17,17,17,14,14,13,12,12,11,14,14,14,13,12,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8
