,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
13,184,57,hakkinen,1,13,27,Tyre,113008,221132,328740,436539,544297,651730,759830.0,867457.0,974942.0,1082541.0,1191283.0,1299553.0,1408160.0,1516837.0,1625040.0,1732734.0,1840972.0,1949231.0,2057944.0,2166074.0,2273727.0,2381878.0,2490331.0,2601564.0,2742026.0,,,,,,,,,,,,,,,,,,,,
14,184,63,salo,6,2,1,Finished,114041,222314,330275,438220,546293,654307,762627.0,870812.0,979198.0,1088182.0,1196721.0,1305335.0,1413528.0,1521713.0,1629984.0,1738766.0,1847218.0,1955635.0,2064134.0,2172530.0,2281285.0,2390265.0,2501624.0,2628178.0,2736313.0,2847091.0,2956338.0,3066979.0,3176543.0,3285381.0,3394575.0,3503139.0,3611623.0,3720564.0,3828980.0,3937217.0,4045958.0,4154296.0,4263495.0,4372479.0,4481723.0,4591107.0,4700398.0,4809547.0,4919601.0
0,184,14,coulthard,1,5,1,Finished,114450,222847,330883,438741,546782,654918,763238.0,871302.0,979758.0,1092589.0,1222359.0,1330643.0,1439829.0,1548682.0,1657376.0,1766853.0,1876019.0,1985850.0,2095676.0,2203942.0,2312840.0,2421827.0,2530409.0,2638247.0,2745864.0,2857438.0,2984315.0,3091909.0,3199584.0,3307109.0,3414879.0,3522730.0,3630476.0,3738696.0,3846085.0,3954105.0,4061945.0,4169889.0,4281094.0,4405649.0,4512966.0,4618793.0,4724063.0,4829580.0,4935417.0
10,184,49,frentzen,17,3,1,Finished,115159,223711,332821,441120,549181,658092,766670.0,875003.0,983127.0,1092041.0,1200329.0,1308859.0,1417063.0,1526472.0,1634592.0,1742564.0,1850183.0,1958786.0,2067257.0,2175477.0,2287455.0,2415257.0,2523764.0,2632705.0,2741716.0,2852664.0,2962054.0,3070883.0,3179453.0,3288493.0,3397154.0,3505496.0,3614083.0,3723032.0,3831577.0,3940374.0,4049177.0,4157323.0,4266220.0,4375327.0,4484436.0,4593771.0,4703548.0,4812732.0,4923789.0
3,184,22,barrichello,24,20,9,Hydraulics,115821,224098,331950,439739,547527,700013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,184,56,irvine,6,1,1,Finished,116351,225144,333649,442361,550471,658808,767442.0,875831.0,983748.0,1092637.0,1201186.0,1309275.0,1417716.0,1526977.0,1635412.0,1743375.0,1851062.0,1959479.0,2067784.0,2175996.0,2285305.0,2395700.0,2521748.0,2629648.0,2737614.0,2845866.0,2955764.0,3065479.0,3175414.0,3283779.0,3392524.0,3501265.0,3610347.0,3719280.0,3827168.0,3935197.0,4044053.0,4152663.0,4261974.0,4371291.0,4480753.0,4590103.0,4699272.0,4808517.0,4918594.0
4,184,23,ralf_schumacher,3,4,1,Finished,117001,225908,334734,444258,553171,662890,771875.0,880590.0,989386.0,1098757.0,1207817.0,1316695.0,1425250.0,1534132.0,1642674.0,1751445.0,1859848.0,1969147.0,2077705.0,2186981.0,2296068.0,2405054.0,2514096.0,2626084.0,2753444.0,2862659.0,2972433.0,3080602.0,3188685.0,3297154.0,3405576.0,3514094.0,3622475.0,3730963.0,3839127.0,3947527.0,4056393.0,4165031.0,4273736.0,4382520.0,4492004.0,4601035.0,4710361.0,4820843.0,4931403.0
5,184,25,wurz,22,7,1,Finished,118916,228711,338622,448683,558128,668390,777853.0,887967.0,997690.0,1108124.0,1218019.0,1327557.0,1437084.0,1546325.0,1655668.0,1765370.0,1874492.0,1983933.0,2095398.0,2205490.0,2315185.0,2424795.0,2537019.0,2664415.0,2773228.0,2882191.0,2990854.0,3099428.0,3208041.0,3316797.0,3425380.0,3534084.0,3642795.0,3751458.0,3861317.0,3970120.0,4078882.0,4187798.0,4296569.0,4407123.0,4516653.0,4625377.0,4734027.0,4842482.0,4951927.0
2,184,21,fisichella,22,19,22,Suspension,119614,229205,349475,485267,593052,701107,808949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,184,71,damon_hill,17,17,23,Brakes,120486,230021,339474,449214,559339,668987,778579.0,889457.0,998382.0,1108970.0,1218711.0,1328976.0,1448309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
