,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,coulthard,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,michael_schumacher,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,irvine,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,barrichello,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,7,7,7,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,0
5,frentzen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ralf_schumacher,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,damon_hill,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,5,4,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0
8,alesi,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,12,12,12,12,12,12,12,12,11,10,10,9,8,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,10,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,0
9,herbert,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,7,6,5,5,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
10,zanardi,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,9,10,10,10,10,10,10,9,9,9,8,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0
11,fisichella,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,10,11,11,10,9,8,7,7,7,7,10,10,10,10,10,10,10,10,10,10,9,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,0
12,diniz,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,10,9,9,9,9,9,9,13,12,12,11,11,10,11,11,11,13,14,14,14,14,14,14,14,14,14,14,14,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0
13,salo,14,14,14,14,15,16,16,16,16,16,15,15,15,15,15,14,14,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,7,0,0,0
14,panis,15,15,15,15,14,14,14,14,14,14,16,16,16,16,16,16,16,14,14,14,14,14,14,14,13,12,13,13,12,12,12,12,12,12,11,11,11,11,11,11,12,13,12,12,12,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,takagi,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,16,16,16,16,15,15,16,16,16,16,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,rosa,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,wurz,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,badoer,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,16,16,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,12,13,13,13,13,11,11,10,10,10,10,10,10,10,10,10,10,8,0,0,0
