,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
12,177,57,hakkinen,1,18,20,Spun off,92202,182427,272070,362034,451474,541154.0,630789.0,720126.0,809441.0,898750.0,988236.0,1077646.0,1167330.0,1256552.0,1345697.0,1435131.0,1525912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,177,14,coulthard,1,2,1,Finished,93957,184707,275056,365317,455720,545884.0,636256.0,726651.0,816843.0,907110.0,997181.0,1087034.0,1177079.0,1268610.0,1358598.0,1448569.0,1538404.0,1628821.0,1719484.0,1810348.0,1900032.0,1990116.0,2079886.0,2169435.0,2258833.0,2348368.0,2438097.0,2527803.0,2617643.0,2708596.0,2798342.0,2888839.0,2978464.0,3067711.0,3157830.0,3272079.0,3362773.0,3454512.0,3547597.0,3639240.0,3731312.0,3820875.0,3910205.0,4000062.0,4090363.0,4181343.0,4273252.0,4365724.0,4456769.0,4546964.0,4636720.0,4725919.0,4815226.0,4905488.0,4996353.0,5086196.0,5175465.0,5265159.0,5355011.0,5445369.0,5536517.0,5629057.0
5,177,30,michael_schumacher,6,1,1,Finished,95002,186838,277608,368346,458811,549033.0,639589.0,730042.0,820487.0,910680.0,1001276.0,1091625.0,1181809.0,1271845.0,1361792.0,1452070.0,1542397.0,1632580.0,1723667.0,1813999.0,1904067.0,1993788.0,2083251.0,2172754.0,2262243.0,2351804.0,2441461.0,2530896.0,2620165.0,2709764.0,2799418.0,2908224.0,2997077.0,3086074.0,3176720.0,3266783.0,3355878.0,3445260.0,3534541.0,3623585.0,3712194.0,3800746.0,3889597.0,3978235.0,4066782.0,4176590.0,4267615.0,4359103.0,4449590.0,4540263.0,4630907.0,4720578.0,4810071.0,4900583.0,4990648.0,5080801.0,5170707.0,5260713.0,5350631.0,5441036.0,5532830.0,5624792.0
11,177,56,irvine,6,14,5,Engine,95852,188466,280440,371948,463273,554371.0,645606.0,736463.0,827269.0,917840.0,1008485.0,1099145.0,1189736.0,1280254.0,1370357.0,1460812.0,1551415.0,1642350.0,1732878.0,1823177.0,1913608.0,2004427.0,2096298.0,2188742.0,2278916.0,2369268.0,2459601.0,2549918.0,2640242.0,2751558.0,2841955.0,2933374.0,3024142.0,3114280.0,3204616.0,3294727.0,3385107.0,3475055.0,3565875.0,3656051.0,3746451.0,3836926.0,3927666.0,4017514.0,4107240.0,4197831.0,,,,,,,,,,,,,,,,
2,177,22,barrichello,24,3,11,+1 Lap,96408,189147,281563,373668,465318,557048.0,648533.0,739986.0,831185.0,922596.0,1013618.0,1104581.0,1195694.0,1286729.0,1377404.0,1468631.0,1559556.0,1650640.0,1741369.0,1832062.0,1922626.0,2013357.0,2104502.0,2196689.0,2309991.0,2401064.0,2492255.0,2583642.0,2674788.0,2766818.0,2857617.0,2948925.0,3039959.0,3131131.0,3222010.0,3312760.0,3403503.0,3494461.0,3585857.0,3677086.0,3768508.0,3859599.0,3951545.0,4065096.0,4157084.0,4249018.0,4341861.0,4434428.0,4526325.0,4618532.0,4711984.0,4804192.0,4896172.0,4987581.0,5078387.0,5169281.0,5260556.0,5352394.0,5443430.0,5535186.0,5626721.0,
9,177,49,frentzen,17,15,20,Spun off,97660,190590,283222,375487,467569,559876.0,651762.0,743923.0,835348.0,927224.0,1018458.0,1110063.0,1201515.0,1292701.0,1384292.0,1475645.0,1566648.0,1657701.0,1748449.0,1839181.0,1930121.0,2020933.0,2111870.0,2203414.0,2294698.0,2385842.0,2476528.0,2589181.0,2680420.0,2771819.0,2863752.0,2955651.0,3046121.0,3137052.0,3228417.0,3319486.0,3410741.0,3501595.0,3592643.0,3684025.0,3774297.0,3865165.0,3955574.0,4046537.0,4136861.0,4227090.0,,,,,,,,,,,,,,,,
3,177,23,ralf_schumacher,3,17,37,Throttle,98405,191340,284200,376537,468677,561194.0,653259.0,745340.0,837011.0,928574.0,1020601.0,1112815.0,1204469.0,1295830.0,1386844.0,1478039.0,1569421.0,1660959.0,1752145.0,1843560.0,1934717.0,2025454.0,2116298.0,2207216.0,2298081.0,2389078.0,2481213.0,2572208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,177,71,damon_hill,17,4,11,+1 Lap,99243,192137,284911,377295,469575,561731.0,654124.0,746135.0,838296.0,930030.0,1021763.0,1113858.0,1205811.0,1297337.0,1388830.0,1480502.0,1572364.0,1663670.0,1754579.0,1845343.0,1936422.0,2027553.0,2118573.0,2209370.0,2300973.0,2392204.0,2483663.0,2574973.0,2665911.0,2778181.0,2869092.0,2960600.0,3051444.0,3142740.0,3233534.0,3323999.0,3414139.0,3504549.0,3595111.0,3685425.0,3775779.0,3866381.0,3957299.0,4051237.0,4143356.0,4235045.0,4330384.0,4423262.0,4515656.0,4626157.0,4716871.0,4807256.0,4899124.0,4989505.0,5080401.0,5172239.0,5262911.0,5353829.0,5444268.0,5535881.0,5627629.0,
10,177,55,alesi,15,6,11,+1 Lap,99616,192571,285340,377789,470180,562270.0,654898.0,746630.0,838585.0,930633.0,1022297.0,1114827.0,1206215.0,1297988.0,1389804.0,1504108.0,1594728.0,1686856.0,1777735.0,1868447.0,1959505.0,2050874.0,2143070.0,2234465.0,2327095.0,2418258.0,2508777.0,2599351.0,2690033.0,2781244.0,2897607.0,2988945.0,3080550.0,3171854.0,3263661.0,3357448.0,3448539.0,3539499.0,3629941.0,3720970.0,3812200.0,3903592.0,3996079.0,4088380.0,4181338.0,4295477.0,4387206.0,4478925.0,4570338.0,4661301.0,4752406.0,4843521.0,4934454.0,5025958.0,5116652.0,5207498.0,5298282.0,5390551.0,5483705.0,5578649.0,5673056.0,
15,177,65,herbert,24,10,5,Engine,100128,193507,286570,380152,473244,565677.0,658278.0,750412.0,842565.0,934526.0,1026794.0,1119028.0,1211092.0,1303271.0,1395095.0,1486926.0,1578791.0,1670918.0,1762642.0,1854446.0,1946106.0,2037674.0,2129563.0,2220801.0,2312451.0,2403843.0,2495458.0,2587088.0,2678546.0,2770016.0,2862707.0,2980845.0,3072630.0,3165700.0,3257597.0,3349658.0,3441742.0,3533506.0,3626172.0,3718219.0,3810318.0,3902455.0,3994887.0,4087279.0,4179899.0,4272337.0,4365235.0,4459040.0,4551428.0,4643532.0,4735545.0,4827229.0,4919028.0,5010470.0,5101937.0,5193571.0,5285527.0,5377619.0,,,,
