,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,179,57,hakkinen,1,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12086,11874.0,9131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,179,14,coulthard,1,2,1,Finished,1266,1548,2272,2754,3223,3343,3679,3655,3711,3553,3547,3743,4413,4440,4639,5023,4985,4431,5578,6124,6174,7305,6759,0,0.0,0.0,13919.0,12977.0,13113.0,13764.0,13921.0,14463.0,14838.0,15676.0,14026.0,13704.0,13345.0,12112.0,11734.0,11974.0,12574.0,13771.0,14811.0,11717.0,0.0,13260.0,13099.0,12586.0,11976.0,11651.0,11271.0,10812.0,9692.0,9225.0,8828.0,8366.0,8232.0,6903.0,6039.0,4893.0,5991.0,8389.0,9062.0,8919.0,6238.0
2,179,35,villeneuve,16,14,6,Gearbox,2533,3953,5652,7091,8784,10249,11911,13222,14264,15355,16571,18019,19358,20709,21957,22865,23865,24192,25078,26081,27026,28169,26394,22996,45752.0,43919.0,36127.0,35961.0,36710.0,37608.0,38816.0,39794.0,40052.0,40679.0,40871.0,42497.0,44149.0,45093.0,46637.0,51291.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,179,30,michael_schumacher,6,3,1,Finished,3105,4487,6220,7694,9517,10980,12644,13868,14960,16172,17335,18593,19938,21279,22566,23524,24512,24801,25625,26684,27591,28782,27293,23327,42219.0,40698.0,31533.0,29573.0,28504.0,27865.0,27014.0,25813.0,24503.0,23117.0,20737.0,20344.0,19393.0,17157.0,16073.0,15037.0,15006.0,14571.0,18252.0,33417.0,18550.0,14474.0,15499.0,15551.0,15280.0,15918.0,16027.0,15740.0,14995.0,14728.0,14258.0,13498.0,12374.0,11122.0,10105.0,8343.0,9058.0,10018.0,10639.0,11759.0,10845.0
4,179,56,irvine,6,4,1,Finished,3804,5685,7502,8909,10884,12166,13906,15093,16213,17317,18714,20357,21887,22828,23859,25062,25681,25975,26763,27637,28529,32258,48185,42395,43174.0,41489.0,33101.0,31770.0,31563.0,31577.0,31338.0,31100.0,30326.0,29444.0,27157.0,26794.0,27135.0,26549.0,27594.0,26490.0,29020.0,47979.0,48632.0,46108.0,33241.0,29775.0,31123.0,31666.0,32032.0,32677.0,33779.0,33627.0,33074.0,32603.0,32321.0,31419.0,30058.0,28664.0,27620.0,26081.0,26278.0,27927.0,28941.0,30333.0,30182.0
5,179,15,trulli,20,6,11,+1 Lap,4367,6907,9077,10985,13083,15071,17251,19211,20996,22721,24571,26216,27765,29522,31105,32488,33634,34361,35639,36989,38224,40707,42620,54819,55053.0,53030.0,46150.0,47179.0,48625.0,50176.0,51923.0,52729.0,53241.0,53743.0,53223.0,54262.0,55422.0,55394.0,56847.0,57675.0,59190.0,62982.0,82903.0,81162.0,69581.0,66499.0,68875.0,70787.0,72492.0,74536.0,76537.0,78249.0,80265.0,82449.0,83613.0,84654.0,85431.0,86382.0,89687.0,90234.0,91918.0,94203.0,97386.0,99409.0,
6,179,55,alesi,15,18,7,Transmission,5408,8042,10147,12500,14340,16237,18601,20328,22071,23695,25657,27423,29107,30625,32293,34176,35412,36107,37128,38022,38953,41093,41129,34425,34920.0,34472.0,46512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,179,23,ralf_schumacher,3,5,1,Finished,6210,8777,11314,13745,16126,18116,20450,22609,24185,25789,27700,29634,31658,33758,35497,37011,38233,38891,40134,41404,42620,44231,43490,38036,39407.0,38724.0,32600.0,52133.0,54447.0,55758.0,56694.0,57625.0,58906.0,59149.0,57959.0,58350.0,59138.0,59018.0,59702.0,60226.0,60893.0,61675.0,62648.0,62736.0,67766.0,63723.0,65155.0,65864.0,67320.0,68562.0,69443.0,70365.0,71155.0,72252.0,74138.0,75001.0,75006.0,74241.0,74407.0,73903.0,75958.0,79877.0,82892.0,84870.0,87208.0
8,179,49,frentzen,17,17,86,Halfshaft,7046,9843,12533,15242,17808,20089,22679,24723,26604,28426,30531,32547,34130,35717,37441,38973,40515,41277,42409,43580,44881,46394,45336,40968,41731.0,42706.0,53010.0,53245.0,55085.0,56774.0,57915.0,59112.0,60110.0,60646.0,59830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,179,22,barrichello,24,22,2,Disqualified,7486,10401,13837,16507,19259,21688,24188,26486,28665,30790,32889,35007,37015,38600,40298,41806,43054,44008,45385,46569,47399,48826,47603,44069,46916.0,48476.0,58959.0,59034.0,59677.0,60726.0,62000.0,62510.0,63214.0,64272.0,63215.0,63723.0,64108.0,63596.0,63728.0,63287.0,63962.0,64642.0,67877.0,86488.0,73116.0,69486.0,71445.0,72721.0,74468.0,76074.0,77699.0,79030.0,80579.0,82966.0,84490.0,85872.0,87136.0,88559.0,90016.0,91297.0,93202.0,96764.0,100809.0,102297.0,
10,179,65,herbert,24,16,7,Transmission,7991,10985,14526,17534,20406,23009,25569,27946,29934,32380,35125,37646,40122,42071,44234,46178,47772,51768,75968,77912,79724,82066,81695,77136,80020.0,79737.0,72721.0,73934.0,76146.0,78515.0,81170.0,83352.0,85104.0,87353.0,89350.0,91974.0,93960.0,95377.0,97804.0,102440.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,179,64,diniz,15,15,7,Transmission,9035,12413,15395,18304,21210,23658,26472,28876,30778,33306,35847,38360,40834,42961,45044,46946,48470,49752,50346,50842,51229,52121,50721,44881,47633.0,46730.0,40882.0,60705.0,61260.0,61974.0,63051.0,63680.0,64246.0,65348.0,64610.0,64923.0,65182.0,64298.0,64937.0,67548.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,179,71,damon_hill,17,7,11,+1 Lap,9613,12913,16168,19028,21976,24608,27451,29892,32215,34254,36612,39335,41780,43789,45850,47939,49664,50919,52400,53244,54278,55432,53848,47683,52359.0,70263.0,62091.0,62695.0,64177.0,65519.0,67152.0,69297.0,70097.0,71092.0,71008.0,72353.0,73525.0,73126.0,74118.0,75211.0,76483.0,77109.0,78400.0,75972.0,62394.0,57930.0,58593.0,58953.0,59382.0,63218.0,83073.0,83526.0,83397.0,83863.0,85183.0,87851.0,88487.0,89184.0,90490.0,91803.0,94795.0,98035.0,99725.0,100425.0,
13,179,21,fisichella,22,9,11,+1 Lap,10182,13564,16792,19777,22800,25255,28166,30846,33264,35476,37697,40391,42873,45469,48034,55150,56753,57675,58952,60362,64173,83506,82319,77434,80413.0,80165.0,73010.0,74414.0,76662.0,78920.0,81603.0,83721.0,85494.0,88388.0,91941.0,111978.0,113083.0,115132.0,117921.0,119922.0,122448.0,124660.0,127380.0,126534.0,114292.0,111158.0,113560.0,117840.0,143645.0,146059.0,147717.0,149398.0,149675.0,150356.0,151197.0,152098.0,152548.0,152734.0,152901.0,152738.0,153989.0,155933.0,157036.0,158085.0,
14,179,70,zanardi,3,19,6,Gearbox,10751,14553,17616,20748,23833,27257,30423,33078,35598,37964,40335,42700,45043,47487,49685,52052,53663,54893,56247,58224,59877,61829,61058,60032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,179,25,wurz,22,10,11,+1 Lap,11492,15408,18503,24789,27762,30539,33421,36410,38592,40990,43396,46027,48709,51075,53792,56416,59394,61389,65518,90474,91496,96808,97305,92932,95312.0,94721.0,89026.0,90830.0,93630.0,96378.0,98557.0,100589.0,106397.0,124843.0,124162.0,125049.0,125976.0,125835.0,127033.0,127711.0,129144.0,130723.0,132413.0,131930.0,118691.0,115037.0,120507.0,122316.0,126038.0,146815.0,149485.0,152052.0,153366.0,154584.0,155959.0,156970.0,157907.0,158456.0,158838.0,158704.0,160355.0,163068.0,164288.0,164929.0,
