,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
13,179,57,hakkinen,1,1,1,Finished,89978,175812,261283,346597,431974,517478,602687,688198,773831,859481,945034,1030565,1116241,1202038,1287800,1373612,1459460,1545825,1631719,1717538,1803593,1889355,1978041,2083373,2169432.0,2255886.0,2342382.0,2429575.0,2515626.0,2601566.0,2687554.0,2773805.0,2860309.0,2946916.0,3034626.0,3120850.0,3207109.0,3294390.0,3380538.0,3466985.0,3552839.0,3639024.0,3724731.0,3813781.0,3919368.0,4005334.0,4091019.0,4177229.0,4263410.0,4349525.0,4435810.0,4522259.0,4609353.0,4696162.0,4782911.0,4869766.0,4956941.0,5044379.0,5131310.0,5218804.0,5305097.0,5390799.0,5477390.0,5564619.0,5653665.0
0,179,14,coulthard,1,2,1,Finished,91244,177360,263555,349351,435197,520821,606366,691853,777542,863034,948581,1034308,1120654,1206478,1292439,1378635,1464445,1550256,1637297,1723662,1809767,1896660,1984800,2071287,2157558.0,2246755.0,2356301.0,2442552.0,2528739.0,2615330.0,2701475.0,2788268.0,2875147.0,2962592.0,3048652.0,3134554.0,3220454.0,3306502.0,3392272.0,3478959.0,3565413.0,3652795.0,3739542.0,3825498.0,3914311.0,4018594.0,4104118.0,4189815.0,4275386.0,4361176.0,4447081.0,4533071.0,4619045.0,4705387.0,4791739.0,4878132.0,4965173.0,5051282.0,5137349.0,5223697.0,5311088.0,5399188.0,5486452.0,5573538.0,5659903.0
7,179,35,villeneuve,16,14,6,Gearbox,92511,179765,266935,353688,440758,527727,614598,701420,788095,874836,961605,1048584,1135599,1222747,1309757,1396477,1483325,1570017,1656797,1743619,1830619,1917524,2004435,2094283,2203310.0,2290674.0,2378509.0,2465536.0,2552336.0,2639174.0,2726370.0,2813599.0,2900361.0,2987595.0,3075497.0,3163347.0,3251258.0,3339483.0,3427175.0,3518276.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,179,30,michael_schumacher,6,3,1,Finished,93083,180299,267503,354291,441491,528458,615331,702066,788791,875653,962369,1049158,1136179,1223317,1310366,1397136,1483972,1570626,1657344,1744222,1831184,1918137,2005334,2094614,2199777.0,2287453.0,2373915.0,2459148.0,2544130.0,2629431.0,2714568.0,2799618.0,2884812.0,2970033.0,3055363.0,3141194.0,3226502.0,3311547.0,3396611.0,3482022.0,3567845.0,3653595.0,3742983.0,3847198.0,3932861.0,4019808.0,4106518.0,4192780.0,4278690.0,4365443.0,4451837.0,4537999.0,4624348.0,4710890.0,4797169.0,4883264.0,4969315.0,5055501.0,5141415.0,5227147.0,5314155.0,5400817.0,5488029.0,5576378.0,5664510.0
12,179,56,irvine,6,4,1,Finished,93782,181497,268785,355506,442858,529644,616593,703291,790044,876798,963748,1050922,1138128,1224866,1311659,1398674,1485141,1571800,1658482,1745175,1832122,1921613,2026226,2113682,2200732.0,2288244.0,2375483.0,2461345.0,2547189.0,2633143.0,2718892.0,2804905.0,2890635.0,2976360.0,3061783.0,3147644.0,3234244.0,3320939.0,3408132.0,3493475.0,3581859.0,3687003.0,3773363.0,3859889.0,3947552.0,4035109.0,4122142.0,4208895.0,4295442.0,4382202.0,4469589.0,4555886.0,4642427.0,4728765.0,4815232.0,4901185.0,4986999.0,5073043.0,5158930.0,5244885.0,5331375.0,5418726.0,5506331.0,5594952.0,5683847.0
1,179,15,trulli,20,6,11,+1 Lap,94345,182719,270360,357582,445057,532549,619938,707409,794827,882202,969605,1056781,1144006,1231560,1318905,1406100,1493094,1580186,1667358,1754527,1841817,1930062,2020661,2126106,2212611.0,2299785.0,2388532.0,2476754.0,2564251.0,2651742.0,2739477.0,2826534.0,2913550.0,3000659.0,3087849.0,3175112.0,3262531.0,3349784.0,3437385.0,3524660.0,3612029.0,3702006.0,3807634.0,3894943.0,3983892.0,4071833.0,4159894.0,4248016.0,4335902.0,4424061.0,4512347.0,4600508.0,4689618.0,4778611.0,4866524.0,4954420.0,5042372.0,5130761.0,5220997.0,5309038.0,5397015.0,5485002.0,5574776.0,5664028.0,
11,179,55,alesi,15,18,7,Transmission,95386,183854,271430,359097,446314,533715,621288,708526,795902,883176,970691,1057988,1145348,1232663,1320093,1407788,1494872,1581932,1668847,1755560,1842546,1930448,2019170,2105712,2192478.0,2281227.0,2388894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,179,23,ralf_schumacher,3,5,1,Finished,96188,184589,272597,360342,448100,535594,623137,710807,798016,885270,972734,1060199,1147899,1235796,1323297,1410623,1497693,1584716,1671853,1758942,1846213,1933586,2021531,2109323,2196965.0,2285479.0,2374982.0,2481708.0,2570073.0,2657324.0,2744248.0,2831430.0,2919215.0,3006065.0,3092585.0,3179200.0,3266247.0,3353408.0,3440240.0,3527211.0,3613732.0,3700699.0,3787379.0,3876517.0,3982077.0,4069057.0,4156174.0,4243093.0,4330730.0,4418087.0,4505253.0,4592624.0,4680508.0,4768414.0,4857049.0,4944767.0,5031947.0,5118620.0,5205717.0,5292707.0,5381055.0,5470676.0,5560282.0,5649489.0,5740873.0
10,179,49,frentzen,17,17,86,Halfshaft,97024,185655,273816,361839,449782,537567,625366,712921,800435,887907,975565,1063112,1150371,1237755,1325241,1412585,1499975,1587102,1674128,1761118,1848474,1935749,2023377,2112255,2199289.0,2289461.0,2395392.0,2482820.0,2570711.0,2658340.0,2745469.0,2832917.0,2920419.0,3007562.0,3094456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,179,22,barrichello,24,22,2,Disqualified,97464,186213,275120,363104,451233,539166,626875,714684,802496,890271,977923,1065572,1153256,1240638,1328098,1415418,1502514,1589833,1677104,1764107,1850992,1938181,2025644,2115356,2204474.0,2295231.0,2401341.0,2488609.0,2575303.0,2662292.0,2749554.0,2836315.0,2923523.0,3011188.0,3097841.0,3184573.0,3271217.0,3357986.0,3444266.0,3530272.0,3616801.0,3703666.0,3792608.0,3900269.0,3987427.0,4074820.0,4162464.0,4249950.0,4337878.0,4425599.0,4513509.0,4601289.0,4689932.0,4779128.0,4867401.0,4955638.0,5044077.0,5132938.0,5221326.0,5310101.0,5398299.0,5487563.0,5578199.0,5666916.0,
