,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,165.0,30.0,michael_schumacher,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2825.0,3687.0,5444.0,6761.0,8081.0,9052.0,9740.0,9693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,165.0,14.0,coulthard,7.0,1.0,Finished,1020.0,997.0,745.0,832.0,909.0,548.0,797.0,923.0,814.0,995.0,1164.0,745.0,731.0,24851.0,26683.0,26475.0,26370.0,26675.0,27491.0,28550.0,29591.0,30622.0,32403.0,41474.0,41298.0,40467.0,40843.0,41596.0,42841.0,44329.0,45843.0,47227.0,49604.0,26631.0,26580.0,27431.0,28472.0,29184.0,30516.0,31823.0,32711.0,33179.0,48552.0,59414.0,65337.0,67390.0,70096.0,67981.0,68371.0,69007.0,69538.0,72336.0,73370.0,73593.0,73652.0,75910.0,76716.0,75719.0,74232.0,74033.0,74910.0,76518.0,76463.0,74799.0,72627.0,70663.0,70667.0,69128.0,62216.0
2,165.0,35.0,villeneuve,15.0,4.0,Collision,2785.0,4267.0,5366.0,6682.0,8230.0,9505.0,10699.0,11925.0,12812.0,14136.0,15164.0,16084.0,16839.0,17695.0,17940.0,18469.0,18667.0,18431.0,19359.0,20419.0,21433.0,22129.0,23453.0,24945.0,27963.0,28651.0,29443.0,30969.0,32444.0,33669.0,34544.0,35180.0,35703.0,12256.0,13466.0,14605.0,15615.0,17061.0,18189.0,19233.0,20856.0,21308.0,15295.0,48426.0,58493.0,63384.0,70711.0,69459.0,70103.0,70048.0,70902.0,73326.0,74538.0,74796.0,76283.0,77436.0,76995.0,76774.0,75312.0,74336.0,75359.0,76811.0,77243.0,75159.0,,,,,
3,165.0,22.0,barrichello,2.0,1.0,Finished,3451.0,5238.0,6311.0,7409.0,8652.0,9941.0,11169.0,12414.0,13193.0,14487.0,15579.0,16620.0,17274.0,18219.0,18411.0,18998.0,19268.0,18897.0,19687.0,20809.0,21693.0,22547.0,23702.0,25250.0,27176.0,26471.0,26445.0,26403.0,26358.0,26577.0,26034.0,25289.0,25266.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12339.0,14337.0,27794.0,29584.0,32406.0,29498.0,28015.0,27187.0,26866.0,27115.0,25847.0,24705.0,23978.0,24381.0,22033.0,20314.0,17852.0,16005.0,16210.0,16194.0,14216.0,9843.0,6883.0,5880.0,5283.0,3634.0,174.0
4,165.0,57.0,hakkinen,4.0,1.0,Finished,3942.0,5516.0,6828.0,7717.0,9133.0,10261.0,11504.0,12694.0,13587.0,14783.0,15893.0,16839.0,17678.0,18494.0,18668.0,19064.0,19549.0,19245.0,19951.0,21256.0,21997.0,22908.0,24591.0,26266.0,28162.0,29114.0,29707.0,31219.0,32709.0,33947.0,34846.0,35439.0,35998.0,12406.0,11272.0,10627.0,10011.0,9847.0,9854.0,9677.0,10066.0,33201.0,29360.0,33731.0,16493.0,43553.0,52768.0,51347.0,52096.0,53328.0,54375.0,56142.0,56619.0,56043.0,55437.0,57158.0,55465.0,53045.0,50044.0,47479.0,46994.0,44734.0,41834.0,37097.0,32735.0,30194.0,27281.0,24454.0,18561.0
5,165.0,49.0,frentzen,21.0,23.0,Brakes,4708.0,7546.0,8644.0,10362.0,12052.0,13342.0,14544.0,15891.0,17073.0,18335.0,19585.0,20378.0,21048.0,21962.0,21986.0,22208.0,22361.0,22207.0,22900.0,23572.0,24038.0,24835.0,26770.0,28840.0,30553.0,31323.0,33503.0,37420.0,39610.0,41145.0,42384.0,45548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,165.0,37.0,rosa,17.0,4.0,Collision,4927.0,6656.0,7310.0,8391.0,9600.0,10860.0,12082.0,13280.0,14343.0,15824.0,16628.0,17255.0,18147.0,19172.0,19304.0,19708.0,20284.0,19844.0,20629.0,43499.0,46598.0,47636.0,49361.0,49324.0,49148.0,49083.0,49590.0,50764.0,52421.0,53629.0,54426.0,54987.0,55665.0,32559.0,32299.0,33162.0,34351.0,35993.0,37583.0,62875.0,68326.0,69649.0,65907.0,74182.0,79000.0,80956.0,83588.0,81784.0,,,,,,,,,,,,,,,,,,,,,
7,165.0,41.0,zonta,8.0,1.0,Finished,5572.0,8181.0,9777.0,11163.0,12688.0,14443.0,15475.0,17044.0,18166.0,19339.0,20761.0,21638.0,22533.0,23776.0,24166.0,24721.0,25061.0,24993.0,26120.0,27112.0,28177.0,28944.0,30530.0,34506.0,35260.0,35561.0,36522.0,38113.0,40421.0,42053.0,43173.0,44579.0,45059.0,21753.0,21517.0,22623.0,23752.0,25203.0,26794.0,28271.0,30780.0,31441.0,47064.0,59177.0,71806.0,78226.0,81819.0,79792.0,79867.0,80436.0,80816.0,83456.0,84189.0,84858.0,85736.0,87109.0,86547.0,84928.0,82885.0,82299.0,83434.0,82709.0,85769.0,83663.0,81459.0,79436.0,77296.0,75655.0,70455.0
8,165.0,15.0,trulli,6.0,1.0,Finished,6558.0,8659.0,10392.0,12532.0,13568.0,14953.0,16359.0,17711.0,18881.0,20034.0,21209.0,22073.0,23327.0,24274.0,24863.0,25244.0,25662.0,25841.0,26743.0,27758.0,28601.0,29703.0,31182.0,31720.0,31946.0,31872.0,32213.0,33292.0,34095.0,35502.0,35755.0,36325.0,37287.0,13799.0,14244.0,15624.0,16457.0,17748.0,43223.0,48539.0,50817.0,51585.0,45417.0,48593.0,51244.0,55170.0,58543.0,58036.0,59713.0,60962.0,62480.0,64778.0,66160.0,66628.0,67088.0,70204.0,70444.0,70336.0,69833.0,71257.0,72986.0,73964.0,74174.0,72164.0,70812.0,69257.0,69203.0,67450.0,61687.0
9,165.0,21.0,fisichella,3.0,1.0,Finished,7126.0,9203.0,11308.0,13856.0,15984.0,17493.0,19169.0,20585.0,22075.0,23523.0,24977.0,26102.0,26991.0,28196.0,28770.0,29526.0,29824.0,29814.0,30920.0,31945.0,32706.0,33660.0,35394.0,36989.0,37915.0,38259.0,38549.0,39352.0,41037.0,42740.0,43904.0,46228.0,48339.0,24760.0,24284.0,24777.0,25511.0,27030.0,28327.0,29481.0,31208.0,33046.0,26455.0,47759.0,27451.0,27392.0,34610.0,33515.0,36718.0,37190.0,38302.0,40393.0,41297.0,41318.0,41106.0,42587.0,41351.0,40596.0,39025.0,37865.0,37481.0,37206.0,36022.0,32105.0,28401.0,27636.0,25777.0,22699.0,15365.0
