,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
16,163.0,57.0,hakkinen,2.0,1.0,Finished,87579.0,170215.0,252666.0,335874.0,418484.0,501047.0,583397.0,665685.0,748650.0,833863.0,922751.0,1017327.0,1115978.0,1217938.0,1327054.0,1456026.0,1549583.0,1642296.0,1734480.0,1826445.0,1919250.0,2009992.0,2100583.0,2191631.0,2283962.0,2374015.0,2464667.0,2554601.0,2644952.0,2735492.0,2827320.0,2917175.0,3007183.0,3096916.0,3187188.0,3277286.0,3367282.0,3457011.0,3547096.0,3638741.0,3730580.0,3821276.0,3912249.0,4006579.0,4100523.0,4223079.0,4315847.0,4407673.0,4498345.0,4588746.0,4678743.0,4768770.0,4858254.0,4950020.0,5039139.0,5128341.0,5218031.0,5310532.0,5399504.0,5487972.0,5576930.0,5666409.0,5757846.0,5854438.0,5947417.0,6040032.0,6134129.0
7,163.0,30.0,michael_schumacher,1.0,1.0,Finished,88141.0,170757.0,253195.0,336363.0,419083.0,501577.0,583974.0,666243.0,749261.0,834433.0,922264.0,1014003.0,1110800.0,1212267.0,1319299.0,1445021.0,1538001.0,1630138.0,1721917.0,1813028.0,1904693.0,1997247.0,2087682.0,2177499.0,2267461.0,2356626.0,2447274.0,2538724.0,2628710.0,2718797.0,2809092.0,2899042.0,2988843.0,3079113.0,3172876.0,3297071.0,3389843.0,3481966.0,3573797.0,3664417.0,3755869.0,3846480.0,3937393.0,4028481.0,4119272.0,4210542.0,4301327.0,4392653.0,4485519.0,4576920.0,4668964.0,4758712.0,4849381.0,4941073.0,5031081.0,5120644.0,5210610.0,5300463.0,5390042.0,5480179.0,5569984.0,5660484.0,5752931.0,5844079.0,5934147.0,6024673.0,6120307.0
1,163.0,14.0,coulthard,3.0,11.0,+1 Lap,89139.0,171851.0,254467.0,337985.0,421089.0,503972.0,586261.0,668740.0,752090.0,838315.0,927468.0,1023528.0,1122731.0,1229180.0,1348731.0,1447901.0,1542991.0,1637112.0,1730972.0,1825081.0,1921623.0,2014864.0,2107249.0,2199737.0,2292264.0,2384437.0,2477053.0,2569465.0,2662232.0,2754504.0,2846489.0,2938317.0,3029970.0,3121808.0,3214306.0,3307236.0,3399601.0,3492672.0,3585767.0,3678884.0,3772041.0,3865917.0,3961238.0,4056503.0,4155045.0,4276175.0,4371091.0,4465475.0,4558712.0,4651567.0,4743998.0,4836227.0,4928161.0,5019595.0,5111032.0,5202286.0,5293484.0,5384533.0,5475901.0,5567272.0,5661227.0,5755828.0,5850584.0,5943214.0,6035669.0,6127769.0,
4,163.0,22.0,barrichello,4.0,11.0,+1 Lap,89658.0,173024.0,256049.0,339163.0,422101.0,505018.0,587675.0,670014.0,753119.0,838727.0,927589.0,1020633.0,1119151.0,1221604.0,1327905.0,1441650.0,1561946.0,1656189.0,1750209.0,1846227.0,1940257.0,2032149.0,2125068.0,2216157.0,2306664.0,2397157.0,2487660.0,2578643.0,2669869.0,2762032.0,2854871.0,2947180.0,3040448.0,3158514.0,3252110.0,3344314.0,3435740.0,3526939.0,3618088.0,3710416.0,3803269.0,3896731.0,3991206.0,4083617.0,4176217.0,4269456.0,4360516.0,4452847.0,4542866.0,4632843.0,4726449.0,4844701.0,4936711.0,5027947.0,5118495.0,5208902.0,5301121.0,5391998.0,5482215.0,5572590.0,5663559.0,5756352.0,5851014.0,5943685.0,6035945.0,6129336.0,
8,163.0,35.0,villeneuve,15.0,5.0,Engine,90881.0,175566.0,259776.0,343965.0,428051.0,512204.0,596003.0,679393.0,764346.0,850485.0,940371.0,1035416.0,1135753.0,1239715.0,1351031.0,1474326.0,1570539.0,1666230.0,1761825.0,1856128.0,1949824.0,2043119.0,2136485.0,2229935.0,2323152.0,2415922.0,2508974.0,2602308.0,2695909.0,2789973.0,2883751.0,2976994.0,3070384.0,3163624.0,3256365.0,3349414.0,3443853.0,3537503.0,3630555.0,3723962.0,3817376.0,3911256.0,4008173.0,4103175.0,4197002.0,4295978.0,,,,,,,,,,,,,,,,,,,,,
5,163.0,23.0,ralf_schumacher,18.0,4.0,Collision,91481.0,176240.0,260604.0,345735.0,430168.0,515509.0,599463.0,683341.0,767143.0,852183.0,941147.0,1037694.0,1136877.0,1238601.0,1337996.0,1442269.0,1564172.0,1659286.0,1753535.0,1848894.0,1942807.0,2037065.0,2130880.0,2224507.0,2318046.0,2411459.0,2505737.0,2599177.0,2692767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,163.0,21.0,fisichella,5.0,11.0,+1 Lap,91874.0,176767.0,260872.0,345301.0,428556.0,512448.0,596393.0,679746.0,763843.0,848258.0,937719.0,1032217.0,1131753.0,1233405.0,1339104.0,1461963.0,1556604.0,1651334.0,1745327.0,1838826.0,1931922.0,2024234.0,2116682.0,2208815.0,2300664.0,2392383.0,2484775.0,2576808.0,2669436.0,2761609.0,2854192.0,2948146.0,3040620.0,3132859.0,3224965.0,3317429.0,3410448.0,3502753.0,3598489.0,3721386.0,3816311.0,3910284.0,4005226.0,4101097.0,4194565.0,4287527.0,4381543.0,4475453.0,4568303.0,4660971.0,4755487.0,4847722.0,4940090.0,5033494.0,5125624.0,5217190.0,5309490.0,5402355.0,5493958.0,5585666.0,5677130.0,5768983.0,5862390.0,5955419.0,6048235.0,6141557.0,
15,163.0,56.0,irvine,16.0,4.0,Collision,92553.0,177194.0,261965.0,347060.0,431317.0,516207.0,600273.0,684281.0,768937.0,854132.0,942470.0,1037033.0,1136395.0,1243255.0,1366386.0,1462984.0,1558478.0,1653919.0,1749606.0,1844620.0,1939148.0,2033819.0,2128074.0,2222339.0,2316150.0,2410213.0,2504002.0,2598010.0,2692236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,163.0,50.0,verstappen,17.0,20.0,Spun off,93163.0,178420.0,262822.0,347670.0,431843.0,517751.0,601514.0,684883.0,769273.0,855283.0,944038.0,1046132.0,1152440.0,1273221.0,1369074.0,1464424.0,1559909.0,1655046.0,1750012.0,1845081.0,1940574.0,2035258.0,2129308.0,2222810.0,2316867.0,2411133.0,2505018.0,2598490.0,2692366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,163.0,37.0,rosa,6.0,11.0,+1 Lap,93489.0,177968.0,262226.0,346150.0,430492.0,514053.0,597400.0,680525.0,764643.0,851282.0,940703.0,1035968.0,1136085.0,1242471.0,1364456.0,1460018.0,1555079.0,1650435.0,1746737.0,1841806.0,1936612.0,2030770.0,2125744.0,2219560.0,2312747.0,2406971.0,2500073.0,2593675.0,2686515.0,2779423.0,2872511.0,2965347.0,3058652.0,3152026.0,3244960.0,3337979.0,3431087.0,3524003.0,3616903.0,3709997.0,3803022.0,3895272.0,3989030.0,4081999.0,4175031.0,4267704.0,4360201.0,4456602.0,4580129.0,4672470.0,4764405.0,4856827.0,4952279.0,5044376.0,5139843.0,5231975.0,5323924.0,5415540.0,5507132.0,5600278.0,5692016.0,5784612.0,5877557.0,5970811.0,6064449.0,6157337.0,
