,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
9,164.0,30.0,michael_schumacher,12.0,22.0,Suspension,89297.0,175297.0,260489.0,345288.0,429624.0,514256.0,598555.0,682816.0,767036.0,851004.0,934738.0,1018601.0,1102228.0,1185854.0,1269050.0,1352538.0,1435825.0,1519331.0,1602677.0,1686914.0,1770388.0,1853394.0,1937546.0,2021918.0,2104979.0,2188004.0,2271029.0,2354500.0,2437664.0,2521603.0,2604551.0,2688485.0,2773052.0,2855884.0,2938705.0,3021467.0,3104921.0,3188155.0,3272274.0,3355609.0,3438339.0,3520626.0,3602888.0,3685690.0,3767602.0,3850586.0,3933118.0,4015773.0,4120120.0,4206363.0,4290710.0,4373725.0,4456583.0,4539359.0,4624191.0,,,,,,,,,,,,,,,,,,,,,,,
3,164.0,15.0,trulli,15.0,6.0,Gearbox,91651.0,178073.0,264006.0,349635.0,435463.0,520855.0,606227.0,691261.0,776740.0,861865.0,946118.0,1030395.0,1114610.0,1199415.0,1284246.0,1369333.0,1454278.0,1539163.0,1623235.0,1707802.0,1791746.0,1875960.0,1960754.0,2046393.0,2130470.0,2214274.0,2298153.0,2381967.0,2465849.0,2549660.0,2634215.0,2719736.0,2804183.0,2888129.0,2971595.0,3055680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,164.0,14.0,coulthard,1.0,1.0,Finished,92165.0,178737.0,264591.0,350188.0,435894.0,521267.0,606699.0,691879.0,777210.0,862334.0,946766.0,1031106.0,1115275.0,1199960.0,1284709.0,1369782.0,1454740.0,1539674.0,1623984.0,1708595.0,1792509.0,1876535.0,1961309.0,2046883.0,2131384.0,2215260.0,2298850.0,2382641.0,2466471.0,2550370.0,2634748.0,2720240.0,2805179.0,2888849.0,2972610.0,3055891.0,3142192.0,3224553.0,3306856.0,3389725.0,3471996.0,3554100.0,3636409.0,3718386.0,3800185.0,3884855.0,3967020.0,4049279.0,4131257.0,4213970.0,4297043.0,4379873.0,4461839.0,4543626.0,4625752.0,4729699.0,4817951.0,4901626.0,4984567.0,5066793.0,5149928.0,5232510.0,5316736.0,5399409.0,5482147.0,5564871.0,5646710.0,5728857.0,5811124.0,5894054.0,5976785.0,6060765.0,6144170.0,6227510.0,6311651.0,6396323.0,6481272.0,6568213.0
13,164.0,49.0,frentzen,10.0,20.0,Spun off,93106.0,180568.0,266946.0,353176.0,439521.0,525029.0,610291.0,695465.0,780437.0,865566.0,950678.0,1035604.0,1119836.0,1204040.0,1288483.0,1372540.0,1456847.0,1541341.0,1626102.0,1711130.0,1795117.0,1879142.0,1963887.0,2048979.0,2133117.0,2217857.0,2302586.0,2386799.0,2471603.0,2554787.0,2637960.0,2723258.0,2807400.0,2891083.0,2975040.0,3058877.0,3143648.0,3227024.0,3310458.0,3393495.0,3477556.0,3561101.0,3644012.0,3727155.0,3810365.0,3893932.0,3977186.0,4061083.0,4145150.0,4229176.0,4312556.0,4395985.0,4500010.0,4586676.0,4669102.0,4753490.0,4837202.0,4920115.0,5002336.0,5084680.0,5167124.0,5249637.0,5334142.0,5416643.0,5498935.0,5581270.0,5663675.0,5745798.0,5827989.0,5910235.0,,,,,,,,
17,164.0,57.0,hakkinen,6.0,11.0,+1 Lap,93472.0,180762.0,267476.0,354169.0,440209.0,525793.0,611176.0,696042.0,781244.0,866666.0,951304.0,1036088.0,1120444.0,1205020.0,1289130.0,1373546.0,1457671.0,1542199.0,1626906.0,1711649.0,1795786.0,1879687.0,1964654.0,2050003.0,2133855.0,2218410.0,2303072.0,2387369.0,2472273.0,2555389.0,2638627.0,2723641.0,2807923.0,2891649.0,2975612.0,3140914.0,3230855.0,3313903.0,3397121.0,3479244.0,3561965.0,3645414.0,3728347.0,3811535.0,3895181.0,3978348.0,4064683.0,4148549.0,4231390.0,4314640.0,4398196.0,4481899.0,4564102.0,4646278.0,4731576.0,4813689.0,4895260.0,4977019.0,5058910.0,5141047.0,5223229.0,5306735.0,5388873.0,5472634.0,5555394.0,5639033.0,5722289.0,5806356.0,5889776.0,5973327.0,6056288.0,6139163.0,6222451.0,6309962.0,6397657.0,6482752.0,6572819.0,
7,164.0,23.0,ralf_schumacher,14.0,20.0,Spun off,94465.0,181707.0,268521.0,355152.0,441159.0,526969.0,612290.0,697214.0,782416.0,867962.0,952590.0,1037235.0,1121745.0,1206054.0,1290371.0,1374634.0,1458839.0,1543251.0,1627790.0,1712577.0,1796875.0,1880823.0,1965626.0,2050868.0,2134933.0,2219246.0,2303873.0,2388229.0,2473001.0,2557006.0,2641301.0,2725274.0,2809109.0,2893088.0,2976857.0,3060754.0,3144925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,164.0,55.0,alesi,17.0,7.0,Transmission,95163.0,182790.0,269724.0,356273.0,442217.0,528115.0,613473.0,698556.0,783539.0,869098.0,953919.0,1038894.0,1123477.0,1207730.0,1292345.0,1376874.0,1461439.0,1545880.0,1629897.0,1714491.0,1798522.0,1882508.0,1967361.0,2052330.0,2136300.0,2220719.0,2304668.0,2389306.0,2473947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,164.0,22.0,barrichello,2.0,1.0,Finished,95695.0,183628.0,270519.0,356946.0,443282.0,529991.0,615366.0,700770.0,786016.0,871342.0,956394.0,1041355.0,1125708.0,1210305.0,1294721.0,1379161.0,1463460.0,1547918.0,1632349.0,1716960.0,1801165.0,1885349.0,1969756.0,2055135.0,2139228.0,2222779.0,2306987.0,2391207.0,2475538.0,2560972.0,2644654.0,2729067.0,2812745.0,2896415.0,2981273.0,3065074.0,3148782.0,3233013.0,3316249.0,3399363.0,3482074.0,3565082.0,3648997.0,3731869.0,3814280.0,3897125.0,3979812.0,4063459.0,4146417.0,4230085.0,4313172.0,4396581.0,4500734.0,4587696.0,4671574.0,4755188.0,4838044.0,4921225.0,5003885.0,5086540.0,5168915.0,5253485.0,5337699.0,5419850.0,5502471.0,5585262.0,5667313.0,5749693.0,5833644.0,5916179.0,6000975.0,6083884.0,6165794.0,6248044.0,6330981.0,6414694.0,6498717.0,6584102.0
5,164.0,21.0,fisichella,3.0,1.0,Finished,96411.0,184056.0,271300.0,358758.0,444143.0,530530.0,616230.0,701885.0,786768.0,872237.0,957126.0,1042313.0,1127426.0,1211316.0,1295811.0,1379980.0,1465378.0,1549162.0,1633309.0,1717793.0,1802102.0,1886313.0,1970705.0,2055733.0,2140136.0,2224686.0,2308432.0,2392186.0,2476506.0,2562865.0,2646282.0,2730158.0,2813532.0,2897359.0,2981998.0,3066723.0,3150300.0,3234206.0,3318181.0,3401353.0,3484592.0,3568689.0,3652240.0,3736342.0,3819489.0,3902882.0,3986754.0,4070847.0,4155125.0,4239880.0,4345407.0,4432049.0,4515902.0,4598147.0,4680143.0,4763706.0,4846185.0,4928090.0,5010858.0,5093597.0,5176330.0,5259597.0,5342972.0,5425572.0,5508123.0,5590564.0,5673150.0,5755392.0,5838016.0,5920336.0,6003228.0,6085865.0,6168292.0,6251385.0,6334712.0,6418120.0,6501995.0,6586735.0
21,164.0,65.0,herbert,9.0,12.0,+2 Laps,96906.0,184781.0,272028.0,359651.0,445816.0,532015.0,617808.0,703549.0,789246.0,874663.0,959576.0,1044738.0,1129645.0,1214701.0,1299601.0,1384550.0,1469186.0,1553936.0,1641689.0,1725967.0,1810329.0,1895310.0,1980571.0,2065677.0,2150756.0,2235797.0,2381828.0,2483976.0,2569216.0,2655159.0,2740017.0,2823262.0,2912545.0,2998805.0,3084649.0,3171307.0,3258396.0,3346698.0,3433226.0,3543226.0,3635251.0,3723404.0,3808047.0,3900863.0,3988197.0,4073391.0,4158164.0,4244198.0,4329870.0,4415799.0,4502400.0,4590061.0,4675512.0,4762055.0,4849254.0,4934201.0,5020276.0,5104830.0,5189943.0,5274800.0,5359587.0,5445578.0,5529793.0,5614177.0,5698956.0,5783318.0,5871860.0,5956248.0,6041688.0,6129347.0,6214064.0,6298165.0,6382458.0,6466859.0,6552218.0,6643147.0,,
