,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,fisichella,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3
2,barrichello,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,8,9,9,9,8,8,8,8,7,7,7,7,7,7,5,5,5,5,5
3,coulthard,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2
4,button,5,6,7,8,8,9,8,6,5,7,10,10,10,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,hakkinen,6,5,5,5,5,5,5,8,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,alesi,7,7,6,6,6,7,11,9,8,6,6,6,6,6,6,6,6,5,6,8,7,6,6,6,6,5,5,5,5,5,5,0,0,0,0,0
7,trulli,8,8,8,7,7,6,7,11,10,8,7,7,7,7,7,7,7,6,5,6,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
8,villeneuve,9,9,9,9,9,8,6,5,6,9,8,8,8,8,8,8,8,7,7,5,5,9,9,9,9,8,8,8,9,9,9,8,8,8,8,8
9,verstappen,10,10,10,10,10,10,9,10,14,13,13,12,12,12,12,12,11,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,10,0
10,panis,11,11,11,11,11,11,12,15,13,12,12,13,14,14,14,14,14,12,12,12,12,13,13,13,12,12,12,12,12,12,12,11,11,11,11,0
11,ralf_schumacher,12,12,12,12,12,12,10,7,9,11,11,11,11,11,11,10,10,9,8,7,6,5,5,5,5,9,9,9,8,8,8,7,7,7,7,7
12,montoya,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,frentzen,14,13,13,13,13,13,13,12,11,10,9,9,9,9,9,11,12,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,0
14,bernoldi,15,14,14,14,14,14,14,13,12,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,13,13,13,13,13,13,13,12,12,12,12,0
15,marques,16,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,0,0
