,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
6,154,30,michael_schumacher,6,1,1,Finished,114475,224601.0,334359.0,444240.0,554484.0,664472.0,774654.0,885000.0,995193.0,1112204.0,1240282.0,1351097.0,1462288.0,1573813.0,1684935.0,1796565.0,1909629.0,2021294.0,2133388.0,2245083.0,2357062.0,2468930.0,2580722.0,2692589.0,2813095.0,2940243.0,3052474.0,3164825.0,3278306.0,3391523.0,3505630.0,3619040.0,3735922.0,3850267.0,3965561.0,4085002.0
3,154,21,fisichella,22,3,1,Finished,118268,230441.0,342670.0,454717.0,566715.0,678717.0,790881.0,902867.0,1014956.0,1126681.0,1245277.0,1372274.0,1484175.0,1596516.0,1709015.0,1822157.0,1934759.0,2047474.0,2160371.0,2273041.0,2385605.0,2498311.0,2616873.0,2744200.0,2856657.0,2969632.0,3083129.0,3198218.0,3312085.0,3425344.0,3538784.0,3652209.0,3766771.0,3880761.0,3995674.0,4112744.0
4,154,22,barrichello,6,5,1,Finished,118731,230928.0,343051.0,455165.0,567259.0,679213.0,791598.0,903417.0,1022722.0,1152718.0,1264726.0,1377052.0,1489293.0,1601728.0,1714449.0,1827556.0,1941538.0,2077122.0,2208211.0,2319987.0,2433336.0,2546550.0,2660015.0,2773800.0,2886879.0,3000455.0,3114095.0,3227943.0,3342220.0,3456279.0,3570060.0,3685709.0,3798432.0,3910986.0,4024412.0,4139523.0
0,154,14,coulthard,1,2,1,Finished,119154,231695.0,343692.0,455982.0,568157.0,680398.0,792989.0,905101.0,1017371.0,1136078.0,1261155.0,1373030.0,1484977.0,1597229.0,1709693.0,1822684.0,1935490.0,2048067.0,2161066.0,2273725.0,2386210.0,2499237.0,2611594.0,2730429.0,2856953.0,2969975.0,3083386.0,3195992.0,3307867.0,3419679.0,3531287.0,3643686.0,3756061.0,3868388.0,3981378.0,4095100.0
2,154,18,button,22,15,20,Spun off,119756,234117.0,348850.0,463844.0,578733.0,694151.0,808415.0,922634.0,1036388.0,1157013.0,1286418.0,1400417.0,1514777.0,1629328.0,1743411.0,1857674.0,1971083.0,,,,,,,,,,,,,,,,,,,
14,154,57,hakkinen,1,4,1,Finished,120298,232592.0,344586.0,456499.0,568881.0,681028.0,801031.0,928246.0,1039987.0,1152138.0,1263939.0,1376197.0,1488469.0,1600873.0,1713852.0,1826899.0,1940088.0,2053327.0,2167518.0,2280830.0,2394088.0,2507623.0,2628023.0,2754524.0,2866678.0,2981022.0,3094174.0,3207060.0,3320242.0,3433576.0,3546968.0,3660368.0,3775999.0,3891142.0,4004738.0,4121089.0
13,154,55,alesi,17,6,1,Finished,120736,234368.0,346721.0,458549.0,570524.0,689980.0,818566.0,930979.0,1043259.0,1155801.0,1268370.0,1381528.0,1494642.0,1607918.0,1721249.0,1834752.0,1948110.0,2063361.0,2183844.0,2317278.0,2430386.0,2543324.0,2656682.0,2770095.0,2883501.0,2996985.0,3110674.0,3224311.0,3338029.0,3451696.0,3565687.0,,,,,
1,154,15,trulli,17,14,5,Engine,121334,235081.0,349220.0,461473.0,573469.0,685697.0,805054.0,934731.0,1047570.0,1160451.0,1273068.0,1386025.0,1498880.0,1612402.0,1725565.0,1839098.0,1952550.0,2068270.0,2182141.0,2302244.0,2432620.0,2546075.0,2659327.0,2772634.0,2886068.0,2999772.0,3113620.0,3227547.0,3341818.0,3455809.0,3569652.0,3687421.0,3802063.0,3916270.0,4030516.0,4144686.0
8,154,35,villeneuve,16,8,1,Finished,122298,235612.0,349728.0,464065.0,579002.0,692593.0,805008.0,917619.0,1037414.0,1165866.0,1278238.0,1391159.0,1503992.0,1617420.0,1730719.0,1844173.0,1957343.0,2071081.0,2184758.0,2298359.0,2418816.0,2548663.0,2662028.0,2775431.0,2888177.0,3001512.0,3115422.0,3229733.0,3344595.0,3458627.0,3572768.0,3690737.0,3804740.0,3918520.0,4034931.0,4149972.0
12,154,50,verstappen,21,10,11,+1 Lap,124760,239339.0,353666.0,467761.0,582875.0,697384.0,811881.0,933520.0,1066741.0,1181817.0,1296475.0,1412137.0,1527270.0,1642666.0,1758188.0,1873673.0,1988614.0,2104500.0,2220147.0,2335434.0,2450720.0,2572830.0,2705381.0,2820749.0,2936695.0,3053159.0,3168689.0,3284739.0,3400062.0,3515533.0,3631120.0,3748071.0,3864465.0,3981034.0,4098496.0,
