,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
9,149,30,michael_schumacher,6,1,1,Finished,84263,164234,243692,323305,403083,482734,562284,642080.0,721787.0,801202.0,880755.0,960497.0,1040396.0,1119805.0,1199174.0,1278488.0,1357616.0,1437775.0,1517469.0,1596971.0,1676359.0,1755659.0,1835024.0,1914503.0,1993809.0,2073148.0,2152328.0,2234624.0,2338522.0,2417481.0,2496350.0,2575570.0,2654867.0,2734190.0,2813404.0,2892712.0,2972197.0,3051763.0,3131018.0,3210881.0,3290931.0,3369886.0,3448568.0,3527220.0,3606559.0,3685376.0,3764321.0,3843291.0,3921903.0,4003005.0,4105584.0,4184198.0,4262968.0,4341967.0,4420745.0,4499860.0,4579348.0,4658642.0,4737853.0,4817135.0,4897388.0,4977542.0,5058255.0,5139038.0,5219962.0,5300534.0,5382724.0
8,149,23,ralf_schumacher,3,4,1,Finished,85689,165787,245679,325563,405575,485536,565159,645263.0,725217.0,804698.0,884238.0,963443.0,1042764.0,1122169.0,1200940.0,1279743.0,1358488.0,1438039.0,1517943.0,1597332.0,1676811.0,1756144.0,1835372.0,1915173.0,1994261.0,2073620.0,2152847.0,2235096.0,2340648.0,2420491.0,2500546.0,2579973.0,2659370.0,2738852.0,2818567.0,2898473.0,2978107.0,3057911.0,3141509.0,3247850.0,3327458.0,3406861.0,3485823.0,3565008.0,3644054.0,3723370.0,3802495.0,3881331.0,3960074.0,4038853.0,4118259.0,4200712.0,4305298.0,4383796.0,4463699.0,4542486.0,4621078.0,4699762.0,4778415.0,4857208.0,4936332.0,5015489.0,5094791.0,5174796.0,5255224.0,5335412.0,5416069.0
10,149,31,montoya,3,2,1,Finished,86918,167617,248458,329023,409776,490188,570620,651172.0,731669.0,811784.0,891769.0,971286.0,1051524.0,1131153.0,1210464.0,1289628.0,1368338.0,1447442.0,1526879.0,1606048.0,1684882.0,1763528.0,1842225.0,1921158.0,1999842.0,2078395.0,2156749.0,2235331.0,2316746.0,2421653.0,2502170.0,2582985.0,2663805.0,2743914.0,2823333.0,2902798.0,2982792.0,3062559.0,3141514.0,3220882.0,3299834.0,3378940.0,3457747.0,3536781.0,3615605.0,3694231.0,3772773.0,3851200.0,3930326.0,4011946.0,4115877.0,4195400.0,4274842.0,4354046.0,4433534.0,4513211.0,4593017.0,4672564.0,4751972.0,4831114.0,4910456.0,4989728.0,5069393.0,5148993.0,5228135.0,5307351.0,5386941.0
3,149,14,coulthard,1,3,1,Finished,87586,168771,249649,330308,411240,491981,572459,653046.0,733417.0,813838.0,894071.0,974569.0,1055192.0,1135774.0,1216351.0,1296764.0,1377473.0,1457717.0,1538084.0,1618313.0,1698592.0,1778695.0,1858681.0,1938663.0,2018668.0,2098596.0,2178943.0,2259013.0,2340003.0,2419924.0,2501877.0,2582581.0,2662483.0,2742191.0,2822031.0,2902265.0,2982292.0,3065377.0,3171523.0,3251486.0,3331365.0,3411339.0,3491152.0,3571369.0,3651915.0,3732582.0,3813199.0,3893422.0,3973359.0,4053407.0,4133271.0,4213120.0,4292806.0,4372359.0,4451855.0,4531426.0,4610995.0,4690659.0,4770372.0,4850240.0,4930835.0,5010142.0,5089025.0,5167922.0,5247454.0,5327349.0,5407717.0
19,149,57,hakkinen,1,6,1,Finished,88507,170212,251795,332754,413295,494024,574939,655530.0,736177.0,816835.0,897410.0,978442.0,1058932.0,1139307.0,1219530.0,1301208.0,1382658.0,1463878.0,1545161.0,1626545.0,1707681.0,1789081.0,1869911.0,1950731.0,2031765.0,2112697.0,2194341.0,2275063.0,2356223.0,2436909.0,2517959.0,2602073.0,2688357.0,2796839.0,2876961.0,2956932.0,3036945.0,3117453.0,3198260.0,3279260.0,3359808.0,3440423.0,3520565.0,3601149.0,3681754.0,3762068.0,3843805.0,3925037.0,4006008.0,4086021.0,4166537.0,4247437.0,4327829.0,4407980.0,4487923.0,4567884.0,4648051.0,4728188.0,4807910.0,4888405.0,4967892.0,5047546.0,5127267.0,5207551.0,5286824.0,5367204.0,5447592.0
4,149,15,trulli,17,19,7,Transmission,88824,171221,252758,334242,415487,496678,577849,658662.0,739597.0,820409.0,901245.0,981941.0,1062768.0,1143501.0,1224065.0,1304519.0,1385365.0,1466075.0,1546997.0,1627941.0,1708785.0,1789773.0,1870977.0,1951924.0,2032763.0,2113614.0,2195200.0,2276039.0,2356960.0,2440906.0,2545719.0,2625203.0,2705239.0,2786280.0,2867580.0,2948654.0,3029580.0,3110960.0,3191860.0,3272689.0,3353731.0,3434795.0,3515728.0,3595411.0,,,,,,,,,,,,,,,,,,,,,,,
7,149,22,barrichello,6,5,1,Finished,89306,171633,253505,334845,416580,497926,579000,659943.0,740849.0,821727.0,902927.0,984116.0,1065076.0,1146018.0,1226796.0,1307435.0,1387952.0,1468892.0,1549544.0,1630750.0,1711538.0,1792236.0,1873203.0,1954142.0,2034838.0,2115479.0,2196646.0,2277437.0,2358241.0,2439074.0,2519558.0,2601386.0,2681802.0,2762322.0,2843094.0,2923471.0,3003544.0,3083448.0,3163183.0,3243493.0,3323271.0,3402839.0,3482164.0,3564773.0,3672360.0,3751651.0,3831183.0,3910473.0,3990088.0,4069093.0,4148208.0,4227532.0,4307029.0,4386235.0,4466567.0,4545784.0,4624764.0,4703637.0,4782174.0,4868701.0,4948236.0,5027577.0,5107122.0,5187217.0,5267268.0,5347485.0,5428219.0
0,149,2,heidfeld,15,17,30,Driveshaft,90447,172491,254311,336068,417954,499630,581080,663069.0,744868.0,826181.0,907646.0,989108.0,1070548.0,1151882.0,1233133.0,1314908.0,1396096.0,1477475.0,1558704.0,1639697.0,1720815.0,1802087.0,1883353.0,1964550.0,2046025.0,2127374.0,2208978.0,2290310.0,2371409.0,2453048.0,2534907.0,2617508.0,2702197.0,2810879.0,2892178.0,2975346.0,3056488.0,3139205.0,3222304.0,3304506.0,3386136.0,3467702.0,3548989.0,3631926.0,3713723.0,3795981.0,3878989.0,3961300.0,4042974.0,4124273.0,4205448.0,4286645.0,4367621.0,4490643.0,,,,,,,,,,,,,
2,149,8,raikkonen,15,10,11,+1 Lap,90705,173034,254905,336575,418746,500496,582194,663977.0,745798.0,827443.0,908699.0,990217.0,1071617.0,1152795.0,1234079.0,1315502.0,1396992.0,1478286.0,1560140.0,1641136.0,1722368.0,1803770.0,1884630.0,1965580.0,2047002.0,2128143.0,2209891.0,2291641.0,2372477.0,2454417.0,2535917.0,2620209.0,2728133.0,2808631.0,2889462.0,2970322.0,3053257.0,3134788.0,3217272.0,3298867.0,3381950.0,3463393.0,3544515.0,3626521.0,3708378.0,3789950.0,3871528.0,3952685.0,4033967.0,4115692.0,4198808.0,4280078.0,4361401.0,4442682.0,4523912.0,4605022.0,4686132.0,4767780.0,4848628.0,4930340.0,5012307.0,5092894.0,5173570.0,5254397.0,5336975.0,5418487.0,
14,149,49,frentzen,17,18,20,Spun off,90761,173703,255734,337593,419903,501800,583663,665419.0,747309.0,828940.0,910389.0,991661.0,1072868.0,1154495.0,1235609.0,1316850.0,1397791.0,1478940.0,1560449.0,1641867.0,1722835.0,1804182.0,1885460.0,1966405.0,2047735.0,2128929.0,2210587.0,2292330.0,2376487.0,2481721.0,2561613.0,2641543.0,2721912.0,2802394.0,2883337.0,2964302.0,3045423.0,3127664.0,3209488.0,3292355.0,3374002.0,3455063.0,3536469.0,3618539.0,3699970.0,3781257.0,3861860.0,3943169.0,,,,,,,,,,,,,,,,,,,
