,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10,152.0,31.0,montoya,14.0,5.0,Engine,106364.0,209086.0,311508.0,413798.0,516144.0,618739.0,721203.0,823718.0,926161.0,1028831.0,1131369.0,1233628.0,1335923.0,1438064.0,1540312.0,1642401.0,1744469.0,1846645.0,1948873.0,2050681.0,2153017.0,2257765.0,2403420.0,2506801.0,,,,,,,,,,,,,,,,,,,,,
8,152.0,23.0,ralf_schumacher,1.0,1.0,Finished,107836.0,211191.0,314054.0,416777.0,519589.0,622960.0,725932.0,829216.0,932363.0,1034949.0,1138168.0,1241125.0,1344004.0,1446472.0,1548696.0,1650808.0,1752856.0,1855109.0,1957408.0,2059925.0,2162621.0,2264821.0,2366971.0,2472885.0,2598157.0,2701128.0,2804431.0,2907387.0,3010366.0,3113977.0,3217645.0,3320709.0,3424182.0,3527973.0,3631651.0,3735666.0,3840337.0,3945915.0,4051007.0,4156475.0,4262519.0,4368910.0,4476463.0,4584871.0,4697873.0
9,152.0,30.0,michael_schumacher,15.0,32.0,Fuel pressure,108970.0,213092.0,316970.0,420300.0,523801.0,628530.0,732352.0,836160.0,939707.0,1043273.0,1146754.0,1250816.0,1354365.0,1458129.0,1561237.0,1664584.0,1767832.0,1871180.0,1974579.0,2077819.0,2180672.0,2283736.0,2389868.0,,,,,,,,,,,,,,,,,,,,,,
18,152.0,57.0,hakkinen,19.0,5.0,Engine,110348.0,214947.0,320147.0,423663.0,527573.0,631719.0,735927.0,839891.0,944041.0,1047784.0,1151916.0,1255979.0,1360402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,152.0,22.0,barrichello,2.0,1.0,Finished,111690.0,215286.0,318808.0,421620.0,524511.0,627315.0,730257.0,832985.0,935676.0,1038314.0,1141013.0,1243782.0,1346423.0,1449251.0,1552025.0,1657065.0,1780996.0,1884550.0,1988691.0,2093040.0,2196237.0,2299378.0,2402174.0,2505459.0,2608562.0,2711324.0,2814346.0,2917627.0,3021986.0,3125330.0,3228892.0,3335677.0,3471917.0,3576004.0,3679754.0,3784930.0,3889861.0,3995099.0,4100603.0,4206677.0,4313379.0,4419959.0,4527017.0,4634595.0,4743990.0
3,152.0,14.0,coulthard,12.0,5.0,Engine,112572.0,216803.0,321158.0,424981.0,529205.0,633713.0,737928.0,842074.0,946342.0,1050778.0,1154912.0,1259218.0,1363605.0,1467696.0,1571738.0,1676018.0,1780074.0,1884184.0,1988423.0,2094105.0,2198442.0,2303007.0,2406672.0,2510337.0,2614218.0,2717789.0,2824458.0,,,,,,,,,,,,,,,,,,
2,152.0,8.0,raikkonen,17.0,86.0,Halfshaft,113031.0,218186.0,322707.0,427651.0,532562.0,637521.0,742276.0,846751.0,951755.0,1056120.0,1160868.0,1265620.0,1370556.0,1475344.0,1580009.0,1721758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,152.0,56.0,irvine,18.0,32.0,Fuel pressure,113406.0,218744.0,323501.0,428274.0,533141.0,638095.0,742819.0,847419.0,952223.0,1057076.0,1161491.0,1273976.0,1399482.0,1504346.0,1613079.0,1732138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,152.0,15.0,trulli,11.0,9.0,Hydraulics,113842.0,219713.0,325152.0,430463.0,535595.0,641188.0,746679.0,852257.0,958073.0,1063725.0,1170216.0,1288885.0,1395864.0,1501884.0,1607596.0,1714371.0,1820311.0,1926495.0,2032015.0,2138021.0,2243672.0,2349357.0,2454636.0,2560438.0,2665831.0,2771570.0,2880709.0,3014148.0,3118595.0,3222773.0,3326878.0,3431003.0,3534743.0,3638564.0,,,,,,,,,,,
11,152.0,35.0,villeneuve,3.0,1.0,Finished,114365.0,220344.0,325708.0,430879.0,536227.0,641579.0,747227.0,852694.0,958490.0,1064863.0,1170987.0,1277886.0,1382025.0,1486230.0,1590571.0,1695893.0,1799783.0,1903679.0,2007660.0,2111803.0,2215251.0,2318750.0,2422345.0,2529190.0,2660848.0,2765669.0,2870015.0,2974460.0,3079028.0,3183271.0,3287918.0,3391977.0,3496071.0,3600046.0,3704282.0,3808581.0,3913140.0,4017487.0,4122112.0,4227021.0,4332329.0,4437681.0,4542572.0,4654336.0,4760679.0
14,152.0,50.0,verstappen,9.0,11.0,+1 Lap,115294.0,221094.0,326667.0,432208.0,537795.0,645597.0,757290.0,886736.0,992443.0,1098193.0,1204106.0,1310077.0,1415789.0,1521675.0,1627381.0,1733290.0,1838980.0,1944640.0,2049987.0,2155973.0,2261492.0,2366807.0,2472786.0,2577882.0,2683118.0,2788347.0,2895937.0,3023329.0,3128349.0,3233258.0,3338056.0,3443897.0,3548753.0,3654252.0,3758933.0,3864097.0,3969395.0,4074819.0,4180814.0,4286238.0,4391205.0,4497726.0,4603829.0,4710703.0,
12,152.0,41.0,zonta,20.0,4.0,Collision,116186.0,221938.0,327671.0,433262.0,539503.0,662583.0,815510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,152.0,18.0,button,5.0,1.0,Finished,116556.0,222634.0,328735.0,434167.0,540528.0,646586.0,752528.0,857978.0,962905.0,1068047.0,1173144.0,1278610.0,1383454.0,1488670.0,1593567.0,1698239.0,1803461.0,1908117.0,2012304.0,2116672.0,2221195.0,2325536.0,2430244.0,2537886.0,2667117.0,2772385.0,2878193.0,2982873.0,3087298.0,3191578.0,3295629.0,3399942.0,3504475.0,3608879.0,3713586.0,3818408.0,3923435.0,4028491.0,4133488.0,4239313.0,4343883.0,4448070.0,4552672.0,4658195.0,4763327.0
13,152.0,44.0,panis,7.0,1.0,Finished,116822.0,222657.0,327780.0,433507.0,538328.0,642714.0,747650.0,852995.0,958815.0,1064076.0,1170452.0,1276174.0,1379719.0,1483297.0,1586984.0,1695326.0,1821180.0,1926901.0,2032298.0,2138194.0,2244010.0,2349729.0,2455227.0,2560831.0,2666201.0,2771737.0,2877460.0,2981182.0,3084567.0,3187896.0,3296233.0,3420405.0,3524230.0,3628306.0,3732219.0,3836419.0,3940906.0,4045411.0,4149897.0,4254734.0,4358645.0,4462617.0,4566309.0,4671183.0,4775400.0
6,152.0,21.0,fisichella,4.0,1.0,Finished,117280.0,224159.0,330112.0,435441.0,541117.0,647030.0,754996.0,860181.0,965380.0,1070951.0,1176161.0,1281073.0,1385574.0,1490714.0,1595317.0,1699922.0,1805484.0,1909932.0,2014239.0,2118907.0,2223886.0,2328344.0,2432807.0,2536979.0,2641159.0,2746952.0,2873484.0,2978060.0,3082136.0,3186323.0,3290378.0,3394683.0,3499066.0,3603065.0,3707268.0,3811468.0,3916132.0,4021066.0,4125904.0,4230731.0,4335306.0,4439795.0,4551773.0,4656528.0,4761350.0
20,152.0,59.0,bernoldi,8.0,11.0,+1 Lap,117816.0,223718.0,329586.0,435017.0,540095.0,646347.0,753668.0,859502.0,964654.0,1069728.0,1174922.0,1282941.0,1413998.0,1519910.0,1625217.0,1730967.0,1836586.0,1942030.0,2047446.0,2152473.0,2258526.0,2363885.0,2469442.0,2575279.0,2680524.0,2786349.0,2891565.0,2999355.0,3127593.0,3232720.0,3337505.0,3442656.0,3547735.0,3652550.0,3757871.0,3863091.0,3968588.0,4074024.0,4179936.0,4285403.0,4390633.0,4497204.0,4603512.0,4710372.0,
15,152.0,54.0,burti,16.0,20.0,Spun off,118130.0,224737.0,330589.0,436055.0,542521.0,648884.0,755255.0,861054.0,967903.0,1073481.0,1178812.0,1284318.0,1389234.0,1494320.0,1599283.0,1704131.0,1808814.0,1927598.0,2033102.0,2138674.0,2244267.0,2349940.0,2456276.0,,,,,,,,,,,,,,,,,,,,,,
16,152.0,55.0,alesi,6.0,1.0,Finished,118616.0,225267.0,331081.0,436954.0,543047.0,650062.0,755686.0,861653.0,967109.0,1072340.0,1177644.0,1283136.0,1388036.0,1493062.0,1598270.0,1702956.0,1807843.0,1912326.0,2016948.0,2121723.0,2226233.0,2330810.0,2435004.0,2539340.0,2646140.0,2774446.0,2879245.0,2983828.0,3088190.0,3192475.0,3296820.0,3401481.0,3506190.0,3611092.0,3716010.0,3820927.0,3925830.0,4030657.0,4135366.0,4240278.0,4344830.0,4448965.0,4553952.0,4658805.0,4763823.0
1,152.0,4.0,alonso,10.0,11.0,+1 Lap,119106.0,225864.0,331931.0,437839.0,544181.0,651057.0,757231.0,863291.0,969449.0,1075657.0,1181608.0,1288360.0,1397211.0,1527389.0,1634245.0,1740615.0,1847904.0,1954368.0,2062141.0,2169130.0,2275655.0,2382897.0,2489832.0,2596654.0,2706349.0,2838041.0,2944949.0,3052267.0,3159893.0,3267192.0,3374378.0,3482671.0,3590372.0,3698177.0,3805755.0,3914638.0,4023832.0,4131549.0,4241302.0,4348804.0,4456198.0,4564008.0,4672702.0,4781665.0,
19,152.0,58.0,marques,13.0,6.0,Gearbox,119990.0,230113.0,339954.0,447588.0,555966.0,663619.0,770899.0,877888.0,984853.0,1092149.0,1199104.0,1305117.0,1412883.0,1521302.0,1630006.0,1736175.0,1842324.0,1948423.0,2055592.0,2170107.0,2305079.0,2411680.0,2519014.0,2628384.0,2735567.0,2863623.0,,,,,,,,,,,,,,,,,,,
