,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,michael_schumacher,1,1,7,4,11,11,11,11,11,11,9,6,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,barrichello,2,2,3,3,10,10,10,10,10,10,8,7,6,4,4,2,2,2,2,2,2,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,trulli,3,3,1,6,5,5,5,5,5,5,6,8,8,8,8,8,8,7,6,6,5,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
3,coulthard,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,frentzen,5,5,4,2,3,2,2,2,2,2,3,5,7,7,7,7,7,6,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
5,verstappen,6,6,5,5,2,3,3,3,3,3,2,2,2,2,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7
6,villeneuve,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,hakkinen,8,8,8,7,4,4,4,4,4,4,4,3,4,5,5,5,5,5,8,7,7,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6
8,panis,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,heidfeld,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,alesi,11,10,10,8,6,6,6,6,6,6,7,11,11,11,11,11,11,11,10,11,10,10,10,12,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
11,button,12,12,15,12,12,12,12,12,12,12,11,10,14,13,13,13,13,13,13,13,12,14,14,15,15,14,14,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
12,fisichella,13,11,13,11,7,7,7,7,7,7,10,9,9,9,9,9,9,9,7,8,14,12,12,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,bernoldi,14,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,burti,15,14,16,13,13,13,13,13,13,13,13,12,10,10,10,10,10,10,9,9,9,9,9,13,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
15,marques,16,15,17,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,13,13,13,11,12,13,13,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
16,mazzacane,17,17,14,10,9,9,9,9,9,9,12,13,12,12,12,12,12,12,12,12,11,11,11,10,14,15,15,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
17,alonso,18,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,12,12,12,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0
18,irvine,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ralf_schumacher,20,16,12,9,8,8,8,8,8,8,5,4,5,6,6,6,6,8,11,10,8,8,8,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
