,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
9,142.0,30.0,michael_schumacher,1.0,1.0,Finished,106061.0,207894.0,326623.0,483868.0,741226.0,886515.0,1026518.0,1210594.0,1387477.0,1557526.0,1675788.0,1791621.0,1906569.0,2019959.0,2135063.0,2246291.0,2357195.0,2467336.0,2576911.0,2686760.0,2796038.0,2906706.0,3015389.0,3123270.0,3230366.0,3338300.0,3445075.0,3551298.0,3660758.0,3773669.0,3916051.0,4025664.0,4133567.0,4241189.0,4347719.0,4453831.0,4559272.0,4664341.0,4769773.0,4876290.0,4982714.0,5088550.0,5194618.0,5299720.0,5404517.0,5509217.0,5613803.0,5718106.0,5822037.0,5926607.0,6031362.0,6135723.0,6239723.0,6345442.0,6454801.0
7,142.0,22.0,barrichello,2.0,1.0,Finished,107443.0,209480.0,323142.0,481016.0,738984.0,885965.0,1025795.0,1208795.0,1386678.0,1556453.0,1675622.0,1792226.0,1908696.0,2024300.0,2137679.0,2251746.0,2363212.0,2474676.0,2586184.0,2697392.0,2812723.0,2957950.0,3068789.0,3178914.0,3288225.0,3398309.0,3509479.0,3618853.0,3727927.0,3836820.0,3945113.0,4053625.0,4160506.0,4266529.0,4371804.0,4477700.0,4583584.0,4687377.0,4791468.0,4894111.0,5001147.0,5131292.0,5235823.0,5340016.0,5444139.0,5547459.0,5650284.0,5752841.0,5855179.0,5957694.0,6060934.0,6165046.0,6268589.0,6372616.0,6478461.0
4,142.0,15.0,trulli,8.0,11.0,+1 Lap,109260.0,212857.0,319745.0,489181.0,685727.0,831457.0,1019213.0,1204908.0,1381227.0,1552441.0,1672898.0,1794256.0,1913797.0,2033260.0,2152544.0,2270990.0,2389009.0,2506397.0,2623001.0,2739045.0,2854232.0,2968785.0,3087455.0,3226160.0,3340538.0,3452633.0,3564817.0,3675984.0,3787378.0,3896645.0,4006297.0,4116345.0,4224162.0,4330643.0,4436972.0,4542823.0,4648605.0,4753633.0,4865882.0,4995461.0,5100516.0,5205689.0,5310549.0,5415569.0,5520284.0,5625264.0,5730023.0,5834429.0,5938423.0,6042618.0,6146600.0,6250159.0,6353994.0,6458792.0,
3,142.0,14.0,coulthard,3.0,1.0,Finished,110622.0,213823.0,321398.0,470354.0,653284.0,814343.0,1013339.0,1197636.0,1376206.0,1548955.0,1665723.0,1782707.0,1900297.0,2017998.0,2134963.0,2252512.0,2368327.0,2483749.0,2598420.0,2712397.0,2825596.0,2938098.0,3050277.0,3162201.0,3277507.0,3413903.0,3527102.0,3638880.0,3750431.0,3861110.0,3970794.0,4079533.0,4186619.0,4293801.0,4399633.0,4505617.0,4611145.0,4716808.0,4822082.0,4927912.0,5032250.0,5136491.0,5242073.0,5345819.0,5448936.0,5552005.0,5654844.0,5757849.0,5860846.0,5964700.0,6069606.0,6173265.0,6276160.0,6379892.0,6483356.0
13,142.0,49.0,frentzen,4.0,1.0,Finished,111587.0,215287.0,324241.0,479771.0,664101.0,815451.0,1014611.0,1198076.0,1377076.0,1550147.0,1668970.0,1789457.0,1910608.0,2030341.0,2149337.0,2267665.0,2385847.0,2503931.0,2620568.0,2736355.0,2856606.0,2995010.0,3106312.0,3220576.0,3329832.0,3439599.0,3548991.0,3660706.0,3771581.0,3879520.0,3987552.0,4097403.0,4205065.0,4311673.0,4417858.0,4524901.0,4630204.0,4735202.0,4841011.0,4945006.0,5050209.0,5154840.0,5260634.0,5364664.0,5467735.0,5571049.0,5674036.0,5777182.0,5880777.0,5982896.0,6085686.0,6189650.0,6293562.0,6397477.0,6501344.0
14,142.0,50.0,verstappen,7.0,1.0,Finished,112421.0,215957.0,324265.0,484623.0,662968.0,816176.0,1015052.0,1198531.0,1377845.0,1550516.0,1668532.0,1785629.0,1902436.0,2019523.0,2136744.0,2253779.0,2369941.0,2486277.0,2601918.0,2717076.0,2831964.0,2950908.0,3090761.0,3204409.0,3316972.0,3428499.0,3541972.0,3655086.0,3766701.0,3876329.0,3986578.0,4095563.0,4203750.0,4310549.0,4417008.0,4523571.0,4628949.0,4734999.0,4839841.0,4944486.0,5049249.0,5154101.0,5264861.0,5392078.0,5497385.0,5601527.0,5705686.0,5810936.0,5914654.0,6018694.0,6122405.0,6225807.0,6329254.0,6433332.0,6536361.0
11,142.0,35.0,villeneuve,16.0,20.0,Spun off,113172.0,216642.0,325307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,142.0,57.0,hakkinen,6.0,1.0,Finished,114207.0,218262.0,327756.0,492937.0,683685.0,823462.0,1017971.0,1203790.0,1380187.0,1551227.0,1669845.0,1788379.0,1907066.0,2026485.0,2144730.0,2261775.0,2378895.0,2499651.0,2641027.0,2757596.0,2872387.0,2985386.0,3097009.0,3206953.0,3317637.0,3429246.0,3544095.0,3656669.0,3768449.0,3878017.0,3986891.0,4096454.0,4204213.0,4311207.0,4417532.0,4524047.0,4629609.0,4736145.0,4841623.0,4950285.0,5076615.0,5179011.0,5280739.0,5382596.0,5484022.0,5586767.0,5688473.0,5789435.0,5890978.0,5991974.0,6094882.0,6197916.0,6300376.0,6401765.0,6503407.0
12,142.0,44.0,panis,21.0,44.0,Oil leak,114538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,142.0,2.0,heidfeld,17.0,20.0,Spun off,115346.0,220674.0,328850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
