,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
9,129,22,barrichello,6,2,1,Finished,77605,150017,221146.0,292307.0,363177.0,434300.0,505047.0,575265.0,645513.0,715970.0,786112.0,856128.0,926216.0,996317.0,1066441.0,1136436.0,1207112.0,1277929.0,1347862.0,1417758.0,1488201.0,1558112.0,1627777.0,1700831.0,1830516.0,1955168.0,2079028.0,2164534.0,2291092.0,2412330.0,2532065.0,2653869.0,2777957.0,2900896.0,3025665.0,3145976.0,3218188.0,3289580.0,3360543.0,3431440.0,3501914.0,3572578.0,3643057.0,3713592.0,3785132.0,3855776.0,3926534.0,3996734.0,4066857.0,4137058.0,4207186.0,4276909.0,4346507.0,4416269.0,4485875.0,4555564.0,4624884.0,4694482.0,4764321.0,4834061.0,4906037.0,4998111.0,5068007.0,5138364.0,5208179.0,5278106.0,5347945.0,5418154.0,5488467.0,5558740.0,5631744.0
11,129,30,michael_schumacher,6,1,1,Finished,78058,150904,222251.0,293343.0,364290.0,435031.0,505759.0,576183.0,646558.0,716850.0,787230.0,857824.0,928278.0,998192.0,1068789.0,1138727.0,1208832.0,1279013.0,1349092.0,1419244.0,1489748.0,1559892.0,1629482.0,1708790.0,1833753.0,1957775.0,2081126.0,2167786.0,2295406.0,2414699.0,2536117.0,2657891.0,2779504.0,2902692.0,3027443.0,3146857.0,3219759.0,3291606.0,3363095.0,3434222.0,3505093.0,3575914.0,3646587.0,3717095.0,3788884.0,3859709.0,3930470.0,4000515.0,4070469.0,4140212.0,4210157.0,4280599.0,4350231.0,4419929.0,4489337.0,4559016.0,4629284.0,4698795.0,4768390.0,4838503.0,4908287.0,4980587.0,5072138.0,5142158.0,5212018.0,5281920.0,5351407.0,5420705.0,5490195.0,5559840.0,5631562.0
0,129,2,heidfeld,15,16,4,Collision,80349,157084,231395.0,305506.0,379616.0,453574.0,526925.0,599961.0,672902.0,746209.0,819275.0,892339.0,965111.0,1037766.0,1110974.0,1183827.0,1256407.0,1328902.0,1401294.0,1473474.0,1545974.0,1618387.0,1691462.0,1776599.0,1870592.0,1962300.0,2084067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,129,23,ralf_schumacher,3,4,1,Finished,80884,154215,226909.0,299382.0,372114.0,444383.0,516620.0,588657.0,660781.0,732981.0,804760.0,876475.0,947938.0,1019437.0,1091347.0,1163284.0,1234943.0,1306468.0,1377684.0,1449225.0,1520642.0,1591680.0,1662931.0,1736238.0,1833164.0,1957167.0,2080792.0,2165371.0,2292105.0,2413354.0,2533519.0,2655418.0,2778677.0,2902020.0,3026674.0,3146428.0,3219312.0,3291043.0,3362452.0,3433425.0,3503994.0,3574669.0,3645213.0,3715979.0,3786943.0,3858216.0,3931990.0,4027624.0,4099260.0,4170500.0,4241593.0,4313148.0,4384212.0,4455089.0,4525796.0,4596335.0,4666880.0,4737539.0,4807920.0,4878302.0,4948538.0,5018839.0,5089107.0,5159322.0,5229358.0,5299220.0,5369526.0,5440057.0,5510025.0,5580142.0,5650010.0
12,129,31,montoya,3,3,1,Finished,81535,155200,228521.0,301696.0,374946.0,448126.0,521131.0,594485.0,666967.0,739335.0,811842.0,885176.0,957249.0,1029181.0,1101307.0,1173465.0,1245669.0,1317614.0,1389375.0,1461078.0,1532777.0,1604454.0,1676021.0,1755866.0,1839298.0,1960906.0,2083339.0,2168691.0,2296105.0,2415761.0,2537104.0,2658929.0,2780020.0,2903437.0,3029123.0,3147727.0,3220868.0,3293285.0,3364967.0,3436375.0,3507278.0,3577986.0,3650857.0,3721691.0,3792892.0,3863919.0,3934800.0,4005266.0,4075721.0,4146105.0,4219100.0,4311916.0,4382747.0,4453528.0,4524092.0,4594532.0,4665194.0,4735566.0,4805877.0,4876122.0,4946477.0,5016871.0,5087251.0,5157801.0,5227907.0,5297943.0,5368795.0,5438791.0,5509051.0,5578904.0,5649292.0
4,129,14,coulthard,1,6,1,Finished,82736,157777,232411.0,306445.0,380510.0,454557.0,528213.0,601975.0,675345.0,748943.0,822312.0,895063.0,967838.0,1040455.0,1113166.0,1185699.0,1258638.0,1331172.0,1403588.0,1475944.0,1548068.0,1620230.0,1692540.0,1778543.0,1871998.0,1963476.0,2084294.0,2167396.0,2300213.0,2418286.0,2540009.0,2660578.0,2780931.0,2905006.0,3030435.0,3148606.0,3222813.0,3295883.0,3368546.0,3442019.0,3515020.0,3588675.0,3661402.0,3734046.0,3810113.0,3884229.0,3957281.0,4030412.0,4103168.0,4175673.0,4247969.0,4320233.0,4392639.0,4464669.0,4536659.0,4608263.0,4680161.0,4752030.0,4824138.0,4895752.0,4967329.0,5039002.0,5110782.0,5182488.0,5254082.0,5325495.0,5396846.0,5468090.0,5539313.0,5610715.0,5682234.0
1,129,8,raikkonen,1,20,5,Engine,83131,158200,232879.0,306967.0,380995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,129,63,salo,7,8,1,Finished,83553,158880,233481.0,307671.0,381777.0,455650.0,529222.0,602851.0,676493.0,749767.0,823407.0,896740.0,969735.0,1042616.0,1115745.0,1188905.0,1261979.0,1334939.0,1408777.0,1481252.0,1553804.0,1626454.0,1700071.0,1790222.0,1872358.0,1964188.0,2084806.0,2169256.0,2296697.0,2416563.0,2537709.0,2656597.0,2788950.0,2914044.0,3036879.0,3154846.0,3231010.0,3304727.0,3378319.0,3451538.0,3524814.0,3598041.0,3671520.0,3745262.0,3820245.0,3894621.0,3967783.0,4040720.0,4113454.0,4185810.0,4258246.0,4330506.0,4402556.0,4474588.0,4546615.0,4618693.0,4690564.0,4762389.0,4835050.0,4907355.0,4980633.0,5052522.0,5124281.0,5195872.0,5267891.0,5340094.0,5411930.0,5483956.0,5555739.0,5628107.0,5700987.0
7,129,18,button,4,7,1,Finished,84509,159316,234000.0,308397.0,382430.0,456399.0,530068.0,603671.0,677228.0,750623.0,824189.0,897701.0,970602.0,1044405.0,1117164.0,1190159.0,1263364.0,1336244.0,1409414.0,1482085.0,1554710.0,1627284.0,1701327.0,1795100.0,1876470.0,1965417.0,2085689.0,2170938.0,2297684.0,2415694.0,2546291.0,2665561.0,2786067.0,2909639.0,3034823.0,3152393.0,3226494.0,3299435.0,3372116.0,3444794.0,3517725.0,3590495.0,3663918.0,3737021.0,3810356.0,3884829.0,3958110.0,4031159.0,4103939.0,4176521.0,4248934.0,4321131.0,4393452.0,4465463.0,4537590.0,4609183.0,4681212.0,4752971.0,4824811.0,4896569.0,4968305.0,5039857.0,5111468.0,5183384.0,5254999.0,5326302.0,5397761.0,5468970.0,5540190.0,5611450.0,5682791.0
3,129,13,massa,15,19,22,Suspension,84962,159816,234426.0,308722.0,382877.0,456929.0,551625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
