,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
9,131,22,barrichello,6,3,1,Finished,84095,162843,240758,318554,396301,474371,551587,629709,707984.0,785822.0,863735.0,940874.0,1017821.0,1096501.0,1224505.0,1355829.0,1485956.0,1563734.0,1641518.0,1718118.0,1794218.0,1870523.0,1947050.0,2023830.0,2099936.0,2200371.0,2279395.0,2357822.0,2435950.0,2513484.0,2590957.0,2668610.0,2746228.0,2823913.0,2901871.0,2979178.0,3056445.0,3133724.0,3211017.0,3288829.0,3366060.0,3442948.0,3519737.0,3597275.0,3674189.0,3750755.0,3827313.0,3904115.0,3981227.0,4057727.0,4134268.0,4211610.0,4288632.0,4386940.0,4465743.0,4542337.0,4619089.0,4695973.0,4773347.0,4851048.0,4928520.0,5005244.0,5082079.0,5158969.0,5235281.0,5311989.0,5389023.0,5465269.0,5542216.0,5623193.0
12,131,31,montoya,3,16,5,Engine,84152,163727,241862,319785,397797,475927,554533,633081,711044.0,789566.0,867314.0,944712.0,1022205.0,1124310.0,1228929.0,1361705.0,1488861.0,1568756.0,1647055.0,1725149.0,1802677.0,1880520.0,1958765.0,2036833.0,2114906.0,2193039.0,2271111.0,2348849.0,2426726.0,2504388.0,2581433.0,2658273.0,2735429.0,2812472.0,2889573.0,2966908.0,3044387.0,3121519.0,3198486.0,3275318.0,3352053.0,3428912.0,3505395.0,3582348.0,3658690.0,3735307.0,3811652.0,3888432.0,3965481.0,4041441.0,4139869.0,4218824.0,4295286.0,4371991.0,4449604.0,4528835.0,,,,,,,,,,,,,,
11,131,30,michael_schumacher,6,1,1,Finished,85489,165225,243637,321892,400179,479073,557184,635344,713565.0,791895.0,870158.0,948113.0,1026615.0,1105396.0,1226783.0,1358435.0,1486741.0,1565451.0,1642781.0,1719924.0,1797001.0,1874047.0,1951060.0,2028042.0,2104973.0,2181570.0,2258260.0,2334565.0,2410996.0,2487449.0,2563501.0,2639722.0,2715902.0,2792160.0,2868332.0,2944456.0,3020427.0,3122353.0,3202088.0,3279271.0,3356348.0,3434230.0,3512274.0,3589417.0,3666969.0,3744268.0,3821646.0,3899332.0,3976457.0,4054183.0,4132236.0,4210258.0,4287939.0,4365801.0,4442451.0,4518870.0,4597122.0,4675391.0,4754524.0,4832342.0,4910929.0,4990165.0,5068725.0,5146081.0,5223371.0,5301425.0,5379131.0,5458415.0,5536919.0,5616111.0
1,131,8,raikkonen,1,4,1,Finished,86316,166046,245385,324445,404124,483308,563090,642304,721413.0,800322.0,879680.0,958806.0,1037708.0,1120334.0,1227673.0,1359814.0,1488115.0,1568755.0,1649236.0,1728031.0,1806164.0,1884312.0,1962353.0,2040284.0,2118292.0,2196444.0,2274004.0,2351431.0,2428970.0,2506232.0,2583579.0,2661519.0,2739145.0,2816523.0,2894013.0,2971066.0,3048448.0,3125519.0,3203935.0,3280900.0,3357902.0,3435316.0,3512795.0,3590007.0,3689238.0,3768543.0,3846425.0,3924125.0,4001978.0,4080669.0,4160930.0,4240790.0,4320711.0,4400983.0,4480229.0,4559557.0,4638643.0,4717874.0,4796302.0,4875271.0,4953834.0,5032208.0,5110608.0,5188341.0,5266290.0,5344433.0,5421794.0,5499177.0,5577121.0,5653674.0
10,131,23,ralf_schumacher,3,7,5,Engine,86806,166405,246161,325727,404948,483928,563653,642877,722184.0,801114.0,880056.0,959204.0,1038160.0,1120765.0,1228306.0,1360688.0,1488537.0,1568827.0,1649367.0,1728509.0,1806677.0,1884610.0,1962737.0,2041120.0,2118904.0,2196832.0,2274477.0,2352016.0,2429680.0,2506846.0,2584001.0,2662279.0,2740027.0,2817135.0,2894408.0,2971854.0,3048821.0,3126352.0,3204285.0,3281368.0,3358459.0,3470895.0,3550123.0,3649201.0,3729470.0,3806675.0,3884701.0,3962352.0,4039299.0,4116531.0,4193722.0,4270965.0,4348730.0,4425866.0,4502949.0,4579937.0,4656383.0,4733659.0,4811653.0,4889725.0,4968041.0,5045599.0,5123401.0,5200632.0,5277710.0,5355232.0,5432252.0,5511393.0,5589370.0,5667629.0
4,131,14,coulthard,1,2,1,Finished,87614,168024,247975,327777,407438,486650,565902,645271,724858.0,804426.0,885284.0,964418.0,1043358.0,1126339.0,1231306.0,1362463.0,1489606.0,1570466.0,1650644.0,1730219.0,1808883.0,1887206.0,1965623.0,2044404.0,2122779.0,2201013.0,2279240.0,2357060.0,2434577.0,2512014.0,2589194.0,2666997.0,2744708.0,2822162.0,2899373.0,2976355.0,3053150.0,3130065.0,3207958.0,3285675.0,3362563.0,3439519.0,3516433.0,3593510.0,3670034.0,3746461.0,3823014.0,3900076.0,4000057.0,4079331.0,4156041.0,4233414.0,4310582.0,4387707.0,4464568.0,4541531.0,4618520.0,4695364.0,4772751.0,4850295.0,4927569.0,5003970.0,5080568.0,5157711.0,5234266.0,5311457.0,5388099.0,5464475.0,5540844.0,5617243.0
0,131,2,heidfeld,15,12,11,+1 Lap,89134,169242,249106,328863,408935,488577,568168,647586,727080.0,806547.0,886844.0,966504.0,1045640.0,1130496.0,1232232.0,1363300.0,1490452.0,1570962.0,1651480.0,1731093.0,1810165.0,1888885.0,1967458.0,2046064.0,2124770.0,2203077.0,2281488.0,2359562.0,2437700.0,2517766.0,2595432.0,2673543.0,2751411.0,2829859.0,2907731.0,2985778.0,3088733.0,3169713.0,3248294.0,3326889.0,3405357.0,3483863.0,3562255.0,3651526.0,3732627.0,3812652.0,3892575.0,3972046.0,4051685.0,4131117.0,4239384.0,4321646.0,4401274.0,4480722.0,4560249.0,4639190.0,4718418.0,4797234.0,4876065.0,4954476.0,5032939.0,5111181.0,5189496.0,5267077.0,5345109.0,5423134.0,5500999.0,5578264.0,5655549.0,
8,131,21,fisichella,17,5,1,Finished,89551,169864,250014,330394,410941,490974,571052,651003,730726.0,809969.0,889823.0,969082.0,1048267.0,1130991.0,1233002.0,1364201.0,1491328.0,1572050.0,1651656.0,1731843.0,1811075.0,1890177.0,1968642.0,2047311.0,2125937.0,2204522.0,2282827.0,2360883.0,2439133.0,2518263.0,2596272.0,2674706.0,2752809.0,2830671.0,2908374.0,2986547.0,3064804.0,3142277.0,3219357.0,3296579.0,3373688.0,3451132.0,3528990.0,3605648.0,3708578.0,3789754.0,3867396.0,3945759.0,4025395.0,4103736.0,4181803.0,4260049.0,4338054.0,4416018.0,4493973.0,4571824.0,4649610.0,4726996.0,4804706.0,4882546.0,4960341.0,5037851.0,5115323.0,5192551.0,5270805.0,5348201.0,5425606.0,5502828.0,5580439.0,5658923.0
5,131,15,trulli,4,6,1,Finished,90264,170808,251145,331356,411813,492269,573336,653492,733978.0,814013.0,894043.0,973588.0,1053198.0,1137578.0,1234203.0,1365162.0,1492005.0,1573731.0,1653573.0,1733257.0,1812650.0,1891699.0,1970661.0,2049949.0,2128874.0,2207683.0,2286241.0,2364734.0,2443013.0,2521169.0,2599222.0,2677353.0,2755401.0,2833119.0,2910535.0,2987886.0,3065450.0,3143487.0,3221104.0,3298766.0,3376238.0,3477104.0,3558492.0,3636727.0,3714796.0,3793041.0,3871730.0,3950432.0,4028892.0,4107424.0,4185858.0,4264331.0,4342751.0,4421074.0,4499286.0,4577131.0,4654913.0,4733272.0,4811440.0,4889536.0,4967727.0,5045417.0,5123073.0,5200213.0,5277439.0,5354792.0,5431954.0,5509082.0,5586232.0,5665059.0
7,131,18,button,4,15,6,Gearbox,91263,171956,251879,332499,412540,493413,574221,654678,735012.0,815367.0,895240.0,975059.0,1054926.0,1141129.0,1234909.0,1365581.0,1492163.0,1574276.0,1654188.0,1734513.0,1814126.0,1893091.0,1972302.0,2051674.0,2132391.0,2211222.0,2289632.0,2368130.0,2446340.0,2524647.0,2602794.0,2681288.0,2759035.0,2836808.0,2915001.0,3018318.0,3100621.0,3180145.0,3259373.0,3338311.0,3417885.0,3497956.0,3578467.0,3657940.0,3738449.0,3817870.0,3897014.0,3978152.0,4057210.0,4137935.0,4216796.0,4296126.0,4374914.0,4453599.0,4532147.0,4611175.0,4689873.0,4767819.0,4845838.0,4923753.0,5001569.0,5079399.0,5160600.0,5238447.0,5316324.0,,,,,
