,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,132,22,barrichello,6,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,132,23,ralf_schumacher,3,4,1,Finished,1081,2178,4667,6925,9389,11020,12989,15047,16686,18265,19414,20747,22055,24049,25440,26392,28072,29224,30760,32661,33918,35551,37654,39602,39157,17756,20240.0,23428.0,26643.0,34284.0,62549.0,65253.0,67508.0,69784.0,72899.0,75238.0,77587.0,79183.0,81125.0,83054.0,84595.0,86916.0,88444.0,90855.0,89852.0,68353.0,69397.0,69410.0,69210.0,69145.0,68727.0,67880.0,67512.0,68230.0,68165.0,67458.0,67199.0,66939.0,66012.0,66963.0
2,132,30,michael_schumacher,6,2,1,Finished,2977,2574,3575,2836,2588,1817,1420,1373,1078,890,1040,790,1110,1126,963,777,783,778,1233,1121,940,709,11003,13767,33932,8336,7886.0,7172.0,6862.0,6448.0,5004.0,4899.0,4656.0,4889.0,5042.0,4983.0,4497.0,3254.0,3339.0,2965.0,2596.0,2823.0,5362.0,27764.0,25707.0,1949.0,1469.0,1024.0,746.0,698.0,802.0,787.0,633.0,612.0,724.0,648.0,540.0,456.0,437.0,294.0
3,132,31,montoya,3,20,4,Collision,3421,4944,6433,8588,11108,13067,14861,17154,18640,20353,21809,22829,24178,25669,27159,28540,30403,32667,34542,36910,38042,39638,41563,43688,42928,22011,25631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,132,14,coulthard,1,21,4,Collision,3709,5881,7781,9796,11848,13880,15875,17834,19686,21112,22720,24186,26024,28046,29185,30482,31966,33702,35387,37792,38872,40176,41868,44025,43249,22328,25735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,132,8,raikkonen,1,3,1,Finished,3967,6284,8744,11046,12999,14932,17039,19477,21071,22957,24871,26227,27966,30138,31534,32532,37376,39010,40363,41863,43031,43647,44248,44844,43748,22778,26287.0,26779.0,26794.0,30518.0,29287.0,30095.0,30987.0,31045.0,36975.0,65034.0,66615.0,66948.0,67812.0,69212.0,70397.0,71993.0,73820.0,76133.0,75410.0,54202.0,55608.0,55683.0,55943.0,57156.0,57415.0,57020.0,56141.0,55344.0,53815.0,52527.0,51591.0,50171.0,47294.0,46435.0
6,132,18,button,4,5,1,Finished,4197,6689,9411,11640,13712,15540,17741,20594,21784,23300,25443,27117,28663,30875,32396,33411,34769,35469,36393,38253,39600,44117,70378,72620,71700,49309,51005.0,53011.0,54145.0,55258.0,55626.0,59095.0,61650.0,63130.0,64807.0,66761.0,68406.0,69196.0,70123.0,71131.0,72140.0,73683.0,75094.0,80612.0,101910.0,79263.0,79509.0,79168.0,79500.0,80154.0,79837.0,79313.0,78594.0,78547.0,79231.0,80771.0,79858.0,78691.0,77663.0,76944.0
7,132,15,trulli,4,8,11,+1 Lap,4496,7405,10527,12359,20614,22669,25461,28233,30790,31690,33146,34565,35483,36546,37224,37730,39186,40655,41963,43748,48675,75207,76316,77395,76079,53715,55432.0,57431.0,59510.0,60816.0,63488.0,66459.0,68604.0,70535.0,74234.0,76373.0,78322.0,79857.0,81869.0,84202.0,85827.0,92029.0,117870.0,123301.0,123442.0,103388.0,106006.0,107111.0,108411.0,109515.0,110120.0,111926.0,112035.0,111990.0,112316.0,112032.0,110649.0,109767.0,108960.0,
8,132,13,massa,15,6,11,+1 Lap,5064,8115,11496,15139,17950,20227,22873,25696,27979,30247,32874,36311,38886,41462,43572,45500,47706,49543,51684,54148,56335,58194,60142,61576,60805,38723,40358.0,41944.0,43148.0,44571.0,47896.0,78064.0,79929.0,82163.0,85667.0,88896.0,92241.0,96096.0,100306.0,103442.0,106483.0,110845.0,117103.0,121060.0,122308.0,101924.0,104029.0,105041.0,106472.0,107804.0,108204.0,108522.0,108502.0,108920.0,109034.0,108707.0,107761.0,107942.0,107295.0,
9,132,2,heidfeld,15,7,11,+1 Lap,5572,8668,12123,15579,18773,20958,23532,26635,29083,32078,35243,37970,40351,43349,45322,47195,49177,51204,53430,55843,57949,59548,61341,63617,62110,39679,41180.0,43074.0,44330.0,48044.0,75699.0,79590.0,82095.0,84588.0,88712.0,91812.0,96233.0,100152.0,102796.0,105546.0,108218.0,112339.0,117417.0,122553.0,123078.0,102759.0,105228.0,106319.0,107533.0,108696.0,109189.0,111101.0,111030.0,110835.0,110982.0,110116.0,108796.0,108278.0,108226.0,
