,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
10,134,31,montoya,3,4,1,Finished,78032,154915,232720,309263,386099,462596,538963,615262,691812,768293,844502,920975,997262,1073454,1149843,1226042,1302348,1378597,1454772,1531431,1607559,1683869,1759833,1838872.0,1933681.0,2009378.0,2085941.0,2162187.0,2238611.0,2315412.0,2391645.0,2468021.0,2544382.0,2620782.0,2697144.0,2773972.0,2850173.0,2926149.0,3002377.0,3078977.0,3156154.0,3232463.0,3311822.0,3410484.0,3486800.0,3563293.0,3639946.0,3716708.0,3793721.0,3871132.0,3948788.0,4025955.0,4103745.0,4181347.0,4258540.0,4335622.0,4412954.0,4490181.0,4567641.0,4645364.0,4722783.0,4800481.0,4877211.0,4953979.0,5030512.0,5108828.0,5185319.0,5262129.0,5338738.0,5416019.0,5493182.0,5570512.0
9,134,30,michael_schumacher,6,1,1,Finished,78433,155480,233243,309840,386743,463307,539830,616140,692652,769100,845595,921930,998292,1074583,1150696,1226740,1303109,1379289,1455508,1532047,1608344,1684683,1760733,1836706.0,1912017.0,1990628.0,2083787.0,2159121.0,2234511.0,2310126.0,2385638.0,2461102.0,2536664.0,2612601.0,2691319.0,2775430.0,2851791.0,2928037.0,3004190.0,3080530.0,3157239.0,3234354.0,3310555.0,3386258.0,3461905.0,3537460.0,3613087.0,3691162.0,3785042.0,3861276.0,3937337.0,4013116.0,4089028.0,4164637.0,4240510.0,4316454.0,4392303.0,4468225.0,4544320.0,4620236.0,4696151.0,4771762.0,4847318.0,4922927.0,4998537.0,5074226.0,5149822.0,5226396.0,5302290.0,5378262.0,5454050.0,5529837.0
1,134,8,raikkonen,1,2,1,Finished,78711,155854,233711,310531,387173,463793,540549,617000,693401,770017,846551,922971,999384,1075554,1151981,1227914,1304542,1380630,1456721,1532917,1609133,1685618,1761465,1837415.0,1913132.0,1989071.0,2068337.0,2163061.0,2239285.0,2315855.0,2392355.0,2468690.0,2545152.0,2621635.0,2698099.0,2774783.0,2851110.0,2927295.0,3003318.0,3079614.0,3156676.0,3233539.0,3309588.0,3385098.0,3460985.0,3536511.0,3611946.0,3687503.0,3766278.0,3860571.0,3936284.0,4011763.0,4087688.0,4163094.0,4238821.0,4314616.0,4390500.0,4466487.0,4542510.0,4618316.0,4694255.0,4770110.0,4845791.0,4921648.0,4997331.0,5073150.0,5148791.0,5227291.0,5303276.0,5379208.0,5454999.0,5530941.0
8,134,23,ralf_schumacher,3,5,1,Finished,79244,156620,234357,311623,388672,465629,542150,618633,695199,771673,848159,924817,1001331,1077688,1154085,1230347,1306578,1382905,1459037,1535441,1611930,1691430,1784455,1860039.0,1937057.0,2013424.0,2089153.0,2165124.0,2241259.0,2317552.0,2393812.0,2470159.0,2546462.0,2622901.0,2699293.0,2776482.0,2853013.0,2929349.0,3005694.0,3081749.0,3158548.0,3235751.0,3312431.0,3391873.0,3487721.0,3564225.0,3641053.0,3720987.0,3805733.0,3882762.0,3959548.0,4036524.0,4113669.0,4190482.0,4267152.0,4343786.0,4420277.0,4496908.0,4573617.0,4650466.0,4727254.0,4804114.0,4880478.0,4956720.0,5033138.0,5109632.0,5186380.0,5263790.0,5340527.0,5417918.0,5494754.0,5571609.0
4,134,14,coulthard,1,3,1,Finished,79623,157150,234806,312061,389209,466217,542965,619628,696158,772547,848903,925581,1002089,1078561,1154922,1231145,1307468,1383673,1459832,1536227,1612496,1688938,1764502,1840026.0,1915502.0,1990921.0,2067200.0,2145788.0,2241988.0,2318124.0,2394440.0,2470622.0,2547118.0,2623743.0,2700116.0,2777032.0,2854003.0,2930409.0,3006805.0,3083078.0,3159768.0,3236787.0,3313261.0,3389784.0,3465553.0,3541100.0,3616737.0,3692060.0,3767699.0,3843776.0,3919427.0,3994908.0,4070067.0,4148140.0,4241043.0,4316878.0,4392662.0,4468678.0,4547616.0,4630460.0,4705512.0,4780557.0,4856322.0,4931959.0,5007704.0,5084708.0,5162091.0,5240631.0,5320032.0,5398810.0,5478502.0,5561812.0
7,134,18,button,4,6,11,+1 Lap,80092,157672,235308,312792,389845,466879,543857,620632,697538,774066,850471,927185,1003722,1080469,1156814,1233393,1309907,1386138,1462435,1541475,1637492,1713449,1789659,1866537.0,1943765.0,2021053.0,2098592.0,2176348.0,2253435.0,2330449.0,2407533.0,2484334.0,2561144.0,2637837.0,2714704.0,2791644.0,2868777.0,2945582.0,3022118.0,3098916.0,3176082.0,3252607.0,3329326.0,3409056.0,3507280.0,3583670.0,3660364.0,3737031.0,3814068.0,3892205.0,3969873.0,4047387.0,4125275.0,4203231.0,4281467.0,4359876.0,4437953.0,4516562.0,4598361.0,4697500.0,4774113.0,4850432.0,4926649.0,5003039.0,5079719.0,5156259.0,5233906.0,5311042.0,5388082.0,5464586.0,5541991.0,
3,134,13,massa,15,14,26,Mechanical,80602,158357,236122,313771,391698,469158,549853,635680,713690,795176,880873,958272,1035889,1113443,1190862,1268232,1345516,1422613,1499880,1577362,1655072,1732342,1810041,1888537.0,1965776.0,2042816.0,2122814.0,2219540.0,2297290.0,2375154.0,2453424.0,2531861.0,2610066.0,2689101.0,2766579.0,2844382.0,2922088.0,2999791.0,3077656.0,3159252.0,3238638.0,3316942.0,3395385.0,3473386.0,3551134.0,3628163.0,3705497.0,3785775.0,,,,,,,,,,,,,,,,,,,,,,,,
5,134,15,trulli,4,13,5,Engine,81247,158944,236650,314551,392288,469720,547300,623679,700505,777282,854242,931317,1008487,1085638,1162570,1239307,1315843,1392425,1469036,1545336,1624635,1720295,1796731,1873363.0,1950216.0,2027185.0,2104045.0,2181155.0,2258238.0,2335191.0,2412103.0,2489095.0,2565795.0,2642640.0,2719290.0,2796115.0,2873042.0,2949854.0,3026584.0,3103281.0,3180566.0,3258314.0,3335417.0,3412436.0,3489634.0,3569666.0,3666390.0,3743017.0,3819511.0,,,,,,,,,,,,,,,,,,,,,,,
14,134,56,irvine,19,12,65,Rear wing,82763,161008,238639,316179,393725,471154,548619,625497,702879,780352,857362,934823,1012000,1089009,1165863,1242750,1319402,1396303,1473336,1549792,1629998,1726684,1804159,1881210.0,1958452.0,2035444.0,2112258.0,2189200.0,2266393.0,2343371.0,2420562.0,2497609.0,2574722.0,2651977.0,2729152.0,2806082.0,2883069.0,2960079.0,3036861.0,3113892.0,3191121.0,3268277.0,3348749.0,3444175.0,3521266.0,3597959.0,3674429.0,3751052.0,3828064.0,3905555.0,3982604.0,4059670.0,,,,,,,,,,,,,,,,,,,,
0,134,2,heidfeld,15,7,11,+1 Lap,83180,161594,239768,317701,395260,472946,550547,628051,705733,783222,860806,938297,1015721,1093263,1171550,1249349,1326612,1403657,1480710,1557791,1634880,1711727,1788825,1865989.0,1943289.0,2020418.0,2097794.0,2178591.0,2273779.0,2350850.0,2429570.0,2507232.0,2585255.0,2664065.0,2742399.0,2821189.0,2899695.0,2977523.0,3055154.0,3132734.0,3210951.0,3289089.0,3367308.0,3446132.0,3524252.0,3603199.0,3681383.0,3759688.0,3841191.0,3941120.0,4019347.0,4097523.0,4175987.0,4254410.0,4332273.0,4410441.0,4488472.0,4566657.0,4646772.0,4724979.0,4802937.0,4882080.0,4959749.0,5037473.0,5115378.0,5193374.0,5272075.0,5350337.0,5428841.0,5507436.0,5587050.0,
