,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,113,30,michael_schumacher,6,1,1,Finished,76507,155048,281237,400754,471372,541282,611154.0,681182.0,751167.0,820900.0,890493.0,959782.0,1028994.0,1098260.0,1168916.0,1252131.0,1329796.0,1402202.0,1472565.0,1542499.0,1612273.0,1681206.0,1753999.0,1858616.0,1928819.0,1999677.0,2070191.0,2140776.0,2211499.0,2282121.0,2352292.0,2422082.0,2491189.0,2562364.0,2631317.0,2699934.0,2768569.0,2837146.0,2906924.0,2977219.0,3045556.0,3115897.0,3213529.0,3283421.0,3353493.0,3425938.0,3495665.0,3565714.0,3635717.0,3706037.0,3776387.0,3847026.0,3917125.0,3987595.0,4057553.0,4127967.0,4197870.0,4268226.0,4338364.0,4408241.0,4477967.0,4548327.0,4618651.0,4688928.0,4759213.0,4829660.0,4900135.0,4971137.0,5044888.0
11,113,31,montoya,3,17,5,Engine,77889,155939,282044,400975,472825,543559,614040.0,684562.0,755245.0,825729.0,896238.0,966559.0,1036999.0,1107277.0,1179552.0,1259247.0,1333610.0,1405330.0,1476026.0,1548760.0,1643408.0,1713744.0,1784246.0,1854697.0,1925180.0,1995710.0,2066131.0,2136243.0,2206558.0,2277255.0,2347633.0,2444351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,113,8,raikkonen,1,2,1,Finished,78524,156886,283106,401485,473561,544726,615629.0,686522.0,757475.0,827973.0,898702.0,968993.0,1039567.0,1109793.0,1181893.0,1261762.0,1337135.0,1409367.0,1480532.0,1550987.0,1620823.0,1690621.0,1763250.0,1857623.0,1928223.0,1998743.0,2069309.0,2140087.0,2210744.0,2281419.0,2351797.0,2423681.0,2493886.0,2564181.0,2634282.0,2704297.0,2774287.0,2844238.0,2914049.0,2983751.0,3053487.0,3123546.0,3194243.0,3263907.0,3333330.0,3405155.0,3475315.0,3545440.0,3618282.0,3713473.0,3784644.0,3855618.0,3926299.0,3996830.0,4067236.0,4137352.0,4207412.0,4277906.0,4348098.0,4418153.0,4488210.0,4558441.0,4628442.0,4698713.0,4768847.0,4838499.0,4908814.0,4978350.0,5048250.0
8,113,22,barrichello,6,3,1,Finished,79262,160083,284573,402311,473854,545278,616175.0,686977.0,757947.0,828328.0,899090.0,969592.0,1039963.0,1110296.0,1184413.0,1265990.0,1342155.0,1413600.0,1483416.0,1552608.0,1623912.0,1730712.0,1801529.0,1872175.0,1942568.0,2013017.0,2083450.0,2153585.0,2223918.0,2294722.0,2365782.0,2437412.0,2508392.0,2580236.0,2650770.0,2720647.0,2790292.0,2859973.0,2929926.0,2999723.0,3069324.0,3139147.0,3208216.0,3277129.0,3346279.0,3416797.0,3486944.0,3556578.0,3625792.0,3697742.0,3794167.0,3864134.0,3933907.0,4003415.0,4072803.0,4142379.0,4211639.0,4281577.0,4351126.0,4420511.0,4489499.0,4559300.0,4629181.0,4699126.0,4769321.0,4839076.0,4909279.0,4979003.0,5048839.0
0,113,2,heidfeld,15,15,5,Engine,80413,161655,285353,403157,475024,546538,617586.0,688946.0,760447.0,831039.0,901775.0,972291.0,1045120.0,1141679.0,1222355.0,1303970.0,1379118.0,1451818.0,1523704.0,1595196.0,1666580.0,1738246.0,1809679.0,1883428.0,1956986.0,2030809.0,2103880.0,2176690.0,2249304.0,2322333.0,2395198.0,2467720.0,2541452.0,2615604.0,2687891.0,2760307.0,2832472.0,2904579.0,2978639.0,3076974.0,3155910.0,3232777.0,3309011.0,3384969.0,3466345.0,3545348.0,,,,,,,,,,,,,,,,,,,,,,,
13,113,42,pizzonia,19,9,11,+1 Lap,81553,164248,285964,403914,476277,547671,618712.0,689947.0,761347.0,832636.0,904378.0,975707.0,1046943.0,1122166.0,1232905.0,1316104.0,1393636.0,1469792.0,1542552.0,1615162.0,1686965.0,1758529.0,1830190.0,1902183.0,1973598.0,2045078.0,2116328.0,2188886.0,2260492.0,2331819.0,2403096.0,2474554.0,2546326.0,2618466.0,2690648.0,2763241.0,2835232.0,2908498.0,2980305.0,3051641.0,3123122.0,3195986.0,3268024.0,3340027.0,3412813.0,3484462.0,3558180.0,3656829.0,3729634.0,3801582.0,3873387.0,3944593.0,4015508.0,4086277.0,4156801.0,4228019.0,4299728.0,4371486.0,4443687.0,4514809.0,4585720.0,4656465.0,4727449.0,4798417.0,4871320.0,4944313.0,5014291.0,5084746.0,
4,113,15,trulli,4,8,11,+1 Lap,82122,165513,287187,404214,477097,548343,619665.0,690926.0,762321.0,833481.0,905050.0,976679.0,1047828.0,1120289.0,1195893.0,1286772.0,1368461.0,1466304.0,1539997.0,1612209.0,1684321.0,1755918.0,1828247.0,1900339.0,1971814.0,2043339.0,2115010.0,2186751.0,2258545.0,2330277.0,2402052.0,2473878.0,2545876.0,2618007.0,2690236.0,2762366.0,2834607.0,2909602.0,3004701.0,3077225.0,3149647.0,3221883.0,3293323.0,3364828.0,3437802.0,3510349.0,3582719.0,3655046.0,3727345.0,3798996.0,3870644.0,3941825.0,4012833.0,4083855.0,4154800.0,4226850.0,4299327.0,4371125.0,4443192.0,4514253.0,4585279.0,4655847.0,4726291.0,4796746.0,4867628.0,4938179.0,5008681.0,5079039.0,
6,113,18,button,16,4,1,Finished,82387,166530,288149,405212,477812,549191,620602.0,692232.0,763868.0,835299.0,906396.0,977783.0,1049089.0,1120921.0,1196398.0,1275832.0,1350663.0,1422447.0,1493317.0,1563707.0,1633644.0,1703472.0,1775945.0,1870002.0,1940589.0,2011055.0,2081751.0,2152317.0,2223248.0,2294192.0,2365151.0,2437028.0,2508047.0,2579847.0,2651930.0,2723234.0,2794081.0,2864648.0,2935437.0,3005934.0,3077445.0,3149674.0,3219700.0,3289573.0,3359610.0,3431764.0,3505125.0,3601488.0,3672176.0,3742609.0,3812897.0,3883329.0,3953949.0,4024889.0,4096081.0,4166764.0,4238036.0,4309449.0,4380203.0,4450578.0,4520967.0,4591521.0,4662394.0,4733151.0,4803665.0,4874338.0,4945160.0,5015883.0,5087131.0
9,113,23,ralf_schumacher,3,6,11,+1 Lap,82907,167648,289744,405906,478325,549681,620926.0,692702.0,764252.0,836106.0,907134.0,978438.0,1049755.0,1121424.0,1199889.0,1301829.0,1375266.0,1447390.0,1518938.0,1590102.0,1661263.0,1732545.0,1803851.0,1875056.0,1946115.0,2017203.0,2088298.0,2159307.0,2230365.0,2301176.0,2371663.0,2442281.0,2512815.0,2585723.0,2657189.0,2728386.0,2799271.0,2869781.0,2940206.0,3010452.0,3080700.0,3151049.0,3224691.0,3319328.0,3390451.0,3462962.0,3537589.0,3610063.0,3682392.0,3754245.0,3825777.0,3897567.0,3968800.0,4040225.0,4111519.0,4182828.0,4260729.0,4333254.0,4405067.0,4476791.0,4550252.0,4621855.0,4693533.0,4764997.0,4836135.0,4907152.0,4981002.0,5052754.0,
7,113,21,fisichella,17,14,69,Fuel system,83192,169260,290308,406425,478812,550658,622042.0,693797.0,765536.0,837120.0,908896.0,980674.0,1052072.0,1123322.0,1201483.0,1308168.0,1381713.0,1454434.0,1527206.0,1599786.0,1673044.0,1745697.0,1817983.0,1890504.0,1962981.0,2035483.0,2107904.0,2180262.0,2252677.0,2325165.0,2399225.0,2471783.0,2544262.0,2616366.0,2688579.0,2761046.0,2833517.0,2905635.0,2978443.0,3050157.0,3122136.0,3195309.0,3267869.0,3341798.0,3418437.0,3516002.0,3588745.0,3661287.0,3733624.0,3806003.0,3878306.0,3950331.0,4021948.0,4093637.0,4165217.0,4237025.0,4309096.0,4381881.0,4453360.0,4524379.0,,,,,,,,,
