,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,253843.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,254773.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,3,3,3,3
2,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255133.0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
4,256658.0,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,7,7,7,7,0
5,257437.0,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,9,8,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0
6,258656.0,7,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
7,259676.0,8,7,7,7,7,7,7,7,7,7,7,7,7,7,10,11,10,8,8,8,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,0
8,261362.0,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,10,9,9,8,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,0
9,262281.0,10,9,9,9,9,9,9,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0
10,263319.0,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,11,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0
11,264831.0,12,12,11,11,11,11,11,9,9,9,9,9,9,9,8,8,7,7,7,6,6,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
12,265286.0,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,264813.0,14,11,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
14,266282.0,15,14,13,13,13,13,13,13,11,11,11,11,11,11,11,10,9,9,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,0,0
15,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,587615.0,17,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
