,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
13,123.0,31.0,montoya,20.0,9.0,Hydraulics,100489.0,194319.0,288204.0,382382.0,477161.0,571751.0,666136.0,760513.0,923691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,123.0,22.0,barrichello,1.0,1.0,Finished,101851.0,197784.0,292605.0,386827.0,481098.0,575295.0,669783.0,763839.0,858828.0,955566.0,1051716.0,1150150.0,1265988.0,1360467.0,1455497.0,1549705.0,1643702.0,1737405.0,1831691.0,1926048.0,2020278.0,2114253.0,2208105.0,2301819.0,2395702.0,2494682.0,2610248.0,2704892.0,2799217.0,2893796.0,2988446.0,3082787.0,3176998.0,3271150.0,3365757.0,3460727.0,3555998.0,3650769.0,3745786.0,3844850.0,3961474.0,4056808.0,4152668.0,4248455.0,4344662.0,4439879.0,4534809.0,4630045.0,4725173.0,4821003.0,4916617.0,5012700.0,5111743.0
2,123.0,4.0,alonso,18.0,5.0,Engine,102011.0,198320.0,293601.0,388578.0,483203.0,577630.0,671894.0,766149.0,860576.0,956284.0,1052221.0,1150825.0,1266311.0,1361126.0,1456309.0,1551312.0,1646077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,123.0,43.0,matta,7.0,1.0,Finished,102555.0,199280.0,295727.0,392361.0,488985.0,585408.0,681692.0,777877.0,873872.0,974406.0,1090514.0,1187081.0,1282825.0,1379915.0,1475526.0,1570718.0,1666242.0,1761879.0,1857433.0,1952972.0,2048481.0,2144005.0,2239580.0,2338573.0,2454462.0,2549851.0,2645554.0,2741089.0,2837110.0,2932982.0,3029086.0,3125059.0,3221352.0,3317036.0,3412518.0,3508389.0,3603950.0,3703173.0,3820407.0,3916435.0,4013841.0,4111067.0,4207644.0,4303815.0,4399803.0,4496051.0,4592576.0,4688789.0,4784774.0,4880485.0,4976028.0,5071898.0,5168537.0
5,123.0,14.0,coulthard,3.0,1.0,Finished,102764.0,199678.0,297238.0,393477.0,490186.0,586771.0,682962.0,778981.0,874970.0,971707.0,1067281.0,1165645.0,1280703.0,1374119.0,1468289.0,1562585.0,1657172.0,1752278.0,1847256.0,1942249.0,2036981.0,2131555.0,2226270.0,2321118.0,2415923.0,2514119.0,2628596.0,2723600.0,2819553.0,2915071.0,3010568.0,3106103.0,3200829.0,3295148.0,3389480.0,3483922.0,3578229.0,3672615.0,3766915.0,3861013.0,3958884.0,4073377.0,4169207.0,4264719.0,4360445.0,4456173.0,4551575.0,4646979.0,4742623.0,4838347.0,4933348.0,5028364.0,5123357.0
3,123.0,8.0,raikkonen,2.0,1.0,Finished,103921.0,200353.0,296542.0,392571.0,489265.0,585787.0,682016.0,778365.0,874437.0,971220.0,1066357.0,1160845.0,1259328.0,1376589.0,1471469.0,1566320.0,1661949.0,1757512.0,1854221.0,1949908.0,2045814.0,2141594.0,2236974.0,2332361.0,2428042.0,2523260.0,2618689.0,2714096.0,2809412.0,2904405.0,2999253.0,3094066.0,3192948.0,3309446.0,3404789.0,3500074.0,3595542.0,3691103.0,3786386.0,3881945.0,3977626.0,4073215.0,4168984.0,4264447.0,4360077.0,4455676.0,4551104.0,4646415.0,4741876.0,4837447.0,4932614.0,5027702.0,5122828.0
15,123.0,44.0,panis,10.0,1.0,Finished,104295.0,201477.0,298368.0,394814.0,491422.0,588090.0,684250.0,780486.0,877566.0,973673.0,1073843.0,1188925.0,1285329.0,1380982.0,1476697.0,1572527.0,1669379.0,1765549.0,1861468.0,1957747.0,2053901.0,2149905.0,2245777.0,2341440.0,2441016.0,2557042.0,2652436.0,2748658.0,2845145.0,2941814.0,3039206.0,3135159.0,3231531.0,3327483.0,3424425.0,3520595.0,3616620.0,3712541.0,3812531.0,3927538.0,4023270.0,4119301.0,4216607.0,4312387.0,4408373.0,4504214.0,4600199.0,4695935.0,4791863.0,4887412.0,4983049.0,5078564.0,5173587.0
8,123.0,18.0,button,4.0,1.0,Finished,105203.0,202633.0,299227.0,395840.0,492126.0,588985.0,685172.0,781424.0,878071.0,975012.0,1071142.0,1166060.0,1260709.0,1355314.0,1450698.0,1549460.0,1668335.0,1764133.0,1860277.0,1956757.0,2052973.0,2148863.0,2244492.0,2340389.0,2435774.0,2531104.0,2626404.0,2722715.0,2818041.0,2913490.0,3008714.0,3103742.0,3202998.0,3323827.0,3419332.0,3515492.0,3611642.0,3708859.0,3804979.0,3900839.0,3996575.0,4092401.0,4188489.0,4284048.0,4379693.0,4475147.0,4570834.0,4666513.0,4762200.0,4857700.0,4952991.0,5048567.0,5144849.0
7,123.0,17.0,webber,11.0,1.0,Finished,105360.0,203073.0,299909.0,396682.0,494171.0,593327.0,689902.0,785646.0,881202.0,981229.0,1096247.0,1191194.0,1286626.0,1382304.0,1478059.0,1573632.0,1670142.0,1766422.0,1862466.0,1958605.0,2054867.0,2154349.0,2269820.0,2364455.0,2459901.0,2556402.0,2651861.0,2747411.0,2842828.0,2938270.0,3033620.0,3129611.0,3226694.0,3324101.0,3424094.0,3542455.0,3640111.0,3736662.0,3833194.0,3932000.0,4029329.0,4126062.0,4222935.0,4319147.0,4415625.0,4511854.0,4607821.0,4703640.0,4799764.0,4895755.0,4991853.0,5087270.0,5182748.0
18,123.0,51.0,wilson,13.0,11.0,+1 Lap,105742.0,204120.0,301738.0,399633.0,497646.0,594689.0,691235.0,787389.0,887333.0,1004421.0,1099435.0,1195386.0,1291269.0,1387765.0,1483783.0,1580774.0,1677068.0,1773337.0,1869526.0,1965369.0,2065507.0,2182448.0,2278118.0,2374397.0,2470886.0,2567220.0,2663622.0,2759943.0,2856339.0,2952512.0,3048558.0,3144638.0,3240786.0,3340359.0,3459412.0,3556811.0,3654419.0,3752795.0,3850555.0,3948664.0,4047106.0,4145601.0,4244337.0,4342904.0,4442430.0,4541437.0,4639931.0,4740459.0,4843053.0,4942824.0,5041887.0,5142985.0,
4,123.0,11.0,sato,6.0,1.0,Finished,106330.0,203859.0,300520.0,397230.0,494091.0,590381.0,686619.0,782554.0,878831.0,975600.0,1072070.0,1167882.0,1263954.0,1359612.0,1459017.0,1577480.0,1673247.0,1769042.0,1865140.0,1961255.0,2057592.0,2153869.0,2249756.0,2345659.0,2441360.0,2536951.0,2632345.0,2727635.0,2823870.0,2919664.0,3015525.0,3115463.0,3236296.0,3332891.0,3429581.0,3526520.0,3623112.0,3719768.0,3816293.0,3912890.0,4009650.0,4105714.0,4201891.0,4298117.0,4394395.0,4490433.0,4586178.0,4682172.0,4778236.0,4874148.0,4970290.0,5066604.0,5163435.0
