,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,raikkonen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,2,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,panis,2,2,3,3,4,15,15,15,15,15,16,15,15,15,15,15,18,18,17,15,15,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ralf_schumacher,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,12,9,8,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,michael_schumacher,4,4,4,4,3,3,6,6,6,6,6,6,6,6,5,5,3,2,1,5,11,8,7,6,6,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,barrichello,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,coulthard,6,5,5,5,6,4,3,3,3,3,3,3,3,3,4,4,10,10,9,9,5,1,5,7,8,10,10,11,12,12,13,14,14,14,15,15,15,15,15,15,15,14,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,montoya,7,7,8,7,7,5,4,4,4,4,4,4,4,4,2,2,11,11,10,10,6,7,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,0
7,alonso,8,8,6,6,5,6,5,5,5,5,5,5,5,5,3,3,2,6,8,7,4,5,6,5,5,6,5,5,5,5,5,5,5,5,6,8,8,8,8,8,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,trulli,9,9,7,8,8,7,7,7,7,7,7,7,7,7,6,6,4,3,2,8,7,10,9,9,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
9,matta,10,10,9,9,9,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,12,13,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,0,0
10,button,11,11,10,10,10,9,10,10,10,10,10,10,10,10,9,9,6,5,4,2,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,heidfeld,12,12,11,11,11,10,8,8,8,8,8,8,8,8,7,7,13,13,12,12,12,9,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
12,frentzen,13,13,12,12,12,13,12,12,12,12,12,12,12,12,12,11,8,9,13,13,10,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,webber,14,14,13,13,13,11,9,9,9,9,9,9,9,9,8,8,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,wilson,15,15,14,14,14,12,11,11,11,11,11,11,11,11,11,10,7,7,6,3,8,6,3,3,4,5,6,6,6,7,7,9,10,10,10,10,11,12,12,11,11,10,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0
15,villeneuve,16,16,15,15,15,16,16,16,17,16,15,16,16,16,16,16,15,15,15,17,17,15,15,15,15,15,15,14,13,13,12,12,12,12,12,12,12,11,11,10,10,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
16,fisichella,17,17,16,16,16,14,13,13,13,13,13,13,13,13,13,13,12,12,11,11,13,11,10,10,10,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,0
17,kiesa,18,18,17,17,17,17,17,17,16,17,18,18,18,18,18,18,17,17,16,18,18,16,16,16,16,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,12,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,0,0,0,0
18,verstappen,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,18,16,16,14,14,14,14,14,14,13,14,14,14,13,13,13,13,13,13,13,13,13,12,11,14,14,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,0,0,0,0
