,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
5,103,15,trulli,4,9,1,Finished,148799,356836,550440,733177,840016,946619,1053144,1159378,1265276,1380768,1503853,1613991.0,1723525.0,1832793.0,1942533.0,2052208.0,2161992.0,2272243.0,2382324.0,2507525.0,2619712.0,2742384.0,2871726.0,2981945.0,3092760.0,3203449.0,3314382.0,3424691.0,3536072.0,3654770.0,3782960.0,3957427.0,4140804.0,4326099.0,4439455.0,4549835.0,4660226.0,4769715.0,4885208.0,5057257.0,5244808.0,5357294.0,5467941.0,5577389.0
1,103,4,alonso,4,16,5,Engine,149637,357845,550994,733803,840446,947103,1053835,1160344,1266214,1372186,1478160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,103,14,coulthard,1,7,1,Finished,151110,359657,552443,735152,842926,950530,1057663,1164544,1271285,1378090,1484669,1682208.0,1809991.0,1918790.0,2026525.0,2134645.0,2243201.0,2351398.0,2460680.0,2568729.0,2675963.0,2783646.0,2890921.0,2997953.0,3105040.0,3212642.0,3319564.0,3426545.0,3544214.0,3694502.0,3808682.0,3958366.0,4141719.0,4326456.0,4437260.0,4545144.0,4653514.0,4761507.0,4927006.0,5064525.0,5245112.0,5355795.0,5464682.0,5573244.0
9,103,30,michael_schumacher,6,2,1,Finished,152092,360291,553328,735989,846919,954337,1061586,1168471,1275165,1382019,1488856,1599455.0,1709110.0,1817380.0,1924746.0,2040237.0,2163590.0,2271847.0,2378591.0,2485353.0,2591941.0,2699066.0,2806353.0,2913345.0,3020502.0,3126736.0,3232464.0,3337967.0,3443623.0,3558486.0,3757528.0,3947221.0,4131269.0,4319766.0,4426284.0,4532470.0,4638584.0,4744638.0,4850605.0,5047202.0,5238684.0,5345365.0,5451768.0,5558406.0
2,103,8,raikkonen,1,1,1,Finished,153399,361933,554311,736202,843184,948831,1054992,1161309,1267349,1373376,1479603,1587187.0,1704158.0,1827575.0,1934710.0,2042459.0,2150647.0,2258271.0,2365609.0,2472190.0,2578905.0,2685963.0,2794413.0,2900832.0,3007311.0,3113513.0,3219821.0,3325781.0,3441257.0,3563877.0,3756855.0,3946584.0,4130417.0,4318929.0,4424913.0,4530851.0,4637079.0,4743494.0,4849516.0,5045676.0,5237912.0,5343020.0,5448371.0,5555274.0
10,103,31,montoya,3,12,27,Tyre,153769,362519,555866,737266,846597,953173,1060101,1167265,1274062,1380618,1487526,1597752.0,1707554.0,1815826.0,1933158.0,2057641.0,2165744.0,2274008.0,2383280.0,2496272.0,2604006.0,2711609.0,2818798.0,2926119.0,3033567.0,3140980.0,3248064.0,3355763.0,3472274.0,3597133.0,3759103.0,3949050.0,4133751.0,4320379.0,4427525.0,4534072.0,4748595.0,,,,,,,
7,103,21,fisichella,15,5,1,Finished,154477,363337,557203,739029,848970,956974,1064151,1171113,1277954,1385388,1492146,1602087.0,1711617.0,1829582.0,1955222.0,2063489.0,2171643.0,2281131.0,2391859.0,2500729.0,2608937.0,2718062.0,2827459.0,2935963.0,3044277.0,3162255.0,3292922.0,3402184.0,3511392.0,3623099.0,3763187.0,3952472.0,4136607.0,4323537.0,4435679.0,4544038.0,4652262.0,4760286.0,4869093.0,5054014.0,5243550.0,5353348.0,5461257.0,5569378.0
13,103,42,pizzonia,3,13,6,Gearbox,155075,367797,557691,740238,849656,957836,1065513,1173536,1281180,1388559,1495989,1606738.0,1716149.0,1824626.0,1931988.0,2039243.0,2156123.0,2280053.0,2387149.0,2495447.0,2602971.0,2710061.0,2817670.0,2925388.0,3032527.0,3139267.0,3246687.0,3354897.0,3461935.0,3578128.0,3758523.0,,,,,,,,,,,,,
11,103,32,klien,19,6,1,Finished,156105,367887,558520,740851,850072,958452,1066290,1174182,1291157,1412979,1520488,1630501.0,1740166.0,1849664.0,1959003.0,2068353.0,2177866.0,2287206.0,2396428.0,2514245.0,2636307.0,2744647.0,2852894.0,2961367.0,3070348.0,3179124.0,3287966.0,3396818.0,3514825.0,3642060.0,3766884.0,3954437.0,4138566.0,4324310.0,4436113.0,4544500.0,4652797.0,4760963.0,4870859.0,5055153.0,5243808.0,5353690.0,5461762.0,5569888.0
12,103,41,zonta,7,10,5,Engine,157479,368637,559435,742409,853594,963106,1072255,1181303,1290485,1399737,1508753,1619675.0,1729373.0,1837969.0,1946340.0,2063862.0,2187270.0,2295330.0,2404379.0,2513020.0,2621547.0,2730538.0,2838990.0,2947515.0,3055329.0,3162905.0,3270912.0,3378594.0,3486688.0,3605729.0,3761531.0,3950485.0,4135079.0,4321600.0,4430661.0,4538784.0,4647315.0,4755432.0,4863652.0,5052146.0,5241317.0,,,
6,103,18,button,16,14,4,Collision,162750,369537,560374,742627,851757,960148,1068682,1177227,1285433,1393602,1501654,1611829.0,1720840.0,1830178.0,1938461.0,2047012.0,2155048.0,2262912.0,2370389.0,2478441.0,2594954.0,2718247.0,2825687.0,2932998.0,3040189.0,3147340.0,3254851.0,3362218.0,3469654.0,,,,,,,,,,,,,,,
3,103,13,massa,15,4,1,Finished,163757,375619,595136,746012,857772,966232,1074314,1182836,1291256,1400426,1509302,1620456.0,1730815.0,1839671.0,1948139.0,2056874.0,2165037.0,2273095.0,2392253.0,2515813.0,2623921.0,2732690.0,2840788.0,2949063.0,3057043.0,3164680.0,3272817.0,3380552.0,3488176.0,3608403.0,3762319.0,3951436.0,4135932.0,4322283.0,4433925.0,4541569.0,4649990.0,4757705.0,4866464.0,5053028.0,5241909.0,5351478.0,5459197.0,5567778.0
15,103,47,baumgartner,18,15,4,Collision,168708,370983,561089,744361,858227,971464,1086359,1198546,1309902,1421454,1533135,1648681.0,1762050.0,1874190.0,1985694.0,2107018.0,2236185.0,2348085.0,2461425.0,2573082.0,2684718.0,2797512.0,2909311.0,3021154.0,3132185.0,3244042.0,3357996.0,3469082.0,,,,,,,,,,,,,,,,
8,103,22,barrichello,6,3,1,Finished,180696,377508,646224,757912,866351,975078,1085618,1194623,1302727,1410763,1518407,1629682.0,1739175.0,1848832.0,1958033.0,2067154.0,2175503.0,2284222.0,2393290.0,2501223.0,2609238.0,2715950.0,2832066.0,2959729.0,3068492.0,3176633.0,3285177.0,3393232.0,3501211.0,3611162.0,3759959.0,3950006.0,4134500.0,4321060.0,4429193.0,4535928.0,4642474.0,4748715.0,4854828.0,5051290.0,5240753.0,5348111.0,5453777.0,5559645.0
0,103,2,heidfeld,17,11,14,+4 Laps,181346,373339,562802,745485,859475,972220,1084066,1196673,1308679,1420243,1531739,1655799.0,1769818.0,1882968.0,1995572.0,2117502.0,2249806.0,2373265.0,2499967.0,2612968.0,2724621.0,2836707.0,2949895.0,3061858.0,3173261.0,3287452.0,3400934.0,3513358.0,3637899.0,3779846.0,3955731.0,4139552.0,4330091.0,4454735.0,4584978.0,5048866.0,5240052.0,5354447.0,5468778.0,5579249.0,,,,
