,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,96.0,30.0,michael_schumacher,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378.0,2883.0,4424.0,2636.0,2992.0,3508.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,96.0,8.0,raikkonen,18.0,5.0,Engine,2405.0,3963.0,6363.0,8959.0,11512.0,14105.0,17083.0,17265.0,2371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,96.0,4.0,alonso,5.0,1.0,Finished,3252.0,4736.0,6705.0,9370.0,12051.0,14666.0,17456.0,17722.0,0.0,2075.0,25473.0,26796.0,29937.0,36861.0,36662.0,36490.0,38418.0,40378.0,42154.0,44204.0,46569.0,48463.0,50881.0,51982.0,51485.0,50859.0,51733.0,49636.0,28806.0,31546.0,49889.0,48367.0,48757.0,50384.0,51489.0,52816.0,53902.0,54432.0,55759.0,56096.0,57584.0,62083.0,79804.0,78613.0,57432.0,58700.0,60297.0,59867.0,58981.0,58972.0,58743.0,60750.0,61089.0,61528.0,62140.0,63466.0,65371.0,67039.0,67977.0,60987.0
3,96.0,11.0,sato,16.0,5.0,Engine,4323.0,5852.0,7882.0,10066.0,12654.0,15245.0,18082.0,18245.0,660.0,0.0,0.0,185.0,18662.0,18579.0,16270.0,14149.0,14334.0,15313.0,15889.0,16405.0,16430.0,16876.0,16966.0,17006.0,15697.0,16640.0,37305.0,33949.0,12723.0,12481.0,13154.0,12839.0,13447.0,13724.0,15084.0,16389.0,17967.0,18080.0,18863.0,17789.0,18083.0,17896.0,17923.0,19086.0,16740.0,31979.0,59199.0,,,,,,,,,,,,,
4,96.0,22.0,barrichello,2.0,1.0,Finished,5184.0,7306.0,9060.0,11289.0,13504.0,15962.0,18816.0,18865.0,1394.0,1153.0,2145.0,0.0,0.0,0.0,0.0,21816.0,22828.0,23886.0,25886.0,26952.0,27678.0,28893.0,29678.0,30099.0,29172.0,27948.0,28180.0,25856.0,5906.0,6425.0,7345.0,6472.0,8108.0,9065.0,10837.0,10654.0,10236.0,13091.0,37407.0,37129.0,37935.0,38567.0,39221.0,37356.0,16374.0,19997.0,20148.0,19868.0,19038.0,18370.0,18249.0,19324.0,19440.0,19302.0,19068.0,20179.0,21799.0,22988.0,23872.0,17989.0
5,96.0,18.0,button,3.0,1.0,Finished,5689.0,8038.0,10341.0,12162.0,14311.0,16664.0,19471.0,19514.0,2069.0,1860.0,5608.0,25094.0,25306.0,25981.0,24536.0,24532.0,26984.0,29518.0,30600.0,31597.0,32286.0,32597.0,32868.0,32678.0,33907.0,52863.0,52930.0,51354.0,31179.0,31778.0,32171.0,31076.0,31339.0,31798.0,32872.0,34430.0,35578.0,36110.0,38499.0,38463.0,39565.0,40031.0,40490.0,38516.0,20959.0,39209.0,36447.0,34017.0,32116.0,31098.0,30888.0,30015.0,28526.0,28223.0,27820.0,27565.0,27321.0,27147.0,27496.0,22533.0
6,96.0,15.0,trulli,4.0,1.0,Finished,5969.0,9097.0,11241.0,13054.0,15213.0,17368.0,20227.0,20169.0,5057.0,25006.0,28582.0,29641.0,32628.0,35640.0,35110.0,34878.0,36573.0,38408.0,40533.0,42051.0,43860.0,46203.0,47567.0,48264.0,47327.0,46298.0,46590.0,47154.0,45773.0,45592.0,45808.0,44783.0,45771.0,46817.0,47849.0,48383.0,49266.0,49680.0,51664.0,51666.0,52859.0,53266.0,53433.0,54439.0,52390.0,52913.0,52445.0,51679.0,50486.0,50299.0,50475.0,50408.0,50429.0,50458.0,51264.0,52861.0,54241.0,56155.0,57944.0,53673.0
7,96.0,44.0,panis,11.0,11.0,+1 Lap,6569.0,9770.0,12814.0,16273.0,19695.0,23230.0,26743.0,27810.0,11349.0,16151.0,39197.0,39112.0,42271.0,45201.0,45452.0,45970.0,48090.0,50521.0,54337.0,57320.0,59845.0,63359.0,70628.0,93998.0,96245.0,97683.0,101172.0,103996.0,87503.0,90862.0,96448.0,98082.0,102300.0,105245.0,109777.0,112979.0,116656.0,119503.0,123231.0,124682.0,126902.0,132611.0,155455.0,155699.0,136340.0,139636.0,141839.0,142266.0,142269.0,144894.0,146271.0,147787.0,148985.0,150992.0,152373.0,155600.0,159940.0,164372.0,168620.0,
8,96.0,14.0,coulthard,17.0,5.0,Engine,7141.0,10729.0,14590.0,18760.0,22473.0,26292.0,30066.0,31161.0,15244.0,16409.0,19150.0,19328.0,22191.0,24427.0,24024.0,24064.0,26523.0,29383.0,33119.0,39400.0,61986.0,65324.0,69284.0,72038.0,73248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,96.0,32.0,klien,12.0,11.0,+1 Lap,8000.0,12281.0,16336.0,20727.0,25051.0,29270.0,33440.0,35111.0,18905.0,20644.0,23993.0,24777.0,28647.0,31350.0,31481.0,34547.0,59207.0,61938.0,65608.0,69489.0,74109.0,79972.0,84754.0,88822.0,91602.0,95184.0,99011.0,102462.0,86801.0,90062.0,94356.0,95615.0,98675.0,102483.0,105777.0,111157.0,137251.0,140190.0,143373.0,146690.0,151112.0,155283.0,158941.0,160292.0,141637.0,144772.0,147733.0,148380.0,149323.0,150435.0,153893.0,156373.0,157849.0,159886.0,161734.0,163938.0,168199.0,171372.0,175973.0,
10,96.0,2.0,heidfeld,10.0,11.0,+1 Lap,10198.0,14254.0,17582.0,21422.0,26060.0,30271.0,34517.0,36167.0,20186.0,21762.0,25277.0,26478.0,29535.0,35053.0,56117.0,56411.0,60319.0,63119.0,66318.0,70307.0,74887.0,78937.0,81525.0,83603.0,84408.0,85119.0,86974.0,86174.0,67174.0,71041.0,95559.0,96500.0,99332.0,103237.0,106675.0,110520.0,113116.0,115593.0,118634.0,119724.0,122284.0,124507.0,126625.0,126405.0,106349.0,108459.0,110815.0,134664.0,133478.0,132765.0,132391.0,133126.0,133429.0,133579.0,133746.0,135311.0,137007.0,138878.0,142063.0,
11,96.0,45.0,pantano,13.0,12.0,+2 Laps,10657.0,15105.0,18719.0,22405.0,26714.0,30975.0,35158.0,36841.0,20853.0,22755.0,26621.0,30435.0,54335.0,57034.0,57515.0,58435.0,61753.0,65198.0,68173.0,71160.0,75392.0,80428.0,85312.0,89274.0,94325.0,115937.0,117842.0,118630.0,100663.0,103225.0,107095.0,108771.0,111674.0,114774.0,118291.0,121593.0,124304.0,127126.0,132660.0,134036.0,137088.0,140070.0,145402.0,177439.0,157883.0,163926.0,166249.0,169503.0,180096.0,180561.0,185839.0,189026.0,193204.0,197802.0,202934.0,210076.0,213741.0,221735.0,,
