,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,99,4,alonso,4,2,1,Finished,77715,154095,230439,306585,382662,458716,534669,610855,687216,763870,840190,916155,992545,1069785,1164139,1240886.0,1317206.0,1393555.0,1470078.0,1546672.0,1623350.0,1700503.0,1777530.0,1854555.0,1931498.0,2008388.0,2085290.0,2162038.0,2238599.0,2315484.0,2392348.0,2470004.0,2562295.0,2637846.0,2713422.0,2789523.0,2865862.0,2942353.0,3018949.0,3095354.0,3171574.0,3247908.0,3324376.0,3400930.0,3477269.0,3554576.0,3650730.0,3727564.0,3803840.0,3880327.0,3956779.0,4033847.0,4110761.0,4187692.0,4264695.0,4341849.0,4418972.0,4496007.0,4573349.0,4650817.0,4728374.0,4805584.0,4882900.0,4960224.0,5037741.0,5115231.0,5192792.0,5270029.0,5347415.0,5426462.0
11,99,30,michael_schumacher,6,1,1,Finished,78569,155313,231622,308000,384169,460230,536180,611941,688170,764549,841816,936088,1012982,1090105,1167013,1243987.0,1320970.0,1397535.0,1473963.0,1550197.0,1626576.0,1702999.0,1779665.0,1856081.0,1932482.0,2009402.0,2086010.0,2162762.0,2240041.0,2332487.0,2407966.0,2483343.0,2559221.0,2635469.0,2711227.0,2786908.0,2862793.0,2939309.0,3014702.0,3090360.0,3166371.0,3242909.0,3335549.0,3411524.0,3487664.0,3563320.0,3639208.0,3715312.0,3791113.0,3867095.0,3942679.0,4018319.0,4094294.0,4170074.0,4245770.0,4321522.0,4397182.0,4473796.0,4566037.0,4642548.0,4719194.0,4796117.0,4873541.0,4950618.0,5027515.0,5104432.0,5181936.0,5259334.0,5337255.0,5418133.0
6,99,15,trulli,4,4,1,Finished,79658,156488,233199,309648,386454,463210,540094,616782,693363,769944,846679,923198,1000900,1095084,1171332,1247760.0,1325267.0,1402597.0,1479562.0,1556339.0,1632960.0,1709645.0,1786315.0,1863239.0,1940876.0,2018054.0,2094579.0,2172387.0,2249630.0,2326725.0,2404562.0,2498677.0,2575161.0,2651786.0,2729587.0,2808203.0,2885521.0,2962488.0,3039548.0,3116380.0,3193181.0,3270189.0,3346902.0,3423762.0,3500416.0,3576899.0,3653731.0,3730320.0,3807627.0,3901884.0,3978803.0,4056100.0,4133717.0,4210946.0,4288246.0,4365828.0,4443187.0,4520586.0,4598157.0,4675704.0,4752960.0,4830111.0,4907313.0,4984794.0,5062061.0,5139471.0,5216921.0,5294329.0,5371724.0,5450215.0
8,99,18,button,16,5,1,Finished,80340,157311,234294,311194,388066,464946,541671,618490,695206,771848,848236,924543,1001264,1078354,1172759,1249172.0,1326688.0,1403970.0,1481093.0,1558224.0,1635053.0,1711816.0,1788549.0,1865358.0,1942351.0,2019663.0,2096306.0,2173530.0,2251234.0,2328814.0,2422556.0,2499267.0,2576206.0,2653939.0,2731412.0,2809026.0,2886545.0,2963769.0,3040947.0,3117847.0,3194824.0,3271908.0,3349061.0,3425940.0,3502379.0,3578715.0,3655219.0,3731896.0,3808228.0,3884199.0,3960392.0,4037344.0,4134618.0,4211968.0,4289374.0,4367081.0,4444777.0,4521842.0,4599198.0,4676935.0,4754477.0,4831834.0,4909232.0,4986242.0,5063554.0,5140736.0,5218173.0,5295557.0,5372935.0,5450617.0
5,99,14,coulthard,1,6,1,Finished,81059,158117,235214,312372,389236,466105,542870,619854,696666,773373,849676,926879,1020902,1097960,1175873,1253114.0,1330469.0,1408475.0,1486045.0,1563150.0,1640152.0,1717140.0,1793677.0,1870463.0,1946932.0,2023783.0,2100410.0,2177219.0,2254564.0,2350228.0,2427113.0,2503973.0,2581225.0,2658698.0,2735750.0,2813887.0,2891378.0,2968911.0,3046005.0,3122938.0,3199759.0,3276681.0,3353585.0,3430376.0,3507029.0,3583410.0,3660432.0,3738191.0,3833115.0,3909722.0,3986371.0,4063204.0,4140310.0,4218535.0,4296045.0,4373601.0,4450589.0,4527988.0,4606035.0,4683422.0,4760447.0,4837328.0,4914202.0,4991129.0,5067825.0,5144495.0,5221459.0,5298575.0,5376288.0,5453653.0
12,99,31,montoya,3,8,1,Finished,81401,159034,236536,313546,391067,468394,545832,622767,699607,776259,852732,930143,1007644,1101453,1177697,1254485.0,1331920.0,1418909.0,1496593.0,1574914.0,1654013.0,1731390.0,1808393.0,1886603.0,1963594.0,2040643.0,2117431.0,2194150.0,2270929.0,2347759.0,2425820.0,2520439.0,2596628.0,2673084.0,2749554.0,2826015.0,2902575.0,2979081.0,3056516.0,3133360.0,3209946.0,3287007.0,3364363.0,3441448.0,3518448.0,3595131.0,3671510.0,3747650.0,3824508.0,3902102.0,3996793.0,4073777.0,4150295.0,4226766.0,4303561.0,4380482.0,4457435.0,4534021.0,4610855.0,4687926.0,4765438.0,4842017.0,4918695.0,4995605.0,5072146.0,5149274.0,5226666.0,5304297.0,5382723.0,5461552.0
2,99,8,raikkonen,1,7,1,Finished,81815,159547,237418,314524,391593,468760,546251,623642,700637,777453,854965,949852,1028408,1106797,1184748,1262397.0,1340281.0,1418271.0,1495812.0,1574082.0,1651393.0,1728278.0,1804535.0,1880772.0,1956974.0,2033030.0,2109227.0,2186387.0,2280712.0,2356503.0,2432554.0,2509003.0,2586024.0,2662823.0,2739864.0,2816956.0,2895000.0,2971773.0,3048293.0,3124948.0,3201535.0,3278167.0,3354760.0,3431451.0,3508122.0,3584613.0,3662004.0,3756822.0,3834139.0,3911353.0,3988292.0,4065216.0,4142685.0,4220383.0,4297568.0,4375285.0,4452433.0,4529383.0,4606936.0,4684599.0,4761596.0,4838581.0,4915353.0,4992184.0,5068839.0,5145563.0,5222577.0,5299420.0,5376666.0,5454363.0
3,99,11,sato,16,20,5,Engine,82577,160225,238299,316633,394243,471487,548877,626478,703775,781187,858511,935434,1012356,1089165,1167033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,99,22,barrichello,6,3,1,Finished,83043,160994,238800,315543,392567,469687,546930,624219,701475,778361,854882,931456,1027604,1104273,1181140,1257664.0,1334555.0,1411601.0,1489067.0,1565976.0,1642583.0,1719038.0,1795507.0,1872087.0,1948243.0,2024778.0,2101709.0,2178257.0,2254833.0,2331413.0,2407838.0,2501770.0,2578786.0,2656024.0,2733371.0,2811035.0,2888171.0,2965118.0,3042061.0,3118877.0,3195717.0,3272729.0,3349978.0,3427111.0,3503750.0,3580081.0,3656323.0,3732745.0,3809073.0,3885108.0,3962013.0,4056818.0,4134291.0,4211609.0,4288959.0,4366633.0,4443839.0,4521159.0,4598750.0,4676343.0,4753762.0,4831079.0,4908107.0,4985434.0,5062838.0,5139997.0,5217618.0,5294998.0,5372235.0,5449755.0
7,99,17,webber,19,9,1,Finished,83509,161719,239511,317579,395188,472566,549704,627174,704709,783098,860125,937115,1014070,1091101,1168850,1264455.0,1341391.0,1419307.0,1497126.0,1575381.0,1654433.0,1732982.0,1810800.0,1887798.0,1964675.0,2041690.0,2118673.0,2195591.0,2272187.0,2349097.0,2426232.0,2503107.0,2580854.0,2675388.0,2752102.0,2828735.0,2905804.0,2983404.0,3060839.0,3138550.0,3216224.0,3293465.0,3370751.0,3448031.0,3525088.0,3601706.0,3678425.0,3755110.0,3831745.0,3908552.0,3985785.0,4079881.0,4155837.0,4232642.0,4309849.0,4387017.0,4464962.0,4541979.0,4619582.0,4696716.0,4774018.0,4851229.0,4928560.0,5006343.0,5083603.0,5160544.0,5237824.0,5314583.0,5392215.0,5470527.0
