,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,alonso,2,3,3,3,3,3,3,3,4,10,7,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,raikkonen,3,2,2,2,2,2,2,2,2,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,trulli,4,4,4,4,4,4,4,4,3,3,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,14,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,10,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
4,coulthard,5,5,5,5,5,5,5,5,5,5,9,7,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,webber,6,6,6,7,7,7,7,7,7,6,3,2,10,8,7,7,7,7,7,7,7,8,8,8,8,7,6,5,5,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,montoya,7,7,7,6,6,6,6,6,6,4,2,9,7,5,4,4,4,4,4,4,5,5,5,5,5,5,5,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,pizzonia,8,8,8,8,8,8,8,8,10,16,13,12,12,10,10,10,11,11,11,11,11,10,9,9,9,9,9,9,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7
8,sato,9,9,9,9,9,9,9,9,8,8,14,13,13,11,11,11,10,10,9,9,8,7,7,7,7,6,7,11,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8
9,klien,10,10,10,11,11,11,11,11,11,9,6,5,5,12,12,12,12,12,12,12,12,11,11,10,10,10,10,6,6,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,matta,11,12,12,12,12,12,12,12,12,11,17,15,15,14,14,14,14,13,13,13,13,12,14,14,14,14,14,14,13,12,12,12,12,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,button,12,11,11,10,10,10,10,10,9,7,4,1,1,1,5,5,5,5,5,5,4,4,4,4,4,4,4,3,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,fisichella,13,13,13,13,13,13,13,13,13,12,10,10,9,7,8,8,8,8,8,8,10,14,13,12,12,12,12,12,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
13,pantano,14,14,14,14,14,14,14,14,14,13,11,18,19,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0
14,massa,15,15,15,15,15,15,15,15,15,14,12,11,11,9,9,9,9,9,10,10,9,9,10,13,13,13,13,13,11,11,11,11,11,12,12,12,12,13,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
15,heidfeld,16,16,16,16,16,16,17,17,17,17,16,14,14,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,baumgartner,17,17,18,18,18,18,18,18,18,18,18,17,17,16,16,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
17,bruni,18,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
18,panis,19,18,17,17,17,17,16,16,16,15,15,16,16,15,15,15,15,14,14,14,14,13,12,11,11,11,11,10,9,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
