,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
12,101.0,30.0,michael_schumacher,1.0,1.0,Finished,79878.0,154514.0,228690.0,302882.0,376665.0,450712.0,524755.0,598619.0,672741.0,749812.0,844212.0,919257.0,994196.0,1069152.0,1144868.0,1220682.0,1295528.0,1370367.0,1444911.0,1520033.0,1594632.0,1669485.0,1744246.0,1819368.0,1895103.0,1970311.0,2045099.0,2122832.0,2216514.0,2292102.0,2367674.0,2443296.0,2518328.0,2593146.0,2668300.0,2743220.0,2818281.0,2893452.0,2968044.0,3042937.0,3117911.0,3192752.0,3268821.0,3344631.0,3419274.0,3495489.0,3573850.0,3669545.0,3745604.0,3820977.0,3896886.0,3972525.0,4048583.0,4123913.0,4199130.0,4274640.0,4350091.0,4425371.0,4500929.0,4576218.0,4651405.0,4726829.0,4802729.0,4877961.0,4954319.0,5034848.0
2,101.0,4.0,alonso,3.0,1.0,Finished,80913.0,157672.0,232657.0,307274.0,381821.0,456362.0,530883.0,605148.0,682581.0,775825.0,851710.0,927300.0,1003187.0,1079431.0,1155323.0,1230795.0,1306920.0,1382548.0,1458465.0,1534061.0,1609274.0,1684598.0,1759770.0,1834765.0,1910027.0,1985369.0,2060462.0,2135421.0,2213497.0,2305004.0,2380254.0,2455524.0,2531132.0,2606282.0,2681791.0,2757703.0,2833952.0,2909667.0,2984742.0,3059864.0,3134951.0,3210147.0,3284973.0,3360271.0,3434846.0,3509444.0,3587045.0,3680306.0,3755618.0,3830899.0,3906534.0,3983755.0,4061956.0,4140474.0,4218173.0,4296311.0,4373332.0,4448488.0,4523449.0,4598325.0,4673173.0,4748375.0,4823563.0,4898513.0,4973430.0,5051199.0
3,101.0,8.0,raikkonen,20.0,65.0,Rear wing,81312.0,156620.0,230919.0,305002.0,379050.0,453735.0,528051.0,601983.0,676101.0,749881.0,826802.0,920496.0,995279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,101.0,15.0,trulli,11.0,1.0,Finished,82213.0,158534.0,233716.0,308763.0,383284.0,458042.0,532504.0,607020.0,681406.0,758858.0,853545.0,930615.0,1007661.0,1085756.0,1163033.0,1239832.0,1315946.0,1392180.0,1469644.0,1546577.0,1623086.0,1700427.0,1777995.0,1854665.0,1931461.0,2010563.0,2088279.0,2167921.0,2268700.0,2344134.0,2420582.0,2496769.0,2573356.0,2651725.0,2729132.0,2805964.0,2883252.0,2959398.0,3034597.0,3110339.0,3186100.0,3260994.0,3336691.0,3412795.0,3490638.0,3583847.0,3659264.0,3735643.0,3811464.0,3887787.0,3963478.0,4039602.0,4115515.0,4191107.0,4266785.0,4342890.0,4418856.0,4494845.0,4570714.0,4646516.0,4722843.0,4798913.0,4874998.0,4951163.0,5028126.0,5105106.0
6,101.0,14.0,coulthard,4.0,1.0,Finished,83016.0,158949.0,234569.0,309463.0,384208.0,458899.0,533900.0,608458.0,683173.0,760604.0,853968.0,929313.0,1004234.0,1080604.0,1156412.0,1231985.0,1307893.0,1383816.0,1459743.0,1535398.0,1610677.0,1686046.0,1761520.0,1837016.0,1912466.0,1987877.0,2063379.0,2141470.0,2233713.0,2308741.0,2383713.0,2459048.0,2534616.0,2610747.0,2686233.0,2761793.0,2837810.0,2913342.0,2988737.0,3064342.0,3139712.0,3215398.0,3290939.0,3366126.0,3441379.0,3516660.0,3595120.0,3688928.0,3764376.0,3840345.0,3915912.0,3991562.0,4067560.0,4143573.0,4219447.0,4296551.0,4374148.0,4449836.0,4525150.0,4600430.0,4675487.0,4750692.0,4826090.0,4901742.0,4977642.0,5054079.0
8,101.0,17.0,webber,6.0,1.0,Finished,84503.0,160333.0,236006.0,312504.0,388366.0,463853.0,539438.0,614733.0,690043.0,764935.0,839885.0,917507.0,1009815.0,1086548.0,1163364.0,1240221.0,1316772.0,1393044.0,1470005.0,1547326.0,1623511.0,1701429.0,1778656.0,1855510.0,1932197.0,2008687.0,2084103.0,2159022.0,2237344.0,2328450.0,2403962.0,2478857.0,2553920.0,2629575.0,2705309.0,2780754.0,2856368.0,2932160.0,3008530.0,3084370.0,3161738.0,3237300.0,3312844.0,3388460.0,3466168.0,3560220.0,3635810.0,3711711.0,3788008.0,3864433.0,3940495.0,4016567.0,4092694.0,4168688.0,4244469.0,4320587.0,4396460.0,4472175.0,4548008.0,4623774.0,4699379.0,4775108.0,4850310.0,4925264.0,5000147.0,5075956.0
13,101.0,31.0,montoya,5.0,1.0,Finished,85166.0,160830.0,236483.0,311240.0,385732.0,460420.0,535057.0,609840.0,684794.0,759240.0,837123.0,930915.0,1006315.0,1082466.0,1158060.0,1233598.0,1309412.0,1385308.0,1460592.0,1536357.0,1614563.0,1690428.0,1766105.0,1841470.0,1917042.0,1993312.0,2072896.0,2166711.0,2243293.0,2319415.0,2395182.0,2470838.0,2546170.0,2621396.0,2696866.0,2772478.0,2848192.0,2923920.0,2999361.0,3075923.0,3151597.0,3227176.0,3302656.0,3378309.0,3453752.0,3528837.0,3603998.0,3684030.0,3777079.0,3851911.0,3927323.0,4002939.0,4078719.0,4154062.0,4229212.0,4304422.0,4379236.0,4454016.0,4528857.0,4603370.0,4678124.0,4753624.0,4829343.0,4905241.0,4980657.0,5057903.0
15,101.0,42.0,pizzonia,7.0,1.0,Finished,86673.0,162427.0,237476.0,314025.0,389031.0,464533.0,540035.0,615169.0,693911.0,785156.0,860394.0,936636.0,1013462.0,1090288.0,1167002.0,1243814.0,1321274.0,1399344.0,1475084.0,1551197.0,1627511.0,1703708.0,1780225.0,1856710.0,1933027.0,2011097.0,2088491.0,2168576.0,2261447.0,2336891.0,2412189.0,2487431.0,2562793.0,2638996.0,2715011.0,2790617.0,2866568.0,2942763.0,3018339.0,3094662.0,3171213.0,3247049.0,3322667.0,3398199.0,3473252.0,3550951.0,3644387.0,3719217.0,3794367.0,3869718.0,3945240.0,4020446.0,4095825.0,4171102.0,4246788.0,4322701.0,4399192.0,4474334.0,4549830.0,4625812.0,4700850.0,4775959.0,4851367.0,4926383.0,5000969.0,5076804.0
4,101.0,11.0,sato,8.0,1.0,Finished,87349.0,163298.0,238852.0,314597.0,389721.0,465134.0,540612.0,615881.0,691618.0,769480.0,861886.0,937239.0,1013819.0,1090694.0,1167501.0,1244332.0,1320366.0,1396548.0,1471850.0,1548672.0,1624912.0,1700726.0,1778233.0,1854871.0,1931760.0,2007744.0,2085002.0,2177578.0,2252163.0,2327347.0,2408712.0,2484972.0,2560199.0,2635931.0,2711779.0,2787087.0,2862505.0,2938233.0,3013987.0,3090526.0,3166894.0,3242363.0,3317579.0,3392811.0,3467798.0,3542652.0,3617448.0,3694984.0,3788788.0,3865301.0,3941819.0,4018157.0,4094251.0,4170389.0,4246312.0,4322021.0,4397972.0,4473583.0,4549261.0,4628032.0,4704072.0,4779913.0,4855596.0,4931031.0,5006042.0,5081690.0
14,101.0,32.0,klien,10.0,1.0,Finished,87960.0,164639.0,240810.0,317883.0,394085.0,470199.0,546558.0,622778.0,698470.0,774044.0,849998.0,925571.0,1003982.0,1096844.0,1172160.0,1249048.0,1324711.0,1401480.0,1478205.0,1554573.0,1631631.0,1708131.0,1784494.0,1860426.0,1936297.0,2012512.0,2089052.0,2166266.0,2242438.0,2317917.0,2396426.0,2489463.0,2564508.0,2640595.0,2717119.0,2793376.0,2869809.0,2945760.0,3021880.0,3097964.0,3174454.0,3250923.0,3329722.0,3406061.0,3482048.0,3558195.0,3633496.0,3713104.0,3806686.0,3883338.0,3959772.0,4036248.0,4112973.0,4189631.0,4265943.0,4341888.0,4417808.0,4493887.0,4569807.0,4645558.0,4721805.0,4797824.0,4874140.0,4950123.0,5026928.0,5103426.0
16,101.0,43.0,matta,19.0,29.0,Puncture,88814.0,166134.0,242478.0,318546.0,394787.0,470879.0,547050.0,623557.0,699348.0,777774.0,869953.0,945684.0,1022191.0,1100592.0,1178518.0,1256183.0,1333456.0,1410841.0,1486535.0,1561680.0,1637235.0,1716334.0,1809780.0,1885574.0,1961210.0,2037277.0,2113434.0,2190035.0,2266585.0,2343246.0,2419446.0,2495895.0,2572675.0,2649203.0,2725153.0,2801107.0,2877433.0,2953705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,101.0,18.0,button,2.0,1.0,Finished,89240.0,165090.0,240987.0,316191.0,390718.0,465701.0,541209.0,616689.0,692216.0,767125.0,841242.0,915799.0,990079.0,1067240.0,1159715.0,1234663.0,1310708.0,1386644.0,1462253.0,1537784.0,1612884.0,1687895.0,1762869.0,1837991.0,1913231.0,1988730.0,2064169.0,2139391.0,2214051.0,2288780.0,2363749.0,2438541.0,2513122.0,2590628.0,2682079.0,2758139.0,2834411.0,2910246.0,2985680.0,3062373.0,3137350.0,3212803.0,3287697.0,3362718.0,3437143.0,3511566.0,3586183.0,3661023.0,3736551.0,3814792.0,3907017.0,3982797.0,4058325.0,4134099.0,4209659.0,4284949.0,4360031.0,4435078.0,4510402.0,4585322.0,4660815.0,4736512.0,4812190.0,4887863.0,4964007.0,5043236.0
10,101.0,21.0,fisichella,9.0,1.0,Finished,90057.0,167515.0,244592.0,321345.0,397707.0,473942.0,550542.0,626847.0,703047.0,779164.0,855814.0,932446.0,1008794.0,1086205.0,1163736.0,1240733.0,1317342.0,1394100.0,1470472.0,1548264.0,1626964.0,1721476.0,1797278.0,1873530.0,1949859.0,2026129.0,2102776.0,2180741.0,2256914.0,2333098.0,2409768.0,2486077.0,2562356.0,2638455.0,2714441.0,2790081.0,2866034.0,2941933.0,3017568.0,3094016.0,3170504.0,3246226.0,3322012.0,3399923.0,3495110.0,3572618.0,3649308.0,3726283.0,3803780.0,3880333.0,3956517.0,4033005.0,4109379.0,4185461.0,4261533.0,4337618.0,4413755.0,4490245.0,4566255.0,4642606.0,4720631.0,4796547.0,4872305.0,4948229.0,5024597.0,5101950.0
18,101.0,45.0,pantano,15.0,13.0,+3 Laps,90565.0,168067.0,245300.0,322334.0,398828.0,475311.0,552090.0,628570.0,705113.0,781348.0,857923.0,978341.0,1074273.0,1151996.0,1229710.0,1306478.0,1385993.0,1464250.0,1541266.0,1618341.0,1695245.0,1771958.0,1848871.0,1925380.0,2001913.0,2078571.0,2155275.0,2233154.0,2313830.0,2411586.0,2490619.0,2569378.0,2646299.0,2723218.0,2800038.0,2876900.0,2955116.0,3032297.0,3109519.0,3187694.0,3264715.0,3341493.0,3418084.0,3496750.0,3574291.0,3653973.0,3758868.0,3835191.0,3912058.0,3988922.0,4065759.0,4142622.0,4220841.0,4298517.0,4375878.0,4452648.0,4531003.0,4607558.0,4684370.0,4790989.0,4886188.0,4962497.0,5038555.0,,,
5,101.0,13.0,massa,13.0,11.0,+1 Lap,91161.0,168713.0,245862.0,322951.0,399511.0,476099.0,553174.0,629874.0,706276.0,782785.0,859278.0,936050.0,1012852.0,1089841.0,1166646.0,1243161.0,1319516.0,1396035.0,1473070.0,1550127.0,1626479.0,1702944.0,1782413.0,1877408.0,1953858.0,2030689.0,2107285.0,2184202.0,2261168.0,2341185.0,2418181.0,2495236.0,2572183.0,2651272.0,2728469.0,2805409.0,2882650.0,2960389.0,3037576.0,3114410.0,3191397.0,3268414.0,3346505.0,3423180.0,3502780.0,3597255.0,3673640.0,3750503.0,3827274.0,3903828.0,3980148.0,4056819.0,4133290.0,4210920.0,4287380.0,4363752.0,4440277.0,4516629.0,4593253.0,4669818.0,4746066.0,4822316.0,4899954.0,4976265.0,5055001.0,
1,101.0,2.0,heidfeld,18.0,64.0,Handling,92998.0,170764.0,248005.0,325081.0,401985.0,479205.0,557297.0,634292.0,711696.0,789258.0,866187.0,944082.0,1021759.0,1100214.0,1178072.0,1255324.0,1333007.0,1413332.0,1509378.0,1586281.0,1663591.0,1740928.0,1818572.0,1897257.0,1975023.0,2053598.0,2131710.0,2210236.0,2288259.0,2367161.0,2446297.0,2524316.0,2602107.0,2680634.0,2760859.0,2840674.0,2919825.0,3001219.0,3107125.0,3205875.0,3284637.0,3405429.0,,,,,,,,,,,,,,,,,,,,,,,,
