,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
12,102.0,30.0,michael_schumacher,1.0,1.0,Finished,85537.0,165665.0,245586.0,326065.0,406323.0,486390.0,566068.0,645574.0,725311.0,804723.0,884697.0,967024.0,1065956.0,1146767.0,1227215.0,1307754.0,1388215.0,1468818.0,1549642.0,1631892.0,1712069.0,1792849.0,1873055.0,1953112.0,2034071.0,2116058.0,2195382.0,2274738.0,2353809.0,2433394.0,2513088.0,2596094.0,2696168.0,2777019.0,2858176.0,2939165.0,3020426.0,3101183.0,3182368.0,3263393.0,3344548.0,3425287.0,3505854.0,3588784.0,3669626.0,3749145.0,3828542.0,3910077.0,3989523.0,4069173.0,4152432.0,4253683.0,4334946.0,4417106.0,4498862.0,4580467.0,4662451.0,4743891.0,4825563.0,4906711.0,4988291.0,5070018.0,5151487.0,5232678.0,5313764.0,5394471.0,5475222.0,5557024.0,5640452.0,5726131.0
11,102.0,22.0,barrichello,2.0,1.0,Finished,86727.0,167332.0,248157.0,328784.0,409188.0,489500.0,569685.0,650065.0,729996.0,809724.0,892956.0,991712.0,1072065.0,1152828.0,1233724.0,1314449.0,1395019.0,1475168.0,1555497.0,1636121.0,1717608.0,1799173.0,1879740.0,1959867.0,2040803.0,2121784.0,2203953.0,2283895.0,2363108.0,2442419.0,2524972.0,2624654.0,2704762.0,2786684.0,2868100.0,2949868.0,3031699.0,3113295.0,3194711.0,3275865.0,3357431.0,3438395.0,3519127.0,3600607.0,3682204.0,3762986.0,3843709.0,3924521.0,4004458.0,4088364.0,4190089.0,4271772.0,4353793.0,4436571.0,4517622.0,4598953.0,4679928.0,4761289.0,4842292.0,4922757.0,5003551.0,5084058.0,5164437.0,5245863.0,5326690.0,5407384.0,5488068.0,5568668.0,5649086.0,5730827.0
2,102.0,4.0,alonso,3.0,1.0,Finished,88035.0,169169.0,250377.0,331450.0,412490.0,493483.0,574672.0,655751.0,736670.0,820295.0,920607.0,1001879.0,1083044.0,1164496.0,1245917.0,1327512.0,1408561.0,1489740.0,1570926.0,1652033.0,1733200.0,1814476.0,1895803.0,1976827.0,2057972.0,2139324.0,2220850.0,2302186.0,2385718.0,2486865.0,2569276.0,2652232.0,2734940.0,2817574.0,2899550.0,2981391.0,3062822.0,3144313.0,3225728.0,3307299.0,3389263.0,3470495.0,3552474.0,3633641.0,3714321.0,3794841.0,3876216.0,3956723.0,4036998.0,4117720.0,4200983.0,4303112.0,4385101.0,4467621.0,4549585.0,4631939.0,4713277.0,4794772.0,4875909.0,4957227.0,5038406.0,5119798.0,5200683.0,5282075.0,5363185.0,5444513.0,5525362.0,5606754.0,5688244.0,5770730.0
13,102.0,31.0,montoya,4.0,1.0,Finished,89125.0,170703.0,252144.0,333625.0,415259.0,496623.0,578302.0,659704.0,740817.0,821971.0,906013.0,1007678.0,1090018.0,1172677.0,1255030.0,1337713.0,1419771.0,1501817.0,1583719.0,1665677.0,1747546.0,1829807.0,1911312.0,1992507.0,2073661.0,2156738.0,2238074.0,2319292.0,2400229.0,2483984.0,2584868.0,2666498.0,2747668.0,2829783.0,2911361.0,2993186.0,3075417.0,3157191.0,3239054.0,3320916.0,3402849.0,3484132.0,3565417.0,3647419.0,3728242.0,3808990.0,3889909.0,3970956.0,4051671.0,4133051.0,4214279.0,4297591.0,4398671.0,4480264.0,4561909.0,4643330.0,4725027.0,4807195.0,4888666.0,4970282.0,5051753.0,5133140.0,5214697.0,5296152.0,5377553.0,5459546.0,5543082.0,5624678.0,5706655.0,5788744.0
9,102.0,18.0,button,5.0,1.0,Finished,89868.0,172111.0,253763.0,335235.0,416861.0,498577.0,580278.0,661694.0,742934.0,823867.0,907529.0,1008155.0,1090738.0,1173639.0,1256252.0,1338674.0,1420912.0,1503415.0,1585487.0,1667532.0,1749696.0,1832533.0,1914810.0,1996536.0,2077944.0,2159705.0,2242097.0,2323920.0,2405373.0,2490136.0,2590154.0,2671624.0,2753130.0,2835249.0,2916990.0,2998777.0,3080351.0,3161754.0,3243244.0,3324623.0,3406251.0,3487897.0,3569311.0,3650657.0,3732101.0,3812823.0,3893248.0,3974327.0,4058269.0,4160119.0,4241086.0,4322065.0,4403894.0,4485677.0,4567412.0,4649150.0,4730884.0,4812708.0,4895425.0,4977129.0,5058850.0,5140357.0,5221858.0,5303902.0,5384851.0,5466022.0,5547236.0,5629162.0,5711945.0,5793570.0
7,102.0,15.0,trulli,17.0,5.0,Engine,90951.0,172804.0,254899.0,336696.0,418498.0,499611.0,581580.0,663043.0,744718.0,825423.0,908804.0,1009577.0,1091670.0,1174522.0,1257388.0,1339869.0,1422158.0,1504551.0,1586741.0,1668696.0,1750935.0,1833491.0,1916006.0,1998397.0,2080455.0,2162466.0,2244686.0,2327395.0,2409035.0,2491041.0,2575330.0,2677657.0,2760654.0,2844106.0,2927594.0,3011034.0,3094382.0,3178382.0,3262105.0,3347047.0,3432150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,102.0,8.0,raikkonen,20.0,10.0,Electrical,91583.0,174022.0,256014.0,337774.0,419846.0,501524.0,583509.0,665431.0,747561.0,841771.0,928518.0,1020731.0,1135919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,102.0,11.0,sato,6.0,11.0,+1 Lap,92652.0,175412.0,257330.0,338955.0,420941.0,502881.0,584645.0,666402.0,749126.0,830156.0,911453.0,995796.0,1097073.0,1179777.0,1261404.0,1342906.0,1424459.0,1506442.0,1588251.0,1670070.0,1752096.0,1834364.0,1916885.0,1999024.0,2081156.0,2163155.0,2245267.0,2330045.0,2430022.0,2511424.0,2593136.0,2674776.0,2757264.0,2839934.0,2923526.0,3006069.0,3088590.0,3170545.0,3252704.0,3334211.0,3415754.0,3496852.0,3578397.0,3660126.0,3741573.0,3823674.0,3906688.0,4008597.0,4089703.0,4171771.0,4254888.0,4337373.0,4419705.0,4501882.0,4583891.0,4665423.0,4747011.0,4828783.0,4910215.0,4991724.0,5072980.0,5154856.0,5236192.0,5317499.0,5399042.0,5480611.0,5561899.0,5643747.0,5726613.0,
10,102.0,21.0,fisichella,8.0,11.0,+1 Lap,93309.0,176426.0,258833.0,340771.0,422899.0,505349.0,587418.0,669360.0,751393.0,835433.0,938064.0,1022441.0,1106190.0,1189907.0,1273183.0,1355671.0,1438046.0,1520427.0,1603488.0,1686898.0,1770552.0,1853175.0,1935395.0,2017193.0,2098963.0,2180845.0,2262387.0,2344237.0,2425747.0,2509350.0,2611357.0,2693161.0,2775215.0,2857569.0,2941316.0,3023820.0,3106369.0,3188774.0,3271773.0,3354241.0,3436335.0,3518405.0,3602366.0,3684746.0,3766687.0,3849666.0,3931806.0,4013490.0,4095483.0,4177895.0,4263161.0,4363247.0,4444269.0,4525577.0,4607182.0,4688832.0,4770745.0,4853262.0,4935470.0,5017583.0,5099662.0,5181251.0,5262848.0,5344047.0,5425241.0,5506452.0,5589051.0,5671349.0,5753595.0,
16,102.0,42.0,pizzonia,7.0,11.0,+1 Lap,94022.0,177128.0,260035.0,342251.0,425755.0,508076.0,590585.0,672478.0,754502.0,836148.0,917493.0,998755.0,1079982.0,1164533.0,1265338.0,1347175.0,1428914.0,1511067.0,1593435.0,1675238.0,1757674.0,1839994.0,1921879.0,2003520.0,2084836.0,2166111.0,2247841.0,2330231.0,2412023.0,2493518.0,2574803.0,2656097.0,2740107.0,2841155.0,2924160.0,3006899.0,3089939.0,3171798.0,3253809.0,3335553.0,3417069.0,3498462.0,3580140.0,3661804.0,3743206.0,3825519.0,3907021.0,3987522.0,4068126.0,4151476.0,4255803.0,4337841.0,4420687.0,4504538.0,4586498.0,4668251.0,4749871.0,4831625.0,4913140.0,4994617.0,5076058.0,5158223.0,5239857.0,5321424.0,5402954.0,5484087.0,5565154.0,5646353.0,5727748.0,
6,102.0,14.0,coulthard,9.0,11.0,+1 Lap,94704.0,178143.0,261460.0,344045.0,426983.0,510046.0,592343.0,674866.0,756873.0,839566.0,924443.0,1025258.0,1107337.0,1190918.0,1274273.0,1357090.0,1440047.0,1522921.0,1605757.0,1688767.0,1772628.0,1855965.0,1938586.0,2021088.0,2103525.0,2185723.0,2267769.0,2350040.0,2432733.0,2516187.0,2598162.0,2682863.0,2783751.0,2865369.0,2947862.0,3030439.0,3114480.0,3197010.0,3279273.0,3361404.0,3443823.0,3525796.0,3608000.0,3689737.0,3771198.0,3852991.0,3934767.0,4016989.0,4098912.0,4180718.0,4263094.0,4347373.0,4448735.0,4530539.0,4612258.0,4694106.0,4775846.0,4857772.0,4939821.0,5021205.0,5102659.0,5184067.0,5265574.0,5347201.0,5429163.0,5510516.0,5591650.0,5674175.0,5755652.0,
8,102.0,17.0,webber,10.0,11.0,+1 Lap,95192.0,178773.0,262210.0,345450.0,428285.0,511075.0,593884.0,676506.0,759578.0,842405.0,924726.0,1006888.0,1088850.0,1171233.0,1253486.0,1338121.0,1440274.0,1523239.0,1606140.0,1689358.0,1773208.0,1856746.0,1939574.0,2022917.0,2117302.0,2201777.0,2287305.0,2372006.0,2454740.0,2537519.0,2621711.0,2722816.0,2804866.0,2886860.0,2968735.0,3050548.0,3132606.0,3214660.0,3296710.0,3379108.0,3460878.0,3542693.0,3624390.0,3705674.0,3786499.0,3869560.0,3972961.0,4055460.0,4137599.0,4220313.0,4304294.0,4387235.0,4470024.0,4552577.0,4635684.0,4718204.0,4800237.0,4882225.0,4964309.0,5046431.0,5128403.0,5210505.0,5292229.0,5374283.0,5456473.0,5538241.0,5619545.0,5700779.0,5781740.0,
